Date,Open,High,Low,Close,Volume
23-Oct-14,1.38,1.45,1.36,1.40,21633
22-Oct-14,1.30,1.42,1.27,1.34,132234
21-Oct-14,1.34,1.34,1.30,1.31,23151
20-Oct-14,1.40,1.43,1.29,1.31,42410
17-Oct-14,1.40,1.52,1.35,1.37,34717
16-Oct-14,1.33,1.42,1.29,1.37,22283
15-Oct-14,1.31,1.35,1.26,1.34,34531
14-Oct-14,1.28,1.33,1.26,1.29,27946
13-Oct-14,1.29,1.31,1.26,1.27,43858
10-Oct-14,1.37,1.40,1.28,1.31,76880
9-Oct-14,1.35,1.36,1.27,1.31,59518
8-Oct-14,1.43,1.43,1.22,1.36,267544
7-Oct-14,1.53,1.53,1.40,1.43,96535
6-Oct-14,1.60,1.60,1.53,1.53,75567
3-Oct-14,1.63,1.65,1.56,1.60,14713
2-Oct-14,1.79,1.79,1.53,1.67,133388
1-Oct-14,1.80,1.80,1.66,1.67,48687
30-Sep-14,1.62,1.78,1.53,1.78,45264
29-Sep-14,1.62,1.66,1.54,1.65,42436
26-Sep-14,1.57,1.66,1.47,1.63,70405
25-Sep-14,1.72,1.74,1.55,1.63,115070
24-Sep-14,1.77,1.85,1.71,1.71,105026
23-Sep-14,1.81,1.85,1.75,1.75,31494
22-Sep-14,1.90,1.92,1.76,1.83,47597
19-Sep-14,1.80,1.96,1.72,1.94,147386
18-Sep-14,1.89,1.89,1.78,1.80,36351
17-Sep-14,1.78,1.87,1.78,1.82,58664
16-Sep-14,1.80,1.99,1.78,1.80,167810
15-Sep-14,1.88,1.88,1.76,1.80,183455
12-Sep-14,2.03,2.03,1.86,1.88,65042
11-Sep-14,2.10,2.27,1.91,1.96,492730
10-Sep-14,1.73,2.28,1.72,2.18,1916565
9-Sep-14,1.80,1.80,1.72,1.72,18396
8-Sep-14,1.82,1.87,1.73,1.78,50004
5-Sep-14,1.88,1.89,1.78,1.87,51880
4-Sep-14,1.92,2.02,1.77,1.88,36191
3-Sep-14,1.89,1.90,1.76,1.88,58549
2-Sep-14,1.91,1.91,1.80,1.89,26299
29-Aug-14,1.85,1.90,1.71,1.90,65073
28-Aug-14,1.87,1.87,1.77,1.77,56970
27-Aug-14,1.86,1.95,1.83,1.87,49598
26-Aug-14,2.01,2.01,1.80,1.93,138798
25-Aug-14,1.98,2.05,1.91,2.02,63053
22-Aug-14,2.10,2.10,1.87,1.99,135918
21-Aug-14,2.18,2.42,1.96,2.08,1010536
20-Aug-14,2.09,2.24,1.81,2.16,696787
19-Aug-14,1.75,1.77,1.70,1.74,22322
18-Aug-14,1.75,1.80,1.70,1.78,29510
15-Aug-14,1.88,1.88,1.66,1.71,24304
14-Aug-14,1.80,1.97,1.78,1.78,26011
13-Aug-14,1.76,1.95,1.76,1.85,17476
12-Aug-14,1.86,1.87,1.76,1.78,35735
11-Aug-14,1.98,1.99,1.81,1.85,45966
8-Aug-14,1.81,1.93,1.76,1.91,22307
7-Aug-14,1.76,1.84,1.75,1.77,26069
6-Aug-14,1.79,1.84,1.71,1.77,34242
5-Aug-14,1.66,1.88,1.65,1.77,50926
4-Aug-14,1.66,1.74,1.63,1.66,57856
1-Aug-14,1.75,1.75,1.56,1.63,89620
31-Jul-14,1.91,1.91,1.72,1.75,149052
30-Jul-14,1.92,2.05,1.84,2.05,71297
29-Jul-14,2.01,2.07,1.85,1.88,180077
28-Jul-14,2.12,2.25,1.97,2.05,332404
25-Jul-14,1.98,2.08,1.92,2.06,82348
24-Jul-14,1.96,2.06,1.92,1.96,34737
23-Jul-14,2.03,2.11,1.95,1.97,21725
22-Jul-14,2.05,2.18,1.95,1.95,165856
21-Jul-14,2.05,2.19,2.00,2.05,82196
18-Jul-14,1.98,2.03,1.88,2.03,84192
17-Jul-14,2.09,2.19,1.85,1.95,220143
16-Jul-14,2.10,2.20,1.82,2.05,505006
15-Jul-14,2.30,2.30,1.84,1.85,341717
14-Jul-14,2.20,2.26,1.92,2.03,444105
11-Jul-14,2.40,2.40,2.14,2.20,336282
10-Jul-14,2.51,2.72,2.37,2.45,444893
9-Jul-14,2.66,2.75,2.50,2.54,190440
8-Jul-14,2.56,2.70,2.46,2.57,202929
7-Jul-14,2.49,2.55,2.33,2.45,114108
3-Jul-14,2.51,2.54,2.42,2.45,59156
2-Jul-14,2.66,2.70,2.52,2.55,59440
1-Jul-14,2.73,2.78,2.63,2.63,67359
30-Jun-14,2.84,2.85,2.66,2.80,106237
27-Jun-14,2.65,2.82,2.65,2.75,62318
26-Jun-14,2.75,2.80,2.68,2.75,60247
25-Jun-14,2.69,2.84,2.65,2.78,42194
24-Jun-14,2.95,3.00,2.70,2.75,208297
23-Jun-14,2.89,3.12,2.85,2.93,102017
20-Jun-14,3.01,3.13,2.69,2.96,162436
19-Jun-14,3.05,3.05,2.84,3.03,72203
18-Jun-14,3.09,3.15,2.91,2.91,45113
17-Jun-14,3.10,3.25,2.98,2.99,63065
16-Jun-14,3.25,3.29,2.90,3.29,82680
13-Jun-14,3.65,3.65,3.20,3.40,70012
12-Jun-14,3.72,3.86,3.41,3.42,62924
11-Jun-14,4.02,4.02,3.69,3.82,82386
10-Jun-14,4.20,4.24,3.40,3.81,255370
9-Jun-14,4.91,5.69,3.75,3.85,175878
6-Jun-14,2.28,2.53,2.28,2.49,177700
5-Jun-14,2.67,2.67,2.28,2.42,139472
4-Jun-14,2.47,2.67,2.45,2.62,420237
3-Jun-14,2.62,2.62,2.30,2.45,134899
2-Jun-14,2.83,2.95,2.62,2.62,79249
30-May-14,3.23,3.27,2.61,2.80,270524
29-May-14,3.70,3.74,3.23,3.30,193733
28-May-14,3.94,3.97,3.48,3.54,108765
27-May-14,3.50,3.93,3.23,3.83,349731
23-May-14,3.57,3.70,3.41,3.60,124158
22-May-14,3.49,3.62,3.21,3.58,262200
21-May-14,4.36,4.44,3.16,3.42,562555
20-May-14,3.85,4.95,3.60,4.14,1324299
19-May-14,2.44,4.18,2.37,3.49,1151065
16-May-14,2.08,2.41,2.08,2.41,130164
15-May-14,2.38,2.38,1.98,2.10,174477
14-May-14,2.39,2.40,2.28,2.37,40942
13-May-14,2.76,2.86,2.36,2.37,78891
