Date,Open,High,Low,Close,Volume
23-Oct-14,28.19,28.96,27.30,27.37,132021
22-Oct-14,27.57,28.72,27.57,28.05,121953
21-Oct-14,27.51,27.75,26.88,27.57,69387
20-Oct-14,27.18,27.98,27.10,27.44,110665
17-Oct-14,26.86,27.49,26.57,27.20,132950
16-Oct-14,25.82,26.74,25.82,26.49,119574
15-Oct-14,25.94,26.41,25.66,26.25,115266
14-Oct-14,26.20,26.82,26.00,26.39,155081
13-Oct-14,25.89,26.33,25.77,26.00,192259
10-Oct-14,26.29,26.71,25.63,25.95,173817
9-Oct-14,27.58,27.58,26.45,26.48,103684
8-Oct-14,26.83,27.90,26.74,27.69,74742
7-Oct-14,27.24,27.56,26.90,26.92,78917
6-Oct-14,27.59,27.87,27.29,27.40,52045
3-Oct-14,27.61,27.79,27.31,27.44,59413
2-Oct-14,27.28,27.64,27.11,27.34,91538
1-Oct-14,27.56,27.56,26.98,27.35,99677
30-Sep-14,27.22,27.68,26.93,27.50,122558
29-Sep-14,26.91,27.50,26.91,27.30,91334
26-Sep-14,26.41,27.31,26.40,27.28,117217
25-Sep-14,26.94,27.23,26.47,26.50,88597
24-Sep-14,27.17,27.55,26.89,27.08,94412
23-Sep-14,27.86,28.05,27.22,27.26,96163
22-Sep-14,27.84,28.19,27.72,27.87,76702
19-Sep-14,28.43,28.87,27.60,28.08,150979
18-Sep-14,28.23,28.45,28.03,28.39,69203
17-Sep-14,28.51,28.58,27.93,28.29,69373
16-Sep-14,28.29,29.11,28.17,28.59,90027
15-Sep-14,28.49,28.73,28.02,28.40,65349
12-Sep-14,28.98,29.01,27.98,28.56,67026
11-Sep-14,28.76,29.24,28.61,28.90,56169
10-Sep-14,29.00,29.06,28.62,28.93,77195
9-Sep-14,29.35,29.35,28.39,28.87,86869
8-Sep-14,29.34,29.70,29.01,29.50,131661
5-Sep-14,29.60,29.85,29.34,29.45,83331
4-Sep-14,30.11,30.16,29.66,29.74,63104
3-Sep-14,30.95,30.95,30.02,30.15,62265
2-Sep-14,30.41,31.20,29.93,30.82,109593
29-Aug-14,30.61,31.10,29.97,30.46,79035
28-Aug-14,30.96,30.99,30.45,30.59,93725
27-Aug-14,30.77,31.39,30.70,31.25,96833
26-Aug-14,30.24,30.90,29.64,30.80,121565
25-Aug-14,30.41,30.88,30.11,30.32,144554
22-Aug-14,29.58,30.75,29.58,30.17,142750
21-Aug-14,28.67,29.22,28.59,29.00,60911
20-Aug-14,28.42,28.87,28.14,28.65,63475
19-Aug-14,28.30,29.16,28.24,28.54,73131
18-Aug-14,27.77,28.62,26.80,28.34,114715
15-Aug-14,28.04,28.12,27.36,27.63,77631
14-Aug-14,28.53,28.92,27.73,27.82,123387
13-Aug-14,28.55,28.93,28.14,28.44,112704
12-Aug-14,27.00,28.80,27.00,28.55,166992
11-Aug-14,27.16,28.03,26.76,27.84,117575
8-Aug-14,26.72,27.26,26.62,27.14,91484
7-Aug-14,26.84,27.19,26.36,26.74,90302
6-Aug-14,26.13,27.07,26.13,26.83,63264
5-Aug-14,25.86,26.40,25.80,26.36,207827
4-Aug-14,26.11,26.19,25.62,25.97,148141
1-Aug-14,26.15,26.41,25.85,26.04,137354
31-Jul-14,26.02,26.37,25.85,26.13,166153
30-Jul-14,25.97,26.40,25.97,26.31,133555
29-Jul-14,26.17,26.31,25.80,25.86,144427
28-Jul-14,26.98,27.03,26.14,26.22,106879
25-Jul-14,28.11,28.16,26.81,26.95,146961
24-Jul-14,27.15,28.67,27.15,28.40,292517
23-Jul-14,27.48,27.85,27.23,27.67,85250
22-Jul-14,26.83,27.47,26.57,27.34,68656
21-Jul-14,26.94,26.94,26.54,26.77,58812
18-Jul-14,26.67,27.38,26.43,27.19,88200
17-Jul-14,27.60,27.60,26.64,26.75,94950
16-Jul-14,28.52,28.52,27.55,27.63,65440
15-Jul-14,29.11,29.28,28.27,28.32,117173
14-Jul-14,29.41,29.58,29.03,29.20,122837
11-Jul-14,29.00,29.59,29.00,29.21,94004
10-Jul-14,28.79,29.60,28.67,29.20,119422
9-Jul-14,28.66,29.67,28.57,29.48,112840
8-Jul-14,29.62,29.65,28.55,28.65,168708
7-Jul-14,29.52,29.83,29.07,29.79,126094
3-Jul-14,29.07,29.67,28.55,29.65,55417
2-Jul-14,29.37,29.92,28.93,29.01,75645
1-Jul-14,29.46,29.99,29.14,29.43,72590
30-Jun-14,29.12,29.63,28.84,29.55,141230
27-Jun-14,28.83,29.32,28.68,29.25,346821
26-Jun-14,29.25,29.43,28.65,29.05,119560
25-Jun-14,29.50,29.80,29.34,29.55,89255
24-Jun-14,29.79,30.00,29.56,29.68,152211
23-Jun-14,30.33,30.55,29.86,29.99,85740
20-Jun-14,30.37,30.45,30.00,30.37,181969
19-Jun-14,30.21,30.45,30.08,30.24,74145
18-Jun-14,29.57,30.24,29.36,30.18,111435
17-Jun-14,29.49,29.81,29.17,29.63,109827
16-Jun-14,28.29,29.96,28.29,29.64,271595
13-Jun-14,28.15,28.30,27.59,27.75,114441
12-Jun-14,28.23,28.29,28.02,28.16,101853
11-Jun-14,28.12,28.63,27.75,28.35,86906
10-Jun-14,28.42,28.67,28.06,28.23,94697
9-Jun-14,29.10,29.22,28.43,28.52,111848
6-Jun-14,28.97,29.28,28.85,29.10,110536
5-Jun-14,28.50,28.95,28.42,28.86,113128
4-Jun-14,28.75,28.98,28.47,28.51,75199
3-Jun-14,29.25,29.49,28.70,28.94,285371
2-Jun-14,29.96,29.96,28.89,29.27,289853
30-May-14,30.23,30.24,29.58,29.87,152986
29-May-14,29.36,30.30,29.33,30.21,192438
28-May-14,29.93,29.93,28.96,29.33,190148
27-May-14,29.31,29.85,29.31,29.80,69746
23-May-14,29.41,29.57,28.95,29.21,100578
22-May-14,29.17,29.49,29.00,29.39,77557
21-May-14,29.69,29.76,29.14,29.26,51662
20-May-14,30.00,30.38,29.46,29.66,127133
19-May-14,29.72,30.20,29.51,30.11,122765
16-May-14,29.51,29.99,29.45,29.94,100664
15-May-14,29.94,29.94,29.05,29.60,144318
14-May-14,30.96,31.32,29.96,30.12,178390
13-May-14,31.95,32.11,31.20,31.21,133184
12-May-14,31.91,32.04,31.64,32.00,167444
9-May-14,31.97,32.18,30.70,31.87,169240
8-May-14,32.26,33.80,31.99,32.11,354426
7-May-14,35.90,36.03,35.41,35.77,112978
6-May-14,36.25,36.78,35.63,35.72,90663
5-May-14,36.38,36.60,36.12,36.43,71244
2-May-14,36.04,36.63,35.82,36.52,109607
1-May-14,36.48,36.73,35.38,35.82,92305
30-Apr-14,35.97,36.63,35.35,36.59,179352
29-Apr-14,35.73,36.22,35.46,36.09,95221
28-Apr-14,34.79,35.70,34.75,35.55,108466
25-Apr-14,35.26,36.45,34.67,34.84,81495
24-Apr-14,35.33,36.00,34.50,35.45,121290
23-Apr-14,35.17,35.35,34.80,35.05,65222
22-Apr-14,35.01,35.36,34.72,35.14,48751
21-Apr-14,34.73,35.02,34.24,34.89,95799
17-Apr-14,34.14,34.85,34.04,34.67,87057
16-Apr-14,33.95,34.34,33.70,34.30,53140
15-Apr-14,34.06,34.18,33.30,33.80,89384
14-Apr-14,33.80,34.20,33.76,33.94,97645
11-Apr-14,34.00,34.64,33.50,33.58,77677
10-Apr-14,35.22,35.39,34.21,34.35,103928
9-Apr-14,35.15,35.55,35.09,35.28,68205
8-Apr-14,34.89,35.15,34.58,35.00,94804
7-Apr-14,34.98,35.05,34.66,34.76,103383
4-Apr-14,35.12,35.47,34.44,34.99,185603
3-Apr-14,35.82,35.82,34.76,34.80,186529
2-Apr-14,35.34,36.01,35.24,35.68,78708
1-Apr-14,36.37,36.49,35.11,35.37,244835
31-Mar-14,36.66,36.87,36.17,36.21,150774
28-Mar-14,36.74,36.96,36.18,36.42,98407
27-Mar-14,37.06,37.74,36.49,36.68,116222
26-Mar-14,37.16,37.48,36.98,37.19,210036
25-Mar-14,36.16,37.07,35.51,37.00,175822
24-Mar-14,35.70,36.55,35.65,35.91,182063
21-Mar-14,35.82,35.99,35.34,35.65,164354
20-Mar-14,35.28,35.74,35.25,35.74,159023
19-Mar-14,34.88,35.33,34.87,35.26,155856
18-Mar-14,34.15,34.89,33.90,34.88,256897
17-Mar-14,34.14,34.40,33.91,34.17,126809
14-Mar-14,33.79,34.07,33.01,33.91,259329
13-Mar-14,33.26,34.50,32.19,33.85,144441
12-Mar-14,32.11,34.11,31.52,33.00,269463
11-Mar-14,34.51,34.51,33.53,33.97,102296
10-Mar-14,34.21,34.21,33.52,34.07,93472
7-Mar-14,33.99,34.21,33.59,34.01,108569
6-Mar-14,34.24,34.24,33.29,33.89,76728
5-Mar-14,34.13,34.20,33.54,34.05,92956
4-Mar-14,33.32,34.29,32.96,34.11,157117
3-Mar-14,33.27,33.28,32.50,32.80,78755
28-Feb-14,33.13,33.91,33.12,33.61,89649
27-Feb-14,32.54,33.12,32.23,33.03,103006
26-Feb-14,32.53,33.08,32.27,32.66,73275
25-Feb-14,32.97,33.16,32.38,32.48,64389
24-Feb-14,32.50,33.21,32.39,33.05,134298
21-Feb-14,32.74,32.75,32.10,32.50,108655
20-Feb-14,32.27,33.03,31.94,32.54,95134
19-Feb-14,32.47,32.92,31.97,32.00,73138
18-Feb-14,32.20,32.84,31.86,32.47,122470
14-Feb-14,32.00,32.39,31.48,32.05,89352
13-Feb-14,31.04,32.14,31.04,31.96,69618
12-Feb-14,31.37,31.54,30.89,31.43,79991
11-Feb-14,30.89,31.68,30.62,31.23,131218
10-Feb-14,31.29,31.46,30.48,30.92,83951
7-Feb-14,31.00,31.65,30.38,31.37,108537
6-Feb-14,31.12,31.54,30.67,30.78,79665
5-Feb-14,31.40,31.69,30.52,30.90,67040
4-Feb-14,31.84,31.92,31.29,31.53,78402
3-Feb-14,32.55,32.78,31.46,31.74,141978
31-Jan-14,32.28,32.80,31.91,32.54,102008
30-Jan-14,33.07,33.19,32.61,32.75,75866
29-Jan-14,33.08,33.13,32.32,32.75,102141
28-Jan-14,33.25,33.63,33.05,33.42,109042
27-Jan-14,33.85,33.95,33.27,33.31,110760
24-Jan-14,34.11,34.54,33.67,33.78,140690
23-Jan-14,34.15,34.50,33.81,34.40,107731
22-Jan-14,33.85,34.46,33.79,34.28,79889
21-Jan-14,33.48,34.16,33.14,33.64,166029
17-Jan-14,33.54,33.87,32.45,33.11,160622
16-Jan-14,33.84,33.92,33.17,33.62,108347
15-Jan-14,34.10,34.38,33.79,33.97,56008
14-Jan-14,33.75,34.13,33.08,34.08,108129
13-Jan-14,34.30,34.48,33.32,33.68,91368
10-Jan-14,34.76,35.39,34.15,34.31,122487
9-Jan-14,34.56,34.81,33.19,34.65,84389
8-Jan-14,33.73,34.31,33.66,34.30,111850
7-Jan-14,33.22,34.19,32.71,33.86,168813
6-Jan-14,34.22,34.43,33.24,33.34,198384
3-Jan-14,34.84,34.93,33.95,34.12,118647
2-Jan-14,35.53,35.69,34.08,34.57,111519
31-Dec-13,35.98,36.01,35.49,35.81,87986
30-Dec-13,35.66,36.38,35.45,35.92,70433
27-Dec-13,36.39,36.74,35.38,35.67,101882
26-Dec-13,36.08,36.36,35.69,36.33,92435
24-Dec-13,35.67,36.11,35.66,35.76,35901
23-Dec-13,34.99,35.69,34.91,35.61,129518
20-Dec-13,34.41,35.40,34.41,35.01,243540
19-Dec-13,34.81,35.09,34.15,34.24,75996
18-Dec-13,34.52,35.28,34.21,34.97,81370
17-Dec-13,34.74,34.78,33.56,34.46,145902
16-Dec-13,34.94,35.10,34.59,34.75,57252
13-Dec-13,34.83,35.08,34.35,34.84,89554
12-Dec-13,34.48,35.35,34.48,34.73,75541
11-Dec-13,35.71,35.71,34.37,34.55,220754
10-Dec-13,35.75,35.77,35.30,35.52,76945
9-Dec-13,35.75,35.91,34.06,35.77,60542
6-Dec-13,35.62,36.51,35.21,35.82,128678
5-Dec-13,35.91,35.91,34.51,35.19,81582
4-Dec-13,36.07,36.43,35.75,35.76,99751
3-Dec-13,36.57,37.00,34.97,36.16,258353
2-Dec-13,36.50,37.37,35.92,36.69,91103
29-Nov-13,36.93,37.23,36.26,36.40,50955
27-Nov-13,36.40,36.96,36.37,36.58,80014
26-Nov-13,36.86,36.99,36.57,36.75,87853
25-Nov-13,36.92,37.07,36.71,36.90,55885
22-Nov-13,37.00,37.16,36.38,36.91,104861
21-Nov-13,36.34,37.24,36.25,37.00,85252
20-Nov-13,37.78,37.97,35.74,36.01,152770
19-Nov-13,38.17,38.78,36.14,37.50,294869
18-Nov-13,37.78,38.25,37.75,38.02,242708
15-Nov-13,37.50,38.03,37.33,37.63,177083
14-Nov-13,37.00,38.94,37.00,37.55,112288
13-Nov-13,35.41,37.07,35.41,37.01,72709
12-Nov-13,35.05,35.68,35.05,35.62,94266
11-Nov-13,35.12,35.60,35.02,35.27,73528
8-Nov-13,35.16,35.44,34.65,35.08,133800
7-Nov-13,36.12,36.12,34.61,34.85,160077
6-Nov-13,35.81,36.06,35.32,35.85,158433
5-Nov-13,35.30,35.78,34.75,35.47,60884
4-Nov-13,35.50,35.50,34.87,35.39,79130
1-Nov-13,35.14,36.12,34.69,35.19,348935
31-Oct-13,35.01,35.57,34.52,35.16,117077
30-Oct-13,35.34,35.47,33.01,35.03,104978
29-Oct-13,35.13,35.40,34.86,35.22,77168
28-Oct-13,34.48,34.93,34.05,34.86,104399
25-Oct-13,33.84,34.53,33.80,34.48,193946
24-Oct-13,32.67,33.86,32.46,33.70,204956
23-Oct-13,31.56,31.75,31.06,31.53,72529
