Date,Open,High,Low,Close,Volume
23-Oct-14,57.63,58.49,56.95,58.05,110813
22-Oct-14,57.97,58.92,56.86,56.98,93354
21-Oct-14,56.49,57.96,56.31,57.80,100806
20-Oct-14,55.79,56.47,55.17,56.38,167224
17-Oct-14,58.10,58.10,55.64,55.89,113646
16-Oct-14,56.98,57.77,56.46,57.31,114274
15-Oct-14,55.39,57.63,54.33,57.52,174331
14-Oct-14,55.64,56.93,55.53,56.43,132077
13-Oct-14,54.27,56.15,53.85,55.19,171659
10-Oct-14,53.97,55.21,53.41,54.07,107477
9-Oct-14,54.61,54.61,53.24,54.25,208947
8-Oct-14,54.67,54.79,53.69,54.65,184774
7-Oct-14,55.22,55.75,54.59,54.64,144812
6-Oct-14,55.81,55.89,55.31,55.45,142574
3-Oct-14,56.09,56.14,55.35,55.76,91485
2-Oct-14,54.82,55.78,54.06,55.58,138235
1-Oct-14,55.22,55.56,53.95,54.92,178243
30-Sep-14,57.51,57.51,55.09,55.09,280362
29-Sep-14,57.38,58.38,57.13,57.71,86749
26-Sep-14,57.47,58.17,56.92,57.91,72797
25-Sep-14,58.45,59.04,56.54,57.11,104362
24-Sep-14,55.97,58.49,55.95,58.37,117965
23-Sep-14,56.80,56.80,55.60,55.65,115029
22-Sep-14,57.04,57.15,56.26,56.83,119727
19-Sep-14,58.68,59.26,57.10,57.18,188710
18-Sep-14,59.00,59.04,57.95,58.62,106957
17-Sep-14,58.99,59.18,58.60,58.74,59659
16-Sep-14,58.90,59.46,58.55,58.81,66980
15-Sep-14,58.87,59.15,58.13,58.87,105973
12-Sep-14,58.70,59.05,58.35,58.70,101358
11-Sep-14,57.74,59.04,57.68,58.67,79626
10-Sep-14,57.77,58.13,57.17,58.03,61015
9-Sep-14,58.96,58.96,57.65,57.82,93655
8-Sep-14,59.33,59.33,58.71,58.96,78920
5-Sep-14,59.02,59.53,58.94,59.36,72144
4-Sep-14,59.50,59.87,59.12,59.18,73262
3-Sep-14,59.38,59.80,58.87,59.33,129201
2-Sep-14,58.45,59.39,58.32,59.05,145332
29-Aug-14,58.62,58.62,57.84,58.15,81870
28-Aug-14,58.60,58.88,58.02,58.33,84888
27-Aug-14,58.90,59.00,58.13,58.66,98505
26-Aug-14,58.83,58.99,58.33,58.69,96699
25-Aug-14,59.69,59.69,58.28,58.53,93711
22-Aug-14,59.13,59.50,58.53,59.20,92945
21-Aug-14,58.41,59.18,57.74,59.04,110729
20-Aug-14,59.07,59.58,57.93,58.28,144693
19-Aug-14,59.26,59.87,59.13,59.35,78479
18-Aug-14,58.31,59.62,58.31,59.23,78102
15-Aug-14,59.18,59.18,57.73,58.27,108333
14-Aug-14,59.15,59.23,58.65,58.78,62982
13-Aug-14,58.18,59.41,58.13,59.16,104772
12-Aug-14,58.71,59.00,58.25,58.52,87956
11-Aug-14,59.50,59.69,58.83,58.93,118771
8-Aug-14,59.65,60.00,59.00,59.24,179533
7-Aug-14,60.25,60.25,59.25,59.37,181540
6-Aug-14,60.15,60.79,59.73,59.92,135569
5-Aug-14,60.45,61.28,60.08,60.39,128576
4-Aug-14,60.31,61.14,59.62,60.77,169976
1-Aug-14,60.55,60.68,59.72,59.96,170537
31-Jul-14,60.95,61.28,60.39,60.43,170918
30-Jul-14,60.99,61.54,59.00,61.48,192104
29-Jul-14,60.00,61.48,58.15,60.38,420950
28-Jul-14,58.09,58.15,57.49,57.86,164150
25-Jul-14,57.74,58.25,57.30,57.80,117104
24-Jul-14,57.79,58.19,57.48,57.78,109285
23-Jul-14,57.65,58.07,57.29,57.56,113360
22-Jul-14,54.69,58.27,54.04,57.52,231312
21-Jul-14,54.37,54.63,53.71,54.29,64599
18-Jul-14,53.48,54.82,53.45,54.63,110291
17-Jul-14,54.04,54.29,53.56,53.61,64344
16-Jul-14,55.05,55.05,54.00,54.22,80803
15-Jul-14,55.02,55.07,54.22,54.68,98546
14-Jul-14,55.61,55.61,54.68,54.79,62721
11-Jul-14,55.32,55.50,54.63,55.01,65841
10-Jul-14,55.59,56.35,54.91,55.41,50760
9-Jul-14,57.51,57.51,56.24,56.56,100017
8-Jul-14,57.46,57.80,56.99,57.21,142823
7-Jul-14,57.74,58.33,56.73,57.42,202642
3-Jul-14,57.36,57.96,56.91,57.87,56445
2-Jul-14,57.87,58.22,56.99,57.08,93121
1-Jul-14,57.64,58.51,57.62,57.80,142660
30-Jun-14,57.59,57.73,57.22,57.57,106188
27-Jun-14,56.52,57.90,56.52,57.82,400602
26-Jun-14,56.94,57.30,56.13,56.97,68766
25-Jun-14,55.87,57.08,55.87,56.77,59723
24-Jun-14,56.34,57.23,56.14,56.18,86229
23-Jun-14,56.82,56.82,56.19,56.57,57529
20-Jun-14,56.68,57.25,56.11,56.72,223024
19-Jun-14,56.35,56.63,56.15,56.35,53831
18-Jun-14,55.94,56.42,55.90,56.29,55148
17-Jun-14,55.97,56.68,55.78,56.09,73815
16-Jun-14,56.07,56.44,55.65,56.08,77441
13-Jun-14,56.08,56.23,55.54,56.03,58553
12-Jun-14,55.65,56.26,55.42,55.83,71553
11-Jun-14,55.53,56.39,55.41,55.91,77041
10-Jun-14,55.38,56.07,54.90,55.78,70987
9-Jun-14,55.19,56.11,55.11,55.64,98164
6-Jun-14,55.25,55.68,54.95,55.44,82543
5-Jun-14,53.47,55.00,53.18,54.92,125838
4-Jun-14,52.31,53.64,52.31,53.47,97273
3-Jun-14,51.95,52.80,51.87,52.39,467019
2-Jun-14,52.67,52.73,51.83,52.30,93439
30-May-14,52.31,52.95,52.04,52.50,106555
29-May-14,53.01,53.01,51.72,52.08,75471
28-May-14,53.50,53.50,51.77,52.66,160976
27-May-14,53.86,54.15,53.18,53.79,73285
23-May-14,53.37,53.75,52.19,53.48,81982
22-May-14,53.08,53.96,52.73,53.19,71411
21-May-14,53.85,54.32,52.50,52.79,125255
20-May-14,54.16,54.89,53.19,53.56,105559
19-May-14,54.32,54.83,53.93,54.42,43998
16-May-14,53.52,54.51,53.33,54.51,55288
15-May-14,54.31,54.38,53.52,54.04,60747
14-May-14,54.47,55.76,53.56,54.71,113968
13-May-14,55.55,55.55,54.41,54.47,93690
12-May-14,54.35,55.81,54.35,55.63,101155
9-May-14,53.63,54.34,52.41,54.11,95834
8-May-14,55.94,56.08,53.82,53.96,98405
7-May-14,55.22,56.12,54.92,55.89,68782
6-May-14,55.65,56.52,54.65,55.05,76757
5-May-14,55.82,57.35,55.32,55.94,96484
2-May-14,56.13,57.22,56.12,56.20,82601
1-May-14,56.12,56.70,55.50,55.92,123050
30-Apr-14,56.00,56.63,55.27,56.44,132604
29-Apr-14,50.96,58.40,50.96,56.28,513636
28-Apr-14,51.65,52.90,51.12,51.69,119509
25-Apr-14,51.39,52.09,51.13,51.33,120416
24-Apr-14,52.33,52.70,51.04,51.71,139312
23-Apr-14,52.37,52.62,51.84,51.94,192521
22-Apr-14,52.86,52.86,52.09,52.34,206076
21-Apr-14,52.86,52.90,51.95,52.72,119340
17-Apr-14,52.25,53.26,52.13,52.93,129797
16-Apr-14,53.06,53.27,52.18,52.24,94708
15-Apr-14,52.90,53.20,51.90,52.75,64345
14-Apr-14,52.41,53.19,52.34,52.85,92903
11-Apr-14,52.42,53.13,51.85,52.17,83677
10-Apr-14,53.80,54.06,52.78,52.90,122958
9-Apr-14,53.76,54.18,52.66,53.99,59978
8-Apr-14,53.72,54.14,52.94,53.49,82449
7-Apr-14,54.61,54.61,53.23,53.68,100668
