Date,Open,High,Low,Close,Volume
23-Oct-14,6.55,6.70,6.32,6.42,70613
22-Oct-14,6.62,6.63,6.48,6.48,53049
21-Oct-14,6.49,6.62,6.48,6.61,118410
20-Oct-14,6.45,6.68,6.42,6.48,45453
17-Oct-14,6.65,6.75,6.37,6.42,38252
16-Oct-14,6.10,6.76,6.10,6.55,127785
15-Oct-14,6.06,6.20,5.96,6.15,80604
14-Oct-14,5.77,6.25,5.69,6.10,100401
13-Oct-14,5.82,5.86,5.68,5.70,65723
10-Oct-14,5.87,5.89,5.78,5.80,45278
9-Oct-14,6.12,6.15,5.85,5.86,35988
8-Oct-14,5.95,6.17,5.94,6.14,61271
7-Oct-14,5.89,6.04,5.89,5.94,38555
6-Oct-14,5.95,6.07,5.91,5.91,27433
3-Oct-14,5.99,6.00,5.86,5.93,39018
2-Oct-14,5.91,6.13,5.91,5.98,62048
1-Oct-14,5.99,6.11,5.83,5.96,43908
30-Sep-14,6.16,6.18,6.00,6.00,80692
29-Sep-14,5.94,6.13,5.90,6.13,82349
26-Sep-14,5.96,6.11,5.96,5.97,43088
25-Sep-14,5.98,6.17,5.94,5.95,50157
24-Sep-14,6.08,6.12,5.95,5.98,73723
23-Sep-14,6.23,6.25,6.00,6.10,147164
22-Sep-14,6.39,6.69,6.24,6.28,110942
19-Sep-14,6.48,6.52,6.35,6.40,104599
18-Sep-14,6.69,6.72,6.43,6.50,66997
17-Sep-14,6.65,6.78,6.56,6.66,75769
16-Sep-14,6.49,6.72,6.39,6.69,72020
15-Sep-14,6.72,6.72,6.38,6.47,117603
12-Sep-14,6.85,6.94,6.52,6.61,105192
11-Sep-14,6.86,6.99,6.85,6.88,38629
10-Sep-14,6.92,7.00,6.90,6.96,38942
9-Sep-14,6.95,7.07,6.89,6.90,77119
8-Sep-14,7.03,7.13,6.96,7.00,74704
5-Sep-14,7.02,7.11,6.99,6.99,39942
4-Sep-14,6.93,7.30,6.93,7.00,62528
3-Sep-14,7.29,7.30,6.93,6.98,89789
2-Sep-14,7.35,7.40,7.25,7.26,65430
29-Aug-14,7.34,7.42,7.07,7.38,239869
28-Aug-14,7.37,7.43,7.26,7.33,66559
27-Aug-14,7.49,7.59,7.37,7.39,52098
26-Aug-14,7.55,7.66,7.47,7.49,74310
25-Aug-14,7.58,7.65,7.43,7.57,130035
22-Aug-14,7.56,7.65,7.34,7.55,64436
21-Aug-14,7.62,7.89,7.51,7.56,59007
20-Aug-14,7.98,8.15,7.61,7.67,157237
19-Aug-14,7.92,8.08,7.83,7.98,48124
18-Aug-14,8.25,8.25,7.82,7.94,92732
15-Aug-14,7.97,8.24,7.81,8.01,198244
14-Aug-14,8.27,8.43,7.97,8.13,97931
13-Aug-14,8.25,8.35,8.20,8.30,218977
12-Aug-14,8.21,8.32,8.09,8.19,183097
11-Aug-14,8.20,8.46,8.04,8.27,432749
8-Aug-14,8.02,9.09,7.60,8.05,1631750
7-Aug-14,12.47,12.48,12.30,12.38,102959
6-Aug-14,11.98,12.50,11.98,12.39,186844
5-Aug-14,12.46,12.46,11.84,12.09,109079
4-Aug-14,12.34,12.60,12.25,12.50,61288
1-Aug-14,12.86,13.01,12.11,12.21,80835
31-Jul-14,12.98,13.04,12.60,12.85,48117
30-Jul-14,13.06,13.15,13.00,13.02,22124
29-Jul-14,12.32,13.02,12.32,12.89,30393
28-Jul-14,12.60,12.66,12.40,12.49,52372
25-Jul-14,12.76,12.76,12.52,12.55,25611
24-Jul-14,13.30,13.30,12.80,12.88,24859
23-Jul-14,13.06,13.15,12.97,13.09,31629
22-Jul-14,13.13,13.16,13.05,13.09,40681
21-Jul-14,13.10,13.28,12.95,12.99,17225
18-Jul-14,13.00,13.45,13.00,13.35,78367
17-Jul-14,13.05,13.09,12.56,12.99,179693
16-Jul-14,13.54,13.54,13.04,13.08,77916
15-Jul-14,13.89,13.89,13.42,13.46,102378
14-Jul-14,13.78,14.00,13.78,13.81,47844
11-Jul-14,13.86,13.95,13.73,13.75,41753
10-Jul-14,14.13,14.37,13.82,13.89,49536
9-Jul-14,14.10,14.41,13.87,14.40,91434
8-Jul-14,14.47,14.63,13.90,14.14,70627
7-Jul-14,14.65,14.66,14.32,14.38,51289
3-Jul-14,14.60,14.81,14.47,14.65,45244
2-Jul-14,14.55,14.71,14.38,14.61,110444
1-Jul-14,14.62,14.86,14.48,14.51,69597
30-Jun-14,14.59,14.60,14.45,14.56,66141
27-Jun-14,14.60,14.65,14.53,14.57,123971
26-Jun-14,14.51,14.65,14.48,14.53,21763
25-Jun-14,14.50,14.69,14.50,14.54,98167
24-Jun-14,14.59,14.78,14.50,14.54,19061
23-Jun-14,14.67,14.67,14.50,14.53,24030
20-Jun-14,14.60,14.70,14.47,14.52,115034
19-Jun-14,14.60,14.65,14.55,14.58,41942
18-Jun-14,14.52,14.66,14.45,14.59,27285
17-Jun-14,14.56,14.63,14.50,14.58,15874
16-Jun-14,14.47,14.64,14.42,14.59,22712
13-Jun-14,14.87,14.87,14.46,14.50,24783
12-Jun-14,14.80,15.10,14.46,14.78,58914
11-Jun-14,14.77,14.99,14.67,14.78,40137
10-Jun-14,15.40,15.53,14.82,14.88,56539
9-Jun-14,15.41,15.48,15.10,15.45,63663
6-Jun-14,15.35,15.68,15.34,15.48,27771
5-Jun-14,15.00,15.39,14.99,15.33,33855
4-Jun-14,15.05,15.35,14.81,15.21,63059
3-Jun-14,14.89,15.25,14.66,15.07,31269
2-Jun-14,15.34,15.34,14.85,15.02,56414
30-May-14,15.30,15.44,15.25,15.35,64182
29-May-14,15.38,15.52,15.01,15.27,27657
28-May-14,15.15,15.35,15.05,15.29,20413
27-May-14,15.46,15.46,15.00,15.36,37562
23-May-14,15.07,15.46,15.07,15.36,15842
22-May-14,15.00,15.20,14.96,15.07,28786
21-May-14,14.81,15.12,14.72,15.05,27731
20-May-14,14.97,14.99,14.79,14.79,43177
19-May-14,14.99,15.05,14.89,15.04,31717
16-May-14,14.84,15.07,14.38,15.05,50452
15-May-14,15.25,15.25,14.69,14.91,83526
14-May-14,15.54,15.62,15.20,15.27,54839
