Date,Open,High,Low,Close,Volume
23-Oct-14,89.46,89.48,89.37,89.48,1934
22-Oct-14,89.80,89.80,89.52,89.59,11237
21-Oct-14,90.23,90.23,90.06,90.08,3650
20-Oct-14,90.16,90.47,90.15,90.44,2991
17-Oct-14,90.34,90.36,89.98,90.06,7939
16-Oct-14,90.24,90.60,90.12,90.33,5354
15-Oct-14,90.44,90.74,90.21,90.38,13067
14-Oct-14,89.74,89.85,89.39,89.55,50829
13-Oct-14,89.93,90.06,89.80,90.03,5692
10-Oct-14,89.71,89.71,89.44,89.58,13411
9-Oct-14,89.97,89.97,89.67,89.91,4490
8-Oct-14,89.68,90.10,89.48,90.06,10355
7-Oct-14,89.53,89.83,89.53,89.70,5273
6-Oct-14,88.83,89.56,88.83,89.51,29712
3-Oct-14,88.66,88.76,88.49,88.54,8327
2-Oct-14,89.62,89.83,89.35,89.83,7452
1-Oct-14,89.12,89.43,89.12,89.37,7400
30-Sep-14,89.14,89.39,89.01,89.30,6732
29-Sep-14,89.54,89.78,89.47,89.55,9781
26-Sep-14,89.76,89.76,89.56,89.60,36947
25-Sep-14,90.04,90.18,90.01,90.01,2558
24-Sep-14,90.45,90.45,90.17,90.33,3347
23-Sep-14,90.71,90.72,90.47,90.49,6103
22-Sep-14,90.56,90.72,90.36,90.65,12451
19-Sep-14,91.36,91.36,90.46,90.64,5387
18-Sep-14,90.79,91.15,90.79,91.06,4168
17-Sep-14,91.36,91.43,90.71,90.71,35208
16-Sep-14,91.22,91.53,91.22,91.52,12755
15-Sep-14,91.15,91.36,91.11,91.15,34349
12-Sep-14,91.14,91.34,91.12,91.17,23144
11-Sep-14,91.35,91.58,91.25,91.34,4239
10-Sep-14,91.48,91.55,91.33,91.54,12345
9-Sep-14,91.47,91.79,91.45,91.79,34730
8-Sep-14,92.07,92.07,91.52,91.73,22293
5-Sep-14,92.21,92.31,92.06,92.27,7018
4-Sep-14,92.65,92.65,91.92,92.23,12672
3-Sep-14,92.80,93.07,92.78,92.90,5368
2-Sep-14,93.09,93.09,92.77,92.95,7638
29-Aug-14,93.32,93.32,93.05,93.11,8780
28-Aug-14,93.43,93.58,93.24,93.58,4997
