Date,Open,High,Low,Close,Volume
23-Oct-14,129.99,129.99,129.99,129.99,288
21-Oct-14,131.99,131.99,131.99,131.99,840
20-Oct-14,143.98,143.98,143.98,143.98,325
17-Oct-14,131.59,131.59,120.50,120.50,762
16-Oct-14,129.79,129.79,129.79,129.79,445
15-Oct-14,113.68,124.56,113.68,121.13,981
14-Oct-14,124.74,124.97,124.70,124.97,932
13-Oct-14,115.76,115.76,115.76,115.76,437
10-Oct-14,112.62,116.37,112.62,114.46,1161
9-Oct-14,117.18,117.18,117.18,117.18,534
8-Oct-14,118.99,118.99,115.22,115.22,839
7-Oct-14,114.02,117.00,114.02,114.05,654
6-Oct-14,115.00,118.98,115.00,116.06,730
3-Oct-14,118.00,118.00,118.00,118.00,422
2-Oct-14,121.93,121.93,121.93,121.93,403
1-Oct-14,118.48,125.00,113.31,120.01,875
30-Sep-14,120.49,125.31,118.00,122.16,1444
29-Sep-14,121.66,129.19,120.93,129.19,688
26-Sep-14,129.67,129.67,128.79,129.67,915
25-Sep-14,126.00,126.00,117.51,117.51,613
24-Sep-14,129.00,129.00,129.00,129.00,584
23-Sep-14,125.01,129.94,121.00,121.00,2825
22-Sep-14,129.00,129.23,126.47,128.55,3927
19-Sep-14,119.33,130.90,116.16,130.90,4837
18-Sep-14,111.02,120.02,111.02,119.89,1286
17-Sep-14,112.05,113.00,109.00,111.02,1534
16-Sep-14,114.30,114.30,114.00,114.00,1007
15-Sep-14,118.00,118.00,113.10,115.00,4080
12-Sep-14,115.02,119.98,115.02,115.11,1458
11-Sep-14,118.50,118.99,118.00,118.00,1886
10-Sep-14,118.00,121.99,118.00,121.99,990
9-Sep-14,120.00,120.02,117.25,118.45,4928
5-Sep-14,123.80,124.40,120.00,124.40,1634
4-Sep-14,123.80,123.80,123.80,123.80,443
3-Sep-14,131.00,131.00,131.00,131.00,256
2-Sep-14,124.90,124.90,124.90,124.90,572
29-Aug-14,123.00,125.99,123.00,125.99,866
28-Aug-14,128.14,128.14,125.00,125.00,859
27-Aug-14,126.55,126.55,126.55,126.55,164
26-Aug-14,116.68,125.25,116.68,125.25,831
25-Aug-14,118.00,127.11,118.00,120.18,2741
22-Aug-14,118.99,118.99,118.99,118.99,378
21-Aug-14,114.98,117.49,114.98,117.49,2209
19-Aug-14,115.27,115.27,115.27,115.27,357
18-Aug-14,120.90,120.90,120.90,120.90,268
15-Aug-14,120.00,120.00,115.00,115.00,753
14-Aug-14,115.00,115.00,115.00,115.00,401
13-Aug-14,117.23,117.23,115.00,115.00,927
12-Aug-14,118.66,119.59,118.66,119.59,331
11-Aug-14,122.44,122.44,122.44,122.44,504
8-Aug-14,116.05,116.05,116.05,116.05,520
7-Aug-14,119.00,119.00,119.00,119.00,530
6-Aug-14,115.86,115.86,115.86,115.86,342
5-Aug-14,123.80,123.80,119.00,119.00,913
4-Aug-14,114.00,123.82,114.00,117.06,1116
1-Aug-14,110.12,110.12,110.12,110.12,699
31-Jul-14,122.30,125.46,122.30,125.46,1389
25-Jul-14,123.00,123.00,123.00,123.00,591
24-Jul-14,125.00,125.00,125.00,125.00,248
23-Jul-14,123.10,126.01,123.10,126.01,721
22-Jul-14,126.02,132.96,126.02,132.96,508
21-Jul-14,123.00,133.00,123.00,133.00,768
18-Jul-14,123.13,132.71,123.13,132.71,768
17-Jul-14,124.05,124.05,124.05,124.05,277
16-Jul-14,123.00,126.35,123.00,126.35,512
15-Jul-14,125.98,125.98,125.98,125.98,261
14-Jul-14,125.00,127.99,125.00,127.99,743
11-Jul-14,123.00,123.00,123.00,123.00,231
10-Jul-14,132.89,133.00,124.41,124.41,860
9-Jul-14,125.30,125.30,125.30,125.30,304
8-Jul-14,133.00,133.00,128.29,128.29,686
7-Jul-14,127.23,127.80,125.30,125.30,876
3-Jul-14,120.30,122.40,120.30,122.40,757
1-Jul-14,126.29,126.29,121.50,122.35,3032
30-Jun-14,134.76,134.76,127.01,127.12,1665
27-Jun-14,128.67,129.79,127.00,128.34,6266
26-Jun-14,121.65,127.08,121.65,127.08,2143
25-Jun-14,125.45,125.45,122.67,122.67,1229
24-Jun-14,126.67,130.00,126.67,126.78,1486
23-Jun-14,127.20,132.79,127.20,131.72,1799
20-Jun-14,137.64,137.93,135.94,137.93,2830
19-Jun-14,132.92,135.96,131.00,131.89,1348
18-Jun-14,133.02,133.02,133.02,133.02,426
17-Jun-14,140.13,141.32,133.00,133.00,6435
13-Jun-14,140.00,140.00,140.00,140.00,295
12-Jun-14,138.31,141.00,138.31,141.00,552
9-Jun-14,137.88,146.00,137.88,145.99,6959
6-Jun-14,132.72,132.72,132.72,132.72,416
5-Jun-14,127.26,129.00,127.26,129.00,687
3-Jun-14,130.00,130.80,128.50,128.50,709
2-Jun-14,130.95,130.95,130.95,130.95,410
30-May-14,130.73,130.73,125.85,127.20,1818
29-May-14,130.75,130.75,130.75,130.75,324
27-May-14,128.70,128.70,128.70,128.70,500
23-May-14,127.40,127.40,127.40,127.40,644
22-May-14,125.10,125.10,125.00,125.00,648
21-May-14,125.50,125.60,125.50,125.60,795
20-May-14,126.10,127.00,125.00,125.19,2407
19-May-14,127.89,127.89,127.89,127.89,375
16-May-14,128.30,128.30,126.48,126.48,853
15-May-14,125.35,125.35,122.52,124.36,2433
14-May-14,125.00,126.93,125.00,125.05,1878
13-May-14,123.10,126.90,122.00,126.90,3569
12-May-14,122.45,122.99,122.45,122.99,973
9-May-14,119.98,122.00,117.01,120.06,2418
8-May-14,121.00,121.00,120.00,120.00,1610
7-May-14,120.01,120.01,120.01,120.01,991
6-May-14,121.10,123.50,116.00,120.01,2074
5-May-14,121.16,121.16,121.16,121.16,371
2-May-14,121.51,121.51,121.51,121.51,641
1-May-14,129.00,129.00,120.13,123.88,4090
30-Apr-14,132.00,132.00,129.09,130.00,1728
29-Apr-14,136.85,136.85,132.23,132.42,997
28-Apr-14,130.01,136.80,130.01,132.25,565
25-Apr-14,133.45,133.45,133.45,133.45,471
24-Apr-14,141.00,141.00,133.60,136.60,1140
23-Apr-14,138.30,139.47,136.65,137.80,830
22-Apr-14,137.97,138.19,131.13,137.25,2625
21-Apr-14,136.80,136.80,136.00,136.00,343
17-Apr-14,133.00,134.90,133.00,134.90,500
16-Apr-14,133.90,134.00,133.90,134.00,589
15-Apr-14,131.98,131.98,131.98,131.98,262
14-Apr-14,130.04,135.93,129.60,129.60,1032
11-Apr-14,133.49,133.56,128.11,128.11,866
10-Apr-14,136.00,136.00,129.20,129.20,1054
9-Apr-14,129.50,132.85,129.50,132.85,1606
8-Apr-14,127.95,129.80,127.95,129.24,1192
7-Apr-14,126.99,130.90,125.01,125.01,3813
4-Apr-14,129.50,129.50,126.00,126.00,1011
3-Apr-14,128.30,128.30,128.30,128.30,525
1-Apr-14,128.60,130.99,128.60,130.99,479
31-Mar-14,131.98,134.24,130.98,132.51,1845
28-Mar-14,134.95,134.95,130.63,130.63,1204
27-Mar-14,135.83,136.00,134.00,134.15,1471
26-Mar-14,136.25,136.25,136.25,136.25,730
25-Mar-14,140.00,141.75,137.00,141.75,2265
24-Mar-14,137.99,139.00,137.00,137.55,1516
21-Mar-14,138.00,143.15,138.00,142.69,1744
20-Mar-14,134.16,143.92,134.16,141.00,2996
19-Mar-14,144.80,145.00,144.80,145.00,458
18-Mar-14,140.80,141.99,140.80,141.99,849
17-Mar-14,140.00,142.49,138.50,142.49,1167
14-Mar-14,141.00,142.00,138.20,138.20,4161
13-Mar-14,143.00,143.54,139.10,139.10,1570
12-Mar-14,143.05,143.50,139.02,142.35,3345
11-Mar-14,143.80,143.80,143.15,143.15,642
10-Mar-14,141.06,145.40,140.05,144.20,1315
7-Mar-14,145.60,145.96,137.18,143.50,1295
6-Mar-14,144.50,144.50,143.01,143.01,816
5-Mar-14,142.49,144.00,142.49,143.92,943
4-Mar-14,144.40,146.00,142.05,145.37,4081
