Date,Open,High,Low,Close,Volume
10-Oct-14,10.35,10.40,10.32,10.36,900
29-Sep-14,10.32,10.44,10.32,10.44,5957
25-Sep-14,10.39,10.42,10.39,10.42,3471
24-Sep-14,10.38,10.47,10.38,10.45,14868
16-Sep-14,10.38,10.38,10.36,10.36,205
12-Sep-14,10.34,10.42,10.34,10.41,3500
10-Sep-14,10.42,10.51,10.38,10.38,7584
9-Sep-14,10.58,10.58,10.38,10.38,3200
8-Sep-14,10.38,10.50,10.38,10.50,2200
5-Sep-14,10.40,10.46,10.40,10.40,3902
4-Sep-14,10.40,10.85,10.31,10.35,26408
3-Sep-14,10.30,10.32,10.29,10.29,14600
25-Jul-14,10.30,10.30,10.30,10.30,300
8-Jul-14,10.40,10.60,10.40,10.60,3202
30-Jun-14,10.00,10.58,10.00,10.56,11900
26-Jun-14,10.50,10.52,10.50,10.50,398
19-Jun-14,10.70,10.70,10.70,10.70,200
18-Jun-14,10.15,10.56,10.15,10.56,200
12-Jun-14,10.35,10.50,10.35,10.50,2698
6-Jun-14,10.41,10.51,10.41,10.51,600
5-Jun-14,10.49,10.49,10.49,10.49,4600
4-Jun-14,10.58,10.58,10.40,10.48,15992
29-May-14,10.60,10.60,10.48,10.48,1300
21-May-14,10.69,10.69,10.51,10.51,500
19-May-14,10.38,10.55,10.38,10.47,3202
16-May-14,10.35,10.55,10.28,10.50,6200
14-May-14,10.57,10.57,10.50,10.50,200
13-May-14,10.50,10.60,10.50,10.50,1504
8-May-14,10.50,10.50,10.46,10.46,200
7-May-14,10.47,10.50,10.47,10.50,2500
6-May-14,10.45,10.45,10.45,10.45,251
5-May-14,10.50,10.65,10.42,10.49,35450
2-May-14,10.53,10.90,10.50,10.50,30200
1-May-14,11.00,11.75,10.61,10.61,1435
29-Apr-14,10.40,10.68,10.40,10.50,6764
28-Apr-14,10.45,10.45,10.40,10.40,1200
25-Apr-14,10.31,10.70,10.31,10.43,71300
24-Apr-14,10.40,10.65,10.40,10.50,41584
17-Apr-14,10.35,10.45,10.35,10.45,1100
16-Apr-14,10.36,10.50,10.36,10.50,400
15-Apr-14,10.30,10.45,10.28,10.40,72640
11-Apr-14,10.39,10.39,10.38,10.38,1240
10-Apr-14,10.39,10.39,10.38,10.39,1120
9-Apr-14,10.34,10.57,10.33,10.38,17440
8-Apr-14,10.44,10.44,10.41,10.43,300
7-Apr-14,10.43,10.80,10.40,10.40,48916
4-Apr-14,10.47,10.70,10.46,10.48,28319
3-Apr-14,10.51,10.51,10.51,10.51,300
2-Apr-14,10.49,10.59,10.45,10.46,11885
1-Apr-14,10.41,11.56,10.41,10.58,148415
26-Mar-14,10.39,10.53,10.39,10.50,19000
24-Mar-14,10.38,10.45,10.38,10.42,22300
21-Mar-14,10.40,10.42,10.35,10.35,71940
20-Mar-14,10.37,10.48,10.36,10.39,58460
19-Mar-14,10.42,10.58,10.40,10.40,93800
18-Mar-14,10.47,10.49,10.39,10.39,91856
17-Mar-14,10.40,10.55,10.35,10.39,143618
3-Mar-14,10.36,10.62,10.36,10.46,4458
14-Feb-14,10.59,10.62,10.59,10.62,1688
10-Feb-14,10.46,10.51,10.46,10.51,1500
7-Feb-14,10.50,10.68,10.50,10.57,10016
6-Feb-14,10.49,10.62,10.47,10.48,44271
5-Feb-14,10.48,10.56,10.46,10.56,18034
4-Feb-14,10.49,10.64,10.48,10.54,25136
3-Feb-14,10.48,10.64,10.45,10.53,40419
31-Jan-14,10.48,10.58,10.48,10.48,6200
29-Jan-14,10.41,10.67,10.41,10.50,5050
27-Jan-14,11.60,11.60,10.62,10.62,398
24-Jan-14,11.71,11.71,10.34,10.34,983
22-Jan-14,10.83,10.89,10.00,10.33,20164
21-Jan-14,11.01,11.50,11.01,11.50,8179
17-Jan-14,10.87,11.80,10.70,11.30,45225
16-Jan-14,10.55,11.50,10.55,11.11,10481
15-Jan-14,10.60,10.95,10.00,10.36,77491
14-Jan-14,10.60,10.60,10.33,10.47,166800
31-Dec-13,11.00,11.00,10.62,10.63,800
24-Dec-13,10.30,10.30,10.29,10.29,5000
23-Dec-13,10.30,10.30,10.26,10.28,7200
20-Dec-13,10.30,10.30,10.30,10.30,5000
19-Dec-13,10.32,10.32,10.30,10.30,5600
5-Dec-13,10.30,10.30,10.30,10.30,250
19-Nov-13,10.33,10.33,10.30,10.30,2100
8-Nov-13,10.40,10.40,10.30,10.35,3600
24-Oct-13,10.32,10.32,10.32,10.32,500
23-Oct-13,10.35,10.40,10.35,10.40,8200
26-Sep-13,10.25,10.25,10.25,10.25,200
9-Aug-13,10.25,10.29,10.25,10.29,320
25-Jul-13,10.25,10.25,10.25,10.25,200
28-Jun-13,10.27,10.27,10.27,10.27,200
17-Jun-13,10.28,10.28,10.28,10.28,300
7-Jun-13,10.19,10.50,10.19,10.40,1111
31-May-13,10.22,10.28,10.22,10.28,19964
28-May-13,10.00,10.20,10.00,10.20,200
17-May-13,10.15,10.15,10.15,10.15,6400
14-May-13,10.15,10.15,10.15,10.15,4400
13-May-13,10.15,10.15,10.15,10.15,5400
7-May-13,10.26,10.26,10.26,10.26,900
6-May-13,10.15,10.22,10.15,10.22,5100
2-May-13,10.15,10.15,10.15,10.15,1700
1-May-13,10.15,10.18,10.15,10.16,6300
30-Apr-13,10.15,10.20,10.15,10.20,8200
29-Apr-13,10.11,10.25,10.10,10.25,10500
24-Apr-13,10.20,10.30,10.20,10.23,8600
8-Apr-13,10.20,10.20,10.20,10.20,9500
2-Apr-13,10.14,10.20,10.07,10.07,29300
28-Mar-13,10.14,10.14,10.14,10.14,1200
8-Mar-13,10.07,10.07,10.07,10.07,100
25-Feb-13,10.05,10.05,10.05,10.05,1200
14-Feb-13,10.05,10.05,10.05,10.05,325
31-Jan-13,10.16,10.16,10.16,10.16,100
30-Jan-13,10.23,10.25,10.06,10.06,2225
28-Jan-13,10.05,10.05,10.05,10.05,100
15-Jan-13,10.04,10.04,10.04,10.04,100
10-Jan-13,10.03,10.03,10.03,10.03,100
31-Dec-12,10.19,10.19,10.19,10.19,1000
13-Dec-12,10.02,10.02,10.02,10.02,1500
11-Dec-12,10.03,10.03,10.02,10.02,1400
7-Dec-12,10.04,10.04,10.03,10.03,1200
29-Nov-12,10.30,11.00,10.08,10.09,11500
28-Nov-12,10.10,10.10,10.10,10.10,23400
27-Nov-12,10.03,10.03,10.03,10.03,100
26-Nov-12,10.09,10.09,10.09,10.09,100
21-Nov-12,10.07,10.10,10.07,10.10,8600
20-Nov-12,-,-,-,10.02,0
19-Nov-12,-,-,-,10.02,0
16-Nov-12,-,-,-,10.02,0
15-Nov-12,10.07,10.07,10.07,10.07,400
14-Nov-12,-,-,-,10.02,0
13-Nov-12,-,-,-,10.02,0
