Date,Open,High,Low,Close,Volume
23-Oct-14,8.90,8.99,6.90,6.95,9753600
22-Oct-14,8.01,8.15,7.83,7.96,1062275
21-Oct-14,8.05,8.10,7.94,7.95,373221
20-Oct-14,7.88,8.10,7.83,8.00,622474
17-Oct-14,8.06,8.20,7.88,7.90,689880
16-Oct-14,7.75,8.00,7.58,7.95,1015941
15-Oct-14,7.78,7.92,7.55,7.83,494745
14-Oct-14,7.83,8.00,7.77,7.81,526446
13-Oct-14,7.88,7.97,7.79,7.80,618103
10-Oct-14,7.82,7.98,7.59,7.86,712677
9-Oct-14,7.98,8.04,7.76,7.87,423180
8-Oct-14,7.68,7.98,7.61,7.96,590875
7-Oct-14,7.65,7.72,7.47,7.66,505007
6-Oct-14,7.75,7.99,7.51,7.66,851203
3-Oct-14,7.27,7.54,7.25,7.51,526893
2-Oct-14,6.98,7.27,6.98,7.25,465488
1-Oct-14,7.07,7.20,6.98,7.00,275173
30-Sep-14,7.17,7.25,7.03,7.10,518274
29-Sep-14,6.65,6.98,6.61,6.89,188049
26-Sep-14,6.61,6.82,6.61,6.73,169241
25-Sep-14,6.72,6.79,6.46,6.61,333362
24-Sep-14,6.86,6.88,6.61,6.70,804069
23-Sep-14,6.85,6.94,6.76,6.83,327428
22-Sep-14,6.68,6.88,6.60,6.85,229434
19-Sep-14,6.91,6.93,6.68,6.70,231769
18-Sep-14,6.88,6.93,6.78,6.90,151992
17-Sep-14,6.75,6.99,6.66,6.85,255307
16-Sep-14,6.71,6.89,6.47,6.72,542848
15-Sep-14,6.99,7.07,6.68,6.75,573087
12-Sep-14,7.10,7.19,6.99,7.00,388694
11-Sep-14,7.14,7.30,7.09,7.10,275485
10-Sep-14,7.13,7.29,7.05,7.18,365666
9-Sep-14,7.21,7.21,7.02,7.16,167229
8-Sep-14,7.07,7.33,7.07,7.20,241269
5-Sep-14,6.95,7.15,6.91,7.07,340944
4-Sep-14,6.92,7.09,6.92,6.98,232489
3-Sep-14,7.01,7.21,6.90,6.92,345310
2-Sep-14,6.79,7.00,6.72,6.97,366693
29-Aug-14,6.60,6.80,6.60,6.78,167924
28-Aug-14,6.70,6.72,6.57,6.60,149393
27-Aug-14,6.70,6.85,6.70,6.75,156031
26-Aug-14,6.58,6.68,6.50,6.68,192163
25-Aug-14,6.61,6.74,6.58,6.59,275269
22-Aug-14,6.63,6.66,6.58,6.61,141971
21-Aug-14,6.76,6.77,6.51,6.66,406034
20-Aug-14,6.70,6.82,6.60,6.79,322115
19-Aug-14,6.59,6.72,6.58,6.70,182520
18-Aug-14,6.51,6.62,6.41,6.57,252959
15-Aug-14,6.60,6.66,6.36,6.42,242609
14-Aug-14,6.74,6.85,6.35,6.55,881312
13-Aug-14,6.47,6.60,6.29,6.34,383316
12-Aug-14,6.52,6.64,6.32,6.48,323074
11-Aug-14,6.51,6.71,6.44,6.54,235348
8-Aug-14,6.60,6.72,6.41,6.50,387232
7-Aug-14,6.77,6.95,6.60,6.62,372656
6-Aug-14,6.55,6.82,6.46,6.78,551115
5-Aug-14,6.47,6.58,6.31,6.52,383654
4-Aug-14,6.47,6.65,6.44,6.51,518296
1-Aug-14,6.25,6.52,6.23,6.47,454195
31-Jul-14,6.25,6.58,6.23,6.24,517335
30-Jul-14,6.55,6.61,6.31,6.48,757381
29-Jul-14,6.49,6.58,6.35,6.51,396546
28-Jul-14,7.08,7.19,6.49,6.50,1319784
25-Jul-14,7.21,7.28,7.00,7.06,546251
24-Jul-14,7.21,7.54,7.06,7.21,893331
23-Jul-14,8.06,8.17,7.09,7.19,2971310
22-Jul-14,8.00,8.40,7.99,8.34,654102
21-Jul-14,7.94,8.17,7.91,7.96,436596
18-Jul-14,7.97,8.13,7.91,7.96,311659
17-Jul-14,7.90,8.22,7.90,8.00,349389
16-Jul-14,8.24,8.32,8.03,8.08,277121
15-Jul-14,8.39,8.53,8.17,8.22,407651
14-Jul-14,8.33,8.58,8.27,8.39,477283
11-Jul-14,7.92,8.34,7.88,8.30,418063
10-Jul-14,7.71,7.91,7.66,7.89,244024
9-Jul-14,7.92,7.99,7.78,7.81,272210
8-Jul-14,7.93,8.06,7.75,7.93,339511
7-Jul-14,8.16,8.24,7.93,7.95,317516
3-Jul-14,8.06,8.28,8.06,8.20,156042
2-Jul-14,7.80,8.36,7.78,8.04,969097
1-Jul-14,7.98,8.05,7.75,7.82,558917
30-Jun-14,8.00,8.10,7.71,7.74,831949
27-Jun-14,7.80,8.02,7.80,8.02,2696111
26-Jun-14,7.74,8.05,7.63,7.80,601259
25-Jun-14,7.79,7.79,7.56,7.68,873930
24-Jun-14,7.94,8.11,7.82,7.95,404710
23-Jun-14,7.80,7.94,7.68,7.91,589184
20-Jun-14,7.66,7.82,7.46,7.81,1138342
19-Jun-14,7.79,7.80,7.60,7.68,295679
18-Jun-14,7.75,7.91,7.72,7.79,405025
17-Jun-14,7.59,7.85,7.57,7.78,200927
16-Jun-14,7.49,7.69,7.40,7.57,387413
13-Jun-14,7.63,7.69,7.35,7.45,328444
12-Jun-14,7.68,7.73,7.52,7.59,361637
11-Jun-14,7.77,7.91,7.61,7.63,330576
10-Jun-14,7.89,8.00,7.77,7.82,527950
9-Jun-14,7.43,8.30,7.32,7.88,1685854
6-Jun-14,7.71,7.71,7.39,7.51,802034
5-Jun-14,7.54,7.69,7.17,7.31,920618
4-Jun-14,7.70,7.75,7.52,7.56,2253824
3-Jun-14,8.38,8.38,7.64,7.71,3548722
2-Jun-14,8.86,8.97,8.50,8.58,302538
30-May-14,8.52,8.90,8.52,8.83,576910
29-May-14,8.55,8.59,8.50,8.51,153510
28-May-14,8.50,8.61,8.44,8.56,112955
27-May-14,8.63,8.82,8.42,8.53,168594
23-May-14,8.41,8.63,8.38,8.63,238314
22-May-14,8.20,8.46,8.10,8.43,153797
21-May-14,7.99,8.25,7.94,8.22,275256
20-May-14,8.04,8.25,7.84,7.90,235842
19-May-14,8.11,8.23,8.00,8.08,136723
16-May-14,8.28,8.34,8.01,8.16,175360
15-May-14,8.29,8.38,8.03,8.23,350516
14-May-14,8.62,8.68,8.34,8.36,267106
13-May-14,8.77,8.92,8.60,8.67,247748
12-May-14,8.67,8.89,8.52,8.81,288538
9-May-14,8.54,8.71,8.50,8.69,147473
8-May-14,8.70,8.84,8.56,8.59,252414
7-May-14,8.73,8.87,8.52,8.75,264898
6-May-14,8.84,9.07,8.64,8.76,253480
5-May-14,8.86,9.02,8.79,8.87,228882
2-May-14,9.04,9.18,8.81,8.93,300992
1-May-14,8.75,9.05,8.56,9.00,503205
30-Apr-14,8.78,9.00,8.65,8.76,402394
29-Apr-14,8.94,9.02,8.70,8.82,240902
28-Apr-14,8.87,8.97,8.66,8.91,387205
25-Apr-14,8.86,8.89,8.43,8.82,239001
24-Apr-14,8.35,9.00,8.31,8.90,505399
23-Apr-14,9.11,9.17,8.19,8.31,826010
22-Apr-14,9.16,9.21,8.88,9.17,643828
21-Apr-14,9.43,9.48,9.11,9.16,555177
17-Apr-14,8.73,9.10,8.61,8.98,418273
16-Apr-14,8.62,8.78,8.30,8.76,310388
15-Apr-14,8.43,8.60,8.15,8.59,235997
14-Apr-14,8.35,8.62,8.22,8.43,414145
11-Apr-14,7.90,8.29,7.61,8.28,1043882
10-Apr-14,7.22,7.70,7.18,7.53,563503
9-Apr-14,7.13,7.27,7.09,7.21,377947
8-Apr-14,7.10,7.27,7.10,7.12,122020
7-Apr-14,7.18,7.23,6.92,7.11,365680
4-Apr-14,7.23,7.24,6.98,7.21,236125
3-Apr-14,7.18,7.30,7.11,7.20,157549
2-Apr-14,7.30,7.39,7.08,7.17,198828
1-Apr-14,7.21,7.38,7.21,7.32,125272
31-Mar-14,7.08,7.34,7.05,7.22,559054
28-Mar-14,7.03,7.20,6.86,7.08,201459
27-Mar-14,7.04,7.12,7.00,7.05,110535
26-Mar-14,7.23,7.24,7.03,7.05,165274
25-Mar-14,7.22,7.27,7.11,7.17,118204
24-Mar-14,7.22,7.30,7.18,7.20,223806
21-Mar-14,7.20,7.29,7.14,7.23,362008
20-Mar-14,7.07,7.18,7.00,7.15,138785
19-Mar-14,7.11,7.24,7.07,7.09,234058
18-Mar-14,7.06,7.23,6.99,7.11,240005
17-Mar-14,7.18,7.23,7.03,7.05,229488
14-Mar-14,7.09,7.24,7.04,7.16,265776
13-Mar-14,7.16,7.33,7.03,7.12,274538
12-Mar-14,7.24,7.36,7.13,7.15,246030
11-Mar-14,7.34,7.41,7.16,7.26,331320
10-Mar-14,7.47,7.47,7.27,7.30,328062
7-Mar-14,7.27,7.55,7.26,7.45,1328512
6-Mar-14,7.29,7.30,7.10,7.24,200350
5-Mar-14,7.31,7.34,7.18,7.29,193897
4-Mar-14,7.23,7.35,7.21,7.30,309037
3-Mar-14,7.12,7.29,7.07,7.18,427424
28-Feb-14,7.25,7.32,7.05,7.16,379330
27-Feb-14,6.82,7.43,6.54,7.22,987953
26-Feb-14,6.50,7.30,6.50,7.27,3665446
25-Feb-14,5.84,6.19,5.82,5.90,523494
24-Feb-14,5.92,5.99,5.74,5.86,339470
21-Feb-14,5.84,5.99,5.75,5.93,307441
20-Feb-14,5.77,5.93,5.63,5.81,273414
19-Feb-14,5.75,5.87,5.75,5.79,722613
18-Feb-14,5.95,6.04,5.78,5.79,605550
14-Feb-14,5.98,6.03,5.83,5.96,220869
13-Feb-14,5.97,5.97,5.71,5.96,210200
12-Feb-14,5.90,6.01,5.87,5.95,176343
11-Feb-14,5.76,5.93,5.73,5.92,187473
10-Feb-14,5.50,5.75,5.45,5.73,266016
7-Feb-14,5.55,5.65,5.51,5.52,250966
6-Feb-14,5.57,5.61,5.50,5.55,161205
5-Feb-14,5.61,5.63,5.50,5.57,296705
4-Feb-14,5.68,5.72,5.53,5.64,161573
3-Feb-14,5.76,5.86,5.53,5.66,280785
31-Jan-14,5.79,5.99,5.74,5.76,437593
30-Jan-14,5.96,5.99,5.81,5.87,208305
29-Jan-14,5.98,6.02,5.80,5.91,298449
28-Jan-14,6.05,6.15,5.95,6.02,285110
27-Jan-14,6.20,6.25,6.02,6.05,212576
24-Jan-14,6.22,6.22,6.05,6.21,190387
23-Jan-14,6.27,6.28,6.16,6.27,151278
22-Jan-14,6.33,6.34,6.18,6.30,120716
21-Jan-14,6.36,6.36,6.21,6.30,162249
17-Jan-14,6.48,6.48,6.28,6.35,149864
16-Jan-14,6.35,6.51,6.26,6.48,280645
15-Jan-14,6.52,6.59,6.35,6.39,245178
14-Jan-14,6.64,6.70,6.45,6.51,252888
13-Jan-14,6.95,6.98,6.61,6.63,257260
10-Jan-14,6.84,7.03,6.79,6.95,213903
