Date,Open,High,Low,Close,Volume
23-Oct-14,10.58,10.71,10.50,10.71,115310
22-Oct-14,11.04,11.04,11.00,11.00,579
21-Oct-14,11.05,11.54,11.01,11.54,597
17-Oct-14,11.05,11.05,11.05,11.05,100
16-Oct-14,11.01,11.82,11.00,11.82,2539
15-Oct-14,10.78,11.20,10.75,11.20,700
14-Oct-14,10.58,10.96,10.58,10.75,2819
13-Oct-14,10.54,10.94,10.54,10.94,200
10-Oct-14,11.20,11.25,11.20,11.25,220
9-Oct-14,10.84,11.87,10.84,11.87,510
7-Oct-14,10.96,10.96,10.96,10.96,290
6-Oct-14,11.10,11.97,10.90,11.93,920
3-Oct-14,10.77,11.00,10.77,11.00,1775
30-Sep-14,10.79,10.79,10.79,10.79,100
29-Sep-14,10.50,10.75,10.50,10.75,1581
26-Sep-14,11.01,11.01,10.69,10.90,4595
25-Sep-14,10.58,10.85,10.58,10.85,6975
24-Sep-14,10.80,10.95,10.21,10.21,500
23-Sep-14,10.75,10.75,10.75,10.75,226
22-Sep-14,10.81,11.01,10.43,11.01,11249
19-Sep-14,10.70,10.98,10.61,10.98,11365
18-Sep-14,10.70,10.70,10.65,10.65,536
16-Sep-14,10.69,10.89,10.69,10.70,5512
15-Sep-14,10.67,10.77,10.66,10.70,4200
11-Sep-14,10.65,10.65,10.65,10.65,1008
10-Sep-14,10.75,10.80,10.75,10.75,4231
9-Sep-14,10.70,10.78,10.65,10.75,4315
8-Sep-14,10.50,10.61,10.50,10.55,16257
5-Sep-14,10.27,10.55,10.25,10.35,35755
4-Sep-14,10.20,10.20,10.20,10.20,100
3-Sep-14,10.35,10.35,9.99,10.24,6287
2-Sep-14,10.35,10.35,10.35,10.35,1279
29-Aug-14,10.35,10.36,10.35,10.35,3270
22-Aug-14,10.40,10.40,10.35,10.35,1325
21-Aug-14,10.40,10.42,10.38,10.38,2919
20-Aug-14,10.40,10.42,10.40,10.42,1150
15-Aug-14,10.40,10.40,10.40,10.40,372
14-Aug-14,10.40,10.46,10.40,10.40,7562
13-Aug-14,10.40,10.40,10.40,10.40,344
12-Aug-14,10.40,10.43,10.40,10.42,2535
11-Aug-14,10.45,10.45,10.40,10.40,4212
8-Aug-14,10.45,10.47,10.45,10.45,1640
7-Aug-14,10.46,10.46,10.46,10.46,407
5-Aug-14,10.45,10.45,10.45,10.45,311
4-Aug-14,10.45,10.45,10.45,10.45,1418
1-Aug-14,10.50,10.50,10.50,10.50,121
31-Jul-14,10.45,10.49,10.35,10.49,3545
30-Jul-14,10.50,10.50,10.46,10.50,1220
29-Jul-14,10.39,10.73,10.37,10.73,2014
28-Jul-14,10.26,10.26,10.26,10.26,170
25-Jul-14,10.06,10.06,9.90,9.93,1690
23-Jul-14,10.55,10.60,10.55,10.60,900
22-Jul-14,10.55,10.55,10.55,10.55,100
21-Jul-14,10.86,10.86,10.55,10.55,6301
18-Jul-14,10.55,10.55,10.55,10.55,110
17-Jul-14,10.55,10.55,10.55,10.55,100
16-Jul-14,10.55,10.55,10.55,10.55,435
15-Jul-14,10.65,10.65,10.55,10.55,1880
14-Jul-14,10.68,10.68,10.50,10.59,7350
10-Jul-14,10.42,10.42,10.42,10.42,100
9-Jul-14,10.40,10.94,10.35,10.94,1010
8-Jul-14,10.52,10.52,10.45,10.45,1300
3-Jul-14,10.44,10.44,10.44,10.44,300
2-Jul-14,10.72,10.72,10.50,10.50,690
1-Jul-14,10.56,10.56,10.55,10.55,4102
30-Jun-14,10.52,10.52,10.50,10.50,259
27-Jun-14,10.60,10.65,10.50,10.60,2464
26-Jun-14,10.60,10.60,10.59,10.59,1100
25-Jun-14,10.60,10.60,10.55,10.55,2115
24-Jun-14,10.51,10.56,10.50,10.51,5071
23-Jun-14,10.49,10.52,10.45,10.50,6440
18-Jun-14,10.40,10.40,10.08,10.25,9171
17-Jun-14,10.49,10.50,10.40,10.40,4488
16-Jun-14,10.59,10.59,10.45,10.50,3182
13-Jun-14,9.40,11.78,9.40,11.78,7141
11-Jun-14,10.35,10.35,10.35,10.35,850
9-Jun-14,10.44,10.44,10.40,10.40,1074
6-Jun-14,10.46,10.46,10.45,10.45,1089
4-Jun-14,10.44,10.44,10.44,10.44,100
3-Jun-14,10.45,10.50,10.45,10.50,1000
2-Jun-14,10.49,10.50,10.47,10.49,2430
30-May-14,10.00,10.40,10.00,10.40,6951
29-May-14,10.10,10.10,10.10,10.10,100
28-May-14,10.15,10.15,10.00,10.00,1479
23-May-14,10.25,10.36,10.05,10.24,5145
22-May-14,10.25,10.25,9.89,10.15,1391
21-May-14,10.31,10.31,10.31,10.31,100
19-May-14,10.30,10.40,10.30,10.40,385
16-May-14,10.30,10.30,10.25,10.25,660
15-May-14,10.30,10.30,10.30,10.30,915
14-May-14,10.35,10.35,10.35,10.35,1294
12-May-14,10.41,10.41,10.40,10.40,600
9-May-14,10.40,10.43,10.40,10.40,714
8-May-14,10.30,10.72,10.25,10.50,7199
7-May-14,10.10,10.10,10.10,10.10,530
6-May-14,10.25,10.26,9.51,10.15,2747
5-May-14,10.25,10.25,10.25,10.25,426
1-May-14,10.36,10.40,10.25,10.25,5042
30-Apr-14,10.30,10.30,10.30,10.30,338
29-Apr-14,10.40,10.40,10.30,10.30,2212
28-Apr-14,10.25,10.39,10.25,10.39,1507
25-Apr-14,10.17,10.42,9.07,10.18,3698
24-Apr-14,10.40,10.40,10.35,10.35,1231
23-Apr-14,10.45,10.50,10.45,10.45,1259
22-Apr-14,10.45,10.45,10.45,10.45,150
21-Apr-14,10.45,10.45,10.45,10.45,576
16-Apr-14,10.45,10.45,10.45,10.45,399
15-Apr-14,10.50,10.52,7.45,10.50,2828
14-Apr-14,10.50,10.55,10.50,10.55,901
11-Apr-14,10.51,10.51,10.49,10.49,2719
10-Apr-14,10.50,10.50,10.48,10.48,3404
9-Apr-14,10.25,10.50,10.25,10.50,5624
8-Apr-14,10.39,10.39,10.35,10.35,1010
7-Apr-14,10.40,10.40,10.40,10.40,661
4-Apr-14,10.52,10.52,10.50,10.50,1000
3-Apr-14,10.50,10.50,10.50,10.50,603
2-Apr-14,10.68,10.68,10.68,10.68,222
1-Apr-14,10.50,10.80,10.50,10.80,3659
31-Mar-14,10.55,10.60,10.50,10.50,1384
28-Mar-14,10.80,10.80,10.40,10.56,19091
27-Mar-14,10.93,10.93,10.93,10.93,545
25-Mar-14,10.82,10.82,10.80,10.80,900
24-Mar-14,10.86,10.86,10.80,10.80,1205
21-Mar-14,10.85,10.86,10.85,10.86,362
20-Mar-14,10.81,10.86,10.80,10.86,511
18-Mar-14,10.65,10.90,10.41,10.90,21990
17-Mar-14,10.70,10.70,10.65,10.65,2603
14-Mar-14,10.71,10.71,10.71,10.71,100
12-Mar-14,10.80,10.80,10.45,10.70,7379
10-Mar-14,10.81,10.81,10.81,10.81,100
6-Mar-14,10.85,10.85,10.85,10.85,1255
5-Mar-14,10.81,10.86,10.80,10.80,2511
4-Mar-14,10.81,10.81,10.80,10.80,665
3-Mar-14,10.80,10.80,10.75,10.75,1239
28-Feb-14,11.00,11.00,10.90,10.90,2300
27-Feb-14,11.00,11.10,11.00,11.00,435
26-Feb-14,11.00,11.00,10.90,10.93,566
25-Feb-14,10.86,11.02,10.85,11.00,5825
20-Feb-14,10.76,11.25,10.75,11.25,359
19-Feb-14,10.70,10.70,10.70,10.70,1025
18-Feb-14,10.75,10.77,10.70,10.70,3560
14-Feb-14,11.06,11.09,11.00,11.00,46211
13-Feb-14,11.05,11.05,11.05,11.05,1000
12-Feb-14,11.22,11.22,11.10,11.12,1500
11-Feb-14,11.05,11.05,11.05,11.05,100
10-Feb-14,11.05,11.10,11.05,11.10,2022
7-Feb-14,11.11,11.11,11.05,11.05,1010
6-Feb-14,11.05,11.07,11.05,11.05,3261
5-Feb-14,11.04,11.05,11.04,11.05,4105
4-Feb-14,11.18,11.18,11.05,11.05,2596
3-Feb-14,11.12,11.12,11.03,11.10,56219
31-Jan-14,11.12,11.12,11.12,11.12,7994
29-Jan-14,11.00,11.12,11.00,11.12,7090
27-Jan-14,11.57,11.57,11.05,11.05,1954
24-Jan-14,11.05,11.23,11.05,11.22,3874
23-Jan-14,11.05,11.05,11.05,11.05,133
22-Jan-14,11.07,11.07,11.06,11.06,210
21-Jan-14,11.12,11.30,11.03,11.05,5425
17-Jan-14,11.04,11.25,11.02,11.14,1176
16-Jan-14,11.01,11.25,11.00,11.02,1225
15-Jan-14,11.11,11.11,10.92,10.97,1610
14-Jan-14,10.86,11.37,10.86,11.37,1131
13-Jan-14,10.76,11.14,10.76,10.78,1315
