Date,Open,High,Low,Close,Volume
23-Oct-14,1.86,1.90,1.78,1.83,40416
22-Oct-14,1.83,1.90,1.75,1.84,55952
21-Oct-14,1.85,1.85,1.80,1.82,50858
20-Oct-14,1.81,1.86,1.75,1.81,35030
17-Oct-14,1.81,1.88,1.74,1.79,29609
16-Oct-14,1.82,1.88,1.77,1.81,87744
15-Oct-14,1.69,1.82,1.63,1.82,163062
14-Oct-14,1.69,1.70,1.66,1.69,56279
13-Oct-14,1.67,1.69,1.62,1.68,28265
10-Oct-14,1.61,1.67,1.60,1.67,39584
9-Oct-14,1.62,1.67,1.62,1.63,40837
8-Oct-14,1.66,1.66,1.58,1.66,36307
7-Oct-14,1.68,1.68,1.66,1.67,46944
6-Oct-14,1.62,1.66,1.59,1.65,72425
3-Oct-14,1.58,1.63,1.54,1.61,35318
2-Oct-14,1.58,1.60,1.52,1.56,42468
1-Oct-14,1.57,1.57,1.50,1.57,121356
30-Sep-14,1.62,1.62,1.54,1.55,31539
29-Sep-14,1.62,1.63,1.62,1.63,43971
26-Sep-14,1.67,1.69,1.62,1.64,30789
25-Sep-14,1.68,1.70,1.62,1.67,53774
24-Sep-14,1.67,1.69,1.60,1.67,136309
23-Sep-14,1.72,1.72,1.65,1.68,63641
22-Sep-14,1.75,1.75,1.65,1.70,84962
19-Sep-14,1.69,1.75,1.60,1.70,81466
18-Sep-14,1.68,1.70,1.64,1.68,69119
17-Sep-14,1.60,1.68,1.60,1.67,117151
16-Sep-14,1.60,1.62,1.57,1.60,31364
15-Sep-14,1.65,1.67,1.59,1.60,52580
12-Sep-14,1.63,1.65,1.60,1.64,36507
11-Sep-14,1.59,1.63,1.59,1.60,33283
10-Sep-14,1.58,1.62,1.57,1.62,13995
9-Sep-14,1.58,1.62,1.58,1.60,95974
8-Sep-14,1.63,1.63,1.57,1.60,158643
5-Sep-14,1.55,1.60,1.54,1.60,122986
4-Sep-14,1.49,1.61,1.49,1.56,105947
3-Sep-14,1.52,1.52,1.46,1.47,62632
2-Sep-14,1.55,1.56,1.48,1.50,50751
29-Aug-14,1.50,1.57,1.48,1.53,83886
28-Aug-14,1.48,1.53,1.46,1.48,109794
27-Aug-14,1.45,1.48,1.41,1.47,41801
26-Aug-14,1.48,1.51,1.46,1.47,42757
25-Aug-14,1.51,1.55,1.48,1.48,80281
22-Aug-14,1.49,1.52,1.49,1.49,68271
21-Aug-14,1.52,1.57,1.48,1.48,109777
20-Aug-14,1.56,1.57,1.52,1.53,105238
19-Aug-14,1.52,1.61,1.36,1.59,144390
18-Aug-14,1.58,1.65,1.58,1.59,67627
15-Aug-14,1.62,1.65,1.57,1.59,150487
14-Aug-14,1.60,1.67,1.56,1.60,286407
13-Aug-14,1.57,1.57,1.50,1.52,217556
12-Aug-14,1.58,1.58,1.53,1.56,40059
11-Aug-14,1.56,1.59,1.54,1.59,86291
8-Aug-14,1.65,1.65,1.50,1.57,144684
7-Aug-14,1.62,1.62,1.56,1.60,53702
6-Aug-14,1.63,1.63,1.59,1.63,99995
5-Aug-14,1.61,1.65,1.61,1.62,38493
4-Aug-14,1.68,1.70,1.61,1.61,100370
1-Aug-14,1.67,1.69,1.63,1.66,129596
31-Jul-14,1.67,1.68,1.61,1.65,177839
30-Jul-14,1.66,1.69,1.60,1.67,199210
29-Jul-14,1.75,1.75,1.57,1.64,674191
28-Jul-14,1.96,1.97,1.84,1.93,388842
25-Jul-14,2.03,2.06,1.95,1.95,119352
24-Jul-14,1.94,2.08,1.92,2.02,267215
23-Jul-14,1.93,1.96,1.89,1.95,62991
22-Jul-14,1.91,2.01,1.90,1.91,92282
21-Jul-14,1.90,1.93,1.88,1.89,44459
18-Jul-14,1.94,1.97,1.90,1.91,95827
17-Jul-14,1.97,1.97,1.81,1.92,186201
16-Jul-14,2.03,2.03,1.94,1.95,103247
15-Jul-14,2.00,2.04,1.94,2.01,198605
14-Jul-14,2.06,2.08,2.00,2.02,120399
11-Jul-14,2.01,2.07,2.00,2.02,114307
10-Jul-14,2.00,2.00,1.93,2.00,135398
9-Jul-14,2.06,2.10,2.03,2.06,94221
8-Jul-14,2.14,2.14,2.01,2.04,299240
7-Jul-14,2.34,2.34,2.15,2.16,229837
3-Jul-14,2.33,2.35,2.26,2.33,78209
2-Jul-14,2.32,2.39,2.30,2.31,249343
1-Jul-14,2.31,2.40,2.25,2.33,237693
30-Jun-14,2.32,2.45,2.26,2.28,490796
27-Jun-14,2.25,2.37,2.16,2.35,1554695
26-Jun-14,2.21,2.28,2.14,2.23,366107
25-Jun-14,2.20,2.23,2.13,2.16,166637
24-Jun-14,2.16,2.34,2.14,2.18,470338
23-Jun-14,2.11,2.19,2.03,2.11,191612
20-Jun-14,2.08,2.14,2.03,2.07,185892
19-Jun-14,2.13,2.15,2.02,2.05,179175
18-Jun-14,2.18,2.18,2.01,2.10,159063
17-Jun-14,2.10,2.22,2.06,2.15,149128
16-Jun-14,2.11,2.13,2.02,2.07,128306
13-Jun-14,2.22,2.24,2.08,2.10,175605
12-Jun-14,2.24,2.35,2.10,2.23,276531
11-Jun-14,2.13,2.28,2.11,2.23,463372
10-Jun-14,1.89,2.14,1.85,2.13,963654
9-Jun-14,1.76,1.91,1.74,1.89,117743
6-Jun-14,1.72,1.81,1.66,1.74,174394
5-Jun-14,1.73,1.80,1.70,1.70,98533
4-Jun-14,1.71,1.77,1.70,1.72,102755
3-Jun-14,1.76,1.77,1.72,1.75,99690
2-Jun-14,1.87,1.87,1.76,1.78,152913
30-May-14,1.97,2.01,1.88,1.88,80908
29-May-14,2.05,2.05,1.92,1.94,207306
28-May-14,1.89,2.03,1.84,2.00,543733
27-May-14,1.90,2.00,1.84,1.90,320284
23-May-14,1.89,1.90,1.84,1.88,52517
22-May-14,1.79,1.92,1.78,1.88,167184
21-May-14,1.79,1.84,1.72,1.82,127805
20-May-14,1.80,1.81,1.72,1.79,610467
19-May-14,1.86,1.92,1.69,1.78,209998
16-May-14,1.90,1.90,1.81,1.88,113161
15-May-14,1.91,2.00,1.86,1.91,250292
14-May-14,1.90,2.03,1.88,1.95,129907
13-May-14,1.84,1.99,1.81,1.93,253314
12-May-14,1.89,1.95,1.82,1.85,245261
9-May-14,2.10,2.10,1.82,1.89,478505
8-May-14,2.08,2.15,2.05,2.10,191409
7-May-14,2.19,2.19,2.09,2.10,166210
6-May-14,2.25,2.29,2.18,2.18,54151
5-May-14,2.22,2.29,2.20,2.27,119917
2-May-14,2.29,2.29,2.21,2.25,80662
1-May-14,2.26,2.33,2.16,2.28,205774
30-Apr-14,2.30,2.30,2.11,2.27,147231
29-Apr-14,2.23,2.27,2.12,2.25,168699
28-Apr-14,2.24,2.25,2.13,2.20,127228
25-Apr-14,2.36,2.36,2.24,2.25,107202
24-Apr-14,2.44,2.44,2.30,2.39,80173
23-Apr-14,2.63,2.66,2.35,2.40,135693
22-Apr-14,2.50,2.63,2.48,2.62,174974
21-Apr-14,2.32,2.52,2.23,2.50,185138
17-Apr-14,2.35,2.41,2.24,2.31,96216
16-Apr-14,2.28,2.37,2.17,2.36,140785
15-Apr-14,2.25,2.26,2.09,2.22,272359
14-Apr-14,2.31,2.35,2.20,2.25,145960
11-Apr-14,2.36,2.39,2.21,2.28,439068
10-Apr-14,2.50,2.51,2.36,2.39,228119
9-Apr-14,2.43,2.55,2.34,2.49,265116
8-Apr-14,2.44,2.48,2.40,2.42,242419
7-Apr-14,2.41,2.52,2.34,2.42,319624
4-Apr-14,2.58,2.60,2.36,2.41,358744
3-Apr-14,2.66,2.71,2.29,2.53,721402
2-Apr-14,2.79,2.79,2.62,2.64,284014
1-Apr-14,2.73,2.80,2.67,2.70,205687
31-Mar-14,2.71,2.80,2.67,2.71,150080
28-Mar-14,2.77,2.79,2.64,2.70,240852
27-Mar-14,2.83,2.89,2.66,2.73,159342
26-Mar-14,2.89,2.92,2.84,2.84,106535
25-Mar-14,3.00,3.00,2.86,2.88,156192
24-Mar-14,3.07,3.08,2.93,2.98,181602
21-Mar-14,3.12,3.22,3.02,3.02,185668
20-Mar-14,3.12,3.28,3.08,3.12,137583
19-Mar-14,3.09,3.15,3.09,3.13,158242
18-Mar-14,3.04,3.12,3.00,3.06,76140
17-Mar-14,3.07,3.21,3.02,3.03,131404
14-Mar-14,3.26,3.26,3.00,3.02,205759
13-Mar-14,3.25,3.26,3.06,3.18,154285
12-Mar-14,3.26,3.31,3.12,3.22,91619
11-Mar-14,3.37,3.37,3.24,3.25,377785
10-Mar-14,3.34,3.38,3.22,3.36,119391
7-Mar-14,3.57,3.57,3.33,3.36,111938
6-Mar-14,3.64,3.69,3.42,3.53,130719
5-Mar-14,3.42,3.65,3.37,3.61,143345
4-Mar-14,3.36,3.45,3.34,3.41,194291
3-Mar-14,3.20,3.34,3.15,3.30,349033
28-Feb-14,3.21,3.32,3.19,3.25,496716
27-Feb-14,3.38,3.55,3.14,3.18,505352
26-Feb-14,3.12,3.17,3.02,3.14,168761
25-Feb-14,3.12,3.15,3.05,3.12,93586
24-Feb-14,3.14,3.18,3.04,3.12,201343
21-Feb-14,3.08,3.15,3.07,3.12,157149
20-Feb-14,3.12,3.23,3.03,3.05,113000
19-Feb-14,3.15,3.16,3.03,3.12,206014
18-Feb-14,3.00,3.18,2.96,3.15,286371
14-Feb-14,2.98,3.05,2.92,2.96,158568
13-Feb-14,2.93,3.03,2.89,2.98,132953
12-Feb-14,3.09,3.12,2.91,2.97,253680
11-Feb-14,3.00,3.11,3.00,3.04,259198
10-Feb-14,2.85,2.97,2.85,2.93,329022
7-Feb-14,2.78,2.90,2.75,2.83,876457
6-Feb-14,2.70,2.81,2.66,2.75,608322
5-Feb-14,2.58,2.83,2.56,2.68,562988
4-Feb-14,2.88,2.88,2.60,2.61,2837149
3-Feb-14,3.10,3.12,2.88,2.90,689794
31-Jan-14,3.15,3.33,3.10,3.12,850009
30-Jan-14,3.33,3.56,3.15,3.33,4469370
29-Jan-14,4.80,4.81,4.61,4.65,981717
28-Jan-14,4.63,5.01,4.63,4.80,156343
27-Jan-14,5.29,5.29,4.60,4.65,282250
24-Jan-14,5.36,5.38,5.24,5.32,150115
23-Jan-14,5.41,5.43,5.32,5.39,40849
22-Jan-14,5.40,5.49,5.32,5.38,65353
21-Jan-14,5.42,5.61,5.25,5.36,235102
17-Jan-14,5.34,5.46,5.23,5.41,121436
16-Jan-14,5.39,5.50,5.22,5.33,183198
15-Jan-14,5.40,5.50,5.24,5.42,551679
14-Jan-14,4.70,5.19,4.60,5.15,549535
13-Jan-14,4.55,4.70,4.51,4.58,625295
10-Jan-14,4.42,4.59,4.40,4.49,168605
9-Jan-14,4.36,4.48,4.29,4.38,65378
8-Jan-14,4.40,4.66,4.32,4.35,66813
7-Jan-14,4.30,4.50,4.26,4.42,104408
6-Jan-14,4.40,4.40,4.26,4.28,71908
3-Jan-14,4.38,4.55,4.34,4.40,203867
2-Jan-14,4.42,4.45,4.33,4.39,49639
31-Dec-13,4.39,4.49,4.39,4.42,70955
30-Dec-13,4.33,4.40,4.26,4.38,89062
27-Dec-13,4.18,4.40,4.14,4.25,114292
26-Dec-13,4.20,4.26,4.11,4.15,99654
24-Dec-13,4.20,4.23,4.15,4.15,12810
23-Dec-13,4.10,4.25,4.10,4.11,53386
20-Dec-13,4.00,4.17,4.00,4.10,92341
19-Dec-13,3.71,4.04,3.71,3.97,200887
18-Dec-13,3.73,3.77,3.69,3.74,123121
17-Dec-13,3.82,3.85,3.72,3.73,139147
16-Dec-13,3.70,3.76,3.66,3.70,46861
13-Dec-13,3.67,3.75,3.60,3.66,80747
12-Dec-13,3.78,3.83,3.64,3.67,52307
11-Dec-13,3.89,3.90,3.71,3.79,74555
10-Dec-13,4.10,4.10,3.87,3.89,72764
9-Dec-13,4.24,4.30,4.02,4.03,50383
6-Dec-13,4.09,4.27,4.06,4.22,55851
5-Dec-13,4.20,4.20,4.04,4.05,62909
4-Dec-13,4.20,4.26,4.18,4.18,57858
3-Dec-13,4.19,4.21,4.11,4.17,106965
2-Dec-13,4.25,4.30,4.13,4.17,87749
29-Nov-13,4.30,4.30,4.21,4.24,20960
27-Nov-13,4.24,4.30,4.13,4.28,98197
26-Nov-13,4.30,4.30,4.18,4.22,79091
25-Nov-13,4.17,4.42,4.16,4.31,192544
22-Nov-13,4.19,4.20,4.15,4.20,57324
21-Nov-13,4.10,4.20,4.07,4.17,84009
20-Nov-13,4.07,4.10,4.04,4.10,70373
19-Nov-13,4.09,4.10,4.02,4.05,108697
18-Nov-13,4.10,4.20,3.99,4.08,117091
15-Nov-13,4.10,4.20,4.06,4.11,118956
14-Nov-13,4.12,4.15,4.02,4.14,50124
13-Nov-13,4.06,4.20,4.04,4.15,128664
12-Nov-13,4.10,4.10,3.92,4.08,146062
11-Nov-13,3.92,4.24,3.92,4.19,71128
8-Nov-13,3.90,3.96,3.87,3.95,96047
7-Nov-13,3.85,3.97,3.80,3.90,60708
6-Nov-13,3.89,3.90,3.69,3.85,156087
5-Nov-13,3.97,4.00,3.85,3.85,121033
4-Nov-13,4.08,4.09,3.95,4.00,36562
1-Nov-13,4.06,4.11,3.91,4.06,93277
31-Oct-13,4.34,4.34,3.75,4.01,264752
30-Oct-13,4.31,4.48,4.20,4.30,182039
29-Oct-13,4.28,4.64,4.17,4.35,451734
28-Oct-13,4.19,4.26,4.13,4.25,159334
25-Oct-13,4.10,4.22,4.03,4.20,107212
24-Oct-13,4.14,4.20,4.07,4.11,49044
23-Oct-13,4.13,4.22,4.00,4.12,155088
22-Oct-13,4.40,4.40,4.08,4.15,130285
21-Oct-13,4.44,4.44,4.40,4.41,56437
18-Oct-13,4.50,4.50,4.32,4.42,92144
17-Oct-13,4.50,4.55,4.48,4.49,119296
16-Oct-13,4.45,4.65,4.41,4.52,88105
15-Oct-13,4.41,4.47,4.34,4.41,38310
14-Oct-13,4.49,4.49,4.31,4.40,38072
11-Oct-13,4.45,4.62,4.45,4.49,53561
10-Oct-13,4.50,4.55,4.38,4.44,89325
9-Oct-13,4.61,4.61,4.26,4.45,115970
8-Oct-13,4.77,4.87,4.46,4.58,126304
7-Oct-13,4.80,4.81,4.64,4.75,142895
4-Oct-13,4.64,4.88,4.64,4.82,298910
3-Oct-13,4.64,4.70,4.60,4.65,129638
2-Oct-13,4.67,4.75,4.60,4.63,175132
1-Oct-13,4.49,4.71,4.38,4.68,254070
30-Sep-13,4.43,4.60,4.33,4.52,315550
27-Sep-13,4.50,4.50,4.28,4.46,436975
26-Sep-13,4.35,4.74,4.31,4.45,1674235
25-Sep-13,5.49,5.60,4.60,4.63,472718
24-Sep-13,5.05,5.52,5.03,5.46,110368
23-Sep-13,5.17,5.55,5.17,5.24,33014
