Date,Open,High,Low,Close,Volume
23-Oct-14,7.57,7.58,7.41,7.42,259061
22-Oct-14,7.60,7.67,7.46,7.54,241798
21-Oct-14,7.61,7.67,7.55,7.59,339830
20-Oct-14,7.35,7.60,7.35,7.60,257517
17-Oct-14,7.49,7.67,7.39,7.39,291738
16-Oct-14,7.17,7.47,7.04,7.41,333909
15-Oct-14,7.42,7.44,6.78,7.19,965030
14-Oct-14,7.58,7.64,7.34,7.46,535462
13-Oct-14,7.66,7.83,7.58,7.61,297731
10-Oct-14,7.86,7.93,7.66,7.66,373075
9-Oct-14,7.83,7.97,7.67,7.86,1226094
8-Oct-14,8.13,8.14,7.99,8.01,701351
7-Oct-14,8.25,8.30,7.98,8.06,2094202
6-Oct-14,8.55,8.64,8.52,8.59,416268
3-Oct-14,8.50,8.55,8.42,8.52,241565
2-Oct-14,8.43,8.49,8.31,8.47,230703
1-Oct-14,8.35,8.42,8.25,8.41,268825
30-Sep-14,8.54,8.59,8.31,8.31,402524
29-Sep-14,8.44,8.53,8.38,8.53,287405
26-Sep-14,8.35,8.44,8.32,8.44,190630
25-Sep-14,8.37,8.38,8.29,8.34,272639
24-Sep-14,8.36,8.44,8.30,8.35,316761
23-Sep-14,8.40,8.40,8.30,8.32,324312
22-Sep-14,8.44,8.47,8.35,8.40,315748
19-Sep-14,8.58,8.60,8.38,8.42,332899
18-Sep-14,8.50,8.62,8.48,8.54,333394
17-Sep-14,8.48,8.49,8.44,8.49,191461
16-Sep-14,8.50,8.50,8.43,8.44,257891
15-Sep-14,8.48,8.49,8.41,8.49,390516
12-Sep-14,8.37,8.48,8.35,8.42,311511
11-Sep-14,8.30,8.40,8.30,8.40,129283
10-Sep-14,8.37,8.40,8.32,8.35,216874
9-Sep-14,8.32,8.44,8.29,8.40,268195
8-Sep-14,8.26,8.37,8.26,8.35,319445
5-Sep-14,8.28,8.28,8.22,8.28,105931
4-Sep-14,8.27,8.31,8.21,8.25,154729
3-Sep-14,8.23,8.35,8.23,8.24,309946
2-Sep-14,8.30,8.31,8.22,8.23,204018
29-Aug-14,8.28,8.30,8.21,8.26,181755
28-Aug-14,8.13,8.27,8.07,8.24,278906
27-Aug-14,8.09,8.21,8.03,8.18,459968
26-Aug-14,8.09,8.14,8.03,8.05,229097
25-Aug-14,8.07,8.09,8.02,8.05,169914
22-Aug-14,8.09,8.10,8.04,8.05,209173
21-Aug-14,8.05,8.10,8.04,8.08,207850
20-Aug-14,8.05,8.10,8.01,8.05,142893
19-Aug-14,8.04,8.06,8.02,8.03,110728
18-Aug-14,8.07,8.07,8.00,8.03,137515
15-Aug-14,8.02,8.07,7.96,8.04,158713
14-Aug-14,7.97,8.01,7.96,8.01,152855
13-Aug-14,8.00,8.04,7.96,7.99,152023
12-Aug-14,7.92,8.00,7.92,7.96,136289
11-Aug-14,7.94,8.02,7.88,7.97,204046
8-Aug-14,7.92,7.94,7.86,7.91,110456
7-Aug-14,7.98,7.98,7.85,7.87,136630
6-Aug-14,7.84,8.02,7.84,7.93,139117
5-Aug-14,7.87,7.95,7.84,7.87,161731
4-Aug-14,7.93,7.97,7.84,7.87,136876
1-Aug-14,7.89,7.98,7.86,7.89,148795
31-Jul-14,7.95,7.99,7.89,7.89,265051
30-Jul-14,8.03,8.08,7.96,7.96,159664
29-Jul-14,8.02,8.07,7.98,8.02,172211
28-Jul-14,7.98,8.05,7.98,8.02,246823
25-Jul-14,7.99,8.03,7.94,7.99,217472
24-Jul-14,7.96,8.03,7.94,7.97,120869
