Date,Open,High,Low,Close,Volume
23-Oct-14,24.40,24.40,23.60,24.00,2350
22-Oct-14,23.60,23.60,22.80,23.20,2230
21-Oct-14,23.00,24.60,22.20,23.40,8389
20-Oct-14,22.61,23.00,22.60,23.00,966
17-Oct-14,23.20,23.45,22.40,23.00,1894
16-Oct-14,22.00,24.00,21.60,22.60,6234
15-Oct-14,23.60,23.80,21.00,22.30,4707
14-Oct-14,23.40,24.00,23.20,23.60,2005
13-Oct-14,24.00,24.60,22.80,23.40,1844
10-Oct-14,25.80,25.80,22.60,23.80,2788
9-Oct-14,24.47,24.80,23.60,23.80,2812
8-Oct-14,25.00,25.00,23.50,24.20,3814
7-Oct-14,26.00,26.00,24.40,25.00,3477
6-Oct-14,26.00,26.00,25.60,25.80,1339
3-Oct-14,25.80,26.00,25.20,25.60,1704
2-Oct-14,24.60,26.00,24.60,25.20,1446
1-Oct-14,24.00,25.00,23.40,24.76,2278
30-Sep-14,24.00,26.00,23.80,24.40,4326
29-Sep-14,24.00,24.60,23.40,23.60,2764
26-Sep-14,22.20,26.00,22.20,24.20,4866
25-Sep-14,24.60,24.81,23.00,23.40,6331
24-Sep-14,26.20,26.20,24.40,24.60,4743
23-Sep-14,25.60,26.40,25.40,26.00,4538
22-Sep-14,25.80,26.60,25.60,25.60,2363
19-Sep-14,26.60,26.60,25.80,26.20,2066
18-Sep-14,25.80,27.20,25.80,26.20,2401
17-Sep-14,26.20,26.74,25.60,25.80,3576
16-Sep-14,26.20,27.00,26.00,26.20,2451
15-Sep-14,26.60,27.20,26.00,26.00,1431
12-Sep-14,27.00,27.20,26.00,26.60,5003
11-Sep-14,26.60,27.40,26.00,26.20,4641
10-Sep-14,27.29,27.60,26.60,27.00,3535
9-Sep-14,27.20,27.80,26.60,27.30,4876
8-Sep-14,26.72,28.00,26.60,27.40,1648
5-Sep-14,27.20,27.80,26.60,26.80,1981
4-Sep-14,28.20,28.20,27.00,27.20,4614
3-Sep-14,28.00,28.00,27.60,27.80,2190
2-Sep-14,27.60,28.20,27.60,27.80,3267
29-Aug-14,26.40,28.20,26.40,27.40,6262
28-Aug-14,26.80,27.20,26.00,26.60,3095
27-Aug-14,26.00,27.00,25.60,26.80,13067
26-Aug-14,25.91,26.16,25.40,25.60,4086
25-Aug-14,26.00,26.60,25.60,25.80,4751
22-Aug-14,26.20,26.40,25.50,26.00,2884
21-Aug-14,26.20,26.72,26.00,26.40,1600
20-Aug-14,26.00,26.80,26.00,26.00,2620
19-Aug-14,26.20,26.60,26.00,26.20,2471
18-Aug-14,26.60,27.20,26.00,26.20,4966
15-Aug-14,26.20,27.00,26.20,26.80,2019
14-Aug-14,26.80,26.80,26.00,26.40,4349
13-Aug-14,26.80,27.00,26.40,26.60,3692
12-Aug-14,27.20,27.20,26.20,26.40,8643
11-Aug-14,27.60,28.16,27.00,27.56,4139
8-Aug-14,27.20,28.00,27.00,27.60,5963
7-Aug-14,27.60,27.60,27.00,27.00,1861
6-Aug-14,27.60,28.16,27.40,27.60,1537
5-Aug-14,28.40,28.40,27.20,27.60,9145
4-Aug-14,27.80,27.80,26.40,27.00,4690
1-Aug-14,27.60,27.60,27.20,27.40,2604
31-Jul-14,28.40,28.60,27.20,27.60,4587
30-Jul-14,27.80,28.60,27.80,28.40,8013
29-Jul-14,27.80,28.20,27.60,27.80,5720
28-Jul-14,28.00,28.28,27.40,28.00,3771
25-Jul-14,28.20,28.35,27.60,28.20,6239
24-Jul-14,27.60,29.20,27.60,28.40,14552
23-Jul-14,26.60,28.40,26.60,28.00,13052
22-Jul-14,27.40,27.40,26.60,26.80,3798
21-Jul-14,27.60,27.60,26.40,27.00,7585
18-Jul-14,27.20,27.60,27.20,27.60,3530
17-Jul-14,27.40,27.40,27.00,27.00,5201
16-Jul-14,27.60,27.60,27.00,27.00,3783
15-Jul-14,27.20,27.60,27.20,27.40,2288
14-Jul-14,27.40,27.60,27.20,27.60,4808
11-Jul-14,26.40,27.40,26.40,26.80,6823
10-Jul-14,26.60,27.00,26.00,26.40,8186
9-Jul-14,27.40,27.80,26.40,27.00,5371
8-Jul-14,27.80,27.80,26.20,27.00,9542
7-Jul-14,27.00,27.80,26.60,27.20,14358
3-Jul-14,27.60,28.20,27.00,27.60,7791
2-Jul-14,27.60,28.40,27.00,27.40,6360
1-Jul-14,27.60,28.60,27.00,27.60,13305
30-Jun-14,28.00,28.60,27.80,27.80,8749
27-Jun-14,28.80,28.90,27.40,27.80,21164
26-Jun-14,29.80,30.00,26.60,28.00,31264
25-Jun-14,28.40,29.20,28.40,28.80,20563
