Date,Open,High,Low,Close,Volume
23-Oct-14,4.00,4.06,3.98,3.98,845
22-Oct-14,3.98,4.09,3.97,3.97,1686
21-Oct-14,4.07,4.07,3.97,3.98,2308
20-Oct-14,3.96,4.02,3.96,4.01,16839
17-Oct-14,3.91,3.96,3.91,3.96,11181
16-Oct-14,3.86,3.96,3.86,3.94,7086
15-Oct-14,3.86,3.93,3.86,3.86,4027
14-Oct-14,3.90,3.90,3.86,3.86,977
13-Oct-14,3.90,3.91,3.90,3.90,9733
10-Oct-14,3.93,3.97,3.90,3.97,1631
8-Oct-14,4.10,4.10,3.88,3.99,12920
7-Oct-14,3.89,4.14,3.89,3.94,1690
6-Oct-14,4.00,4.00,3.90,3.91,9270
3-Oct-14,4.03,4.04,3.95,4.04,2419
2-Oct-14,4.04,4.08,4.03,4.06,3485
1-Oct-14,3.88,4.07,3.88,4.00,13388
30-Sep-14,3.94,3.99,3.90,3.96,7523
29-Sep-14,3.94,3.97,3.87,3.94,12473
26-Sep-14,4.14,4.14,4.14,4.14,290
25-Sep-14,4.00,4.01,3.92,3.98,9197
24-Sep-14,4.06,4.14,4.00,4.00,16586
23-Sep-14,4.05,4.13,4.05,4.13,2904
22-Sep-14,4.05,4.14,4.05,4.06,7810
19-Sep-14,4.04,4.08,4.01,4.04,7176
18-Sep-14,4.03,4.14,3.99,4.03,8571
17-Sep-14,4.04,4.14,3.98,4.03,15448
16-Sep-14,4.15,4.31,4.03,4.05,42808
15-Sep-14,4.16,4.20,4.16,4.19,6308
12-Sep-14,4.09,4.10,3.99,4.10,5018
11-Sep-14,3.98,4.09,3.93,4.03,13588
10-Sep-14,3.93,4.08,3.93,3.99,7215
9-Sep-14,4.05,4.21,4.00,4.01,10965
8-Sep-14,4.00,4.08,3.99,3.99,21208
5-Sep-14,4.09,4.09,3.87,3.87,18510
4-Sep-14,4.02,4.18,4.02,4.03,23335
3-Sep-14,3.94,4.20,3.94,4.04,33731
2-Sep-14,4.23,4.27,4.05,4.05,23704
29-Aug-14,4.24,4.34,4.22,4.34,4758
28-Aug-14,4.34,4.34,4.25,4.25,1638
27-Aug-14,4.33,4.35,4.27,4.27,500
26-Aug-14,4.22,4.25,4.22,4.25,1583
25-Aug-14,4.31,4.31,4.13,4.26,9620
22-Aug-14,4.15,4.24,4.09,4.11,15679
21-Aug-14,4.08,4.15,4.08,4.15,14938
20-Aug-14,4.15,4.15,3.95,4.00,16805
19-Aug-14,4.08,4.14,4.06,4.14,22428
18-Aug-14,3.95,4.08,3.95,4.05,30235
15-Aug-14,3.87,3.97,3.84,3.87,5091
14-Aug-14,3.92,3.99,3.84,3.99,25894
13-Aug-14,3.78,4.04,3.77,4.04,18660
12-Aug-14,3.88,3.92,3.80,3.82,4594
11-Aug-14,4.11,4.11,3.89,3.89,6642
8-Aug-14,4.21,4.26,4.09,4.16,2678
7-Aug-14,4.35,4.35,4.20,4.24,4562
6-Aug-14,4.22,4.38,4.20,4.29,16987
5-Aug-14,4.31,4.31,4.20,4.28,7511
4-Aug-14,4.19,4.30,4.06,4.21,30796
1-Aug-14,4.21,4.21,3.89,4.14,12519
31-Jul-14,4.02,4.19,4.02,4.10,3450
30-Jul-14,3.95,4.04,3.91,4.04,26849
29-Jul-14,4.00,4.02,3.92,3.94,3979
28-Jul-14,4.02,4.03,3.86,3.91,3119
25-Jul-14,3.98,3.98,3.82,3.96,4182
24-Jul-14,3.86,4.00,3.86,3.96,11240
23-Jul-14,3.95,4.02,3.85,4.00,28649
22-Jul-14,4.02,4.02,3.92,3.95,7794
21-Jul-14,3.94,4.04,3.81,3.96,31101
18-Jul-14,3.81,4.04,3.80,3.95,47051
17-Jul-14,3.85,3.98,3.85,3.85,21671
16-Jul-14,4.00,4.01,3.82,3.82,8176
15-Jul-14,4.01,4.10,3.90,4.06,8353
14-Jul-14,3.75,4.08,3.75,4.02,20218
11-Jul-14,4.06,4.06,3.75,3.75,12715
10-Jul-14,4.35,4.60,4.06,4.10,55079
9-Jul-14,4.46,4.77,4.46,4.77,11389
8-Jul-14,4.77,4.77,4.50,4.57,85799
7-Jul-14,4.78,4.78,4.50,4.75,20044
3-Jul-14,4.81,4.81,4.73,4.78,5298
2-Jul-14,4.74,4.88,4.47,4.73,19074
1-Jul-14,4.72,5.05,4.63,4.70,54607
30-Jun-14,4.13,4.70,4.13,4.67,40773
27-Jun-14,3.97,4.06,3.97,4.06,1201
26-Jun-14,3.97,4.12,3.97,4.09,7955
25-Jun-14,4.05,4.05,4.02,4.02,500
24-Jun-14,4.10,4.17,4.10,4.17,831
23-Jun-14,4.15,4.15,4.15,4.15,500
20-Jun-14,4.18,4.23,4.18,4.23,985
19-Jun-14,4.18,4.18,4.02,4.18,1360
18-Jun-14,4.15,4.15,4.15,4.15,4304
12-Jun-14,4.31,4.31,4.12,4.12,2850
9-Jun-14,4.16,4.16,4.10,4.10,1295
5-Jun-14,4.05,4.15,4.05,4.14,890
4-Jun-14,4.16,4.16,4.16,4.16,470
2-Jun-14,4.12,4.12,4.12,4.12,100
30-May-14,4.20,4.25,4.20,4.25,2000
