Date,Open,High,Low,Close,Volume
23-Oct-14,67.95,68.82,67.87,68.08,469930
22-Oct-14,68.25,69.06,66.94,66.99,274160
21-Oct-14,66.00,68.39,65.66,67.96,528104
20-Oct-14,64.77,65.46,64.56,65.32,294125
17-Oct-14,64.70,65.73,64.54,65.11,356568
16-Oct-14,61.48,64.05,61.29,63.97,468329
15-Oct-14,61.69,63.24,61.27,62.65,454252
14-Oct-14,61.88,62.92,61.12,62.74,737137
13-Oct-14,63.29,63.42,61.46,61.61,522285
10-Oct-14,64.85,65.23,63.27,63.31,346467
9-Oct-14,66.42,66.85,64.82,64.92,414196
8-Oct-14,66.05,66.42,65.36,66.38,481446
7-Oct-14,67.20,67.20,66.00,66.02,286408
6-Oct-14,67.71,68.01,67.52,67.67,510294
3-Oct-14,68.06,68.06,67.06,67.46,373733
2-Oct-14,67.84,68.33,66.99,67.39,474028
1-Oct-14,69.17,69.65,67.76,67.88,502776
30-Sep-14,70.06,70.12,68.93,69.14,319560
29-Sep-14,69.78,70.34,69.76,70.18,232769
26-Sep-14,70.44,70.81,70.02,70.61,280978
25-Sep-14,71.41,71.77,70.35,70.48,306605
24-Sep-14,71.69,71.90,71.12,71.71,225387
23-Sep-14,71.30,72.00,70.63,71.72,424759
22-Sep-14,72.25,72.51,71.37,71.39,258992
19-Sep-14,73.43,73.43,71.99,72.24,852899
18-Sep-14,73.52,73.52,72.85,73.22,268040
17-Sep-14,73.18,73.75,72.54,73.18,316429
16-Sep-14,72.41,73.51,72.11,73.20,397617
15-Sep-14,72.55,72.89,72.24,72.72,338030
12-Sep-14,72.51,72.80,71.89,72.47,360156
11-Sep-14,72.30,73.13,71.99,72.44,488960
10-Sep-14,71.48,72.40,70.69,72.32,487646
9-Sep-14,71.74,71.74,71.00,71.21,279921
8-Sep-14,71.45,71.98,71.21,71.94,313921
5-Sep-14,71.01,71.68,70.39,71.63,194821
4-Sep-14,70.77,71.32,70.62,71.12,270097
3-Sep-14,71.50,71.70,70.47,70.73,194918
2-Sep-14,71.28,72.66,71.15,71.33,429948
29-Aug-14,70.97,71.24,70.39,71.10,195927
28-Aug-14,70.94,71.14,70.48,70.87,191308
27-Aug-14,70.88,71.15,70.51,71.13,382359
26-Aug-14,70.93,71.15,70.24,70.80,209226
25-Aug-14,70.99,71.27,70.43,70.75,106954
22-Aug-14,70.84,71.25,70.44,70.50,225501
21-Aug-14,70.76,71.04,70.04,70.85,201846
20-Aug-14,70.32,70.73,70.07,70.69,220128
19-Aug-14,69.93,70.60,69.91,70.49,172701
18-Aug-14,69.72,70.54,69.26,69.96,347551
15-Aug-14,69.50,69.80,68.42,69.17,231906
14-Aug-14,69.25,69.60,68.71,69.12,313770
13-Aug-14,68.49,69.27,68.18,69.22,223124
12-Aug-14,68.44,69.17,68.06,68.39,201266
