Date,Open,High,Low,Close,Volume
23-Oct-14,85.92,86.84,85.59,86.37,122356
22-Oct-14,85.69,86.66,84.79,85.01,149720
21-Oct-14,83.56,85.51,83.41,85.19,115935
20-Oct-14,80.52,83.28,80.35,83.28,189547
17-Oct-14,82.02,82.47,80.39,81.05,368363
16-Oct-14,80.20,81.25,79.64,80.82,380961
15-Oct-14,79.25,81.81,78.68,81.14,310559
14-Oct-14,80.79,81.37,79.65,80.00,161843
13-Oct-14,80.93,81.00,79.63,80.05,238171
10-Oct-14,82.40,82.67,80.45,80.60,279864
9-Oct-14,84.74,85.32,82.96,82.96,134526
8-Oct-14,84.60,85.58,83.25,84.98,143320
7-Oct-14,86.29,86.92,84.44,84.48,91266
6-Oct-14,84.80,87.49,84.80,86.53,223257
3-Oct-14,84.60,84.97,83.77,83.84,71410
2-Oct-14,83.08,84.26,82.47,83.84,88323
1-Oct-14,84.97,84.97,82.84,83.27,195250
30-Sep-14,86.85,87.57,85.15,85.18,203837
29-Sep-14,86.59,87.68,86.15,87.05,99902
26-Sep-14,86.90,88.20,86.25,87.65,106424
25-Sep-14,88.66,88.66,86.70,86.75,79635
24-Sep-14,89.15,89.39,88.00,88.73,121458
23-Sep-14,90.05,90.35,88.62,88.74,96121
22-Sep-14,92.15,92.15,89.95,90.09,81588
19-Sep-14,94.49,94.69,92.23,92.45,205031
18-Sep-14,94.11,94.75,93.95,94.38,54095
17-Sep-14,94.08,94.78,93.38,94.01,146762
16-Sep-14,93.56,94.66,92.94,94.06,166068
15-Sep-14,94.18,94.49,92.66,94.03,139748
12-Sep-14,93.19,94.57,93.06,94.39,222485
11-Sep-14,91.16,92.81,91.16,92.61,123676
10-Sep-14,92.17,92.17,91.06,91.70,90639
9-Sep-14,92.80,92.97,91.84,92.08,79224
8-Sep-14,92.47,93.59,92.09,93.00,91033
5-Sep-14,91.28,92.57,90.88,92.37,77191
4-Sep-14,92.40,93.15,91.41,91.67,44555
3-Sep-14,93.12,93.90,92.03,92.33,111445
2-Sep-14,92.33,93.56,91.57,92.67,140649
29-Aug-14,91.94,92.40,91.05,91.91,80720
28-Aug-14,92.29,93.06,91.66,91.98,102513
27-Aug-14,93.24,93.44,92.31,92.74,52180
26-Aug-14,92.76,93.87,92.13,93.32,87204
25-Aug-14,93.69,94.02,92.11,92.72,90970
22-Aug-14,92.36,94.45,91.56,93.44,209214
21-Aug-14,91.25,92.51,86.83,92.18,86168
20-Aug-14,91.04,91.35,90.39,90.95,40280
19-Aug-14,90.89,91.70,89.14,91.40,73358
18-Aug-14,90.88,91.36,90.31,91.13,106246
15-Aug-14,91.31,91.31,89.11,90.26,104112
14-Aug-14,90.74,91.07,90.05,90.69,94639
13-Aug-14,90.34,90.89,90.28,90.74,107366
12-Aug-14,90.27,90.74,89.71,90.29,90231
11-Aug-14,90.83,91.88,90.38,90.79,103722
8-Aug-14,89.52,90.94,89.52,90.41,82067
7-Aug-14,90.88,91.20,89.20,89.43,101514
6-Aug-14,88.97,91.55,88.73,90.76,217985
5-Aug-14,87.43,89.57,87.43,89.36,153478
