Date,Open,High,Low,Close,Volume
23-Oct-14,4.50,4.57,4.37,4.47,314047
22-Oct-14,4.51,4.55,4.42,4.44,248374
21-Oct-14,4.45,4.55,4.38,4.49,441084
20-Oct-14,4.27,4.46,4.26,4.44,157427
17-Oct-14,4.41,4.41,4.26,4.30,471582
16-Oct-14,4.20,4.36,4.20,4.34,365608
15-Oct-14,4.22,4.28,4.17,4.27,531016
14-Oct-14,4.37,4.39,4.24,4.26,402107
13-Oct-14,4.15,4.34,4.13,4.31,375902
10-Oct-14,4.07,4.17,4.02,4.13,461219
9-Oct-14,4.26,4.30,4.06,4.13,335237
8-Oct-14,4.25,4.34,4.17,4.28,455581
7-Oct-14,4.51,4.51,4.27,4.27,468771
6-Oct-14,4.68,4.68,4.53,4.53,237204
3-Oct-14,4.66,4.70,4.61,4.67,320366
2-Oct-14,4.62,4.66,4.56,4.62,490053
1-Oct-14,4.62,4.68,4.58,4.63,483712
30-Sep-14,4.58,4.61,4.47,4.50,468181
29-Sep-14,4.53,4.61,4.52,4.59,208281
26-Sep-14,4.57,4.61,4.53,4.61,492320
25-Sep-14,4.63,4.64,4.51,4.54,396416
24-Sep-14,4.58,4.65,4.47,4.63,391736
23-Sep-14,4.48,4.59,4.48,4.55,341417
22-Sep-14,4.61,4.61,4.45,4.51,584378
19-Sep-14,4.38,4.64,4.38,4.61,840281
18-Sep-14,4.36,4.38,4.32,4.37,328578
17-Sep-14,4.32,4.41,4.32,4.34,381253
16-Sep-14,4.30,4.37,4.27,4.30,414175
15-Sep-14,4.40,4.42,4.28,4.32,441434
12-Sep-14,4.42,4.45,4.35,4.42,274105
11-Sep-14,4.42,4.46,4.39,4.41,306643
10-Sep-14,4.40,4.46,4.39,4.45,292985
9-Sep-14,4.50,4.51,4.37,4.40,330803
8-Sep-14,4.59,4.61,4.52,4.53,533753
5-Sep-14,4.60,4.66,4.56,4.59,358783
4-Sep-14,4.59,4.66,4.59,4.61,301368
3-Sep-14,4.65,4.67,4.58,4.59,568372
2-Sep-14,4.66,4.67,4.59,4.62,413442
29-Aug-14,4.61,4.65,4.57,4.64,290206
28-Aug-14,4.58,4.65,4.53,4.58,463147
27-Aug-14,4.63,4.67,4.56,4.60,295576
26-Aug-14,4.51,4.64,4.50,4.61,514245
25-Aug-14,4.50,4.62,4.40,4.53,948955
22-Aug-14,4.55,4.55,4.42,4.49,556579
21-Aug-14,4.52,4.57,4.46,4.52,469592
20-Aug-14,4.49,4.57,4.45,4.51,386210
19-Aug-14,4.60,4.67,4.51,4.53,580718
18-Aug-14,4.82,4.85,4.61,4.62,336718
15-Aug-14,4.78,4.80,4.63,4.74,293947
14-Aug-14,4.73,4.81,4.69,4.73,164488
13-Aug-14,4.75,4.90,4.73,4.75,556621
12-Aug-14,5.02,5.03,4.74,4.76,334402
11-Aug-14,5.15,5.15,5.00,5.04,344580
8-Aug-14,5.00,5.18,4.91,5.14,754143
7-Aug-14,5.03,5.25,4.96,5.01,563007
6-Aug-14,5.40,5.62,4.16,5.02,4184371
5-Aug-14,5.72,5.96,5.66,5.84,1356605
4-Aug-14,5.65,5.77,5.65,5.74,463200
1-Aug-14,5.73,5.82,5.61,5.65,410089
31-Jul-14,5.85,5.90,5.71,5.73,405192
30-Jul-14,5.96,5.99,5.83,5.89,228642
29-Jul-14,5.90,5.96,5.90,5.92,203707
28-Jul-14,5.90,5.96,5.87,5.91,217337
25-Jul-14,5.90,5.95,5.86,5.89,272965
24-Jul-14,5.93,5.98,5.88,5.91,256078
23-Jul-14,5.88,5.95,5.81,5.90,143618
22-Jul-14,5.87,6.00,5.86,5.91,132979
21-Jul-14,5.92,5.92,5.82,5.85,154018
18-Jul-14,5.80,5.99,5.80,5.96,224010
17-Jul-14,5.76,5.91,5.75,5.83,310937
16-Jul-14,5.99,6.03,5.83,5.84,151425
15-Jul-14,6.06,6.09,5.86,5.93,340398
14-Jul-14,6.06,6.16,6.00,6.09,188196
11-Jul-14,5.98,6.04,5.92,5.99,162684
10-Jul-14,5.86,6.02,5.83,5.98,309807
9-Jul-14,5.92,6.07,5.87,5.99,172536
8-Jul-14,5.93,5.95,5.76,5.92,1465784
7-Jul-14,6.12,6.19,5.90,5.92,364214
3-Jul-14,6.03,6.19,6.00,6.16,224528
2-Jul-14,6.01,6.08,5.99,6.01,300312
1-Jul-14,6.00,6.18,5.98,5.99,694883
30-Jun-14,6.03,6.08,5.92,5.94,393788
