Date,Open,High,Low,Close,Volume
23-Oct-14,9.60,10.36,9.30,10.20,306162
22-Oct-14,9.92,10.43,9.45,9.50,162212
21-Oct-14,9.49,9.96,9.20,9.84,119106
20-Oct-14,8.99,9.45,8.99,9.38,101254
17-Oct-14,8.90,9.10,8.75,8.84,74546
16-Oct-14,8.05,8.93,7.97,8.80,134458
15-Oct-14,7.80,8.27,7.73,8.20,73743
14-Oct-14,7.89,8.02,7.63,7.99,109382
13-Oct-14,7.70,8.00,7.20,7.84,121039
10-Oct-14,8.20,8.20,7.46,7.75,209601
9-Oct-14,8.50,8.50,8.05,8.28,79567
8-Oct-14,8.61,8.61,8.21,8.53,107804
7-Oct-14,8.94,9.04,8.60,8.62,98372
6-Oct-14,9.28,9.30,9.05,9.10,66514
3-Oct-14,9.25,9.76,9.20,9.30,62562
2-Oct-14,9.35,9.53,9.11,9.20,117441
1-Oct-14,9.76,9.76,9.04,9.24,141712
30-Sep-14,10.01,10.07,9.52,9.61,96411
29-Sep-14,9.56,10.07,9.48,9.79,168704
26-Sep-14,9.25,9.47,9.06,9.25,121450
25-Sep-14,9.27,9.47,8.97,9.17,106417
24-Sep-14,8.75,9.35,8.75,9.27,225131
23-Sep-14,8.58,9.08,8.50,8.71,155578
22-Sep-14,8.86,8.86,8.14,8.35,191421
19-Sep-14,9.20,9.20,8.87,8.95,91455
18-Sep-14,9.41,9.55,9.03,9.15,105485
17-Sep-14,9.07,9.57,9.03,9.39,67334
16-Sep-14,8.91,9.23,8.76,9.20,126848
15-Sep-14,8.94,9.09,8.77,9.03,80951
12-Sep-14,9.39,9.45,8.92,9.04,119655
11-Sep-14,9.30,9.53,9.27,9.41,87706
10-Sep-14,9.42,9.70,8.75,9.54,181731
9-Sep-14,9.97,10.02,9.18,9.37,129451
8-Sep-14,10.02,10.37,9.90,10.01,137743
5-Sep-14,9.87,10.11,9.67,10.02,118563
4-Sep-14,10.02,10.07,9.81,9.90,50193
3-Sep-14,10.16,10.30,9.84,10.03,106619
2-Sep-14,10.50,10.50,10.00,10.14,122114
29-Aug-14,10.48,10.66,10.16,10.42,91564
28-Aug-14,10.44,10.56,10.19,10.44,106072
27-Aug-14,10.57,10.72,10.36,10.53,83107
26-Aug-14,10.50,10.93,10.31,10.52,80438
25-Aug-14,10.44,11.24,10.11,10.50,199999
22-Aug-14,10.02,10.24,10.02,10.18,38607
21-Aug-14,10.43,10.48,10.09,10.20,63981
20-Aug-14,10.20,10.64,10.14,10.39,60541
19-Aug-14,10.37,10.60,10.21,10.24,73106
18-Aug-14,9.57,10.48,9.57,10.29,208117
15-Aug-14,9.85,10.10,9.74,9.83,74455
14-Aug-14,9.91,10.08,9.61,10.07,89292
13-Aug-14,9.77,9.97,9.60,9.91,80180
12-Aug-14,10.00,10.22,9.74,9.81,87762
11-Aug-14,10.25,10.35,9.78,10.05,138571
8-Aug-14,9.93,10.46,9.93,10.27,259222
7-Aug-14,9.99,10.20,9.79,9.94,157976
6-Aug-14,10.02,10.23,9.75,9.95,179040
5-Aug-14,10.00,10.26,9.92,10.06,125660
4-Aug-14,9.97,10.33,9.52,9.85,313468
1-Aug-14,9.52,9.94,9.26,9.40,196119
31-Jul-14,10.01,10.30,9.60,9.74,345388
30-Jul-14,10.75,10.80,10.08,10.21,392604
29-Jul-14,10.63,11.20,9.94,10.65,852764
28-Jul-14,11.61,12.25,11.51,11.80,239056
25-Jul-14,11.04,11.45,10.65,11.26,204006
24-Jul-14,11.42,11.47,11.00,11.12,397693
23-Jul-14,10.75,11.60,10.60,11.46,1379222
22-Jul-14,11.08,11.70,10.77,10.95,125094
21-Jul-14,11.03,11.27,10.85,10.98,126485
18-Jul-14,10.32,11.48,10.32,11.24,192026
17-Jul-14,11.51,11.70,10.30,10.53,277866
16-Jul-14,11.94,12.30,11.16,11.53,287573
15-Jul-14,13.06,13.51,11.70,12.09,1799448
14-Jul-14,10.96,11.11,10.63,10.85,271034
11-Jul-14,9.01,11.67,8.62,10.65,1045609
10-Jul-14,8.73,9.25,8.52,8.95,145107
9-Jul-14,8.70,9.20,8.23,9.01,195669
8-Jul-14,8.59,8.75,8.05,8.23,87426
7-Jul-14,8.96,9.00,8.51,8.52,64134
3-Jul-14,9.10,9.10,8.84,8.97,21770
2-Jul-14,9.12,9.23,9.03,9.10,25757
1-Jul-14,9.19,9.21,8.98,9.10,38622
30-Jun-14,9.16,9.40,9.01,9.18,52457
27-Jun-14,8.66,9.25,8.60,9.19,62215
26-Jun-14,8.85,8.85,8.52,8.66,43854
25-Jun-14,8.86,9.03,8.75,8.88,46153
24-Jun-14,8.89,9.09,8.61,8.93,51963
23-Jun-14,9.00,9.06,8.68,8.97,32765
20-Jun-14,8.95,9.08,8.90,9.03,52253
19-Jun-14,9.00,9.12,8.84,8.98,30905
18-Jun-14,9.12,9.14,8.80,8.90,40638
17-Jun-14,8.79,9.15,8.50,9.09,63809
16-Jun-14,8.41,8.82,8.11,8.81,109366
13-Jun-14,8.44,8.67,8.10,8.42,57186
12-Jun-14,9.19,9.19,8.31,8.48,103653
11-Jun-14,8.49,9.44,8.49,9.11,206671
10-Jun-14,8.21,8.63,8.07,8.54,75672
9-Jun-14,8.03,8.30,7.93,8.30,83935
6-Jun-14,7.75,8.15,7.47,8.03,124428
5-Jun-14,7.89,8.19,7.56,7.77,101245
4-Jun-14,7.58,7.98,7.50,7.82,30547
3-Jun-14,7.76,7.94,7.45,7.59,48812
2-Jun-14,7.94,8.33,7.70,7.77,208096
30-May-14,7.64,8.45,7.57,8.11,128800
29-May-14,7.67,7.67,7.40,7.60,80274
28-May-14,7.50,7.75,7.21,7.60,77427
27-May-14,7.72,7.82,7.51,7.52,82003
23-May-14,6.17,7.96,6.17,7.58,147832
22-May-14,7.70,7.90,7.41,7.69,144005
21-May-14,8.47,8.63,7.25,7.60,502777
20-May-14,8.80,8.80,8.29,8.57,120906
19-May-14,8.79,8.88,8.62,8.82,37509
16-May-14,8.96,9.04,8.62,8.71,57975
15-May-14,9.00,9.10,8.65,8.92,86226
14-May-14,8.70,9.14,8.70,8.98,41238
13-May-14,8.92,9.23,8.67,8.76,73442
12-May-14,8.88,9.37,8.65,8.83,111682
9-May-14,8.67,9.13,8.50,8.77,143781
8-May-14,9.18,9.30,8.61,8.76,119900
7-May-14,9.15,9.29,8.85,8.95,125942
6-May-14,9.40,9.64,9.15,9.24,194098
5-May-14,9.71,9.85,9.08,9.40,158373
2-May-14,9.20,9.44,9.04,9.04,100247
1-May-14,8.97,9.50,8.95,9.15,142814
30-Apr-14,9.24,9.67,8.92,9.14,127356
29-Apr-14,9.06,9.71,8.84,9.34,94014
28-Apr-14,10.48,10.48,9.00,9.05,224398
