Date,Open,High,Low,Close,Volume
23-Oct-14,34.49,35.16,34.29,34.70,933253
22-Oct-14,34.64,35.50,34.12,34.24,887688
21-Oct-14,35.00,35.05,34.41,34.48,870907
20-Oct-14,34.00,35.09,34.00,35.06,646922
17-Oct-14,34.29,34.72,33.85,34.00,849419
16-Oct-14,32.64,34.24,32.57,33.45,645232
15-Oct-14,33.35,33.95,32.00,33.57,1109238
14-Oct-14,34.32,35.00,33.71,34.28,701321
13-Oct-14,35.60,35.88,33.60,34.23,1104720
10-Oct-14,36.14,36.71,34.40,35.58,1135360
9-Oct-14,37.25,38.17,36.30,36.35,1164097
8-Oct-14,37.20,37.97,36.20,37.58,1365570
7-Oct-14,36.90,38.78,36.36,37.20,2510861
6-Oct-14,36.35,37.60,36.15,37.35,2518199
3-Oct-14,35.52,36.45,34.87,35.86,1731205
2-Oct-14,34.48,35.45,34.00,35.06,1208149
1-Oct-14,35.66,36.00,33.60,34.07,2131668
30-Sep-14,35.48,37.27,35.06,35.91,3662802
29-Sep-14,34.51,35.91,34.39,35.49,1181221
26-Sep-14,35.22,35.45,34.60,35.16,797191
25-Sep-14,35.77,35.96,34.30,35.09,1125740
24-Sep-14,35.39,36.17,34.56,35.72,1578067
23-Sep-14,34.98,36.25,34.63,34.95,1450743
22-Sep-14,34.89,35.73,34.46,35.07,977856
19-Sep-14,35.28,35.87,34.07,35.41,2190057
18-Sep-14,37.16,37.40,35.30,35.59,2070223
17-Sep-14,37.25,37.70,36.75,36.84,1853197
16-Sep-14,36.40,37.65,36.01,36.76,1860230
15-Sep-14,39.97,40.89,36.12,36.98,6190364
12-Sep-14,37.25,39.75,36.60,38.87,5002299
11-Sep-14,35.99,37.88,35.51,36.64,2915747
10-Sep-14,35.70,36.70,35.30,36.25,1520008
9-Sep-14,36.60,37.45,35.35,35.79,2897542
8-Sep-14,35.57,38.35,34.70,36.19,5521931
5-Sep-14,36.64,37.45,34.35,36.24,8674584
4-Sep-14,35.00,36.20,33.35,34.79,4263227
3-Sep-14,37.18,37.69,33.70,34.39,4193814
2-Sep-14,32.97,36.08,31.64,36.02,4432551
29-Aug-14,32.00,32.33,31.31,32.31,830124
28-Aug-14,31.07,32.15,31.00,31.65,864823
27-Aug-14,32.10,32.25,31.50,31.54,826632
26-Aug-14,32.49,33.72,31.50,31.57,2295935
25-Aug-14,31.30,32.19,31.00,32.19,2019970
22-Aug-14,31.22,31.50,30.50,30.62,2104950
21-Aug-14,30.73,31.09,29.75,29.87,1618439
20-Aug-14,29.00,31.17,28.56,30.19,2851853
19-Aug-14,30.55,31.41,29.65,29.91,3729396
18-Aug-14,34.58,34.68,32.96,33.20,1479314
15-Aug-14,33.24,34.10,32.56,33.36,2861958
14-Aug-14,32.61,32.70,31.25,31.94,2851041
13-Aug-14,34.51,34.64,33.01,33.31,1709446
12-Aug-14,34.76,34.89,28.99,34.07,3265045
11-Aug-14,38.40,38.53,35.78,35.79,2466556
8-Aug-14,38.00,38.20,36.13,36.95,3057193
7-Aug-14,39.43,40.25,38.25,38.87,6142174
6-Aug-14,34.44,37.82,34.04,36.95,6227438
5-Aug-14,36.27,36.90,33.58,34.31,7903511
4-Aug-14,41.35,41.46,37.55,38.40,9088216
1-Aug-14,39.05,41.70,38.35,41.20,14442314
31-Jul-14,35.83,39.90,35.16,38.75,18345292
30-Jul-14,31.78,38.25,31.60,34.56,15520065
29-Jul-14,31.84,32.48,29.05,29.90,12108385
28-Jul-14,26.88,34.73,26.25,34.48,26901000
25-Jul-14,19.00,24.40,18.48,24.03,23673589
