Date,Open,High,Low,Close,Volume
23-Oct-14,74.50,74.97,71.33,72.60,688591
22-Oct-14,75.05,75.63,73.24,73.45,531463
21-Oct-14,72.70,74.68,72.31,74.43,358711
20-Oct-14,71.36,72.35,71.07,72.28,359643
17-Oct-14,71.66,72.17,71.12,71.71,286548
16-Oct-14,69.37,70.90,69.25,70.71,617443
15-Oct-14,68.99,70.66,67.97,70.21,453026
14-Oct-14,68.78,70.51,68.48,69.88,388592
13-Oct-14,69.27,69.54,67.93,68.11,450511
10-Oct-14,69.93,70.01,68.31,69.07,447257
9-Oct-14,69.52,70.90,69.52,69.86,261852
8-Oct-14,70.63,70.98,69.57,70.87,304828
7-Oct-14,71.19,71.24,70.48,70.69,312728
6-Oct-14,72.43,73.06,71.30,71.63,340684
3-Oct-14,71.81,72.35,71.36,71.90,416379
2-Oct-14,70.78,71.64,70.58,71.31,324685
1-Oct-14,72.44,72.44,70.60,70.65,709515
30-Sep-14,72.31,72.62,71.45,72.19,284922
29-Sep-14,71.22,72.45,71.21,72.09,263039
26-Sep-14,71.39,72.23,71.39,72.09,236990
25-Sep-14,71.40,71.58,70.54,71.30,307023
24-Sep-14,71.15,71.71,70.80,71.65,208368
23-Sep-14,71.99,71.99,71.09,71.21,369123
22-Sep-14,72.11,72.51,71.32,72.30,283932
19-Sep-14,72.17,72.98,71.63,72.12,403404
18-Sep-14,72.20,72.51,71.81,72.11,142089
17-Sep-14,71.81,72.65,71.64,72.13,306579
16-Sep-14,71.12,72.15,70.88,71.70,344336
15-Sep-14,71.41,71.67,71.19,71.50,220495
12-Sep-14,70.78,71.54,70.77,71.44,264302
11-Sep-14,70.78,71.24,70.73,70.90,107900
10-Sep-14,70.34,71.26,70.18,70.99,268480
9-Sep-14,71.08,71.59,70.35,70.43,163942
8-Sep-14,70.96,71.35,70.78,71.26,335035
5-Sep-14,70.30,70.88,69.97,70.86,329914
4-Sep-14,68.00,70.44,67.77,70.10,698877
3-Sep-14,68.66,68.98,67.81,67.98,212059
2-Sep-14,68.03,68.68,67.85,68.50,300593
29-Aug-14,68.31,68.37,67.73,67.86,192217
28-Aug-14,68.22,68.55,67.71,68.03,131619
27-Aug-14,68.60,68.66,68.05,68.28,210165
26-Aug-14,68.40,68.56,67.92,68.42,203013
25-Aug-14,68.28,68.31,67.72,68.25,229134
22-Aug-14,67.90,68.18,67.25,67.92,142598
21-Aug-14,67.61,68.05,67.05,67.86,175668
20-Aug-14,67.63,68.22,67.27,67.64,230805
19-Aug-14,68.35,68.61,67.75,67.90,209073
18-Aug-14,67.44,68.27,67.37,68.23,223463
15-Aug-14,67.61,67.61,66.64,67.23,229519
14-Aug-14,67.07,67.20,66.62,67.17,238593
13-Aug-14,66.85,67.45,66.84,67.07,252535
12-Aug-14,65.23,66.72,64.66,66.54,298863
11-Aug-14,66.08,66.21,65.30,65.40,241262
8-Aug-14,64.77,65.69,64.47,65.60,204549
7-Aug-14,64.67,64.97,64.36,64.77,195703
6-Aug-14,64.74,65.04,64.20,64.56,283895
5-Aug-14,65.19,65.75,64.71,65.03,218935
4-Aug-14,65.45,66.02,64.64,65.25,333323
