Date,Open,High,Low,Close,Volume
23-Oct-14,21.99,22.24,21.59,22.22,406826
22-Oct-14,21.94,22.17,21.70,21.77,299308
21-Oct-14,21.80,22.14,21.75,21.84,286819
20-Oct-14,21.34,21.77,21.25,21.70,247811
17-Oct-14,21.80,21.80,21.28,21.33,394317
16-Oct-14,21.41,21.70,21.14,21.55,535166
15-Oct-14,21.38,21.88,21.05,21.70,661059
14-Oct-14,22.43,22.56,21.59,21.64,472868
13-Oct-14,21.91,22.53,21.42,22.24,329755
10-Oct-14,22.15,22.71,21.78,21.85,646685
9-Oct-14,22.69,22.77,22.30,22.30,661833
8-Oct-14,22.25,22.81,21.97,22.74,572568
7-Oct-14,22.50,22.67,22.14,22.23,622744
6-Oct-14,22.59,22.82,22.45,22.59,760969
3-Oct-14,22.60,22.67,21.98,22.47,671734
2-Oct-14,24.00,24.00,22.02,22.42,2014749
1-Oct-14,21.33,24.83,21.03,24.02,3967412
30-Sep-14,21.06,21.56,20.96,21.28,824094
29-Sep-14,20.87,21.10,20.48,21.07,476494
26-Sep-14,20.95,21.16,20.85,21.09,361815
25-Sep-14,21.04,21.23,20.67,20.93,726196
24-Sep-14,20.80,21.22,20.53,21.12,811043
23-Sep-14,20.75,20.93,20.66,20.69,819081
22-Sep-14,20.94,20.94,20.59,20.79,643592
19-Sep-14,21.20,21.47,20.97,20.99,1331841
18-Sep-14,21.24,21.40,21.10,21.17,420504
17-Sep-14,21.37,21.54,21.15,21.20,387168
16-Sep-14,21.65,21.69,21.23,21.36,529665
15-Sep-14,22.07,22.08,21.65,21.72,545116
12-Sep-14,22.30,22.51,21.96,22.09,493273
11-Sep-14,21.75,22.31,21.69,22.24,2252034
10-Sep-14,21.99,22.08,21.87,22.00,413353
9-Sep-14,22.06,22.18,21.88,21.93,402835
8-Sep-14,22.00,22.11,21.94,22.03,362643
5-Sep-14,21.88,22.05,21.75,21.99,273269
4-Sep-14,22.18,22.25,21.89,21.98,314807
3-Sep-14,22.50,22.70,21.98,22.08,423495
2-Sep-14,22.54,22.63,22.34,22.46,429278
29-Aug-14,22.15,22.45,21.94,22.44,404589
28-Aug-14,22.57,22.76,22.10,22.16,371545
27-Aug-14,22.73,22.95,22.56,22.74,230441
26-Aug-14,22.39,22.85,22.39,22.68,467309
25-Aug-14,22.54,22.62,22.25,22.39,366270
22-Aug-14,21.94,22.57,21.85,22.43,787921
21-Aug-14,21.70,22.00,21.70,21.94,518393
20-Aug-14,21.73,21.95,21.56,21.69,748185
19-Aug-14,21.90,22.09,21.83,21.88,656753
18-Aug-14,22.17,22.37,21.88,21.94,740724
15-Aug-14,22.28,22.39,21.84,21.92,723218
14-Aug-14,22.46,22.63,22.29,22.40,440627
13-Aug-14,21.84,22.56,21.84,22.44,492745
12-Aug-14,22.12,22.43,21.75,21.77,450152
11-Aug-14,21.86,22.48,21.56,22.22,668124
8-Aug-14,19.30,23.15,19.30,21.73,2018073
7-Aug-14,24.50,24.59,24.11,24.23,325408
6-Aug-14,24.00,24.55,23.81,24.48,357624
5-Aug-14,23.91,24.21,23.86,24.15,290390
4-Aug-14,24.12,24.22,23.53,24.05,325488
1-Aug-14,24.04,24.21,23.82,24.05,326570
31-Jul-14,24.39,24.53,24.06,24.08,400853
30-Jul-14,24.27,24.70,24.11,24.64,322734
29-Jul-14,24.10,24.29,23.79,24.14,267197
28-Jul-14,24.11,24.26,23.74,24.08,236231
25-Jul-14,24.18,24.52,23.88,24.14,328541
24-Jul-14,24.46,24.50,24.16,24.35,321562
23-Jul-14,24.22,24.57,23.93,24.41,270300
22-Jul-14,24.19,24.59,23.91,24.12,488205
21-Jul-14,24.35,24.35,23.88,24.03,251441
18-Jul-14,23.98,24.47,23.84,24.44,304912
17-Jul-14,24.05,24.46,23.89,24.02,410324
16-Jul-14,24.48,24.48,24.00,24.16,237253
15-Jul-14,24.42,24.46,24.05,24.30,718086
14-Jul-14,24.66,24.66,24.31,24.37,310984
11-Jul-14,24.26,24.59,24.06,24.49,257815
10-Jul-14,24.10,24.46,23.93,24.33,342323
9-Jul-14,24.38,24.75,24.14,24.40,385020
8-Jul-14,24.36,24.46,23.98,24.28,876640
7-Jul-14,24.23,24.23,23.72,23.95,308017
3-Jul-14,24.06,24.34,24.06,24.26,123514
2-Jul-14,24.14,24.28,23.82,24.00,373856
1-Jul-14,23.61,24.38,23.50,24.20,587347
30-Jun-14,23.60,23.69,23.42,23.60,504329
27-Jun-14,23.46,23.72,23.29,23.65,624539
26-Jun-14,23.40,23.72,23.30,23.63,482537
25-Jun-14,22.89,23.51,22.76,23.43,667026
24-Jun-14,23.88,23.90,22.94,23.02,716029
23-Jun-14,23.60,24.18,23.60,23.83,603868
20-Jun-14,23.54,23.88,23.32,23.58,9063873
19-Jun-14,23.36,23.68,23.09,23.48,564205
18-Jun-14,23.40,23.56,23.25,23.38,424947
17-Jun-14,23.42,23.56,23.32,23.36,620361
16-Jun-14,23.71,23.71,23.06,23.44,519349
13-Jun-14,23.66,23.66,23.10,23.27,606020
12-Jun-14,23.95,24.04,23.65,23.87,422254
11-Jun-14,24.02,24.12,23.89,23.95,163731
10-Jun-14,24.39,24.39,23.93,24.11,294035
9-Jun-14,24.07,24.46,24.06,24.39,412156
6-Jun-14,24.18,24.28,24.08,24.16,330521
5-Jun-14,24.02,24.15,23.76,23.97,531441
4-Jun-14,23.88,24.06,23.77,23.95,244466
3-Jun-14,23.95,24.12,23.72,23.97,315405
2-Jun-14,24.63,24.63,24.00,24.04,349372
30-May-14,24.85,24.90,24.50,24.64,271098
29-May-14,25.01,25.01,24.66,24.75,478872
28-May-14,24.83,24.94,24.57,24.71,484864
27-May-14,24.82,25.01,24.62,24.80,446036
23-May-14,24.73,24.77,24.55,24.58,397972
22-May-14,24.58,25.13,24.53,24.68,461230
21-May-14,24.43,24.79,24.32,24.41,471061
20-May-14,24.15,24.41,23.91,24.24,499398
19-May-14,24.05,24.60,23.84,24.28,503443
16-May-14,23.77,24.17,23.56,24.07,739851
15-May-14,23.46,24.01,23.17,23.83,934944
14-May-14,23.54,24.00,23.36,23.65,464416
13-May-14,23.77,24.09,23.00,23.63,820666
12-May-14,22.22,23.90,22.22,23.79,709976
9-May-14,22.20,22.34,21.45,22.03,1018862
8-May-14,22.91,23.16,22.55,22.58,671206
7-May-14,23.46,23.82,22.59,22.99,643538
6-May-14,22.88,23.54,22.85,23.32,1012149
5-May-14,23.53,23.68,22.70,23.04,1273136
2-May-14,24.00,24.12,23.63,23.70,717488
1-May-14,26.29,26.29,23.52,23.95,2196351
30-Apr-14,26.24,26.92,26.07,26.76,488617
29-Apr-14,26.49,28.78,26.09,26.36,300253
28-Apr-14,26.18,26.54,25.75,26.31,170065
25-Apr-14,26.34,26.74,25.95,26.05,260518
24-Apr-14,26.90,26.96,26.38,26.52,182423
23-Apr-14,27.58,27.58,26.76,26.79,264522
22-Apr-14,27.10,27.70,27.10,27.56,302094
21-Apr-14,26.57,27.04,26.56,27.03,160384
17-Apr-14,26.28,26.80,26.05,26.59,219312
16-Apr-14,26.69,26.69,26.11,26.34,280284
15-Apr-14,26.46,26.63,25.65,26.50,433304
14-Apr-14,26.30,26.61,26.11,26.38,232918
11-Apr-14,25.90,26.40,25.80,26.16,302656
10-Apr-14,26.89,26.98,25.94,26.14,400021
9-Apr-14,26.63,26.92,26.36,26.92,212325
8-Apr-14,26.69,26.73,26.18,26.52,262531
7-Apr-14,27.59,27.59,26.37,26.69,443411
4-Apr-14,28.19,28.64,27.70,27.73,577325
