Date,Open,High,Low,Close,Volume
21-Oct-14,34.00,34.00,33.25,33.26,5070
16-Oct-14,33.25,33.25,33.25,33.25,100
15-Oct-14,33.30,33.78,33.30,33.78,538
14-Oct-14,33.30,33.30,33.30,33.30,1827
10-Oct-14,33.25,33.25,33.25,33.25,300
9-Oct-14,33.25,33.25,33.20,33.25,442
8-Oct-14,33.35,33.35,33.35,33.35,500
6-Oct-14,33.30,33.30,33.25,33.25,1140
2-Oct-14,33.50,33.50,33.50,33.50,328
1-Oct-14,33.85,33.85,33.80,33.80,500
30-Sep-14,33.82,33.85,33.82,33.85,625
26-Sep-14,35.86,35.86,35.70,35.70,802
23-Sep-14,33.25,33.25,33.25,33.25,286
19-Sep-14,33.25,33.25,33.10,33.22,1300
18-Sep-14,33.50,33.50,33.10,33.10,2576
17-Sep-14,34.98,34.98,34.93,34.93,388
16-Sep-14,35.50,35.50,35.50,35.50,443
10-Sep-14,32.46,32.46,32.46,32.46,1250
9-Sep-14,32.40,32.47,32.40,32.40,1449
8-Sep-14,31.90,32.01,31.90,32.01,1400
5-Sep-14,30.72,31.50,30.72,31.50,2800
4-Sep-14,30.46,30.46,30.46,30.46,101
29-Aug-14,30.00,30.47,30.00,30.47,950
28-Aug-14,30.25,30.25,30.00,30.00,1294
27-Aug-14,30.47,30.47,30.25,30.25,283
26-Aug-14,30.47,30.47,30.47,30.47,5065
25-Aug-14,30.47,30.47,30.47,30.47,1389
22-Aug-14,30.47,30.47,30.47,30.47,385
21-Aug-14,30.00,30.00,30.00,30.00,853
14-Aug-14,30.00,30.00,30.00,30.00,100
6-Aug-14,29.50,29.50,29.50,29.50,200
5-Aug-14,29.50,29.50,29.50,29.50,650
1-Aug-14,29.50,29.50,29.50,29.50,150
29-Jul-14,28.90,29.40,28.90,29.00,940
25-Jul-14,29.50,29.50,29.50,29.50,410
24-Jul-14,29.50,29.50,28.55,29.50,1274
23-Jul-14,29.50,29.50,29.50,29.50,500
22-Jul-14,29.50,29.50,29.50,29.50,450
16-Jul-14,29.00,29.50,29.00,29.00,2309
11-Jul-14,30.24,30.24,28.55,28.55,1338
10-Jul-14,30.24,30.24,30.24,30.24,525
9-Jul-14,30.24,30.24,30.24,30.24,5000
8-Jul-14,30.00,30.00,30.00,30.00,273
3-Jul-14,30.24,30.24,30.24,30.24,200
27-Jun-14,29.50,29.50,29.50,29.50,400
24-Jun-14,28.50,28.50,28.50,28.50,400
20-Jun-14,30.00,30.00,29.01,29.01,460
19-Jun-14,29.00,29.75,29.00,29.75,580
18-Jun-14,28.75,28.75,28.75,28.75,412
17-Jun-14,28.25,28.25,28.25,28.25,1194
11-Jun-14,28.25,28.25,28.25,28.25,695
10-Jun-14,28.25,28.25,28.25,28.25,498
6-Jun-14,28.25,28.25,28.25,28.25,200
5-Jun-14,28.25,28.25,28.25,28.25,655
30-May-14,28.10,28.10,28.00,28.00,1920
28-May-14,28.10,28.10,28.10,28.10,120
27-May-14,30.50,30.50,30.50,30.50,124
20-May-14,27.85,28.00,27.85,28.00,1587
16-May-14,27.75,27.75,27.75,27.75,500
13-May-14,27.38,27.38,27.25,27.25,2100
12-May-14,27.75,27.75,27.50,27.50,1300
9-May-14,27.75,27.75,27.75,27.75,594
8-May-14,27.50,27.50,27.50,27.50,100
7-May-14,27.25,27.25,27.25,27.25,700
6-May-14,27.25,27.25,27.25,27.25,194
5-May-14,27.25,27.25,27.25,27.25,2010
2-May-14,27.50,27.50,27.50,27.50,200
1-May-14,27.25,27.50,27.25,27.25,1694
30-Apr-14,27.25,27.40,27.25,27.25,3325
29-Apr-14,27.75,27.75,27.75,27.75,1000
28-Apr-14,27.50,27.50,27.15,27.20,2800
25-Apr-14,27.75,27.75,27.75,27.75,1300
15-Apr-14,27.75,27.75,27.75,27.75,200
11-Apr-14,27.05,27.05,27.05,27.05,650
10-Apr-14,27.05,27.05,27.05,27.05,350
9-Apr-14,27.05,27.05,27.05,27.05,105
8-Apr-14,27.07,27.07,27.07,27.07,1600
4-Apr-14,27.10,27.10,27.05,27.05,1500
3-Apr-14,27.10,27.10,27.10,27.10,250
2-Apr-14,27.10,27.10,27.10,27.10,400
31-Mar-14,27.50,27.50,27.10,27.10,346
27-Mar-14,27.10,27.10,27.10,27.10,350
24-Mar-14,28.00,28.00,28.00,28.00,426
19-Mar-14,27.05,27.05,27.05,27.05,2050
14-Mar-14,27.05,27.05,27.05,27.05,700
11-Mar-14,27.05,27.05,27.05,27.05,250
10-Mar-14,27.05,27.05,27.05,27.05,450
7-Mar-14,27.05,27.05,27.05,27.05,400
6-Mar-14,27.90,27.95,27.90,27.95,500
5-Mar-14,27.05,27.05,27.05,27.05,700
4-Mar-14,27.10,27.10,27.10,27.10,2237
27-Feb-14,27.05,27.05,27.05,27.05,139
25-Feb-14,27.10,27.10,27.10,27.10,3067
21-Feb-14,27.25,27.25,27.25,27.25,1590
20-Feb-14,27.15,27.15,27.05,27.05,640
18-Feb-14,27.10,27.10,27.10,27.10,300
14-Feb-14,27.00,27.00,27.00,27.00,163
12-Feb-14,26.85,26.85,26.85,26.85,2912
7-Feb-14,27.75,27.85,27.75,27.75,424
5-Feb-14,27.75,27.75,27.75,27.75,100
4-Feb-14,26.60,26.60,26.60,26.60,330
31-Jan-14,27.50,27.50,26.35,26.35,2591
27-Jan-14,26.75,27.08,26.75,27.08,500
24-Jan-14,26.75,26.75,26.75,26.75,100
17-Jan-14,26.35,26.35,26.35,26.35,100
16-Jan-14,26.25,26.35,26.25,26.35,200
15-Jan-14,25.75,26.00,25.75,26.00,1535
7-Jan-14,26.00,26.00,26.00,26.00,196
31-Dec-13,26.00,26.00,26.00,26.00,39752
30-Dec-13,26.25,26.25,26.25,26.25,500
27-Dec-13,26.00,26.00,26.00,26.00,30550
26-Dec-13,25.75,26.00,25.15,26.00,14642
23-Dec-13,26.00,26.00,26.00,26.00,3588
20-Dec-13,25.35,25.35,25.35,25.35,98520
19-Dec-13,25.40,25.40,25.40,25.40,1680
18-Dec-13,25.40,25.40,25.40,25.40,9000
17-Dec-13,25.07,25.40,25.07,25.40,3321
16-Dec-13,25.40,25.40,25.39,25.39,235
13-Dec-13,25.40,25.40,25.40,25.40,480
11-Dec-13,25.40,25.40,25.40,25.40,100
6-Dec-13,24.99,24.99,24.99,24.99,1200
5-Dec-13,25.25,25.50,25.25,25.50,1000
26-Nov-13,25.24,25.24,25.24,25.24,100
25-Nov-13,25.17,25.25,25.17,25.25,850
14-Nov-13,25.80,25.80,25.80,25.80,300
13-Nov-13,25.17,25.17,25.17,25.17,220
12-Nov-13,25.27,25.27,25.17,25.25,496
8-Nov-13,25.50,25.50,25.50,25.50,319
5-Nov-13,25.26,25.50,25.11,25.11,1119
29-Oct-13,26.00,26.00,25.99,25.99,1300
28-Oct-13,25.00,25.00,25.00,25.00,390
25-Oct-13,26.00,26.00,24.85,26.00,9905
24-Oct-13,25.95,27.99,25.95,27.99,260
23-Oct-13,25.95,25.95,25.95,25.95,964
21-Oct-13,26.00,26.44,25.80,26.44,747
17-Oct-13,25.50,25.50,25.10,25.10,2428
16-Oct-13,26.00,26.00,25.85,26.00,644
15-Oct-13,26.10,26.10,25.96,26.07,9504
14-Oct-13,26.50,26.50,26.50,26.50,300
11-Oct-13,26.62,26.62,26.62,26.62,200
10-Oct-13,27.57,27.75,27.50,27.75,1200
3-Oct-13,27.75,27.75,27.75,27.75,100
30-Sep-13,28.26,28.26,28.00,28.00,331
19-Sep-13,29.00,29.00,29.00,29.00,206
17-Sep-13,28.26,29.00,28.26,29.00,897
