Date,Open,High,Low,Close,Volume
20-Oct-14,25.21,25.22,25.21,25.22,2475
17-Oct-14,25.17,25.17,25.17,25.17,4275
16-Oct-14,25.21,25.21,25.20,25.20,11000
15-Oct-14,25.21,25.21,25.20,25.21,1200
14-Oct-14,25.17,25.17,25.17,25.17,400
7-Oct-14,25.16,25.16,25.13,25.13,900
6-Oct-14,25.12,25.12,25.09,25.12,4100
3-Oct-14,25.05,25.08,25.05,25.05,26902
2-Oct-14,25.10,25.14,25.05,25.11,26300
1-Oct-14,25.10,25.16,25.04,25.09,66204
30-Sep-14,25.06,25.13,25.03,25.08,19231
29-Sep-14,25.09,25.10,25.02,25.08,26100
25-Sep-14,25.06,25.06,25.02,25.02,360
24-Sep-14,25.09,25.24,25.00,25.00,10150
18-Sep-14,25.01,25.01,25.01,25.01,301
17-Sep-14,25.03,25.03,25.03,25.03,5800
15-Sep-14,25.02,25.02,25.02,25.02,100
12-Sep-14,25.01,25.01,25.00,25.00,3500
11-Sep-14,25.03,25.03,25.03,25.03,2401
10-Sep-14,25.04,25.04,25.04,25.04,200
5-Sep-14,25.04,25.05,25.04,25.05,400
4-Sep-14,24.96,25.03,24.96,25.03,301
