Date,Open,High,Low,Close,Volume
23-Oct-14,19.00,19.01,19.00,19.01,366
22-Oct-14,19.10,19.10,19.00,19.05,1914
20-Oct-14,19.10,19.10,19.10,19.10,200
17-Oct-14,19.20,19.20,19.00,19.00,5101
15-Oct-14,19.00,19.00,19.00,19.00,5285
14-Oct-14,18.81,18.81,18.80,18.80,1436
29-Sep-14,19.26,19.29,19.25,19.25,2032
26-Sep-14,19.10,19.10,19.10,19.10,630
25-Sep-14,19.15,19.15,19.15,19.15,122
23-Sep-14,19.57,19.57,19.00,19.00,10124
19-Sep-14,19.44,19.49,19.44,19.49,3461
17-Sep-14,18.98,19.00,18.95,19.00,8784
16-Sep-14,18.96,18.96,18.95,18.95,1684
15-Sep-14,18.75,18.77,18.75,18.77,429
12-Sep-14,18.63,18.75,18.63,18.75,455
11-Sep-14,18.64,18.99,18.64,18.99,2376
10-Sep-14,18.76,18.99,18.60,18.60,3719
9-Sep-14,18.75,18.75,18.75,18.75,442
8-Sep-14,18.70,18.72,18.70,18.70,2521
5-Sep-14,18.69,18.69,18.69,18.69,108
4-Sep-14,18.71,18.94,18.71,18.94,4335
3-Sep-14,18.67,18.67,18.67,18.67,200
2-Sep-14,18.66,18.67,18.65,18.67,960
26-Aug-14,18.99,18.99,18.99,18.99,216
22-Aug-14,18.84,18.91,18.84,18.91,450
20-Aug-14,18.65,18.65,18.65,18.65,1213
19-Aug-14,18.65,18.65,18.65,18.65,2000
15-Aug-14,18.55,18.75,18.50,18.68,7427
14-Aug-14,18.72,18.72,18.72,18.72,1700
13-Aug-14,18.50,18.50,18.50,18.50,550
12-Aug-14,18.20,18.61,18.20,18.50,17829
1-Aug-14,18.50,18.52,18.50,18.52,2192
28-Jul-14,18.52,18.52,18.50,18.50,922
24-Jul-14,18.38,18.38,18.06,18.06,250
22-Jul-14,18.36,18.58,18.06,18.36,1149
21-Jul-14,18.40,18.50,18.01,18.01,2578
17-Jul-14,18.65,18.65,18.20,18.58,4210
16-Jul-14,18.70,18.70,18.40,18.60,2100
14-Jul-14,18.68,18.68,18.51,18.51,300
11-Jul-14,18.35,18.71,18.35,18.52,4227
10-Jul-14,18.20,18.37,18.20,18.36,7716
9-Jul-14,18.11,18.21,18.00,18.21,15560
8-Jul-14,18.00,18.00,18.00,18.00,3000
7-Jul-14,18.00,18.18,18.00,18.15,854
3-Jul-14,18.11,18.36,18.03,18.11,8154
2-Jul-14,18.15,18.16,18.03,18.08,858
1-Jul-14,18.17,18.17,18.17,18.17,118
30-Jun-14,18.01,18.01,18.01,18.01,182
27-Jun-14,18.10,18.10,18.10,18.10,1051
26-Jun-14,18.13,18.19,18.13,18.16,3143
25-Jun-14,18.20,18.37,18.18,18.18,2396
24-Jun-14,18.16,18.16,18.16,18.16,283
20-Jun-14,18.36,18.37,18.36,18.37,2112
19-Jun-14,18.36,18.37,18.25,18.25,9464
18-Jun-14,18.23,18.23,18.23,18.23,185
17-Jun-14,18.17,18.20,18.17,18.19,2382
16-Jun-14,18.10,18.10,18.10,18.10,537
13-Jun-14,18.10,18.10,18.10,18.10,236
12-Jun-14,18.12,18.13,18.10,18.10,3213
11-Jun-14,18.10,18.10,18.10,18.10,127
10-Jun-14,18.00,18.10,18.00,18.10,1393
9-Jun-14,18.00,18.00,18.00,18.00,354
4-Jun-14,18.15,18.15,18.09,18.10,3553
2-Jun-14,18.10,18.10,18.10,18.10,100
29-May-14,18.00,18.00,18.00,18.00,300
27-May-14,18.10,18.10,18.00,18.00,1666
23-May-14,18.10,18.10,18.10,18.10,1348
22-May-14,18.10,18.10,18.10,18.10,400
21-May-14,18.10,18.10,18.10,18.10,1200
20-May-14,18.20,18.20,18.15,18.15,2079
16-May-14,18.00,18.00,18.00,18.00,1637
14-May-14,18.00,18.05,18.00,18.01,845
13-May-14,18.19,18.19,18.00,18.00,6353
12-May-14,18.30,18.30,18.30,18.30,190
9-May-14,17.98,18.03,17.98,18.00,14089
8-May-14,18.00,18.15,18.00,18.15,4411
6-May-14,18.10,18.15,18.08,18.15,4247
5-May-14,18.00,18.00,18.00,18.00,161
29-Apr-14,18.35,18.35,18.35,18.35,100
25-Apr-14,18.05,18.22,18.05,18.22,235
24-Apr-14,18.37,18.37,18.37,18.37,1000
23-Apr-14,18.19,18.19,18.19,18.19,600
22-Apr-14,18.00,18.00,18.00,18.00,100
21-Apr-14,17.74,18.37,17.74,18.36,5322
17-Apr-14,18.20,18.40,18.16,18.16,4782
16-Apr-14,18.10,18.20,18.08,18.08,16904
15-Apr-14,18.10,18.10,18.10,18.10,1300
14-Apr-14,18.11,18.11,18.10,18.10,2052
11-Apr-14,18.00,18.00,18.00,18.00,5350
10-Apr-14,18.00,18.00,18.00,18.00,1000
9-Apr-14,18.00,18.10,18.00,18.00,2540
8-Apr-14,18.00,18.00,18.00,18.00,4200
7-Apr-14,18.04,18.04,18.04,18.04,100
4-Apr-14,18.01,18.01,18.00,18.00,11610
2-Apr-14,17.89,17.89,17.89,17.89,300
1-Apr-14,17.93,18.00,17.93,18.00,507
31-Mar-14,18.04,18.04,18.00,18.00,2350
27-Mar-14,18.29,18.29,18.00,18.00,14118
26-Mar-14,18.00,18.00,18.00,18.00,8000
25-Mar-14,17.99,17.99,17.95,17.96,5968
24-Mar-14,18.22,18.26,18.22,18.26,562
21-Mar-14,17.95,18.25,17.91,18.25,4619
20-Mar-14,17.95,17.95,17.70,17.70,745
19-Mar-14,17.97,17.98,17.95,17.96,474
18-Mar-14,18.00,18.07,17.99,18.07,49012
17-Mar-14,18.00,18.02,18.00,18.00,1259
13-Mar-14,18.00,18.10,18.00,18.00,17097
12-Mar-14,17.98,17.98,17.98,17.98,251
11-Mar-14,17.98,17.98,17.98,17.98,1025
10-Mar-14,18.00,18.00,18.00,18.00,514
7-Mar-14,17.78,18.00,17.78,18.00,7600
6-Mar-14,17.49,17.90,17.47,17.90,11290
5-Mar-14,17.39,17.49,17.39,17.49,1780
4-Mar-14,17.40,17.40,17.40,17.40,774
3-Mar-14,17.30,17.49,17.30,17.49,27372
28-Feb-14,17.08,17.08,17.08,17.08,700
27-Feb-14,17.05,17.08,17.05,17.05,8050
24-Feb-14,17.00,17.00,17.00,17.00,4020
20-Feb-14,17.01,17.03,17.00,17.00,7999
19-Feb-14,16.96,17.00,16.96,17.00,400
18-Feb-14,16.99,17.00,16.99,17.00,1500
13-Feb-14,16.75,17.10,16.74,17.10,2900
