Date,Open,High,Low,Close,Volume
23-Oct-14,19.25,19.64,19.02,19.29,132297
22-Oct-14,19.82,20.00,18.75,18.98,266433
21-Oct-14,18.71,19.72,18.71,19.66,182145
20-Oct-14,17.63,18.49,17.32,18.40,136910
17-Oct-14,16.70,18.22,16.70,17.63,332742
16-Oct-14,15.09,16.90,14.76,16.63,283210
15-Oct-14,15.03,15.62,14.50,15.08,345628
14-Oct-14,15.95,16.20,14.88,15.17,310851
13-Oct-14,17.74,18.31,15.98,16.20,227689
10-Oct-14,19.14,19.14,17.05,17.74,286486
9-Oct-14,20.01,21.00,19.03,19.31,134580
8-Oct-14,21.31,21.31,19.48,20.19,309522
7-Oct-14,21.43,21.53,21.03,21.30,81825
6-Oct-14,21.69,21.70,21.10,21.38,63215
3-Oct-14,21.98,21.98,21.51,21.70,28016
2-Oct-14,21.93,21.93,21.20,21.80,110473
1-Oct-14,22.00,22.25,21.51,21.93,135185
30-Sep-14,22.00,22.14,21.86,21.95,34370
29-Sep-14,21.87,22.01,21.45,22.00,46130
26-Sep-14,21.70,21.89,21.45,21.85,74383
25-Sep-14,21.85,21.85,21.51,21.69,47319
24-Sep-14,21.95,21.95,21.50,21.83,120509
23-Sep-14,21.57,22.00,21.57,21.99,55474
22-Sep-14,21.83,21.83,21.57,21.71,33494
19-Sep-14,21.97,22.03,21.88,21.94,44853
18-Sep-14,21.98,22.00,21.50,21.96,114451
17-Sep-14,21.85,22.12,21.76,21.98,50853
16-Sep-14,21.75,21.85,21.64,21.82,99384
15-Sep-14,21.74,21.74,21.53,21.58,33715
12-Sep-14,21.80,21.85,21.60,21.64,62066
11-Sep-14,21.89,21.90,21.61,21.74,72379
10-Sep-14,22.15,22.15,21.85,22.03,46429
9-Sep-14,21.99,22.14,21.76,22.09,41352
8-Sep-14,22.13,22.23,21.76,21.96,46031
5-Sep-14,22.07,22.19,21.90,22.03,28542
4-Sep-14,22.50,22.50,21.95,21.95,102764
3-Sep-14,22.53,22.53,22.34,22.43,32269
2-Sep-14,22.46,22.96,22.14,22.52,126776
29-Aug-14,22.53,22.53,22.28,22.38,96111
28-Aug-14,22.45,22.57,22.40,22.45,68162
27-Aug-14,22.45,22.50,22.30,22.45,66179
26-Aug-14,22.20,22.50,22.20,22.40,111977
25-Aug-14,22.09,22.37,22.09,22.30,77638
22-Aug-14,22.31,22.31,22.05,22.16,56367
21-Aug-14,22.06,22.20,22.00,22.17,51623
20-Aug-14,22.20,22.20,21.95,22.04,58488
19-Aug-14,22.18,22.19,21.95,22.13,67604
18-Aug-14,22.19,22.20,21.88,22.09,150464
15-Aug-14,22.13,22.25,21.90,22.05,86005
14-Aug-14,22.00,22.38,21.95,22.00,126018
13-Aug-14,22.33,22.55,22.15,22.30,139910
12-Aug-14,23.10,23.10,22.60,22.62,92051
11-Aug-14,22.64,22.84,22.41,22.60,104785
8-Aug-14,22.70,22.71,22.30,22.32,69763
7-Aug-14,22.48,22.70,22.45,22.68,58515
