Date,Open,High,Low,Close,Volume
23-Oct-14,4.01,4.01,3.86,3.99,952
22-Oct-14,3.72,3.90,3.72,3.85,10840
21-Oct-14,3.83,3.83,3.83,3.83,542
20-Oct-14,3.74,3.88,3.73,3.85,10146
17-Oct-14,3.78,3.78,3.70,3.78,6653
16-Oct-14,3.70,3.76,3.70,3.76,800
15-Oct-14,3.70,3.83,3.70,3.70,3527
14-Oct-14,3.70,3.71,3.70,3.71,460
13-Oct-14,3.78,3.90,3.64,3.69,17849
10-Oct-14,3.70,3.82,3.70,3.82,7225
9-Oct-14,3.90,3.90,3.70,3.70,10894
8-Oct-14,3.97,4.09,3.88,3.88,4021
7-Oct-14,3.86,4.13,3.86,4.08,1800
6-Oct-14,4.15,4.15,4.05,4.05,2554
3-Oct-14,4.15,4.15,4.15,4.15,450
2-Oct-14,4.22,4.23,3.97,3.97,25718
1-Oct-14,3.87,4.24,3.87,4.10,31340
30-Sep-14,3.82,3.86,3.82,3.86,445
29-Sep-14,3.90,3.90,3.82,3.82,900
26-Sep-14,4.22,4.22,3.89,4.00,1605
25-Sep-14,4.25,4.25,4.04,4.08,2460
24-Sep-14,3.75,4.31,3.75,4.24,37101
23-Sep-14,3.69,3.95,3.69,3.84,9000
22-Sep-14,3.75,3.84,3.69,3.69,6060
19-Sep-14,3.85,3.99,3.69,3.70,52926
18-Sep-14,3.97,4.00,3.85,3.90,12519
17-Sep-14,3.69,3.97,3.56,3.97,40269
16-Sep-14,3.81,3.98,3.68,3.72,7596
15-Sep-14,3.91,3.95,3.70,3.87,17551
12-Sep-14,3.91,4.30,3.83,3.88,97473
11-Sep-14,4.11,4.20,3.95,3.99,64088
10-Sep-14,4.22,4.27,4.22,4.27,525
9-Sep-14,4.26,4.37,4.18,4.27,7700
8-Sep-14,4.20,4.43,4.20,4.30,18909
5-Sep-14,4.10,4.22,4.02,4.22,29232
4-Sep-14,4.04,4.21,4.04,4.13,26332
3-Sep-14,4.03,4.13,4.02,4.13,3934
2-Sep-14,4.01,4.04,4.01,4.02,4271
29-Aug-14,4.05,4.05,4.05,4.05,1530
27-Aug-14,4.01,4.01,4.01,4.01,270
26-Aug-14,4.08,4.09,4.01,4.01,2257
25-Aug-14,4.01,4.01,4.01,4.01,18644
22-Aug-14,4.01,4.03,4.01,4.01,3239
21-Aug-14,4.10,4.10,4.01,4.02,12638
20-Aug-14,4.02,4.12,4.02,4.05,5314
19-Aug-14,4.15,4.15,4.15,4.15,220
18-Aug-14,4.02,4.19,4.01,4.16,2017
15-Aug-14,4.04,4.14,4.01,4.14,8621
14-Aug-14,4.18,4.22,4.02,4.03,22805
13-Aug-14,4.03,4.23,4.03,4.04,3302
12-Aug-14,4.07,4.13,4.02,4.02,8322
11-Aug-14,4.10,4.21,4.02,4.06,34261
8-Aug-14,4.25,4.25,4.02,4.02,47518
7-Aug-14,4.15,4.21,4.15,4.19,18192
6-Aug-14,4.15,4.24,4.06,4.15,3400
5-Aug-14,4.28,4.28,4.15,4.15,7278
4-Aug-14,4.17,4.26,4.15,4.15,5570
1-Aug-14,4.22,4.38,4.15,4.16,43054
31-Jul-14,4.25,4.34,4.18,4.27,5301
30-Jul-14,4.44,4.49,4.30,4.35,22691
29-Jul-14,4.27,4.57,4.20,4.23,69279
28-Jul-14,4.25,4.39,4.25,4.32,2814
25-Jul-14,4.27,4.44,4.19,4.23,9084
24-Jul-14,4.36,4.42,4.27,4.38,2651
23-Jul-14,4.31,4.54,4.30,4.30,16519
22-Jul-14,4.32,4.69,4.30,4.45,16287
21-Jul-14,4.29,4.49,4.25,4.29,5070
18-Jul-14,4.18,4.75,4.18,4.29,28735
17-Jul-14,4.30,4.35,4.15,4.28,1301
16-Jul-14,4.11,4.38,4.11,4.32,6812
15-Jul-14,4.30,4.30,4.28,4.28,340
11-Jul-14,4.25,4.28,4.23,4.23,3160
10-Jul-14,4.11,4.30,4.11,4.28,4623
9-Jul-14,4.12,4.27,4.10,4.21,14108
8-Jul-14,4.23,4.23,4.20,4.21,2062
7-Jul-14,4.51,4.57,4.20,4.32,17423
3-Jul-14,4.46,4.73,4.46,4.58,24004
2-Jul-14,4.00,4.51,4.00,4.38,25408
1-Jul-14,4.16,4.16,4.01,4.02,5106
30-Jun-14,3.78,3.99,3.78,3.99,10196
27-Jun-14,3.92,3.99,3.77,3.86,21329
26-Jun-14,4.00,4.05,3.90,3.99,12202
25-Jun-14,4.00,4.07,3.94,3.99,15816
24-Jun-14,4.20,4.21,4.02,4.08,26142
23-Jun-14,4.80,4.80,4.29,4.29,99948
20-Jun-14,4.83,4.84,4.83,4.84,574
19-Jun-14,4.84,4.84,4.75,4.83,1578
18-Jun-14,4.73,4.85,4.73,4.80,8656
17-Jun-14,4.63,4.73,4.63,4.72,6575
16-Jun-14,4.57,4.64,4.57,4.60,4887
13-Jun-14,4.60,4.63,4.55,4.58,10382
12-Jun-14,4.66,4.68,4.57,4.60,7581
11-Jun-14,4.60,4.73,4.60,4.71,4989
10-Jun-14,4.51,4.69,4.51,4.67,6455
9-Jun-14,4.80,4.81,4.51,4.51,22241
6-Jun-14,4.70,4.83,4.70,4.76,3465
5-Jun-14,4.65,4.90,4.65,4.70,8337
4-Jun-14,4.90,4.98,4.51,4.51,19352
3-Jun-14,4.99,5.00,4.84,4.90,9745
2-Jun-14,5.13,5.16,4.81,5.00,59357
30-May-14,5.01,5.45,4.90,4.96,72025
29-May-14,5.78,5.78,5.10,5.10,132931
28-May-14,4.80,5.48,4.80,5.01,88025
27-May-14,4.52,4.84,4.30,4.79,57399
23-May-14,3.91,4.70,3.90,4.52,80387
22-May-14,3.77,4.01,3.77,3.85,12662
21-May-14,3.96,4.00,3.77,3.92,13955
20-May-14,3.86,3.98,3.75,3.88,11283
19-May-14,3.72,3.98,3.72,3.90,8525
16-May-14,3.61,3.80,3.61,3.80,8310
15-May-14,3.59,3.70,3.52,3.60,8442
14-May-14,3.62,3.74,3.48,3.48,5507
13-May-14,3.60,3.70,3.57,3.57,15929
12-May-14,3.51,3.60,3.49,3.60,11413
9-May-14,3.48,3.50,3.48,3.48,890
