Date,Open,High,Low,Close,Volume
23-Oct-14,21.66,21.81,21.60,21.61,348639
22-Oct-14,21.73,21.73,21.54,21.57,472364
21-Oct-14,21.55,21.67,21.52,21.67,257811
20-Oct-14,21.39,21.58,21.34,21.58,139484
17-Oct-14,21.44,21.50,21.23,21.34,185366
16-Oct-14,20.98,21.33,20.74,21.32,473726
15-Oct-14,20.96,21.08,20.68,21.03,403411
14-Oct-14,21.02,21.16,20.86,20.99,228147
13-Oct-14,21.15,21.22,20.91,20.92,260940
10-Oct-14,21.28,21.28,20.98,21.14,167501
9-Oct-14,21.49,21.51,21.21,21.22,392760
8-Oct-14,21.38,21.49,21.19,21.49,213609
7-Oct-14,21.43,21.49,21.34,21.36,169142
6-Oct-14,21.58,21.60,21.42,21.49,168240
3-Oct-14,21.51,21.56,21.42,21.51,242283
2-Oct-14,21.61,21.70,21.28,21.48,253072
1-Oct-14,21.67,21.71,21.41,21.47,156572
30-Sep-14,21.60,21.60,21.45,21.51,289540
29-Sep-14,21.43,21.54,21.41,21.53,154296
26-Sep-14,21.51,21.55,21.33,21.55,154311
25-Sep-14,21.55,21.57,21.43,21.47,183584
24-Sep-14,21.56,21.63,21.50,21.59,174212
23-Sep-14,21.77,21.77,21.58,21.60,224223
22-Sep-14,22.01,22.01,21.81,21.81,269267
19-Sep-14,22.01,22.01,21.93,22.00,342274
18-Sep-14,22.04,22.12,21.93,21.95,228063
17-Sep-14,21.91,22.08,21.91,21.99,267142
16-Sep-14,21.81,22.00,21.81,21.97,382187
15-Sep-14,21.87,21.91,21.80,21.86,165874
12-Sep-14,22.21,22.21,21.87,21.92,172768
11-Sep-14,22.18,22.18,22.05,22.17,188513
10-Sep-14,22.27,22.27,22.09,22.16,129435
9-Sep-14,22.32,22.32,22.17,22.17,173446
8-Sep-14,22.36,22.37,22.21,22.28,157263
5-Sep-14,22.25,22.33,22.15,22.33,160256
4-Sep-14,22.35,22.35,22.18,22.23,196774
3-Sep-14,22.40,22.40,22.29,22.32,154792
2-Sep-14,22.40,22.40,22.28,22.33,119603
29-Aug-14,22.32,22.42,22.29,22.38,174597
28-Aug-14,22.31,22.34,22.25,22.29,193283
27-Aug-14,22.31,22.35,22.22,22.35,313995
26-Aug-14,22.26,22.28,22.21,22.24,241068
25-Aug-14,22.13,22.23,22.13,22.23,157180
22-Aug-14,22.28,22.28,22.12,22.16,168221
21-Aug-14,22.27,22.27,22.19,22.25,208194
20-Aug-14,22.31,22.33,22.22,22.33,225666
19-Aug-14,22.26,22.27,22.22,22.26,266668
18-Aug-14,22.19,22.23,22.15,22.21,157564
15-Aug-14,22.10,22.20,22.06,22.15,209929
14-Aug-14,22.07,22.13,22.03,22.09,249546
13-Aug-14,22.01,22.01,21.90,22.01,207968
12-Aug-14,21.85,21.96,21.85,21.92,127006
11-Aug-14,21.93,22.01,21.91,21.94,131536
8-Aug-14,21.70,21.75,21.59,21.75,113835
7-Aug-14,21.54,21.68,21.54,21.63,90401
6-Aug-14,21.50,21.59,21.47,21.57,120581
5-Aug-14,21.63,21.70,21.51,21.57,168318
4-Aug-14,21.68,21.71,21.53,21.71,229574
1-Aug-14,21.64,21.69,21.54,21.61,225382
31-Jul-14,21.93,21.93,21.62,21.66,268179
30-Jul-14,22.09,22.13,21.86,21.91,193568
29-Jul-14,22.16,22.16,22.04,22.05,143927
28-Jul-14,22.13,22.13,22.03,22.09,138252
25-Jul-14,22.17,22.17,22.03,22.06,191240
24-Jul-14,22.16,22.20,22.11,22.15,156063
23-Jul-14,22.14,22.16,22.07,22.11,165399
22-Jul-14,22.05,22.14,22.05,22.12,164867
21-Jul-14,22.21,22.21,22.10,22.17,103980
18-Jul-14,22.03,22.20,22.03,22.19,142339
17-Jul-14,22.23,22.23,22.06,22.09,208453
16-Jul-14,22.24,22.24,22.12,22.21,187728
15-Jul-14,22.21,22.21,22.08,22.17,126204
14-Jul-14,22.25,22.25,22.13,22.14,121071
11-Jul-14,22.16,22.21,22.12,22.21,166463
10-Jul-14,22.09,22.18,22.07,22.17,141907
9-Jul-14,22.22,22.23,22.13,22.21,161752
8-Jul-14,22.18,22.24,22.11,22.18,142919
7-Jul-14,22.24,22.26,22.12,22.16,164790
3-Jul-14,22.27,22.32,22.16,22.22,61585
2-Jul-14,22.41,22.42,22.24,22.27,159311
1-Jul-14,22.44,22.46,22.36,22.41,127439
30-Jun-14,22.24,22.38,22.24,22.38,214266
27-Jun-14,22.28,22.33,22.22,22.33,123597
26-Jun-14,22.32,22.32,22.17,22.27,146760
25-Jun-14,22.23,22.26,22.16,22.26,280923
24-Jun-14,22.22,22.29,22.17,22.21,186860
23-Jun-14,22.32,22.33,22.25,22.30,176371
20-Jun-14,22.36,22.44,22.31,22.32,190681
19-Jun-14,22.25,22.38,22.22,22.38,219187
18-Jun-14,22.17,22.25,22.13,22.25,171853
17-Jun-14,22.16,22.17,22.10,22.16,191340
16-Jun-14,22.14,22.18,22.11,22.15,156790
13-Jun-14,22.04,22.11,22.00,22.11,114748
12-Jun-14,22.16,22.26,21.94,22.00,170948
11-Jun-14,22.16,22.16,22.00,22.01,196764
