Date,Open,High,Low,Close,Volume
23-Oct-14,9.01,9.35,9.01,9.12,853918
22-Oct-14,8.70,9.16,8.65,8.93,1065093
21-Oct-14,8.44,8.82,8.35,8.65,759886
20-Oct-14,8.28,8.70,8.28,8.39,696295
17-Oct-14,8.65,8.74,8.01,8.29,1002428
16-Oct-14,8.50,8.80,8.32,8.49,1549719
15-Oct-14,8.00,9.00,7.74,8.80,2905493
14-Oct-14,7.42,7.95,7.23,7.94,1201501
13-Oct-14,7.20,7.50,7.02,7.24,1143239
10-Oct-14,7.03,7.18,6.89,6.91,445746
9-Oct-14,7.11,7.24,6.92,7.09,625179
8-Oct-14,6.98,7.31,6.91,7.14,592541
7-Oct-14,7.01,7.11,6.85,6.98,520656
6-Oct-14,7.32,7.32,7.02,7.02,363173
3-Oct-14,7.29,7.40,7.00,7.30,397763
2-Oct-14,7.00,7.22,6.81,7.18,503795
1-Oct-14,7.10,7.16,6.90,6.98,482560
30-Sep-14,7.37,7.45,7.13,7.13,449820
29-Sep-14,7.12,7.44,7.12,7.40,362551
26-Sep-14,7.17,7.24,7.15,7.21,300780
25-Sep-14,7.26,7.27,6.98,7.14,512258
24-Sep-14,6.99,7.30,6.96,7.24,255086
23-Sep-14,7.05,7.30,6.99,7.00,421300
22-Sep-14,7.25,7.26,7.00,7.11,369072
19-Sep-14,7.45,7.59,7.25,7.29,834635
18-Sep-14,7.90,7.90,7.13,7.40,635173
17-Sep-14,6.99,7.21,6.99,7.13,402514
16-Sep-14,6.90,6.99,6.85,6.94,228215
15-Sep-14,7.20,7.29,6.83,6.92,533537
12-Sep-14,7.35,7.35,7.12,7.22,334996
11-Sep-14,7.26,7.40,7.18,7.33,272187
10-Sep-14,7.08,7.30,7.08,7.28,351867
9-Sep-14,7.09,7.30,7.02,7.11,392756
8-Sep-14,6.99,7.15,6.99,7.14,264538
5-Sep-14,7.01,7.13,6.93,7.02,447586
4-Sep-14,7.10,7.14,6.97,7.06,374624
3-Sep-14,7.04,7.45,7.00,7.05,845633
2-Sep-14,7.09,7.09,6.95,7.01,251752
29-Aug-14,7.03,7.16,6.91,7.04,320696
28-Aug-14,6.78,7.03,6.74,7.01,637227
27-Aug-14,6.86,6.89,6.76,6.79,267338
26-Aug-14,6.94,7.01,6.83,6.87,233242
25-Aug-14,7.00,7.17,6.91,6.94,232547
22-Aug-14,6.88,7.01,6.84,6.97,164140
21-Aug-14,6.87,6.91,6.70,6.86,235944
20-Aug-14,7.05,7.10,6.91,6.91,295719
19-Aug-14,7.07,7.20,7.03,7.06,416442
18-Aug-14,7.19,7.19,7.01,7.09,286810
15-Aug-14,7.17,7.18,6.99,7.08,310273
14-Aug-14,6.92,7.12,6.85,7.07,275288
13-Aug-14,6.84,7.12,6.75,6.95,534323
12-Aug-14,6.85,6.95,6.74,6.88,303131
11-Aug-14,6.59,7.05,6.53,6.92,471929
8-Aug-14,6.70,6.88,6.47,6.52,733067
7-Aug-14,7.02,7.11,6.51,6.69,738529
6-Aug-14,6.96,7.11,6.90,6.98,372012
5-Aug-14,7.01,7.11,6.86,7.05,300671
4-Aug-14,6.86,7.10,6.74,7.08,464326
1-Aug-14,6.92,6.96,6.63,6.81,348855
31-Jul-14,6.97,7.08,6.81,6.91,441648
30-Jul-14,7.11,7.17,6.92,7.10,479575
29-Jul-14,6.99,7.22,6.80,7.03,1183540
28-Jul-14,6.34,6.50,6.10,6.28,721285
25-Jul-14,6.45,6.55,6.28,6.30,326035
24-Jul-14,6.68,6.78,6.51,6.53,297741
23-Jul-14,6.58,6.73,6.55,6.65,313886
22-Jul-14,6.54,6.67,6.43,6.57,288428
21-Jul-14,6.54,6.58,6.44,6.48,249437
18-Jul-14,6.36,6.66,6.30,6.61,505612
17-Jul-14,6.70,6.93,6.33,6.38,542637
16-Jul-14,7.09,7.24,6.76,6.77,527305
15-Jul-14,7.22,7.41,6.84,7.02,919822
14-Jul-14,6.76,7.12,6.67,7.01,580063
11-Jul-14,6.73,6.85,6.58,6.67,316753
10-Jul-14,6.77,6.88,6.62,6.77,405503
9-Jul-14,7.00,7.09,6.81,6.82,372473
8-Jul-14,7.27,7.29,6.90,6.95,970781
7-Jul-14,7.38,7.52,7.21,7.27,659418
3-Jul-14,7.43,7.48,7.37,7.44,243604
2-Jul-14,7.44,7.52,7.34,7.40,603629
1-Jul-14,7.12,7.53,7.12,7.47,1255170
30-Jun-14,6.95,7.63,6.90,7.09,2695815
27-Jun-14,6.74,6.96,6.71,6.94,808354
26-Jun-14,6.83,6.83,6.69,6.79,404424
25-Jun-14,6.77,6.97,6.47,6.80,1476953
24-Jun-14,6.75,7.03,6.75,6.84,879452
23-Jun-14,6.62,6.83,6.62,6.75,446251
20-Jun-14,6.60,6.84,6.46,6.68,2741090
19-Jun-14,6.31,6.43,6.12,6.42,669314
18-Jun-14,6.21,6.62,6.05,6.25,418724
17-Jun-14,6.19,6.31,6.11,6.22,394315
16-Jun-14,6.06,6.26,5.98,6.17,288600
13-Jun-14,6.09,6.14,5.95,6.04,226828
12-Jun-14,6.06,6.17,5.96,6.05,324124
11-Jun-14,6.12,6.19,5.91,6.09,449879
10-Jun-14,6.36,6.36,5.99,6.19,729556
9-Jun-14,5.97,6.40,5.89,6.36,1358295
6-Jun-14,5.87,6.15,5.80,6.00,2029872
5-Jun-14,5.70,5.90,5.70,5.87,632123
4-Jun-14,5.40,5.94,5.40,5.71,610507
3-Jun-14,5.39,5.57,5.28,5.41,1315890
2-Jun-14,5.52,5.52,5.26,5.45,470869
30-May-14,5.70,5.73,5.44,5.47,573879
29-May-14,5.72,5.79,5.64,5.68,330670
28-May-14,5.75,5.94,5.62,5.64,669147
27-May-14,5.60,5.75,5.57,5.66,494821
23-May-14,5.48,5.64,5.34,5.58,269118
22-May-14,5.48,5.57,5.40,5.46,323243
21-May-14,5.40,5.50,5.31,5.49,345396
20-May-14,5.40,5.44,5.26,5.39,486767
19-May-14,5.37,5.48,5.36,5.44,194375
16-May-14,5.33,5.44,5.27,5.38,403089
15-May-14,5.34,5.42,5.21,5.35,331253
14-May-14,5.45,5.55,5.32,5.40,476595
13-May-14,5.68,5.72,5.48,5.49,464357
12-May-14,5.52,5.85,5.39,5.67,580347
9-May-14,5.06,5.62,5.01,5.42,443383
8-May-14,5.05,5.23,4.92,5.10,461147
7-May-14,5.13,5.15,4.88,5.09,437176
6-May-14,5.43,5.45,5.10,5.14,463528
5-May-14,5.51,5.53,5.29,5.48,382295
2-May-14,5.64,5.64,5.38,5.56,393739
1-May-14,5.76,5.78,5.47,5.59,519288
30-Apr-14,5.72,5.83,5.47,5.78,598372
29-Apr-14,5.63,5.89,5.48,5.74,498800
28-Apr-14,5.72,5.87,5.28,5.62,399946
25-Apr-14,5.96,6.17,5.63,5.73,572999
24-Apr-14,5.89,5.98,5.52,5.84,466555
23-Apr-14,6.04,6.05,5.80,5.87,367325
22-Apr-14,5.86,6.17,5.74,6.03,415977
21-Apr-14,5.74,5.90,5.60,5.83,230427
17-Apr-14,5.73,5.89,5.63,5.71,330232
16-Apr-14,5.76,5.87,5.65,5.77,298999
15-Apr-14,5.68,5.94,5.35,5.73,1133448
14-Apr-14,5.77,5.80,5.50,5.65,652410
11-Apr-14,5.76,5.91,5.58,5.68,499204
10-Apr-14,5.92,6.12,5.64,5.85,553615
9-Apr-14,5.64,6.00,5.61,5.96,380933
8-Apr-14,5.72,5.83,5.52,5.74,513202
7-Apr-14,5.65,5.91,5.55,5.71,532705
4-Apr-14,6.11,6.11,5.51,5.62,804363
3-Apr-14,6.19,6.21,5.89,6.03,606408
2-Apr-14,6.16,6.34,5.97,6.16,421399
1-Apr-14,6.15,6.30,5.99,6.15,377124
31-Mar-14,5.82,6.19,5.81,6.13,601739
28-Mar-14,5.97,6.08,5.56,5.80,543979
27-Mar-14,5.90,6.09,5.83,5.99,396015
26-Mar-14,6.15,6.22,5.92,5.92,416014
25-Mar-14,6.21,6.37,5.85,6.12,862210
24-Mar-14,6.57,6.61,5.65,6.15,1916168
21-Mar-14,7.00,7.01,5.83,6.21,3415100
20-Mar-14,7.00,7.13,6.73,6.99,1024777
19-Mar-14,7.39,7.44,6.99,7.00,617871
18-Mar-14,7.18,7.43,7.15,7.42,275464
17-Mar-14,7.34,7.49,7.17,7.19,396266
14-Mar-14,7.43,7.60,7.27,7.32,560924
13-Mar-14,7.35,7.46,7.06,7.30,605328
12-Mar-14,6.90,7.31,6.90,7.29,359598
11-Mar-14,7.25,7.40,6.89,6.91,338682
10-Mar-14,7.19,7.32,7.14,7.23,322690
7-Mar-14,7.45,7.57,7.16,7.24,512638
6-Mar-14,7.52,7.67,7.27,7.38,394287
5-Mar-14,7.27,7.49,7.20,7.47,371496
4-Mar-14,7.13,7.46,7.01,7.31,641980
3-Mar-14,7.11,7.35,6.98,7.04,474083
28-Feb-14,7.43,7.59,7.05,7.15,536372
27-Feb-14,6.90,7.42,6.90,7.40,532496
26-Feb-14,6.77,7.53,6.51,7.06,2027612
25-Feb-14,7.15,7.30,7.05,7.24,400306
24-Feb-14,7.28,7.40,6.99,7.12,612080
21-Feb-14,7.43,7.48,7.15,7.24,443151
20-Feb-14,7.18,7.46,7.14,7.31,524539
19-Feb-14,7.13,7.30,7.02,7.20,520585
18-Feb-14,7.01,7.13,6.81,7.13,653095
14-Feb-14,7.01,7.15,6.93,6.96,629461
13-Feb-14,6.86,7.07,6.86,7.00,617134
12-Feb-14,6.97,7.23,6.85,6.91,630085
11-Feb-14,7.04,7.14,6.80,6.99,703831
10-Feb-14,7.00,7.70,6.99,7.00,1439423
7-Feb-14,7.17,7.19,6.51,6.85,2070940
6-Feb-14,7.36,7.38,7.14,7.18,497139
5-Feb-14,7.15,7.39,7.00,7.35,622871
4-Feb-14,7.38,7.60,7.15,7.17,558291
3-Feb-14,7.81,7.95,7.13,7.29,555269
31-Jan-14,7.75,7.95,7.61,7.84,313281
30-Jan-14,7.74,8.02,7.56,7.91,333401
29-Jan-14,7.70,7.73,7.42,7.65,491020
28-Jan-14,7.53,7.87,7.52,7.80,410320
27-Jan-14,8.01,8.08,7.10,7.55,822029
24-Jan-14,8.15,8.25,7.75,8.02,1061671
23-Jan-14,8.32,8.32,8.14,8.22,276812
22-Jan-14,8.48,8.51,8.27,8.34,402088
21-Jan-14,8.37,8.50,8.25,8.48,560605
17-Jan-14,8.53,8.68,8.20,8.31,592926
16-Jan-14,8.10,8.55,8.00,8.53,638055
15-Jan-14,8.08,8.14,7.96,8.07,389712
14-Jan-14,7.91,8.09,7.90,8.08,333224
13-Jan-14,8.05,8.23,7.79,7.88,457613
10-Jan-14,7.98,8.13,7.87,8.11,392222
9-Jan-14,7.99,8.09,7.76,7.99,419030
8-Jan-14,7.95,8.09,7.88,7.94,400650
7-Jan-14,7.79,8.00,7.78,7.98,601964
6-Jan-14,8.30,8.32,7.69,7.78,1292169
3-Jan-14,8.45,8.54,8.29,8.43,566653
2-Jan-14,8.66,8.68,8.30,8.45,675299
31-Dec-13,8.76,8.80,8.64,8.74,470466
30-Dec-13,8.45,8.70,8.36,8.70,492511
27-Dec-13,8.59,8.73,8.36,8.40,618114
26-Dec-13,8.39,8.61,8.35,8.57,653964
24-Dec-13,8.31,8.42,8.31,8.39,405361
23-Dec-13,8.25,8.46,8.10,8.37,1236808
