Date,Open,High,Low,Close,Volume
23-Oct-14,1.25,1.25,1.18,1.24,10210
22-Oct-14,1.10,1.24,1.10,1.17,45103
21-Oct-14,0.92,1.15,0.91,1.13,83205
20-Oct-14,0.92,0.92,0.89,0.91,3800
17-Oct-14,0.91,0.91,0.82,0.90,6316
16-Oct-14,0.89,0.91,0.80,0.81,13607
15-Oct-14,0.86,0.88,0.86,0.88,20943
14-Oct-14,0.88,0.88,0.87,0.88,8550
13-Oct-14,0.90,0.90,0.86,0.86,15771
10-Oct-14,0.95,0.95,0.84,0.89,42117
9-Oct-14,0.91,0.98,0.86,0.87,28370
8-Oct-14,1.00,1.00,0.85,0.94,58023
7-Oct-14,1.04,1.04,0.93,1.00,124074
6-Oct-14,1.24,1.28,1.09,1.09,67534
3-Oct-14,1.28,1.28,1.20,1.21,6700
2-Oct-14,1.27,1.27,1.26,1.27,21066
1-Oct-14,1.33,1.34,1.25,1.25,47197
30-Sep-14,1.31,1.38,1.25,1.26,66929
29-Sep-14,1.41,1.41,1.35,1.38,34517
26-Sep-14,1.35,1.39,1.32,1.38,28968
25-Sep-14,1.41,1.41,1.31,1.36,26366
24-Sep-14,1.39,1.41,1.38,1.40,11222
23-Sep-14,1.43,1.44,1.34,1.38,98988
22-Sep-14,1.49,1.49,1.42,1.45,61958
19-Sep-14,1.56,1.59,1.48,1.51,51545
18-Sep-14,1.63,1.63,1.59,1.59,23045
17-Sep-14,1.58,1.63,1.55,1.59,15518
16-Sep-14,1.55,1.64,1.55,1.58,47857
15-Sep-14,1.65,1.67,1.50,1.54,89564
12-Sep-14,1.72,1.77,1.61,1.63,113559
11-Sep-14,1.75,1.78,1.72,1.72,130213
10-Sep-14,1.85,1.97,1.68,1.74,455351
9-Sep-14,1.75,1.75,1.71,1.75,44196
8-Sep-14,1.70,1.75,1.70,1.70,68212
5-Sep-14,1.70,1.70,1.64,1.70,41581
4-Sep-14,1.68,1.69,1.66,1.68,33853
3-Sep-14,1.68,1.72,1.67,1.70,32368
2-Sep-14,1.71,1.77,1.70,1.73,26138
29-Aug-14,1.77,1.77,1.72,1.74,18245
28-Aug-14,1.75,1.89,1.72,1.75,117210
27-Aug-14,1.70,1.77,1.67,1.76,33948
26-Aug-14,1.82,1.85,1.65,1.69,134490
25-Aug-14,1.74,1.82,1.73,1.82,68330
22-Aug-14,1.83,1.85,1.79,1.80,25675
21-Aug-14,1.86,1.88,1.81,1.83,38776
20-Aug-14,1.94,1.95,1.90,1.91,35856
19-Aug-14,1.86,1.93,1.86,1.91,29161
18-Aug-14,1.87,1.94,1.81,1.84,46735
15-Aug-14,1.77,1.88,1.75,1.82,34899
14-Aug-14,1.73,1.78,1.73,1.76,16000
13-Aug-14,1.69,1.78,1.69,1.77,12848
12-Aug-14,1.77,1.80,1.71,1.77,43812
11-Aug-14,1.81,1.87,1.76,1.81,46801
8-Aug-14,1.75,1.83,1.72,1.79,27451
7-Aug-14,1.78,1.80,1.72,1.75,45506
6-Aug-14,1.80,1.85,1.72,1.73,63740
5-Aug-14,1.74,1.79,1.68,1.74,20425
4-Aug-14,1.73,1.75,1.68,1.72,13242
1-Aug-14,1.77,1.77,1.65,1.70,82400
31-Jul-14,1.86,1.88,1.75,1.77,62202
30-Jul-14,1.86,1.89,1.85,1.85,17930
29-Jul-14,1.90,1.91,1.85,1.89,40354
28-Jul-14,1.97,1.97,1.85,1.90,47158
25-Jul-14,1.95,2.04,1.94,1.94,92020
24-Jul-14,1.90,1.95,1.86,1.93,23683
23-Jul-14,1.94,1.98,1.82,1.87,115130
22-Jul-14,1.90,2.04,1.90,1.94,135281
21-Jul-14,1.87,2.10,1.85,1.89,315471
18-Jul-14,1.80,1.92,1.75,1.86,154008
17-Jul-14,1.81,1.81,1.75,1.80,38889
16-Jul-14,1.80,1.92,1.78,1.82,123827
15-Jul-14,1.80,1.83,1.72,1.77,26109
14-Jul-14,1.80,1.98,1.79,1.80,125222
11-Jul-14,1.77,1.81,1.75,1.76,43833
10-Jul-14,1.75,1.80,1.72,1.77,22544
9-Jul-14,1.74,1.84,1.69,1.82,33569
8-Jul-14,1.80,1.81,1.75,1.77,14216
7-Jul-14,1.90,1.90,1.77,1.80,21676
3-Jul-14,1.93,1.94,1.72,1.81,237240
2-Jul-14,1.87,1.94,1.86,1.90,31772
1-Jul-14,1.95,1.95,1.86,1.93,57400
30-Jun-14,2.00,2.00,1.92,1.95,41814
27-Jun-14,1.95,2.00,1.92,2.00,75732
26-Jun-14,1.97,2.00,1.94,1.95,37440
25-Jun-14,2.01,2.03,1.92,1.97,16044
24-Jun-14,2.02,2.05,1.86,2.03,76593
23-Jun-14,1.88,2.09,1.84,2.05,88503
20-Jun-14,2.03,2.04,1.84,1.84,134752
19-Jun-14,1.98,2.04,1.84,2.03,148426
18-Jun-14,2.20,2.40,1.93,1.98,1228490
17-Jun-14,1.97,2.12,1.96,2.04,199442
16-Jun-14,2.02,2.04,1.97,1.97,55903
13-Jun-14,2.03,2.14,1.97,2.03,63466
12-Jun-14,2.00,2.09,1.99,2.01,93586
11-Jun-14,2.10,2.17,1.96,2.01,320281
10-Jun-14,2.13,2.15,2.00,2.08,272140
9-Jun-14,1.95,2.07,1.95,2.06,82787
6-Jun-14,1.93,1.99,1.93,1.96,35779
5-Jun-14,1.87,2.08,1.81,1.96,88270
4-Jun-14,1.89,2.11,1.77,1.96,64787
3-Jun-14,2.07,2.07,1.88,1.96,151207
2-Jun-14,2.11,2.12,2.04,2.06,29812
30-May-14,2.03,2.18,2.03,2.05,105148
29-May-14,2.10,2.10,2.02,2.06,80229
28-May-14,2.11,2.15,2.01,2.11,111691
27-May-14,2.12,2.22,2.11,2.17,110446
23-May-14,2.18,2.23,2.12,2.17,73809
22-May-14,2.07,2.19,2.05,2.16,274027
21-May-14,2.07,2.15,1.93,2.07,812474
20-May-14,2.85,2.85,2.55,2.84,93274
19-May-14,3.00,3.05,2.88,2.92,69346
16-May-14,2.86,2.95,2.84,2.85,45500
15-May-14,3.05,3.09,2.85,2.86,70275
14-May-14,2.85,3.00,2.76,3.00,50287
13-May-14,2.62,3.09,2.62,2.85,85091
12-May-14,3.05,3.05,2.49,2.61,135443
9-May-14,2.90,4.35,2.88,3.11,1396531
8-May-14,2.58,2.70,2.58,2.64,22803
7-May-14,2.72,2.80,2.55,2.58,32948
6-May-14,2.60,2.75,2.50,2.66,52026
5-May-14,2.45,2.50,2.40,2.43,15623
2-May-14,2.42,2.43,2.42,2.43,1258
1-May-14,2.51,2.51,2.45,2.45,3936
30-Apr-14,2.41,2.44,2.26,2.44,11099
29-Apr-14,2.34,2.43,2.29,2.36,13434
28-Apr-14,2.39,2.46,2.30,2.43,19600
25-Apr-14,2.40,2.40,2.35,2.36,4798
24-Apr-14,2.40,2.58,2.20,2.53,20710
23-Apr-14,2.53,2.53,2.45,2.49,3200
22-Apr-14,2.54,2.54,2.51,2.53,11400
21-Apr-14,2.45,2.55,2.45,2.51,14409
17-Apr-14,2.39,2.40,2.24,2.32,10203
16-Apr-14,2.53,2.53,2.22,2.35,13864
15-Apr-14,2.60,2.72,2.40,2.42,43666
14-Apr-14,2.72,2.72,2.55,2.55,26501
11-Apr-14,2.72,2.75,2.56,2.75,11756
10-Apr-14,2.66,2.94,2.66,2.76,54425
9-Apr-14,2.90,2.90,2.78,2.78,16875
8-Apr-14,2.85,2.90,2.85,2.88,13751
7-Apr-14,2.85,2.90,2.84,2.85,15958
4-Apr-14,2.85,3.04,2.85,2.98,16826
3-Apr-14,2.75,2.85,2.74,2.83,14100
2-Apr-14,2.79,2.79,2.75,2.79,16295
1-Apr-14,2.72,2.73,2.70,2.72,7471
31-Mar-14,2.50,2.70,2.49,2.56,21874
28-Mar-14,2.65,2.94,2.49,2.50,30264
27-Mar-14,2.90,2.90,2.65,2.65,17329
26-Mar-14,3.04,3.04,2.68,2.68,29394
25-Mar-14,2.94,3.10,2.91,2.97,46681
24-Mar-14,2.73,2.85,2.68,2.85,19260
21-Mar-14,2.64,2.74,2.55,2.72,30120
20-Mar-14,2.50,2.65,2.50,2.56,165510
19-Mar-14,2.69,2.69,2.50,2.51,39048
18-Mar-14,2.53,2.73,2.53,2.66,6902
17-Mar-14,2.65,2.86,2.54,2.54,9183
14-Mar-14,2.95,2.97,2.70,2.70,23699
13-Mar-14,3.19,3.19,2.72,2.83,51964
12-Mar-14,3.11,3.32,2.95,3.31,41938
11-Mar-14,3.20,3.23,3.10,3.20,15737
10-Mar-14,3.34,3.40,3.20,3.23,13436
7-Mar-14,3.29,3.34,3.29,3.34,3268
6-Mar-14,3.39,3.39,3.26,3.36,1501
5-Mar-14,3.41,3.44,3.10,3.43,40267
4-Mar-14,3.44,3.63,3.44,3.45,5318
3-Mar-14,3.39,3.55,3.36,3.40,46072
28-Feb-14,3.84,3.84,3.50,3.58,43887
27-Feb-14,3.40,4.15,3.40,3.91,221241
26-Feb-14,3.45,3.50,3.40,3.41,7705
25-Feb-14,3.50,3.50,3.40,3.46,8403
24-Feb-14,3.46,3.54,3.44,3.51,8550
21-Feb-14,3.58,3.58,3.54,3.54,6790
20-Feb-14,3.56,3.60,3.53,3.53,15104
19-Feb-14,3.61,3.61,3.52,3.56,7350
18-Feb-14,3.67,3.74,3.67,3.67,3860
14-Feb-14,3.46,3.65,3.46,3.65,17690
13-Feb-14,3.51,3.51,3.51,3.51,2040
12-Feb-14,3.45,3.59,3.45,3.59,800
11-Feb-14,3.46,3.56,3.41,3.54,11893
10-Feb-14,3.62,3.62,3.50,3.57,6011
7-Feb-14,3.72,3.72,3.49,3.68,8940
6-Feb-14,3.53,3.75,3.40,3.75,11970
5-Feb-14,3.40,3.57,3.40,3.57,8007
4-Feb-14,3.60,3.60,3.40,3.45,4435
3-Feb-14,3.51,3.55,3.51,3.52,2400
31-Jan-14,3.55,3.55,3.49,3.54,10949
30-Jan-14,3.62,3.65,3.49,3.53,11384
29-Jan-14,3.60,3.61,3.46,3.59,19549
28-Jan-14,3.50,3.60,3.50,3.55,30814
27-Jan-14,3.79,3.79,3.50,3.50,14743
24-Jan-14,3.86,3.90,3.70,3.70,29292
23-Jan-14,3.78,4.00,3.78,3.86,22898
22-Jan-14,3.75,4.19,3.60,3.75,105741
21-Jan-14,3.63,3.70,3.59,3.70,16255
17-Jan-14,3.71,3.75,3.60,3.69,18977
16-Jan-14,3.75,3.75,3.70,3.71,7362
15-Jan-14,3.56,3.75,3.56,3.74,14952
14-Jan-14,3.60,3.72,3.60,3.60,10420
13-Jan-14,3.54,3.75,3.54,3.60,18815
10-Jan-14,3.56,3.60,3.51,3.58,24896
9-Jan-14,3.31,3.62,3.31,3.53,82884
8-Jan-14,3.42,3.42,3.20,3.35,23466
7-Jan-14,3.30,3.45,3.20,3.40,21274
6-Jan-14,3.31,3.48,3.26,3.26,13537
3-Jan-14,3.18,3.49,3.18,3.49,19979
2-Jan-14,3.24,3.30,3.10,3.30,19593
31-Dec-13,3.25,3.30,3.10,3.24,35641
30-Dec-13,3.30,3.30,3.10,3.25,23157
27-Dec-13,3.30,3.31,3.01,3.18,49916
26-Dec-13,3.10,3.65,3.10,3.41,56878
24-Dec-13,3.17,3.17,3.00,3.08,22052
23-Dec-13,3.40,3.45,3.20,3.20,31709
20-Dec-13,3.40,3.55,3.30,3.44,31794
19-Dec-13,3.94,3.94,3.20,3.34,115187
18-Dec-13,3.67,4.10,3.61,3.88,163918
17-Dec-13,2.79,5.50,2.79,3.86,1259614
16-Dec-13,3.05,3.05,2.50,2.51,2160
13-Dec-13,2.75,2.92,2.62,2.80,10655
12-Dec-13,2.57,2.88,2.37,2.88,56476
11-Dec-13,2.81,2.81,2.40,2.78,27358
10-Dec-13,2.75,3.35,2.69,3.05,137521
9-Dec-13,2.27,2.90,2.27,2.66,104248
6-Dec-13,2.25,2.39,2.18,2.29,10902
5-Dec-13,2.43,2.44,2.31,2.39,9775
4-Dec-13,2.49,2.49,2.46,2.47,1455
3-Dec-13,2.40,2.47,2.21,2.46,32180
2-Dec-13,2.12,2.49,2.12,2.49,36954
27-Nov-13,2.08,2.17,2.02,2.07,18273
25-Nov-13,2.05,2.16,2.05,2.15,1000
22-Nov-13,2.10,2.16,2.10,2.16,1400
21-Nov-13,2.17,2.17,2.15,2.16,2489
20-Nov-13,2.09,2.10,1.90,1.98,9770
19-Nov-13,2.08,2.09,2.08,2.09,1400
18-Nov-13,2.23,2.23,2.08,2.08,1300
15-Nov-13,2.10,2.25,2.10,2.25,700
14-Nov-13,2.22,2.32,2.14,2.14,5266
13-Nov-13,2.32,2.39,2.23,2.39,1850
12-Nov-13,2.25,2.40,2.25,2.40,520
11-Nov-13,2.20,2.26,2.20,2.26,1100
7-Nov-13,2.39,2.39,2.30,2.30,2100
6-Nov-13,2.41,2.45,2.32,2.45,3885
5-Nov-13,2.29,2.59,2.29,2.45,9454
4-Nov-13,2.38,2.38,2.24,2.25,2715
1-Nov-13,2.31,2.48,2.31,2.43,1485
31-Oct-13,2.39,2.39,2.23,2.23,2600
30-Oct-13,2.38,2.45,2.27,2.30,3615
29-Oct-13,2.30,2.35,2.30,2.30,5600
28-Oct-13,2.34,2.34,2.25,2.27,2860
25-Oct-13,2.54,2.54,2.54,2.54,195
24-Oct-13,2.59,2.59,2.40,2.50,1005
23-Oct-13,2.50,2.59,2.36,2.59,4500
22-Oct-13,3.20,3.20,2.40,2.60,8775
21-Oct-13,2.40,2.87,2.39,2.87,3800
18-Oct-13,2.37,2.49,2.35,2.42,1930
17-Oct-13,3.34,3.34,2.53,2.53,5777
16-Oct-13,2.21,2.59,2.21,2.59,1059
15-Oct-13,2.36,2.36,2.18,2.18,200
14-Oct-13,2.46,2.46,2.33,2.33,5080
10-Oct-13,2.46,2.47,2.46,2.46,420
9-Oct-13,2.45,2.48,2.35,2.43,790
7-Oct-13,2.39,2.50,2.28,2.45,5280
4-Oct-13,2.49,2.49,2.39,2.39,5000
3-Oct-13,2.40,2.40,2.40,2.40,929
2-Oct-13,2.43,2.58,2.42,2.53,1800
1-Oct-13,2.42,2.47,2.40,2.45,5361
30-Sep-13,2.40,2.42,2.40,2.42,2795
27-Sep-13,2.51,2.51,2.46,2.50,1550
26-Sep-13,2.50,2.59,2.50,2.59,4276
25-Sep-13,2.60,2.60,2.50,2.57,2375
24-Sep-13,2.68,2.68,2.53,2.66,3850
23-Sep-13,2.62,2.72,2.52,2.60,7651
20-Sep-13,2.52,2.84,2.50,2.51,20230
19-Sep-13,2.67,2.95,2.62,2.72,20164
18-Sep-13,2.75,3.00,2.75,2.89,5800
17-Sep-13,3.31,3.31,2.76,2.90,30472
16-Sep-13,3.35,3.55,3.35,3.35,11111
13-Sep-13,3.70,3.75,3.37,3.60,13277
12-Sep-13,3.00,3.70,3.00,3.70,75732
11-Sep-13,2.67,3.35,2.67,3.00,7300
10-Sep-13,2.75,2.94,2.75,2.94,5128
9-Sep-13,2.70,2.75,2.65,2.75,1700
6-Sep-13,2.51,2.70,2.51,2.70,4100
5-Sep-13,2.33,2.74,2.22,2.40,4400
