Date,Open,High,Low,Close,Volume
23-Oct-14,19.79,19.94,19.65,19.92,385256
22-Oct-14,19.88,20.04,19.49,19.52,381212
21-Oct-14,19.66,19.96,19.47,19.88,363111
20-Oct-14,19.18,19.49,18.98,19.49,433895
17-Oct-14,19.49,19.49,19.14,19.23,371265
16-Oct-14,18.71,19.38,18.67,19.20,797919
15-Oct-14,18.43,19.14,18.33,18.99,885313
14-Oct-14,18.73,19.03,18.49,18.66,609839
13-Oct-14,18.49,18.80,18.25,18.53,640210
10-Oct-14,19.36,19.61,18.53,18.55,718326
9-Oct-14,20.06,20.18,19.41,19.47,506264
8-Oct-14,19.72,20.17,19.63,20.12,645663
7-Oct-14,19.88,19.96,19.68,19.68,466387
6-Oct-14,20.10,20.24,19.96,20.01,407578
3-Oct-14,20.18,20.30,19.99,20.06,502991
2-Oct-14,20.03,20.23,19.85,19.96,542068
1-Oct-14,20.39,20.49,19.68,20.07,891632
30-Sep-14,20.85,20.99,20.48,20.50,791652
29-Sep-14,20.83,20.96,20.74,20.92,485128
26-Sep-14,21.12,21.16,20.88,21.10,461861
25-Sep-14,21.47,21.47,20.96,21.11,610849
24-Sep-14,21.43,21.63,21.30,21.57,576262
23-Sep-14,21.78,21.82,21.39,21.44,899164
22-Sep-14,21.76,21.91,21.54,21.80,868819
19-Sep-14,22.33,22.35,21.85,21.93,1251670
18-Sep-14,22.12,22.27,22.07,22.26,542156
17-Sep-14,22.00,22.35,21.84,22.02,1123488
16-Sep-14,21.91,22.09,21.78,22.04,662924
15-Sep-14,21.91,21.98,21.67,21.88,818381
12-Sep-14,21.99,22.16,21.82,22.10,910128
11-Sep-14,21.95,22.09,21.83,22.06,824520
10-Sep-14,21.99,22.24,21.89,22.10,487669
9-Sep-14,22.10,22.17,21.96,21.98,975633
8-Sep-14,22.35,22.57,22.05,22.20,871850
5-Sep-14,22.41,22.67,22.34,22.48,758789
4-Sep-14,22.32,22.73,22.21,22.53,1157256
3-Sep-14,22.30,22.41,22.12,22.23,653574
2-Sep-14,21.91,22.33,21.81,22.15,1234719
29-Aug-14,21.75,21.86,21.70,21.81,515845
28-Aug-14,21.56,21.74,21.40,21.70,712227
27-Aug-14,21.56,21.61,21.40,21.57,456728
26-Aug-14,21.45,21.73,21.11,21.52,649820
25-Aug-14,21.70,21.74,21.27,21.32,456787
22-Aug-14,21.12,22.18,21.07,21.58,1522699
21-Aug-14,21.21,21.54,21.12,21.43,540350
20-Aug-14,21.15,21.27,21.03,21.23,494846
19-Aug-14,21.20,21.38,21.12,21.29,319551
18-Aug-14,21.02,21.32,20.82,21.19,304530
15-Aug-14,21.16,21.22,20.68,20.84,329049
14-Aug-14,20.98,21.00,20.81,20.95,253005
13-Aug-14,21.00,21.15,20.82,21.04,362344
12-Aug-14,20.92,21.04,20.80,20.93,316487
11-Aug-14,20.64,21.01,20.50,20.98,473395
8-Aug-14,20.33,20.58,20.19,20.51,316447
7-Aug-14,20.36,20.57,20.26,20.29,543492
6-Aug-14,20.04,20.38,19.72,20.31,679845
5-Aug-14,19.87,20.25,19.66,20.12,452888
4-Aug-14,19.92,20.15,19.68,20.01,396732
1-Aug-14,19.75,19.85,19.31,19.82,828069
