Date,Open,High,Low,Close,Volume
23-Oct-14,57.32,57.66,55.95,57.24,870460
22-Oct-14,57.85,58.82,56.64,56.69,907740
21-Oct-14,56.69,58.51,56.69,58.33,835510
20-Oct-14,56.34,57.28,54.58,56.17,1204143
17-Oct-14,56.51,58.23,55.86,56.15,1622966
16-Oct-14,53.47,57.02,53.46,55.45,2115563
15-Oct-14,54.00,54.92,52.36,54.68,3053085
14-Oct-14,55.14,57.04,53.70,54.72,2654438
13-Oct-14,59.86,59.86,54.67,54.88,3271213
10-Oct-14,62.99,62.99,58.95,59.78,2670750
9-Oct-14,65.81,66.05,63.27,63.36,1036260
8-Oct-14,65.42,66.15,64.29,66.02,1333775
7-Oct-14,65.92,66.92,65.40,65.52,755983
6-Oct-14,65.71,67.20,65.69,66.13,622738
3-Oct-14,64.87,66.15,64.78,65.66,897972
2-Oct-14,65.16,65.19,63.38,64.87,1122497
1-Oct-14,66.60,66.86,64.64,65.22,1029021
30-Sep-14,68.67,68.67,66.17,66.80,722219
29-Sep-14,68.96,69.47,68.66,68.79,383027
26-Sep-14,68.00,69.66,67.88,69.45,487435
25-Sep-14,69.67,69.67,67.77,68.04,483911
24-Sep-14,68.51,69.93,68.30,69.76,291027
23-Sep-14,67.74,69.18,67.57,68.56,472572
22-Sep-14,69.03,69.03,66.99,67.62,579418
19-Sep-14,70.10,70.25,68.32,69.03,709535
18-Sep-14,69.99,70.42,69.70,70.10,750524
17-Sep-14,70.41,70.53,69.27,69.76,336738
16-Sep-14,69.37,70.89,69.16,70.31,382275
15-Sep-14,69.57,69.68,68.57,69.38,390284
12-Sep-14,69.28,70.24,69.09,69.49,936098
11-Sep-14,67.77,69.02,67.47,68.89,544727
10-Sep-14,68.60,68.70,67.66,68.06,550062
9-Sep-14,68.76,68.80,68.11,68.64,746544
8-Sep-14,69.12,70.22,68.92,68.99,950759
5-Sep-14,69.34,70.05,68.80,69.24,1062389
4-Sep-14,68.69,69.64,68.56,69.16,1049655
3-Sep-14,67.82,68.48,67.65,68.45,389839
2-Sep-14,66.57,68.17,66.57,67.44,507244
29-Aug-14,66.76,67.12,66.29,66.82,317907
28-Aug-14,66.46,67.04,66.14,66.70,356511
27-Aug-14,67.73,67.73,65.97,66.83,957824
26-Aug-14,68.45,68.45,67.30,67.47,366135
25-Aug-14,67.77,68.18,67.50,68.06,239974
22-Aug-14,67.33,67.78,67.18,67.60,305906
21-Aug-14,68.23,68.23,66.90,67.21,492387
20-Aug-14,67.75,68.28,66.69,68.14,642589
19-Aug-14,67.49,68.37,67.49,67.75,709488
18-Aug-14,66.33,67.52,66.21,67.26,864997
15-Aug-14,65.17,67.39,65.17,66.10,1083674
14-Aug-14,63.30,65.16,63.30,65.04,912637
13-Aug-14,62.13,63.48,62.07,63.38,807943
12-Aug-14,62.37,62.37,61.16,61.99,678326
11-Aug-14,62.08,63.30,61.57,62.54,568127
8-Aug-14,62.25,62.27,61.20,61.65,743521
7-Aug-14,63.29,63.47,61.75,62.21,390176
6-Aug-14,62.29,63.64,62.29,63.09,458664
5-Aug-14,62.93,63.26,62.04,62.61,629491
4-Aug-14,62.30,63.24,61.89,63.13,551221
1-Aug-14,64.53,65.37,62.38,62.59,1482721
31-Jul-14,63.91,67.31,63.21,65.07,1720281
30-Jul-14,66.06,66.40,64.76,65.00,739556
29-Jul-14,65.40,66.32,65.06,65.60,845938
28-Jul-14,65.69,66.05,65.20,65.49,819031
25-Jul-14,65.27,65.75,65.14,65.49,810792
24-Jul-14,66.69,66.74,65.42,65.62,747538
23-Jul-14,66.95,67.27,66.28,66.67,732780
22-Jul-14,66.19,67.49,65.98,66.93,740795
21-Jul-14,65.93,66.51,65.49,66.37,451465
18-Jul-14,64.98,66.38,64.77,66.02,815087
17-Jul-14,64.21,65.44,64.21,64.92,772801
16-Jul-14,64.13,64.51,64.01,64.38,636822
15-Jul-14,64.00,64.36,63.44,63.84,510317
14-Jul-14,62.66,64.56,62.62,63.82,887930
11-Jul-14,62.35,62.56,61.64,61.85,444932
10-Jul-14,62.38,62.81,61.40,62.55,1086512
9-Jul-14,63.78,63.80,62.64,62.95,509825
8-Jul-14,64.65,64.85,63.40,63.68,1239557
7-Jul-14,63.25,65.45,63.03,64.82,1313771
3-Jul-14,63.14,63.89,63.14,63.54,327845
2-Jul-14,61.67,63.77,61.52,63.20,565531
1-Jul-14,61.77,63.23,61.77,61.96,489407
30-Jun-14,61.93,62.55,61.58,61.78,501292
27-Jun-14,61.00,62.28,60.96,62.03,1152291
26-Jun-14,61.68,61.68,60.64,61.02,1064863
25-Jun-14,61.00,62.57,61.00,61.61,1181881
24-Jun-14,62.69,64.32,61.81,62.86,1457745
23-Jun-14,62.05,62.05,61.27,61.46,703039
20-Jun-14,61.77,62.33,61.55,61.63,607684
19-Jun-14,61.40,62.06,61.08,61.23,462166
18-Jun-14,61.00,61.30,60.77,61.18,613664
