Date,Open,High,Low,Close,Volume
23-Oct-14,6.72,6.84,6.71,6.80,59774
22-Oct-14,6.65,6.72,6.63,6.68,23407
21-Oct-14,6.71,6.72,6.61,6.72,100466
20-Oct-14,6.57,6.73,6.49,6.72,31162
17-Oct-14,6.70,6.73,6.58,6.66,12249
16-Oct-14,6.57,6.75,6.57,6.67,21920
15-Oct-14,6.46,6.64,6.30,6.63,59398
14-Oct-14,6.46,6.58,6.36,6.48,72448
13-Oct-14,6.66,6.66,6.43,6.45,45631
10-Oct-14,6.65,6.73,6.62,6.68,24975
9-Oct-14,6.73,6.76,6.67,6.70,14263
8-Oct-14,6.87,6.87,6.77,6.79,15273
7-Oct-14,6.88,6.90,6.82,6.85,23389
6-Oct-14,6.97,7.05,6.91,6.97,57879
3-Oct-14,6.92,6.94,6.88,6.90,13534
2-Oct-14,6.96,6.96,6.78,6.82,34055
1-Oct-14,7.01,7.01,6.78,6.86,39879
30-Sep-14,6.87,6.94,6.80,6.93,36948
29-Sep-14,6.71,6.91,6.69,6.80,35334
26-Sep-14,6.67,6.78,6.53,6.68,39649
25-Sep-14,6.75,6.75,6.57,6.66,33048
24-Sep-14,6.70,6.81,6.70,6.81,15870
23-Sep-14,6.79,6.82,6.69,6.72,32231
22-Sep-14,6.99,6.99,6.78,6.80,48664
19-Sep-14,6.90,7.00,6.82,6.98,30401
18-Sep-14,7.00,7.03,6.90,6.90,38164
17-Sep-14,7.13,7.15,6.99,7.03,71106
16-Sep-14,7.23,7.25,7.08,7.13,63959
15-Sep-14,7.41,7.50,7.18,7.29,44456
12-Sep-14,7.40,7.40,7.23,7.27,46975
11-Sep-14,7.47,7.52,7.40,7.40,12662
10-Sep-14,7.54,7.59,7.43,7.46,20979
9-Sep-14,7.70,7.70,7.42,7.55,37128
8-Sep-14,7.69,7.78,7.69,7.74,48312
5-Sep-14,7.65,7.69,7.60,7.63,20444
4-Sep-14,7.65,7.69,7.56,7.64,50933
3-Sep-14,7.59,7.65,7.56,7.62,56101
2-Sep-14,7.38,7.57,7.32,7.50,62101
29-Aug-14,7.00,7.25,7.00,7.20,38710
28-Aug-14,7.25,7.27,7.16,7.21,46857
27-Aug-14,7.24,7.39,7.24,7.28,138213
26-Aug-14,7.07,7.20,7.07,7.16,68681
25-Aug-14,7.10,7.10,6.99,7.00,41815
22-Aug-14,7.06,7.09,7.01,7.06,41742
21-Aug-14,7.03,7.08,7.01,7.05,38424
20-Aug-14,7.05,7.06,7.00,7.03,25330
19-Aug-14,7.04,7.12,7.01,7.05,37652
18-Aug-14,7.01,7.14,7.00,7.03,37066
15-Aug-14,7.01,7.08,6.95,7.01,45971
14-Aug-14,7.01,7.07,6.95,6.96,21120
13-Aug-14,7.15,7.15,6.96,7.01,33581
12-Aug-14,7.08,7.15,7.00,7.13,42110
11-Aug-14,6.93,7.18,6.90,7.11,139319
8-Aug-14,6.68,6.75,6.39,6.69,75581
7-Aug-14,6.80,6.82,6.68,6.68,34045
6-Aug-14,6.75,6.79,6.70,6.77,47507
5-Aug-14,6.75,6.75,6.67,6.74,44314
4-Aug-14,6.83,6.88,6.74,6.78,50202
1-Aug-14,6.92,6.92,6.76,6.86,51683
31-Jul-14,7.27,7.27,6.85,6.91,165115
30-Jul-14,7.27,7.34,7.26,7.31,33033
29-Jul-14,7.35,7.38,7.26,7.26,68976
28-Jul-14,7.35,7.38,7.32,7.35,70769
25-Jul-14,7.42,7.46,7.35,7.35,41135
24-Jul-14,7.51,7.53,7.34,7.43,102497
23-Jul-14,7.57,7.57,7.46,7.47,53602
22-Jul-14,7.35,7.63,7.35,7.61,115611
21-Jul-14,7.31,7.43,7.27,7.41,70922
18-Jul-14,7.26,7.33,7.23,7.33,25929
17-Jul-14,7.26,7.27,7.21,7.25,54902
16-Jul-14,7.26,7.30,7.24,7.28,40307
15-Jul-14,7.30,7.35,7.27,7.31,51114
14-Jul-14,7.33,7.33,7.23,7.26,71923
11-Jul-14,7.20,7.29,7.20,7.26,38931
10-Jul-14,7.24,7.25,7.15,7.21,46713
9-Jul-14,7.32,7.35,7.24,7.24,26654
8-Jul-14,7.36,7.50,7.24,7.24,153310
7-Jul-14,7.50,7.54,7.48,7.49,92330
3-Jul-14,7.50,7.64,7.48,7.56,55868
2-Jul-14,7.51,7.55,7.50,7.52,101185
1-Jul-14,7.46,7.57,7.43,7.54,77802
30-Jun-14,7.42,7.50,7.38,7.49,78744
27-Jun-14,7.27,7.49,7.27,7.46,84782
26-Jun-14,7.28,7.37,7.24,7.34,65553
25-Jun-14,7.20,7.33,7.18,7.29,60231
24-Jun-14,7.14,7.35,7.07,7.21,109710
23-Jun-14,7.39,7.43,7.15,7.17,116004
20-Jun-14,7.37,7.57,7.35,7.37,134246
19-Jun-14,7.55,7.60,7.23,7.37,230282
18-Jun-14,7.69,7.70,7.54,7.59,257678
