Date,Open,High,Low,Close,Volume
23-Oct-14,35.08,35.56,34.08,35.41,51072
22-Oct-14,35.13,35.41,34.76,34.86,37584
21-Oct-14,34.98,35.45,34.77,35.20,60171
20-Oct-14,34.85,35.14,34.61,34.91,72774
17-Oct-14,35.97,35.97,35.00,35.01,52050
16-Oct-14,34.31,35.67,33.67,35.37,53121
15-Oct-14,34.68,35.08,34.19,34.79,77442
14-Oct-14,35.35,35.94,35.09,35.25,93982
13-Oct-14,34.20,35.58,34.13,35.07,51868
10-Oct-14,33.77,34.87,33.77,34.26,59479
9-Oct-14,34.29,34.29,33.82,34.00,122932
8-Oct-14,33.63,34.51,33.50,34.34,49013
7-Oct-14,33.72,34.17,33.49,33.71,64818
6-Oct-14,33.96,34.39,33.57,34.00,51448
3-Oct-14,34.33,34.37,33.94,33.96,40596
2-Oct-14,34.37,34.37,33.72,33.95,51104
1-Oct-14,34.22,34.24,33.69,33.91,238503
30-Sep-14,34.61,34.65,34.13,34.20,159693
29-Sep-14,34.35,34.82,34.20,34.62,57576
26-Sep-14,34.97,34.97,34.62,34.85,42502
25-Sep-14,35.04,35.28,34.59,34.98,42145
24-Sep-14,35.23,35.43,34.80,35.32,28124
23-Sep-14,35.51,35.92,35.08,35.23,50073
22-Sep-14,35.60,36.69,35.22,35.69,51303
19-Sep-14,36.20,36.35,35.70,35.87,119543
18-Sep-14,36.07,36.30,35.82,36.14,53951
17-Sep-14,36.02,36.51,35.78,36.02,44130
16-Sep-14,36.29,36.35,35.90,36.12,28081
15-Sep-14,36.47,36.48,35.97,36.28,35214
12-Sep-14,36.60,36.60,35.93,36.32,48986
11-Sep-14,36.21,36.70,36.20,36.49,20774
10-Sep-14,36.38,36.51,36.17,36.34,68920
9-Sep-14,36.74,37.00,36.04,36.27,63216
8-Sep-14,36.93,37.23,36.64,36.92,21490
5-Sep-14,36.46,37.14,36.40,36.94,24087
4-Sep-14,36.86,37.12,36.47,36.67,22135
3-Sep-14,36.98,37.07,36.50,36.67,52201
2-Sep-14,37.23,37.58,36.81,36.91,55709
