Date,Open,High,Low,Close,Volume
23-Oct-14,39.36,42.59,39.02,41.96,430135
22-Oct-14,39.80,40.10,38.82,38.93,379170
21-Oct-14,39.46,40.15,39.18,39.76,199889
20-Oct-14,38.49,39.27,37.87,39.25,217206
17-Oct-14,39.64,39.64,38.55,38.68,222500
16-Oct-14,37.84,39.60,37.42,39.04,275110
15-Oct-14,37.71,38.82,36.73,38.52,496356
14-Oct-14,37.23,38.59,37.23,38.28,453654
13-Oct-14,35.63,37.00,35.58,36.78,547356
10-Oct-14,35.45,36.54,35.18,35.57,294414
9-Oct-14,36.59,36.72,35.59,35.71,247793
8-Oct-14,35.81,36.73,34.87,36.65,294456
7-Oct-14,35.60,36.20,35.47,35.68,344354
6-Oct-14,36.42,36.66,35.94,35.94,328047
3-Oct-14,35.52,36.46,35.44,36.35,295309
2-Oct-14,35.07,35.42,34.32,35.05,286854
1-Oct-14,34.97,35.57,34.66,35.19,289452
30-Sep-14,35.78,35.95,34.97,34.97,333931
29-Sep-14,36.53,37.23,35.47,35.91,287701
26-Sep-14,36.84,37.27,36.74,37.10,160753
25-Sep-14,36.85,36.99,36.60,36.83,338228
24-Sep-14,36.53,36.95,36.20,36.83,273647
23-Sep-14,36.70,37.01,35.95,36.50,370362
22-Sep-14,37.07,37.50,36.64,36.81,307865
19-Sep-14,38.67,38.88,36.85,37.33,1017743
18-Sep-14,38.85,39.32,38.34,38.53,149417
17-Sep-14,39.08,39.27,38.03,38.57,196711
16-Sep-14,38.89,39.30,38.51,39.02,149115
15-Sep-14,39.29,39.62,38.76,39.01,166535
12-Sep-14,39.79,39.94,39.13,39.34,187243
11-Sep-14,38.85,39.91,38.85,39.69,186881
10-Sep-14,38.70,39.25,38.40,39.10,149289
9-Sep-14,38.95,39.65,38.47,38.63,228016
8-Sep-14,39.14,39.97,39.00,39.09,238253
5-Sep-14,38.03,39.19,38.02,39.12,265469
4-Sep-14,38.48,38.90,38.06,38.20,376183
3-Sep-14,38.98,39.25,38.31,38.47,227588
2-Sep-14,39.25,39.54,38.60,38.71,268477
29-Aug-14,39.53,39.53,38.95,39.17,172384
28-Aug-14,38.89,40.01,38.59,39.48,199648
27-Aug-14,39.96,40.18,38.93,39.04,421862
26-Aug-14,40.10,40.50,39.89,39.95,207405
25-Aug-14,40.15,40.58,39.84,40.00,337034
22-Aug-14,40.04,40.59,39.85,39.92,181394
21-Aug-14,40.09,40.44,39.57,40.23,105310
20-Aug-14,41.02,41.02,39.97,40.19,122608
19-Aug-14,40.59,41.33,40.45,41.29,186994
18-Aug-14,40.55,40.95,40.27,40.50,177228
15-Aug-14,40.75,40.77,39.96,40.23,153612
14-Aug-14,40.43,41.34,40.01,40.32,82313
13-Aug-14,40.43,40.84,40.32,40.47,124740
12-Aug-14,40.50,40.78,39.95,40.25,205386
11-Aug-14,40.59,41.37,40.36,40.76,219747
8-Aug-14,40.16,40.69,39.98,40.53,256915
7-Aug-14,40.51,40.59,39.98,40.15,235742
6-Aug-14,39.01,40.76,38.94,40.51,358337
5-Aug-14,37.65,39.27,37.65,39.23,358953
4-Aug-14,37.60,38.18,37.02,37.86,456252
1-Aug-14,37.96,37.96,36.03,37.35,650242
31-Jul-14,41.29,41.47,37.74,37.76,674043
30-Jul-14,43.97,44.31,42.52,43.20,209062
29-Jul-14,44.29,44.69,43.77,44.41,311283
28-Jul-14,44.16,44.49,43.49,44.03,194420
25-Jul-14,45.00,45.35,44.01,44.22,139157
24-Jul-14,45.46,45.88,44.73,45.48,193551
23-Jul-14,45.33,45.74,44.98,45.42,179239
22-Jul-14,44.89,45.41,44.44,45.37,138237
21-Jul-14,45.31,45.86,44.25,44.49,217534
18-Jul-14,44.19,45.68,44.19,45.61,171819
17-Jul-14,45.29,46.02,44.27,44.36,181155
16-Jul-14,46.02,46.15,45.33,45.63,139249
15-Jul-14,46.12,46.22,45.18,45.66,189430
14-Jul-14,45.55,46.18,45.17,45.99,207283
11-Jul-14,45.07,45.50,44.29,45.08,209350
10-Jul-14,44.96,45.68,44.76,45.25,252289
9-Jul-14,46.40,46.85,45.70,46.00,448275
8-Jul-14,47.10,47.44,45.92,46.15,375930
7-Jul-14,48.23,48.45,47.06,47.10,219150
3-Jul-14,47.85,48.55,47.85,48.34,108381
2-Jul-14,48.75,49.28,47.70,47.72,201316
1-Jul-14,48.17,49.68,48.09,48.85,246490
30-Jun-14,47.82,48.09,47.08,47.89,291635
27-Jun-14,48.14,48.48,47.41,47.81,1196691
26-Jun-14,48.70,49.02,48.12,48.52,184482
25-Jun-14,47.73,48.86,47.52,48.78,186611
24-Jun-14,48.06,48.75,47.79,47.95,183540
23-Jun-14,48.02,48.64,47.79,48.21,201641
20-Jun-14,47.96,48.15,47.60,48.00,320039
19-Jun-14,48.00,48.09,46.90,47.68,206747
18-Jun-14,47.49,48.09,47.23,47.93,165063
17-Jun-14,47.39,48.14,47.22,47.42,227863
16-Jun-14,47.25,47.98,46.92,47.61,154492
13-Jun-14,47.28,47.84,46.96,47.41,127272
12-Jun-14,47.59,47.59,46.42,47.09,177462
11-Jun-14,47.40,47.87,46.80,47.60,98621
10-Jun-14,47.90,48.00,47.48,47.78,156274
9-Jun-14,47.00,48.36,46.49,48.10,293912
6-Jun-14,46.20,46.71,45.94,46.21,204156
5-Jun-14,44.46,46.06,43.99,45.86,195075
4-Jun-14,43.06,44.59,42.89,44.41,154156
3-Jun-14,42.87,43.88,42.07,43.36,198181
2-Jun-14,43.63,43.63,42.60,43.01,94166
30-May-14,43.77,43.89,43.10,43.55,137691
29-May-14,43.01,43.66,42.39,43.64,113799
28-May-14,42.67,42.91,42.03,42.77,113448
27-May-14,42.57,43.40,42.42,42.89,97062
23-May-14,41.93,42.47,41.73,42.20,94581
22-May-14,40.82,42.05,40.71,41.87,162029
21-May-14,41.47,41.74,40.14,40.83,158805
20-May-14,41.67,42.13,41.01,41.25,231983
19-May-14,41.14,42.25,41.14,41.88,124989
16-May-14,41.44,41.74,40.68,41.61,155077
15-May-14,42.35,42.51,41.28,41.50,153729
14-May-14,43.76,43.76,42.29,42.60,324767
13-May-14,44.54,44.54,43.45,43.72,548185
