Date,Open,High,Low,Close,Volume
23-Oct-14,36.40,36.91,36.07,36.43,123514
22-Oct-14,36.50,36.66,35.98,36.24,198467
21-Oct-14,35.47,36.66,35.00,36.18,323973
20-Oct-14,34.70,35.77,34.54,35.48,259065
17-Oct-14,36.20,36.28,33.66,34.54,385847
16-Oct-14,33.17,36.45,33.01,35.84,481262
15-Oct-14,31.60,33.31,30.40,33.12,494636
14-Oct-14,33.25,33.59,31.70,32.07,507369
13-Oct-14,35.00,35.35,33.04,33.09,281380
10-Oct-14,34.05,35.55,32.72,34.97,528276
9-Oct-14,34.62,35.01,33.78,34.27,246302
8-Oct-14,36.03,36.03,34.00,34.92,509591
7-Oct-14,37.08,37.08,35.82,35.97,349511
6-Oct-14,37.12,37.28,36.89,37.17,132094
3-Oct-14,37.13,37.19,36.86,37.10,142597
2-Oct-14,37.40,37.40,36.75,37.20,183020
1-Oct-14,36.93,37.26,36.93,37.18,185520
30-Sep-14,37.35,37.35,37.00,37.29,189193
29-Sep-14,37.01,37.50,36.69,37.42,187036
26-Sep-14,37.50,37.55,36.79,37.35,215374
25-Sep-14,37.31,37.82,36.75,37.64,677798
24-Sep-14,36.75,37.41,36.52,37.24,2828405
23-Sep-14,39.25,39.55,38.17,38.51,107389
22-Sep-14,38.16,39.52,38.03,39.48,236042
19-Sep-14,38.23,38.39,37.63,38.21,735158
18-Sep-14,37.76,38.55,37.51,38.17,269506
17-Sep-14,36.75,37.67,36.53,37.50,189968
16-Sep-14,36.98,37.33,36.53,36.67,147506
15-Sep-14,37.10,37.37,36.33,36.99,165482
12-Sep-14,38.32,38.34,36.77,37.04,533790
11-Sep-14,38.54,38.95,38.17,38.75,99115
10-Sep-14,38.79,39.12,38.44,38.85,83536
9-Sep-14,38.37,39.12,38.33,38.80,93250
8-Sep-14,38.49,38.50,37.83,38.37,102595
5-Sep-14,38.59,38.59,38.27,38.41,54153
4-Sep-14,38.79,39.19,38.40,38.50,176673
3-Sep-14,39.03,39.19,38.89,39.02,93643
2-Sep-14,39.29,39.41,39.00,39.22,109689
29-Aug-14,39.46,39.50,39.14,39.28,62812
28-Aug-14,41.44,41.44,39.11,39.27,122828
27-Aug-14,38.69,39.28,38.69,39.27,115727
26-Aug-14,39.40,39.40,38.59,38.69,166056
25-Aug-14,39.40,39.70,39.06,39.25,144672
22-Aug-14,39.77,39.77,38.93,39.23,112384
21-Aug-14,39.84,40.05,39.00,39.56,141420
20-Aug-14,40.21,40.21,39.55,39.64,136985
19-Aug-14,40.48,40.48,40.07,40.12,93162
18-Aug-14,40.82,40.95,39.98,40.20,179315
15-Aug-14,41.05,41.25,40.41,40.64,135823
14-Aug-14,40.41,41.00,39.93,40.65,238237
13-Aug-14,39.49,40.18,39.14,40.08,173989
12-Aug-14,38.97,39.48,37.92,39.17,249481
11-Aug-14,36.86,38.65,36.86,37.64,350526
8-Aug-14,36.26,36.43,35.75,36.30,246459
7-Aug-14,36.66,37.00,36.31,36.44,171314
6-Aug-14,37.54,37.54,36.60,36.82,260623
5-Aug-14,39.20,39.34,37.55,37.57,212000
4-Aug-14,39.33,39.94,39.15,39.88,228328
1-Aug-14,39.24,39.95,39.06,39.34,128859
31-Jul-14,40.60,40.60,38.77,39.24,242983
30-Jul-14,41.35,41.35,40.35,40.35,100980
29-Jul-14,41.15,41.34,40.95,41.06,60082
28-Jul-14,41.22,41.38,40.72,40.90,91647
25-Jul-14,41.12,41.15,40.90,41.14,66065
24-Jul-14,41.17,41.20,40.90,41.01,85244
23-Jul-14,41.11,41.18,41.09,41.15,81115
22-Jul-14,41.20,41.21,41.02,41.20,157736
21-Jul-14,41.19,41.19,40.80,41.16,103897
18-Jul-14,41.19,41.19,40.97,41.08,49607
17-Jul-14,41.12,41.18,40.80,40.97,47776
16-Jul-14,41.20,41.20,40.80,40.97,172128
15-Jul-14,40.93,41.10,40.68,41.05,95672
14-Jul-14,40.78,41.23,40.53,41.01,84272
11-Jul-14,40.33,40.85,40.31,40.85,75609
10-Jul-14,40.37,40.62,40.26,40.44,80527
9-Jul-14,40.76,40.84,40.41,40.66,120534
8-Jul-14,40.70,40.91,40.42,40.82,90327
7-Jul-14,41.15,41.20,40.56,40.73,82807
3-Jul-14,41.12,41.50,41.00,41.15,38014
2-Jul-14,41.15,41.64,41.14,41.20,107383
