Date,Open,High,Low,Close,Volume
23-Oct-14,10.55,10.75,10.55,10.61,224753
22-Oct-14,10.69,10.69,10.40,10.42,128077
21-Oct-14,10.43,10.75,10.43,10.60,357872
20-Oct-14,10.42,10.56,10.31,10.42,109792
17-Oct-14,10.56,10.68,10.23,10.38,137606
16-Oct-14,9.85,10.46,9.85,10.41,171412
15-Oct-14,9.63,10.05,9.63,9.99,149761
14-Oct-14,9.56,9.77,9.56,9.74,151880
13-Oct-14,9.71,9.82,9.48,9.58,147690
10-Oct-14,10.00,10.25,9.44,9.58,288620
9-Oct-14,10.49,10.71,9.92,9.97,261684
8-Oct-14,10.24,10.56,9.98,10.50,257763
7-Oct-14,10.90,10.94,9.93,10.06,361480
6-Oct-14,11.36,11.57,10.90,10.97,209291
3-Oct-14,11.42,11.86,11.29,11.30,201683
2-Oct-14,11.24,11.48,11.06,11.30,102204
1-Oct-14,11.31,11.56,11.09,11.19,190275
30-Sep-14,11.64,11.78,11.25,11.29,270510
29-Sep-14,11.65,11.80,11.56,11.59,110909
26-Sep-14,11.95,12.08,11.62,11.71,142064
25-Sep-14,12.25,12.25,11.75,11.96,151503
24-Sep-14,12.08,12.32,11.69,12.24,191061
23-Sep-14,12.08,12.35,11.96,12.00,91431
22-Sep-14,12.09,12.23,11.98,12.10,64754
19-Sep-14,12.62,12.63,12.07,12.15,107546
18-Sep-14,12.63,12.68,12.43,12.57,75176
17-Sep-14,12.57,12.66,12.30,12.52,77167
16-Sep-14,12.45,12.70,12.45,12.59,74288
15-Sep-14,12.94,12.94,12.39,12.56,162001
12-Sep-14,13.19,13.33,12.81,13.01,85694
11-Sep-14,13.54,13.66,13.12,13.18,96508
10-Sep-14,13.31,13.66,13.28,13.63,143827
9-Sep-14,13.51,13.61,13.10,13.27,140216
8-Sep-14,13.49,13.74,13.45,13.58,71670
5-Sep-14,13.45,13.57,13.08,13.52,111438
4-Sep-14,13.72,13.91,13.50,13.51,192089
3-Sep-14,13.59,13.92,13.48,13.66,183604
2-Sep-14,13.60,13.60,13.27,13.50,193300
29-Aug-14,13.23,13.68,13.14,13.49,263963
28-Aug-14,12.82,13.25,12.61,13.16,201265
27-Aug-14,12.43,13.20,12.37,12.88,282175
26-Aug-14,12.22,12.41,12.11,12.18,193332
25-Aug-14,12.09,12.25,11.98,12.17,137773
22-Aug-14,11.85,12.22,11.77,11.97,101277
21-Aug-14,11.89,12.02,11.70,11.89,161863
20-Aug-14,12.00,12.08,11.85,11.95,112961
19-Aug-14,12.25,12.40,11.89,12.04,129713
18-Aug-14,12.10,12.40,12.02,12.26,114639
15-Aug-14,12.08,12.19,11.79,11.97,133022
14-Aug-14,12.01,12.15,11.90,12.05,85143
