Date,Open,High,Low,Close,Volume
23-Oct-14,64.21,66.33,63.17,64.24,234939
22-Oct-14,64.53,65.40,63.74,65.09,100315
21-Oct-14,63.39,64.50,62.66,64.41,159086
20-Oct-14,62.33,62.94,62.33,62.84,87945
17-Oct-14,63.20,63.38,62.02,62.86,69477
16-Oct-14,61.03,63.31,61.03,62.75,102454
15-Oct-14,63.23,63.40,61.32,61.66,156624
14-Oct-14,64.02,64.52,63.06,63.43,74213
13-Oct-14,64.22,64.43,63.33,63.63,38458
10-Oct-14,64.96,65.00,64.11,64.19,33883
9-Oct-14,66.31,66.31,64.57,65.04,51751
8-Oct-14,65.63,66.66,65.25,66.43,47747
7-Oct-14,66.90,67.12,65.90,65.99,56427
6-Oct-14,67.74,67.94,67.21,67.35,60009
3-Oct-14,67.78,68.23,67.36,67.66,70407
2-Oct-14,67.06,67.77,66.99,67.52,63048
1-Oct-14,67.88,67.90,67.05,67.10,95872
30-Sep-14,68.10,68.38,67.67,67.90,110756
29-Sep-14,67.52,68.55,67.52,68.30,77489
26-Sep-14,68.13,68.45,67.82,68.15,89904
25-Sep-14,67.93,68.21,67.55,67.95,110614
24-Sep-14,67.63,68.44,67.38,68.18,96967
23-Sep-14,67.96,68.33,67.58,67.65,113639
22-Sep-14,68.18,68.56,67.85,68.24,98579
19-Sep-14,68.24,68.55,68.10,68.34,162008
18-Sep-14,68.67,68.67,67.75,68.41,54772
17-Sep-14,67.74,67.92,67.40,67.92,91702
16-Sep-14,68.19,69.17,67.51,67.88,82381
15-Sep-14,68.64,68.70,68.25,68.30,71969
12-Sep-14,68.73,68.88,68.27,68.59,78136
11-Sep-14,68.54,68.55,68.27,68.54,69042
10-Sep-14,68.42,68.78,68.09,68.52,85413
9-Sep-14,68.75,68.85,68.31,68.56,65864
8-Sep-14,68.85,69.63,68.35,68.85,46213
5-Sep-14,68.76,69.14,68.70,68.87,31653
4-Sep-14,69.20,69.20,68.63,68.94,32536
3-Sep-14,69.83,69.95,68.90,68.94,44818
2-Sep-14,68.65,69.72,68.65,69.51,46451
29-Aug-14,68.47,68.81,68.10,68.68,28812
28-Aug-14,68.10,68.66,67.96,68.47,36232
27-Aug-14,68.51,68.66,67.78,67.98,87952
26-Aug-14,68.61,68.61,67.77,68.28,82315
25-Aug-14,68.32,68.74,67.99,68.40,35151
22-Aug-14,67.65,68.58,67.35,68.35,47453
21-Aug-14,67.89,68.08,67.71,67.96,64497
20-Aug-14,67.66,67.95,67.41,67.83,49546
19-Aug-14,68.01,68.01,67.33,67.61,70509
18-Aug-14,67.68,68.06,67.59,67.85,61874
15-Aug-14,67.75,68.27,67.00,67.26,78076
14-Aug-14,67.97,68.43,67.59,68.05,68606
13-Aug-14,67.64,68.23,67.32,68.14,77035
12-Aug-14,68.00,68.50,67.41,67.49,87771
11-Aug-14,67.37,68.35,67.37,68.17,61667
8-Aug-14,67.24,67.36,66.85,67.06,66663
7-Aug-14,67.38,67.50,66.76,67.15,118278
6-Aug-14,67.90,68.25,66.74,67.20,190453
5-Aug-14,68.16,68.62,67.75,68.07,143330
4-Aug-14,68.33,69.28,68.04,68.36,155476
1-Aug-14,67.65,68.61,67.49,68.25,107597
31-Jul-14,67.11,68.29,67.11,67.81,85381
30-Jul-14,67.18,67.98,66.96,67.75,60624
29-Jul-14,66.65,67.45,66.54,67.02,99425
28-Jul-14,66.54,66.79,66.33,66.53,64410
25-Jul-14,67.26,67.43,66.30,66.49,74854
24-Jul-14,67.72,68.93,67.33,67.40,140655
23-Jul-14,69.20,69.54,68.53,69.03,34853
22-Jul-14,68.31,69.27,68.31,69.04,45527
21-Jul-14,68.64,69.08,68.09,68.28,38599
18-Jul-14,68.73,69.32,68.49,69.09,42091
17-Jul-14,68.97,69.62,68.02,68.16,53413
16-Jul-14,69.65,70.10,68.69,69.22,60517
15-Jul-14,68.98,69.59,68.27,69.34,61813
14-Jul-14,68.91,69.18,68.29,69.00,67893
11-Jul-14,68.49,68.96,68.01,68.62,50711
10-Jul-14,68.50,68.78,68.04,68.32,84370
9-Jul-14,69.58,69.58,68.60,69.14,76997
8-Jul-14,71.14,71.14,69.62,69.84,57454
7-Jul-14,72.17,72.40,70.85,71.24,47661
3-Jul-14,72.17,72.76,72.00,72.55,14581
2-Jul-14,71.73,72.47,71.33,72.04,46159
1-Jul-14,71.90,72.71,71.42,71.68,36374
30-Jun-14,71.30,72.28,70.64,71.81,73241
27-Jun-14,70.65,71.77,70.32,71.59,138240
26-Jun-14,72.24,72.52,70.96,71.15,47056
25-Jun-14,71.50,72.31,71.50,72.17,45113
24-Jun-14,72.21,72.66,71.43,71.53,71363
23-Jun-14,72.42,72.70,72.04,72.23,70079
20-Jun-14,72.98,72.98,72.08,72.10,106266
19-Jun-14,72.58,73.11,72.14,72.91,50043
18-Jun-14,72.88,73.00,72.09,72.57,48989
17-Jun-14,72.79,73.26,71.93,73.14,27906
