Date,Open,High,Low,Close,Volume
23-Oct-14,11.82,12.40,11.82,12.07,186331
22-Oct-14,11.99,12.06,11.74,11.75,78303
21-Oct-14,12.16,12.16,11.90,12.02,150813
20-Oct-14,11.83,12.20,11.83,12.13,268098
17-Oct-14,11.90,12.07,11.56,11.92,216171
16-Oct-14,11.58,11.99,11.58,11.71,167989
15-Oct-14,11.05,11.77,10.91,11.73,136825
14-Oct-14,11.10,11.49,10.86,11.24,95282
13-Oct-14,10.70,11.08,10.61,10.99,141559
10-Oct-14,10.68,11.05,10.68,10.72,151731
9-Oct-14,10.94,10.98,10.72,10.78,97263
8-Oct-14,10.86,11.11,10.80,10.96,158295
7-Oct-14,10.93,11.08,10.81,10.88,61416
6-Oct-14,11.00,11.23,10.98,11.01,76366
3-Oct-14,11.19,11.30,11.00,11.00,97146
2-Oct-14,10.92,11.26,10.90,11.13,118618
1-Oct-14,11.04,11.08,10.85,10.88,252232
30-Sep-14,11.15,11.26,10.81,11.01,213686
29-Sep-14,10.86,10.95,10.76,10.86,255768
26-Sep-14,11.02,11.17,10.98,11.01,157070
25-Sep-14,11.11,11.15,10.96,11.01,131940
24-Sep-14,11.12,11.24,11.04,11.15,63711
23-Sep-14,11.01,11.15,11.00,11.10,188912
22-Sep-14,11.15,11.20,10.94,11.04,126849
19-Sep-14,11.31,11.44,11.00,11.19,361797
18-Sep-14,11.18,11.31,11.11,11.29,149748
17-Sep-14,11.14,11.38,11.12,11.17,459765
16-Sep-14,11.06,11.17,11.00,11.15,455363
15-Sep-14,11.00,11.04,10.88,11.00,130627
12-Sep-14,11.01,11.14,10.86,11.00,109073
11-Sep-14,11.17,11.19,10.99,11.04,87638
10-Sep-14,11.02,11.25,11.02,11.20,73194
9-Sep-14,11.03,11.11,10.97,11.02,129098
8-Sep-14,10.97,11.12,10.97,11.02,63088
5-Sep-14,10.97,11.17,10.97,11.02,60128
4-Sep-14,11.18,11.35,10.98,11.03,87593
3-Sep-14,11.15,11.21,11.01,11.12,113910
2-Sep-14,11.20,11.27,11.01,11.06,260656
29-Aug-14,11.16,11.33,11.08,11.17,96515
28-Aug-14,10.72,11.33,10.69,11.16,416788
27-Aug-14,10.67,10.81,10.64,10.69,105796
26-Aug-14,10.75,10.84,10.65,10.67,168975
25-Aug-14,10.70,10.98,10.65,10.71,160946
22-Aug-14,10.66,10.72,10.62,10.69,100918
21-Aug-14,10.70,10.80,10.55,10.66,478319
20-Aug-14,10.93,10.93,10.47,10.75,162101
19-Aug-14,11.09,11.14,10.84,10.95,131962
18-Aug-14,11.50,11.50,10.98,11.09,141076
15-Aug-14,11.62,11.71,11.16,11.41,64065
14-Aug-14,11.18,11.61,11.18,11.48,37557
13-Aug-14,11.40,11.61,11.16,11.24,87713
12-Aug-14,11.67,11.70,11.25,11.30,53131
11-Aug-14,11.55,11.88,11.49,11.78,40270
8-Aug-14,11.16,11.60,11.16,11.56,66830
7-Aug-14,11.22,11.42,11.14,11.19,48998
6-Aug-14,11.20,11.44,11.05,11.15,95498
5-Aug-14,11.13,11.48,11.10,11.31,125477
4-Aug-14,11.23,11.25,11.16,11.22,61206
1-Aug-14,11.10,11.24,11.10,11.15,103954
31-Jul-14,11.04,11.21,11.00,11.05,122693
30-Jul-14,11.18,11.28,11.11,11.24,84065
29-Jul-14,11.15,11.26,11.06,11.07,43898
28-Jul-14,11.22,11.25,11.05,11.11,49744
25-Jul-14,11.17,11.42,11.10,11.17,84786
24-Jul-14,11.40,11.58,11.25,11.29,78468
23-Jul-14,11.51,11.51,11.34,11.41,51906
22-Jul-14,11.27,11.66,11.18,11.43,42366
21-Jul-14,11.50,11.50,11.20,11.23,69747
18-Jul-14,11.41,11.56,11.38,11.54,78754
17-Jul-14,11.50,11.58,11.40,11.45,69658
16-Jul-14,11.61,11.74,11.51,11.57,50747
15-Jul-14,11.78,11.87,11.62,11.63,59696
14-Jul-14,11.73,11.89,11.71,11.76,42522
11-Jul-14,11.72,11.78,11.60,11.60,47071
10-Jul-14,11.71,11.91,11.64,11.73,61814
9-Jul-14,11.88,11.97,11.80,11.88,57104
8-Jul-14,11.95,12.00,11.75,11.82,87193
7-Jul-14,12.32,12.32,11.90,11.97,179826
3-Jul-14,12.01,12.34,12.01,12.33,54190
2-Jul-14,11.73,12.07,11.61,12.00,110753
1-Jul-14,11.16,11.75,11.16,11.71,252468
30-Jun-14,11.40,11.50,11.25,11.34,147983
27-Jun-14,11.47,11.66,11.35,11.38,159707
26-Jun-14,11.57,11.60,11.40,11.58,61987
25-Jun-14,11.42,11.63,11.42,11.60,66517
24-Jun-14,11.62,11.94,11.47,11.50,72056
23-Jun-14,11.74,11.74,11.50,11.65,59072
20-Jun-14,11.84,11.84,11.52,11.76,170786
19-Jun-14,12.05,12.05,11.71,11.80,43328
18-Jun-14,12.00,12.03,11.73,12.00,50008
17-Jun-14,11.81,12.11,11.81,11.98,59207
16-Jun-14,11.84,11.96,11.74,11.84,46232
13-Jun-14,11.80,12.03,11.67,11.80,177515
12-Jun-14,11.76,11.82,11.59,11.74,86901
11-Jun-14,11.73,11.95,11.65,11.79,83834
10-Jun-14,11.73,11.85,11.54,11.84,55568
9-Jun-14,11.70,11.85,11.65,11.75,58506
6-Jun-14,11.72,11.99,11.62,11.68,105006
5-Jun-14,11.26,11.78,11.21,11.74,150463
4-Jun-14,11.16,11.37,11.14,11.28,106029
3-Jun-14,11.41,11.47,11.09,11.21,104536
2-Jun-14,11.75,11.78,11.46,11.47,133153
30-May-14,11.91,11.91,11.56,11.72,142524
29-May-14,11.95,12.09,11.80,11.91,136488
28-May-14,11.84,12.10,11.80,11.86,136509
27-May-14,12.16,12.28,11.51,11.91,552074
23-May-14,11.93,12.13,11.90,12.11,61912
22-May-14,11.96,12.11,11.88,11.90,91341
21-May-14,12.02,12.14,11.94,11.96,146405
20-May-14,12.15,12.15,11.83,11.95,202641
19-May-14,11.95,12.23,11.95,12.12,85666
16-May-14,11.96,11.97,11.67,11.93,88920
15-May-14,11.85,12.10,11.80,11.99,256631
14-May-14,12.11,12.20,11.80,11.82,150475
13-May-14,12.42,12.46,12.03,12.15,160440
12-May-14,12.10,12.62,11.92,12.41,336311
9-May-14,11.86,12.29,11.86,12.00,283912
8-May-14,12.23,12.52,11.94,11.96,175930
7-May-14,12.30,12.39,11.94,12.30,241003
6-May-14,13.22,13.24,12.28,12.29,328331
5-May-14,13.07,13.48,13.03,13.33,183599
2-May-14,13.17,13.35,13.03,13.26,137700
1-May-14,13.99,13.99,12.90,13.19,278473
30-Apr-14,13.13,14.03,12.81,13.96,226468
29-Apr-14,13.26,13.56,13.07,13.15,101183
28-Apr-14,13.42,13.49,13.01,13.26,84516
25-Apr-14,13.70,13.70,13.15,13.43,123139
24-Apr-14,14.04,14.15,13.63,13.77,70664
23-Apr-14,14.34,14.35,13.84,13.90,112074
22-Apr-14,13.95,14.39,13.79,14.21,323610
21-Apr-14,13.76,14.14,13.62,13.91,99346
17-Apr-14,13.45,14.05,13.35,13.78,162259
16-Apr-14,13.44,13.59,13.28,13.53,57985
15-Apr-14,13.28,13.60,13.17,13.39,155043
14-Apr-14,13.70,13.70,13.03,13.27,216048
11-Apr-14,13.40,13.74,13.40,13.53,129957
10-Apr-14,13.93,14.01,13.50,13.54,135560
9-Apr-14,13.82,14.05,13.62,13.99,126619
8-Apr-14,13.63,14.08,13.52,13.82,137431
7-Apr-14,14.05,14.06,13.34,13.57,155639
4-Apr-14,14.32,14.40,13.53,13.80,460458
3-Apr-14,13.42,13.42,13.12,13.23,94123
2-Apr-14,13.40,13.43,13.13,13.39,60713
1-Apr-14,13.21,13.41,13.00,13.32,109792
31-Mar-14,12.70,13.35,12.70,13.21,133895
28-Mar-14,12.68,13.18,12.50,12.68,80128
27-Mar-14,12.65,12.88,12.55,12.71,64819
26-Mar-14,13.04,13.14,12.65,12.68,95120
25-Mar-14,13.20,13.40,12.98,12.99,131958
24-Mar-14,13.03,13.23,12.67,13.17,100444
21-Mar-14,12.89,13.25,12.75,13.03,264815
20-Mar-14,12.86,13.25,12.75,12.86,111579
19-Mar-14,13.15,13.40,12.77,12.95,212888
18-Mar-14,11.05,13.18,11.05,13.17,892706
17-Mar-14,11.25,11.34,11.03,11.05,69127
14-Mar-14,10.97,11.25,10.92,11.23,72306
13-Mar-14,11.24,11.24,10.94,11.04,72150
12-Mar-14,10.97,11.21,10.90,11.21,54229
11-Mar-14,11.27,11.40,10.96,11.01,83878
10-Mar-14,11.37,11.37,10.99,11.29,115887
7-Mar-14,11.32,11.32,11.00,11.22,65098
6-Mar-14,11.53,11.55,11.16,11.24,79141
5-Mar-14,11.31,11.56,11.31,11.49,100844
4-Mar-14,11.24,11.39,11.23,11.37,212702
3-Mar-14,11.03,11.13,10.83,11.09,56965
28-Feb-14,11.30,11.30,11.06,11.10,100257
27-Feb-14,11.19,11.32,11.13,11.27,58296
26-Feb-14,11.01,11.25,10.91,11.23,85172
25-Feb-14,11.19,11.26,10.90,10.98,51767
24-Feb-14,11.10,11.28,11.10,11.23,89925
21-Feb-14,11.27,11.39,11.05,11.14,76308
20-Feb-14,10.98,11.28,10.98,11.26,85047
19-Feb-14,11.15,11.30,10.95,10.96,91524
18-Feb-14,11.10,11.29,11.08,11.21,128652
14-Feb-14,10.95,11.28,10.74,11.08,85991
13-Feb-14,10.54,10.95,10.54,10.94,90703
12-Feb-14,10.65,10.72,10.50,10.66,70827
11-Feb-14,10.44,10.65,10.39,10.64,61481
10-Feb-14,10.33,10.47,10.28,10.43,76976
7-Feb-14,10.32,10.40,10.30,10.38,86256
6-Feb-14,10.47,10.64,10.28,10.30,88084
5-Feb-14,10.38,10.56,10.35,10.41,116865
4-Feb-14,10.35,10.64,10.29,10.46,101223
3-Feb-14,10.60,10.80,10.25,10.31,155337
31-Jan-14,10.57,10.83,10.38,10.70,130831
30-Jan-14,11.02,11.09,10.85,10.86,178108
29-Jan-14,11.53,11.53,10.60,10.94,219506
28-Jan-14,10.92,10.97,10.78,10.90,115749
27-Jan-14,11.25,11.35,10.93,10.94,60647
24-Jan-14,11.43,11.46,11.21,11.27,140636
23-Jan-14,11.58,11.61,11.41,11.55,116584
22-Jan-14,11.53,11.64,11.52,11.60,72318
21-Jan-14,11.75,11.75,11.49,11.54,80112
17-Jan-14,11.67,11.74,11.59,11.73,68344
16-Jan-14,11.59,11.94,11.59,11.71,105729
15-Jan-14,11.25,11.69,11.24,11.65,68097
14-Jan-14,10.93,11.28,10.93,11.22,155824
13-Jan-14,10.89,11.00,10.89,10.97,136858
10-Jan-14,10.95,10.96,10.89,10.95,64989
9-Jan-14,10.95,10.99,10.90,10.95,105506
8-Jan-14,10.95,10.99,10.89,10.95,92394
7-Jan-14,10.95,11.00,10.91,10.95,141278
6-Jan-14,11.00,11.00,10.87,10.92,69795
3-Jan-14,11.00,11.06,10.87,10.98,71990
2-Jan-14,10.91,11.03,10.76,11.00,93465
31-Dec-13,11.03,11.04,10.89,10.95,102471
30-Dec-13,11.06,11.22,10.95,11.00,219293
27-Dec-13,11.10,11.18,11.00,11.10,126055
26-Dec-13,11.05,11.21,11.00,11.08,196222
24-Dec-13,11.00,11.11,10.94,11.04,127858
23-Dec-13,10.89,11.00,10.73,11.00,271528
20-Dec-13,10.69,10.82,10.62,10.81,346513
19-Dec-13,10.70,10.80,10.49,10.64,81013
18-Dec-13,10.68,10.77,9.64,10.76,104303
17-Dec-13,10.70,10.78,10.58,10.70,65166
16-Dec-13,10.56,10.80,10.54,10.67,106840
13-Dec-13,10.29,10.59,9.81,10.56,106615
12-Dec-13,10.34,10.35,10.21,10.24,97170
11-Dec-13,10.36,10.48,10.23,10.34,88628
10-Dec-13,10.70,10.71,10.30,10.38,120457
9-Dec-13,10.68,10.80,10.66,10.70,124151
6-Dec-13,10.82,10.82,10.65,10.66,69986
5-Dec-13,10.66,10.75,10.56,10.69,53039
4-Dec-13,10.66,10.71,10.35,10.64,59374
3-Dec-13,10.63,10.74,10.63,10.72,82147
2-Dec-13,10.95,10.95,10.49,10.68,111708
29-Nov-13,10.90,10.97,10.79,10.94,57640
27-Nov-13,10.82,10.90,10.72,10.85,148222
26-Nov-13,10.83,10.93,10.66,10.82,110364
25-Nov-13,10.81,10.93,10.67,10.80,70758
22-Nov-13,10.75,10.86,10.62,10.79,105346
21-Nov-13,10.45,10.83,10.45,10.70,113558
20-Nov-13,10.41,10.58,10.28,10.40,96283
19-Nov-13,10.66,10.79,10.35,10.40,170167
18-Nov-13,10.09,11.00,10.05,10.63,263494
15-Nov-13,9.80,10.11,9.80,10.08,194974
14-Nov-13,9.82,9.86,9.75,9.82,78509
13-Nov-13,9.69,9.82,9.58,9.82,154926
12-Nov-13,9.59,9.78,9.55,9.74,88869
11-Nov-13,9.49,9.81,9.38,9.66,119269
8-Nov-13,9.28,9.81,9.28,9.54,76998
7-Nov-13,9.35,9.35,9.21,9.28,154910
6-Nov-13,9.25,9.41,9.21,9.33,149347
5-Nov-13,9.34,9.42,9.14,9.25,114725
4-Nov-13,9.31,9.52,9.22,9.36,230700
1-Nov-13,9.21,9.35,9.00,9.16,267675
31-Oct-13,9.19,9.34,9.05,9.22,228880
30-Oct-13,9.11,9.99,8.87,9.17,343555
29-Oct-13,8.95,9.11,8.79,9.06,326271
28-Oct-13,8.89,8.99,8.72,8.91,165275
25-Oct-13,8.88,8.96,8.80,8.89,110794
24-Oct-13,8.91,8.95,8.85,8.86,148857
23-Oct-13,8.82,9.11,8.65,8.86,147936
22-Oct-13,8.84,8.96,8.75,8.89,420195
21-Oct-13,8.65,8.84,8.65,8.83,340711
18-Oct-13,8.62,8.70,8.52,8.65,315106
17-Oct-13,8.42,8.55,8.42,8.55,326543
16-Oct-13,8.49,8.84,8.46,8.47,246111
15-Oct-13,9.00,9.16,8.45,8.47,411397
14-Oct-13,8.91,9.09,8.83,9.02,193784
11-Oct-13,9.52,9.52,8.81,8.98,845843
10-Oct-13,10.12,10.41,10.03,10.34,86225
9-Oct-13,10.02,10.11,9.88,9.99,163395
8-Oct-13,10.21,10.26,9.86,10.00,282185
7-Oct-13,10.00,10.41,9.83,10.23,268443
4-Oct-13,9.75,10.15,9.72,10.12,92290
3-Oct-13,9.94,9.94,9.58,9.78,65407
2-Oct-13,10.00,10.10,9.87,9.94,100020
1-Oct-13,10.00,10.24,9.90,10.06,334955
30-Sep-13,9.66,10.00,9.50,9.99,253494
27-Sep-13,9.59,9.95,9.57,9.80,118104
26-Sep-13,9.76,9.80,9.55,9.66,53088
25-Sep-13,9.83,9.92,9.68,9.72,67804
24-Sep-13,9.59,9.95,9.40,9.80,75960
23-Sep-13,9.61,9.77,9.46,9.60,87729
