Date,Open,High,Low,Close,Volume
23-Oct-14,6.42,6.83,6.28,6.48,10260
22-Oct-14,6.95,6.95,6.21,6.21,2954
21-Oct-14,6.32,6.88,6.00,6.51,12527
17-Oct-14,7.04,7.40,6.33,6.85,9661
16-Oct-14,6.40,7.50,5.85,6.94,27604
15-Oct-14,6.62,6.62,5.91,6.25,4978
14-Oct-14,6.52,6.52,6.01,6.25,13457
13-Oct-14,6.10,6.60,5.80,6.39,14900
10-Oct-14,6.36,6.74,6.36,6.45,10338
9-Oct-14,6.55,6.55,6.08,6.24,8417
8-Oct-14,6.27,6.68,6.01,6.27,21948
7-Oct-14,6.65,6.68,6.05,6.17,9817
6-Oct-14,6.31,6.94,6.04,6.94,15658
3-Oct-14,6.12,6.50,5.76,6.25,8083
2-Oct-14,5.94,6.42,5.66,5.87,18584
1-Oct-14,6.62,6.88,5.84,5.84,14666
30-Sep-14,6.98,6.98,6.29,6.47,11163
29-Sep-14,6.96,7.00,6.80,6.99,2032
26-Sep-14,6.32,7.00,6.32,7.00,2223
25-Sep-14,6.75,7.10,6.75,6.81,6277
24-Sep-14,6.52,6.99,6.50,6.91,16316
23-Sep-14,6.01,6.71,6.01,6.71,2293
22-Sep-14,6.40,6.66,5.49,6.26,37572
19-Sep-14,7.49,7.50,6.02,6.26,66918
18-Sep-14,7.34,7.51,7.28,7.41,22626
17-Sep-14,7.42,7.55,7.42,7.47,14260
16-Sep-14,7.50,7.57,7.20,7.44,20819
15-Sep-14,7.68,8.07,7.42,7.65,33625
12-Sep-14,7.97,8.08,7.65,7.95,27443
11-Sep-14,7.22,8.39,7.22,8.00,39723
10-Sep-14,8.50,9.30,7.42,8.07,36642
9-Sep-14,8.51,9.17,8.28,8.49,36194
8-Sep-14,8.01,10.58,8.01,8.92,106747
5-Sep-14,7.60,8.49,7.32,8.38,60881
4-Sep-14,7.04,7.44,7.04,7.33,18799
3-Sep-14,7.45,7.45,7.05,7.38,32156
2-Sep-14,7.83,7.90,7.36,7.59,24024
29-Aug-14,8.03,8.03,8.00,8.02,17513
28-Aug-14,8.00,8.07,8.00,8.07,108902
27-Aug-14,8.00,8.04,8.00,8.00,51678
26-Aug-14,8.04,8.05,8.00,8.03,7394
25-Aug-14,8.04,8.08,8.00,8.04,16241
22-Aug-14,8.02,8.04,8.00,8.04,70085
21-Aug-14,8.00,8.04,8.00,8.00,15050
20-Aug-14,8.01,8.05,8.00,8.00,22865
19-Aug-14,8.01,8.08,8.00,8.01,11848
18-Aug-14,8.10,8.10,8.00,8.00,28009
15-Aug-14,8.07,8.10,8.02,8.02,3900
14-Aug-14,8.00,8.08,8.00,8.07,14060
13-Aug-14,8.04,8.08,8.00,8.00,7956
12-Aug-14,8.00,8.14,8.00,8.08,19123
11-Aug-14,8.00,8.05,8.00,8.05,17760
8-Aug-14,8.00,8.04,8.00,8.02,17860
7-Aug-14,8.01,8.06,8.00,8.04,36520
6-Aug-14,8.00,8.15,8.00,8.04,24250
5-Aug-14,8.00,8.11,8.00,8.09,47230
4-Aug-14,8.00,8.01,8.00,8.00,41317
1-Aug-14,8.00,8.09,8.00,8.00,28901
31-Jul-14,8.00,8.16,8.00,8.00,622183
