Date,Open,High,Low,Close,Volume
22-Oct-14,23.10,23.39,23.10,23.39,4301
21-Oct-14,23.56,23.56,23.56,23.56,296
15-Oct-14,22.90,22.91,22.71,22.91,1800
10-Oct-14,23.93,23.93,23.93,23.93,100
7-Oct-14,24.27,24.27,24.27,24.27,1400
3-Oct-14,24.58,24.58,24.58,24.58,1510
2-Oct-14,24.25,24.25,24.23,24.24,1200
1-Oct-14,24.30,24.30,24.30,24.30,103
30-Sep-14,24.88,24.88,24.88,24.88,122
24-Sep-14,25.03,25.03,25.03,25.03,200
22-Sep-14,24.78,24.92,24.78,24.84,6500
19-Sep-14,24.79,25.00,24.79,24.84,12069
18-Sep-14,24.71,24.99,24.71,24.88,19762
16-Sep-14,24.70,24.93,24.70,24.93,7300
15-Sep-14,24.36,24.36,24.36,24.36,700
11-Sep-14,24.94,24.94,24.90,24.90,450
10-Sep-14,24.93,24.93,24.92,24.92,56000
9-Sep-14,25.16,25.17,25.16,25.17,392
3-Sep-14,25.24,25.24,25.24,25.24,100
27-Aug-14,25.11,25.11,25.11,25.11,100
26-Aug-14,25.24,25.24,25.23,25.23,200
25-Aug-14,25.18,25.18,25.17,25.17,400
11-Aug-14,24.57,24.57,24.56,24.56,400
8-Aug-14,24.42,24.42,24.42,24.42,100
7-Aug-14,24.34,24.34,24.34,24.34,100
5-Aug-14,24.42,24.44,24.42,24.44,380
30-Jul-14,25.09,25.09,24.92,24.92,630
28-Jul-14,25.10,25.17,25.10,25.15,1054
24-Jul-14,25.25,25.25,25.21,25.24,4150
23-Jul-14,25.35,25.35,25.23,25.23,2499
22-Jul-14,25.16,25.16,25.16,25.16,100
21-Jul-14,24.97,25.00,24.97,25.00,500
18-Jul-14,25.06,25.06,25.06,25.06,110
17-Jul-14,25.11,25.11,24.91,24.91,7572
16-Jul-14,25.06,25.10,25.06,25.10,3150
15-Jul-14,25.01,25.01,24.99,24.99,300
14-Jul-14,25.09,25.10,25.07,25.10,5848
11-Jul-14,24.99,25.01,24.98,25.01,2500
10-Jul-14,24.99,25.04,24.98,25.02,35119
9-Jul-14,25.05,25.15,25.03,25.09,63823
