Date,Open,High,Low,Close,Volume
23-Oct-14,9.20,10.23,9.20,9.88,1243070
22-Oct-14,9.74,9.85,9.18,9.26,419915
21-Oct-14,9.63,9.88,9.33,9.73,542881
20-Oct-14,9.45,9.78,9.37,9.54,581551
17-Oct-14,9.78,10.00,9.35,9.52,644867
16-Oct-14,9.12,9.90,8.95,9.63,964168
15-Oct-14,8.05,9.36,7.90,9.26,954148
14-Oct-14,7.68,8.19,7.62,8.11,603826
13-Oct-14,7.29,7.82,7.25,7.58,580808
10-Oct-14,7.39,7.48,7.06,7.29,502708
9-Oct-14,7.87,7.92,7.50,7.51,511621
8-Oct-14,7.72,8.00,7.46,7.92,477869
7-Oct-14,7.91,7.96,7.59,7.72,449145
6-Oct-14,8.32,8.49,7.89,7.99,547798
3-Oct-14,8.41,8.53,8.20,8.30,422262
2-Oct-14,8.16,8.40,7.90,8.32,626804
1-Oct-14,8.73,8.98,8.06,8.17,754483
30-Sep-14,9.26,9.26,8.70,8.72,936036
29-Sep-14,9.06,9.60,8.98,9.24,1297845
26-Sep-14,9.15,9.27,8.95,9.20,457305
25-Sep-14,9.12,9.24,8.94,9.15,537143
24-Sep-14,8.92,9.24,8.81,9.17,604503
23-Sep-14,8.63,8.89,8.57,8.81,475617
22-Sep-14,8.51,8.73,8.30,8.71,536382
19-Sep-14,8.89,8.94,8.53,8.60,479624
18-Sep-14,8.90,8.94,8.70,8.86,400983
17-Sep-14,8.50,8.95,8.50,8.86,435709
16-Sep-14,8.81,8.81,8.42,8.52,555660
15-Sep-14,9.48,9.48,8.77,8.84,679146
12-Sep-14,9.62,9.84,9.36,9.45,517707
11-Sep-14,9.23,9.51,9.17,9.33,374581
10-Sep-14,9.06,9.37,9.00,9.29,301818
9-Sep-14,9.55,9.55,8.97,9.03,623468
8-Sep-14,9.30,9.62,9.24,9.58,542713
5-Sep-14,9.73,9.73,9.20,9.30,525289
4-Sep-14,9.89,10.08,9.70,9.73,469616
3-Sep-14,10.40,10.47,9.80,9.83,689221
2-Sep-14,10.35,10.48,10.24,10.35,339097
29-Aug-14,10.45,10.67,10.19,10.27,490929
28-Aug-14,10.01,10.65,9.96,10.37,984377
27-Aug-14,10.51,10.54,10.05,10.14,900486
26-Aug-14,9.65,10.54,9.63,10.52,1076221
25-Aug-14,9.73,9.84,9.60,9.66,471663
22-Aug-14,9.42,9.66,9.22,9.60,551273
21-Aug-14,9.57,9.65,9.20,9.40,413248
20-Aug-14,9.81,9.81,9.31,9.44,845113
19-Aug-14,9.48,10.04,9.46,9.89,664742
18-Aug-14,9.42,9.63,9.24,9.41,469473
15-Aug-14,9.42,9.42,9.00,9.30,420370
14-Aug-14,9.61,9.61,9.33,9.36,438204
13-Aug-14,10.30,10.36,9.36,9.42,1106109
12-Aug-14,9.73,10.14,9.36,10.10,1617571
11-Aug-14,8.85,9.32,8.78,9.19,646853
8-Aug-14,8.62,8.83,8.50,8.81,369470
7-Aug-14,8.81,9.01,8.48,8.57,536138
6-Aug-14,8.55,8.84,8.30,8.74,898514
5-Aug-14,9.30,9.44,8.66,8.69,987247
4-Aug-14,9.60,9.60,9.26,9.35,669883
1-Aug-14,9.60,10.10,9.19,9.74,2158763
31-Jul-14,11.15,11.36,10.79,10.88,720638
30-Jul-14,11.02,11.32,10.92,11.23,643740
29-Jul-14,11.26,11.46,10.91,10.96,575260
28-Jul-14,11.45,11.55,11.01,11.26,854911
25-Jul-14,12.63,12.72,11.51,11.51,1009620
24-Jul-14,12.54,13.24,12.51,12.74,840742
23-Jul-14,12.93,13.05,12.62,12.65,355551
22-Jul-14,13.14,13.41,12.89,12.91,323630
21-Jul-14,12.70,13.14,12.50,13.04,478639
18-Jul-14,12.61,13.31,12.57,12.77,488167
17-Jul-14,13.00,13.22,12.58,12.62,329150
16-Jul-14,13.66,13.77,13.05,13.14,273554
15-Jul-14,13.80,13.98,13.24,13.33,291922
14-Jul-14,13.48,14.17,13.44,13.80,475303
11-Jul-14,13.85,14.01,12.99,13.20,810958
10-Jul-14,14.09,14.40,13.53,13.99,373355
9-Jul-14,14.35,14.65,14.24,14.32,273334
8-Jul-14,14.90,14.90,14.04,14.28,367488
7-Jul-14,15.18,15.19,14.70,14.89,295918
3-Jul-14,15.20,15.46,15.16,15.19,135349
2-Jul-14,15.18,15.43,15.06,15.08,337746
1-Jul-14,15.14,15.67,15.11,15.24,464113
30-Jun-14,15.01,15.25,14.95,15.13,574534
27-Jun-14,15.15,15.38,14.86,15.02,929620
26-Jun-14,15.68,15.80,15.17,15.20,353494
25-Jun-14,15.44,15.80,15.33,15.58,315988
24-Jun-14,15.98,16.09,15.56,15.58,450051
23-Jun-14,16.49,16.98,15.68,15.98,633252
20-Jun-14,16.96,16.96,16.04,16.16,654750
19-Jun-14,17.51,17.52,16.82,16.86,296150
18-Jun-14,17.38,17.61,17.20,17.42,156014
17-Jun-14,17.20,17.69,16.98,17.38,334290
16-Jun-14,17.03,17.31,16.91,17.19,216164
13-Jun-14,17.37,17.49,16.82,17.10,352470
12-Jun-14,17.69,18.25,17.17,17.26,546284
11-Jun-14,17.36,17.91,17.03,17.81,245760
10-Jun-14,17.33,17.87,17.20,17.80,298036
9-Jun-14,16.79,17.41,16.71,17.37,389724
6-Jun-14,17.11,17.24,16.71,16.87,371458
5-Jun-14,16.38,17.30,16.38,17.14,562069
4-Jun-14,16.59,16.61,15.80,16.24,742876
3-Jun-14,16.91,17.02,16.28,16.81,694324
2-Jun-14,17.35,17.53,16.46,16.99,601922
30-May-14,17.85,17.99,17.13,17.36,633019
29-May-14,18.26,18.27,17.61,17.83,475429
28-May-14,17.90,18.28,17.60,18.20,555786
27-May-14,17.83,18.43,17.65,17.90,759517
23-May-14,17.14,17.75,16.98,17.61,619092
22-May-14,16.82,17.24,16.56,17.09,702878
21-May-14,16.26,17.15,16.16,16.64,1613290
20-May-14,15.84,16.02,15.40,15.62,356032
19-May-14,15.79,16.47,15.71,15.90,716871
16-May-14,15.47,15.80,15.22,15.80,454203
15-May-14,15.51,15.62,15.05,15.47,524108
14-May-14,15.69,15.89,15.32,15.64,444732
13-May-14,15.85,16.33,15.58,15.74,612413
12-May-14,15.14,16.02,15.13,15.92,827630
9-May-14,14.95,15.34,14.71,15.01,480760
8-May-14,15.00,15.74,14.84,15.01,638514
7-May-14,15.05,15.19,14.32,15.15,679738
6-May-14,15.80,15.93,14.96,14.97,952867
5-May-14,16.10,16.41,15.59,15.87,784064
2-May-14,15.91,17.02,15.36,16.17,3380843
1-May-14,15.22,15.22,14.27,14.69,665516
30-Apr-14,14.02,15.10,13.92,15.06,723373
29-Apr-14,14.38,14.58,13.92,14.15,825304
28-Apr-14,14.92,15.18,14.03,14.31,725915
25-Apr-14,15.84,15.84,14.58,14.87,846361
24-Apr-14,16.07,16.45,15.20,15.93,1130939
23-Apr-14,15.99,16.07,15.26,15.77,859862
22-Apr-14,15.99,16.87,15.44,16.02,2359540
21-Apr-14,14.20,16.09,14.18,15.83,2677146
17-Apr-14,14.18,14.63,13.78,14.13,552343
16-Apr-14,13.86,14.43,13.80,14.23,621255
15-Apr-14,13.42,13.74,12.87,13.66,636860
14-Apr-14,13.80,13.91,13.04,13.38,573843
11-Apr-14,13.73,14.12,13.45,13.53,867195
10-Apr-14,14.30,14.80,13.62,13.93,1001745
9-Apr-14,12.94,14.51,12.88,14.36,995199
8-Apr-14,13.03,13.47,12.86,13.12,554762
7-Apr-14,13.24,13.49,12.79,13.02,497141
4-Apr-14,13.97,14.17,12.96,13.30,869799
3-Apr-14,14.60,14.95,13.87,13.89,945616
2-Apr-14,14.48,14.86,13.85,14.66,1405018
1-Apr-14,13.04,14.60,13.04,14.35,2217406
31-Mar-14,12.75,13.17,12.67,12.92,401283
28-Mar-14,12.67,13.34,12.55,12.62,815373
27-Mar-14,12.92,12.92,12.19,12.61,742335
26-Mar-14,13.67,13.90,12.82,12.88,551687
25-Mar-14,13.70,13.94,13.12,13.45,587703
24-Mar-14,13.64,13.89,13.01,13.58,690445
21-Mar-14,14.45,14.79,13.25,13.64,998260
20-Mar-14,14.55,15.16,14.33,14.40,491532
19-Mar-14,15.19,15.35,14.45,14.57,835598
18-Mar-14,14.11,16.15,14.11,15.29,1922877
17-Mar-14,13.33,14.13,13.33,14.03,547443
14-Mar-14,13.41,13.98,13.06,13.23,579495
13-Mar-14,14.31,14.54,13.38,13.52,809184
12-Mar-14,12.98,14.08,12.62,14.08,743508
11-Mar-14,14.71,14.94,12.80,13.10,1101185
10-Mar-14,15.12,15.30,13.55,14.49,1137334
7-Mar-14,14.60,15.28,14.17,15.06,1108931
6-Mar-14,14.18,14.81,13.44,14.58,2208024
5-Mar-14,12.23,15.67,11.75,15.02,6727072
4-Mar-14,10.83,12.72,10.65,12.23,2203259
3-Mar-14,10.00,10.75,9.85,10.59,1231219
28-Feb-14,9.25,10.87,8.80,10.22,1922161
27-Feb-14,8.48,8.94,8.28,8.86,635379
26-Feb-14,8.50,8.55,8.29,8.54,560429
25-Feb-14,8.69,8.92,8.45,8.47,437518
24-Feb-14,8.67,8.94,8.63,8.73,328971
21-Feb-14,8.56,8.76,8.06,8.76,937340
20-Feb-14,8.74,9.24,8.74,9.16,396141
19-Feb-14,8.75,8.93,8.73,8.74,250486
18-Feb-14,8.95,9.03,8.74,8.81,337376
14-Feb-14,8.93,9.00,8.71,8.96,174509
13-Feb-14,8.94,9.09,8.80,9.03,261700
12-Feb-14,8.81,9.25,8.81,9.10,462067
11-Feb-14,8.75,8.89,8.71,8.80,289345
10-Feb-14,8.55,8.96,8.53,8.75,324964
7-Feb-14,8.27,8.56,8.23,8.55,234943
6-Feb-14,8.29,8.43,8.12,8.25,213741
5-Feb-14,7.99,8.24,7.95,8.24,308673
4-Feb-14,8.04,8.14,7.96,8.03,331619
3-Feb-14,8.14,8.15,7.76,7.98,341100
31-Jan-14,8.25,8.39,8.10,8.16,260598
30-Jan-14,8.39,8.58,8.34,8.46,192791
29-Jan-14,8.43,8.51,8.27,8.29,169887
28-Jan-14,8.25,8.57,8.20,8.56,322348
27-Jan-14,8.51,8.52,8.05,8.26,255671
24-Jan-14,8.80,8.83,8.36,8.52,415885
23-Jan-14,9.20,9.20,8.76,8.86,317549
22-Jan-14,9.23,9.30,9.07,9.24,236181
21-Jan-14,9.10,9.41,9.09,9.19,554223
17-Jan-14,8.60,9.50,8.42,9.04,1654285
16-Jan-14,7.73,8.12,7.57,8.09,581157
15-Jan-14,7.48,7.80,7.46,7.77,305620
14-Jan-14,7.14,7.47,7.08,7.46,455410
13-Jan-14,7.32,7.34,7.04,7.11,283438
10-Jan-14,7.40,7.45,7.22,7.36,162520
9-Jan-14,7.66,7.66,7.35,7.42,259231
8-Jan-14,7.60,7.68,7.52,7.65,218252
7-Jan-14,7.60,7.77,7.50,7.62,207765
6-Jan-14,7.56,7.68,7.41,7.55,213612
3-Jan-14,7.57,7.74,7.46,7.51,165887
2-Jan-14,7.75,7.75,7.54,7.56,231870
31-Dec-13,7.73,7.85,7.53,7.77,265119
30-Dec-13,7.73,7.79,7.61,7.73,259256
27-Dec-13,7.59,7.78,7.50,7.73,309973
26-Dec-13,7.71,7.84,7.51,7.58,218645
24-Dec-13,7.42,7.72,7.42,7.68,160180
23-Dec-13,7.48,7.48,7.27,7.43,262097
20-Dec-13,7.22,7.50,7.22,7.44,493700
19-Dec-13,7.30,7.30,7.15,7.18,222769
18-Dec-13,7.21,7.35,7.04,7.33,210249
17-Dec-13,7.38,7.38,6.92,7.17,219559
16-Dec-13,7.10,7.33,7.01,7.23,328141
13-Dec-13,6.86,7.15,6.79,7.02,286887
12-Dec-13,6.99,7.00,6.75,6.82,242703
11-Dec-13,7.09,7.15,6.78,6.91,441156
10-Dec-13,7.23,7.23,7.01,7.08,319485
9-Dec-13,7.39,7.46,7.09,7.29,371624
6-Dec-13,7.53,7.64,7.38,7.40,262139
5-Dec-13,7.40,7.50,7.33,7.43,179655
4-Dec-13,7.42,7.53,7.31,7.40,212245
3-Dec-13,7.68,7.72,7.29,7.46,335258
2-Dec-13,7.94,8.04,7.56,7.71,219342
29-Nov-13,7.78,7.98,7.65,7.95,145132
27-Nov-13,7.48,7.77,7.48,7.70,142074
26-Nov-13,7.34,7.52,7.27,7.44,202115
25-Nov-13,7.47,7.59,7.23,7.35,263456
22-Nov-13,7.64,7.64,7.38,7.46,313626
21-Nov-13,7.55,7.77,7.55,7.67,159087
20-Nov-13,7.94,7.94,7.42,7.52,361843
19-Nov-13,7.56,7.96,7.56,7.90,371296
18-Nov-13,7.87,7.87,7.55,7.57,199281
15-Nov-13,7.74,7.94,7.66,7.85,239511
14-Nov-13,7.94,7.95,7.55,7.75,266189
13-Nov-13,7.75,7.92,7.74,7.92,169525
12-Nov-13,7.92,7.94,7.75,7.84,170125
11-Nov-13,7.86,7.98,7.73,7.94,189331
8-Nov-13,7.64,7.97,7.58,7.86,264257
7-Nov-13,7.90,8.01,7.60,7.64,379540
6-Nov-13,7.99,8.00,7.72,7.86,233627
5-Nov-13,8.07,8.24,7.88,7.92,396215
4-Nov-13,7.77,8.08,7.75,8.02,465025
1-Nov-13,7.50,7.74,7.40,7.70,482578
31-Oct-13,7.55,7.68,7.34,7.50,590932
30-Oct-13,8.16,8.33,7.50,7.52,751767
29-Oct-13,8.11,8.28,7.80,8.12,564528
28-Oct-13,8.28,8.52,8.05,8.06,696962
25-Oct-13,7.51,8.40,7.49,8.19,1596416
24-Oct-13,7.71,7.90,7.32,7.40,543571
23-Oct-13,7.73,8.05,7.65,7.70,399663
22-Oct-13,7.74,8.00,7.66,7.80,416524
21-Oct-13,8.21,8.23,7.59,7.67,520628
18-Oct-13,8.46,8.46,8.12,8.22,303031
17-Oct-13,8.24,8.40,8.16,8.34,250189
16-Oct-13,8.43,8.46,8.23,8.26,235026
15-Oct-13,8.36,8.62,8.26,8.33,382701
14-Oct-13,8.52,8.54,8.28,8.41,178273
11-Oct-13,8.37,8.77,8.33,8.58,332253
10-Oct-13,8.23,8.48,8.11,8.44,355802
9-Oct-13,8.27,8.37,7.96,8.05,481867
8-Oct-13,8.48,8.71,8.20,8.21,403495
7-Oct-13,8.60,8.83,8.47,8.48,335481
4-Oct-13,8.79,8.86,8.56,8.70,356811
3-Oct-13,8.94,9.00,8.75,8.81,233686
2-Oct-13,9.08,9.33,8.76,8.96,490137
1-Oct-13,9.06,9.17,8.96,9.14,358610
30-Sep-13,8.97,9.21,8.91,9.06,331460
27-Sep-13,9.56,9.68,9.10,9.12,991152
26-Sep-13,9.39,9.72,9.25,9.59,286598
25-Sep-13,9.51,9.88,9.34,9.34,336450
24-Sep-13,9.25,9.54,9.07,9.50,369004
23-Sep-13,9.20,9.26,8.88,9.16,259861
20-Sep-13,9.12,9.38,9.04,9.17,424577
19-Sep-13,9.81,9.82,8.96,9.12,695964
18-Sep-13,9.79,10.39,9.40,9.72,1809805
17-Sep-13,9.07,9.42,9.01,9.35,501199
16-Sep-13,9.12,9.12,8.86,8.96,187150
13-Sep-13,8.91,9.01,8.88,8.93,85150
12-Sep-13,9.16,9.16,8.77,8.88,226467
11-Sep-13,9.26,9.26,9.01,9.16,135739
10-Sep-13,9.30,9.48,9.16,9.26,316533
9-Sep-13,8.99,9.22,8.95,9.12,227688
6-Sep-13,9.28,9.28,8.79,8.91,341981
5-Sep-13,8.97,9.24,8.90,9.19,305071
4-Sep-13,8.76,9.04,8.69,8.94,248538
3-Sep-13,9.02,9.02,8.72,8.77,276327
30-Aug-13,9.00,9.03,8.61,8.84,221445
29-Aug-13,8.92,9.05,8.92,9.03,190970
28-Aug-13,8.83,9.17,8.65,8.92,281095
27-Aug-13,9.41,9.54,8.80,8.84,332951
26-Aug-13,9.26,9.70,9.25,9.60,372855
23-Aug-13,9.32,9.39,9.16,9.27,202626
22-Aug-13,9.24,9.43,9.24,9.32,168670
21-Aug-13,9.22,9.36,9.08,9.23,276195
20-Aug-13,9.00,9.28,9.00,9.27,339936
19-Aug-13,9.45,9.60,8.96,9.01,318836
16-Aug-13,9.07,9.51,9.07,9.46,384513
15-Aug-13,9.27,9.68,9.04,9.11,487394
14-Aug-13,9.17,9.54,9.15,9.52,373400
13-Aug-13,9.11,9.30,9.03,9.14,245434
12-Aug-13,8.83,9.43,8.83,9.08,312183
9-Aug-13,9.07,9.09,8.81,8.93,230503
8-Aug-13,9.27,9.49,9.12,9.14,307397
7-Aug-13,9.10,9.23,8.92,9.10,200913
6-Aug-13,9.08,9.22,9.05,9.14,339191
5-Aug-13,9.50,9.50,9.04,9.09,359465
2-Aug-13,8.12,9.84,8.10,9.43,1601292
1-Aug-13,8.03,8.10,7.95,8.01,243376
31-Jul-13,7.97,7.99,7.84,7.93,207324
30-Jul-13,7.65,7.87,7.62,7.86,370005
29-Jul-13,7.75,7.98,7.54,7.57,202256
