Date,Open,High,Low,Close,Volume
23-Oct-14,5.31,5.38,5.16,5.27,120617
22-Oct-14,5.50,5.50,5.12,5.23,199478
21-Oct-14,5.33,5.45,5.33,5.40,89535
20-Oct-14,5.35,5.48,5.30,5.33,111858
17-Oct-14,5.47,5.48,5.29,5.33,107710
16-Oct-14,5.15,5.48,5.07,5.43,177417
15-Oct-14,5.20,5.29,5.00,5.26,199707
14-Oct-14,4.97,5.32,4.97,5.25,210499
13-Oct-14,5.04,5.20,4.97,5.14,160832
10-Oct-14,5.00,5.29,4.97,4.98,159247
9-Oct-14,5.24,5.27,5.00,5.03,162678
8-Oct-14,5.10,5.29,5.01,5.27,188025
7-Oct-14,5.19,5.23,5.06,5.09,178303
6-Oct-14,5.47,5.70,5.21,5.21,100774
3-Oct-14,5.11,5.48,5.11,5.20,190440
2-Oct-14,5.27,5.35,5.09,5.14,241387
1-Oct-14,5.57,5.66,5.25,5.31,184791
30-Sep-14,5.93,6.00,5.52,5.53,173184
29-Sep-14,5.91,6.18,5.80,5.82,376429
26-Sep-14,5.40,5.95,5.40,5.89,302658
25-Sep-14,5.29,5.44,5.26,5.41,159287
24-Sep-14,5.26,5.33,5.18,5.33,113238
23-Sep-14,5.23,5.42,5.22,5.26,138286
22-Sep-14,5.24,5.33,5.22,5.23,140621
19-Sep-14,5.20,5.39,5.15,5.24,231032
18-Sep-14,5.10,5.28,5.10,5.20,248101
17-Sep-14,5.34,5.34,5.10,5.13,320500
16-Sep-14,5.34,5.45,5.31,5.35,69768
15-Sep-14,5.60,5.60,5.33,5.37,173140
12-Sep-14,5.50,5.70,5.50,5.60,122924
11-Sep-14,5.52,5.57,5.41,5.49,111872
10-Sep-14,5.54,5.55,5.41,5.53,150358
9-Sep-14,5.73,5.73,5.55,5.55,87830
8-Sep-14,5.56,5.75,5.56,5.72,94109
5-Sep-14,5.59,5.65,5.51,5.58,118006
4-Sep-14,5.62,5.74,5.50,5.54,247539
3-Sep-14,5.85,5.85,5.66,5.70,220147
2-Sep-14,5.79,5.93,5.71,5.85,223888
29-Aug-14,5.76,5.81,5.70,5.75,119819
28-Aug-14,5.75,5.80,5.70,5.76,113095
27-Aug-14,5.80,5.88,5.76,5.80,93267
26-Aug-14,5.74,5.84,5.74,5.82,143517
25-Aug-14,5.75,5.93,5.65,5.76,144921
22-Aug-14,5.62,5.88,5.62,5.78,111131
21-Aug-14,5.81,5.82,5.62,5.65,219045
20-Aug-14,5.91,5.92,5.75,5.81,122730
19-Aug-14,5.97,6.05,5.85,5.90,121700
18-Aug-14,5.98,5.98,5.82,5.90,141394
15-Aug-14,6.00,6.06,5.78,5.95,144739
14-Aug-14,6.00,6.13,5.90,5.99,189168
13-Aug-14,5.81,5.96,5.62,5.96,196067
12-Aug-14,5.97,5.97,5.66,5.74,214153
11-Aug-14,6.05,6.06,5.88,5.93,157505
8-Aug-14,6.14,6.15,5.82,5.98,361436
7-Aug-14,6.50,6.50,6.15,6.25,182953
6-Aug-14,6.25,6.55,6.18,6.45,221382
5-Aug-14,6.15,6.30,6.12,6.24,147163
4-Aug-14,6.12,6.19,6.05,6.15,164248
1-Aug-14,6.00,6.24,6.00,6.21,176813
31-Jul-14,6.22,6.24,6.14,6.17,201909
30-Jul-14,6.20,6.24,6.15,6.22,168286
29-Jul-14,6.11,6.19,6.08,6.10,82572
28-Jul-14,6.25,6.33,6.04,6.07,154142
25-Jul-14,6.00,6.32,6.00,6.17,254852
24-Jul-14,6.03,6.16,5.99,6.00,125501
23-Jul-14,6.02,6.02,5.90,5.98,100235
22-Jul-14,5.99,6.04,5.96,6.01,173211
21-Jul-14,5.97,6.03,5.90,5.93,196305
18-Jul-14,5.67,5.89,5.65,5.88,130484
17-Jul-14,5.82,5.89,5.70,5.73,210957
16-Jul-14,5.87,5.98,5.82,5.90,132424
15-Jul-14,6.11,6.20,5.88,5.88,138135
14-Jul-14,6.01,6.17,6.00,6.10,161757
11-Jul-14,5.89,6.15,5.86,6.01,135084
10-Jul-14,5.85,5.94,5.62,5.86,262171
9-Jul-14,5.92,6.08,5.85,5.92,176430
8-Jul-14,6.19,6.19,5.80,5.98,442627
7-Jul-14,6.39,6.45,6.06,6.18,357991
3-Jul-14,6.47,6.51,6.33,6.38,117954
2-Jul-14,6.38,6.58,6.36,6.47,153087
1-Jul-14,6.57,6.68,6.36,6.39,378106
30-Jun-14,6.63,6.74,6.51,6.52,392082
27-Jun-14,6.87,6.90,6.30,6.62,3382900
26-Jun-14,6.86,6.89,6.70,6.86,147837
25-Jun-14,6.69,6.85,6.66,6.82,235214
24-Jun-14,6.80,6.91,6.61,6.69,247881
23-Jun-14,6.88,6.89,6.63,6.78,186657
20-Jun-14,6.86,6.94,6.46,6.68,447043
19-Jun-14,6.98,7.04,6.81,6.88,221173
18-Jun-14,6.98,7.06,6.90,7.01,182400
17-Jun-14,6.99,7.09,6.86,6.98,241667
16-Jun-14,7.00,7.10,6.94,6.99,310470
13-Jun-14,7.05,7.05,6.77,6.97,252051
12-Jun-14,7.00,7.09,6.86,7.08,316250
11-Jun-14,7.12,7.12,6.96,7.05,228250
10-Jun-14,7.05,7.23,6.91,7.13,505575
9-Jun-14,6.89,6.99,6.70,6.96,263183
6-Jun-14,6.95,6.97,6.67,6.86,280092
