Date,Open,High,Low,Close,Volume
23-Oct-14,4.81,4.96,4.77,4.95,193164
22-Oct-14,4.68,4.90,4.68,4.83,227775
21-Oct-14,4.72,4.84,4.60,4.70,259808
20-Oct-14,5.00,5.05,4.71,4.74,101025
17-Oct-14,4.94,5.14,4.87,4.97,180489
16-Oct-14,4.68,5.14,4.68,4.89,236371
15-Oct-14,4.70,4.77,4.55,4.74,151585
14-Oct-14,4.66,4.73,4.31,4.70,351954
13-Oct-14,4.79,4.88,4.55,4.61,176169
10-Oct-14,4.63,4.93,4.53,4.79,161449
9-Oct-14,4.80,4.84,4.51,4.69,238172
8-Oct-14,4.88,4.99,4.65,4.80,145511
7-Oct-14,5.01,5.04,4.91,4.91,144913
6-Oct-14,5.06,5.11,4.96,5.00,211818
3-Oct-14,5.11,5.15,4.99,5.08,173253
2-Oct-14,5.11,5.22,5.00,5.06,200476
1-Oct-14,5.17,5.21,4.91,5.14,507719
30-Sep-14,5.12,5.30,5.01,5.21,378475
29-Sep-14,5.25,5.35,5.04,5.17,139855
26-Sep-14,5.29,5.31,5.12,5.25,142007
25-Sep-14,5.50,5.50,5.16,5.25,175989
24-Sep-14,5.45,5.48,5.34,5.48,95324
23-Sep-14,5.49,5.56,5.35,5.42,224069
22-Sep-14,5.49,5.57,5.26,5.44,230440
19-Sep-14,5.45,5.65,5.38,5.57,292373
18-Sep-14,5.43,5.52,5.35,5.45,202809
17-Sep-14,5.54,5.65,5.35,5.41,357030
16-Sep-14,5.57,5.61,5.36,5.48,241063
15-Sep-14,5.95,5.95,5.49,5.62,409067
12-Sep-14,5.86,6.06,5.72,5.99,478060
11-Sep-14,5.87,5.94,5.77,5.82,277247
10-Sep-14,5.48,6.10,5.43,5.86,1039260
9-Sep-14,5.44,5.56,5.44,5.51,321238
8-Sep-14,5.45,5.54,5.38,5.46,145315
5-Sep-14,5.55,5.65,5.11,5.47,792518
4-Sep-14,5.50,5.64,5.45,5.60,552756
3-Sep-14,5.44,5.50,5.35,5.50,240435
2-Sep-14,5.31,5.43,5.10,5.39,298341
29-Aug-14,5.45,5.49,5.29,5.33,308218
28-Aug-14,5.45,5.50,5.42,5.45,149647
27-Aug-14,5.54,5.54,5.34,5.45,328508
26-Aug-14,5.51,5.51,5.34,5.42,214898
