Date,Open,High,Low,Close,Volume
23-Oct-14,17.76,18.32,17.42,18.27,129669
22-Oct-14,17.95,18.01,17.47,17.53,160901
21-Oct-14,17.44,17.94,17.44,17.86,91814
20-Oct-14,17.01,17.45,16.79,17.39,100617
17-Oct-14,17.48,17.69,17.03,17.15,159087
16-Oct-14,16.73,17.34,16.38,17.20,256130
15-Oct-14,16.33,17.10,16.11,17.00,197017
14-Oct-14,16.74,16.99,16.52,16.59,167137
13-Oct-14,16.54,16.78,16.06,16.54,228129
10-Oct-14,17.37,17.38,16.52,16.61,291172
9-Oct-14,18.04,18.06,17.46,17.48,140788
8-Oct-14,17.57,18.17,17.54,18.10,256074
7-Oct-14,17.62,17.77,17.45,17.61,169356
6-Oct-14,17.77,17.91,17.66,17.70,149364
3-Oct-14,17.67,17.88,17.51,17.74,123744
2-Oct-14,17.73,17.86,17.35,17.46,308266
1-Oct-14,17.74,17.99,17.63,17.67,213746
30-Sep-14,17.48,17.91,17.45,17.72,307436
29-Sep-14,17.28,17.52,17.25,17.41,175964
26-Sep-14,17.32,17.56,17.15,17.51,76210
25-Sep-14,17.60,17.77,17.10,17.29,157657
24-Sep-14,17.51,17.77,17.46,17.63,93485
23-Sep-14,17.50,17.69,17.42,17.46,110401
22-Sep-14,17.81,17.94,17.55,17.62,108280
19-Sep-14,18.42,18.42,17.66,18.00,221186
18-Sep-14,18.24,18.47,18.24,18.37,78606
17-Sep-14,18.15,18.34,18.05,18.10,76200
16-Sep-14,18.06,18.34,18.03,18.12,119811
15-Sep-14,18.55,18.75,18.06,18.18,114078
12-Sep-14,18.08,18.68,17.98,18.42,338618
11-Sep-14,17.68,18.17,17.68,18.06,145800
10-Sep-14,17.73,17.99,17.56,17.78,81811
9-Sep-14,17.92,17.92,17.59,17.68,107248
8-Sep-14,18.17,18.19,17.85,17.97,138839
5-Sep-14,18.40,18.40,18.16,18.21,90763
4-Sep-14,18.69,18.90,18.42,18.50,117400
3-Sep-14,18.91,18.95,18.53,18.61,123346
2-Sep-14,18.87,18.94,18.65,18.81,110884
29-Aug-14,18.80,18.93,18.56,18.87,78179
28-Aug-14,18.88,19.12,18.70,18.72,74727
27-Aug-14,19.15,19.25,18.89,19.03,73641
26-Aug-14,19.05,19.12,18.96,19.07,146801
25-Aug-14,19.29,19.38,18.98,19.08,121119
22-Aug-14,18.94,19.27,18.86,19.18,119458
21-Aug-14,18.73,19.09,18.59,19.06,142086
20-Aug-14,18.58,18.97,18.50,18.85,193579
19-Aug-14,18.48,18.72,18.34,18.68,164332
18-Aug-14,18.38,18.55,18.21,18.52,116795
15-Aug-14,18.51,18.52,17.76,18.19,276492
14-Aug-14,18.56,18.82,18.14,18.31,196385
13-Aug-14,18.37,18.64,18.22,18.59,149113
12-Aug-14,18.35,18.52,18.15,18.25,81977
11-Aug-14,18.43,18.79,18.19,18.54,118363
8-Aug-14,18.17,18.24,17.88,18.15,155306
7-Aug-14,18.47,18.55,18.13,18.19,90449
6-Aug-14,18.43,18.86,18.41,18.44,160002
5-Aug-14,18.18,18.81,18.18,18.57,224933
4-Aug-14,17.61,18.35,17.34,18.32,264862
1-Aug-14,17.31,17.97,16.92,17.47,319643
31-Jul-14,18.50,18.50,17.11,17.31,260155
30-Jul-14,17.85,17.85,17.38,17.54,114476
29-Jul-14,17.44,17.80,17.29,17.59,147515
28-Jul-14,17.56,17.65,17.17,17.30,113693
25-Jul-14,17.30,17.75,17.18,17.49,150631
24-Jul-14,17.42,17.64,17.13,17.26,95273
23-Jul-14,17.58,17.58,17.25,17.30,109177
22-Jul-14,17.47,17.81,17.22,17.59,110387
21-Jul-14,17.31,17.47,17.17,17.34,75566
18-Jul-14,17.14,17.70,16.97,17.52,154422
17-Jul-14,17.36,17.67,17.10,17.17,145571
16-Jul-14,17.73,17.77,17.48,17.57,148554
15-Jul-14,17.74,17.88,17.37,17.60,167374
14-Jul-14,17.83,18.08,17.59,17.70,123914
11-Jul-14,17.68,17.80,17.50,17.68,126694
10-Jul-14,17.73,17.99,17.60,17.72,162685
9-Jul-14,18.38,18.43,17.89,18.14,310521
