Date,Open,High,Low,Close,Volume
23-Oct-14,13.70,13.81,13.31,13.79,206057
22-Oct-14,13.61,13.72,13.44,13.50,237004
21-Oct-14,13.43,13.60,13.35,13.58,246639
20-Oct-14,13.24,13.49,13.21,13.39,297436
17-Oct-14,13.51,13.51,13.21,13.28,281580
16-Oct-14,12.92,13.38,12.65,13.32,474039
15-Oct-14,13.55,13.59,13.00,13.04,776023
14-Oct-14,13.99,14.10,13.84,13.97,340432
13-Oct-14,13.79,14.00,13.63,13.92,293307
10-Oct-14,13.60,13.90,13.58,13.76,282080
9-Oct-14,13.92,13.93,13.67,13.67,214636
8-Oct-14,13.62,13.96,13.62,13.95,209904
7-Oct-14,13.60,13.71,13.55,13.64,244624
6-Oct-14,13.78,13.94,13.64,13.64,327063
3-Oct-14,13.69,13.94,13.69,13.77,228332
2-Oct-14,13.56,13.77,13.56,13.69,205094
1-Oct-14,13.57,13.77,13.51,13.60,254857
30-Sep-14,13.75,13.80,13.62,13.62,345973
29-Sep-14,13.59,13.75,13.50,13.73,235990
26-Sep-14,13.50,13.70,13.42,13.68,233878
25-Sep-14,13.48,13.57,13.31,13.51,219232
24-Sep-14,13.64,13.71,13.47,13.52,271374
23-Sep-14,13.66,13.68,13.54,13.61,431496
22-Sep-14,13.46,13.72,13.42,13.65,296588
19-Sep-14,13.77,13.88,13.44,13.49,1483817
18-Sep-14,13.64,13.77,13.64,13.74,245111
17-Sep-14,13.54,13.72,13.50,13.61,156939
16-Sep-14,13.53,13.69,13.50,13.54,135515
15-Sep-14,13.66,13.73,13.52,13.54,131003
12-Sep-14,13.70,13.74,13.55,13.67,215286
11-Sep-14,13.65,13.74,13.54,13.68,177929
10-Sep-14,13.50,13.72,13.42,13.72,265785
9-Sep-14,13.53,13.53,13.35,13.48,197740
8-Sep-14,13.20,13.57,13.15,13.56,431554
5-Sep-14,13.03,13.19,13.00,13.17,121415
4-Sep-14,13.19,13.24,13.08,13.09,124222
3-Sep-14,13.26,13.26,13.13,13.14,157851
2-Sep-14,13.18,13.26,13.06,13.22,200256
29-Aug-14,13.03,13.12,13.03,13.11,159693
28-Aug-14,12.99,13.08,12.95,13.02,145625
27-Aug-14,13.16,13.18,13.05,13.07,87936
26-Aug-14,13.13,13.20,13.12,13.15,132173
25-Aug-14,13.08,13.17,13.04,13.10,85355
22-Aug-14,13.06,13.14,13.05,13.09,86926
21-Aug-14,13.06,13.12,12.95,13.07,105278
20-Aug-14,13.07,13.10,12.94,13.04,183840
19-Aug-14,13.05,13.10,12.99,13.08,164437
18-Aug-14,13.02,13.05,12.93,13.05,119955
15-Aug-14,13.05,13.05,12.83,12.91,187321
14-Aug-14,13.00,13.05,12.98,12.99,96956
13-Aug-14,13.01,13.04,12.98,13.01,132190
12-Aug-14,13.00,13.05,12.97,13.00,131892
11-Aug-14,13.07,13.09,13.00,13.04,84194
8-Aug-14,12.92,13.05,12.81,13.01,149623
7-Aug-14,12.97,13.01,12.85,12.93,132568
6-Aug-14,12.79,13.04,12.79,12.97,548160
5-Aug-14,12.67,12.89,12.65,12.84,189010
4-Aug-14,12.71,12.88,12.65,12.76,156370
1-Aug-14,12.77,12.89,12.69,12.78,199150
31-Jul-14,12.90,12.91,12.74,12.76,408496
30-Jul-14,13.03,13.05,12.91,12.98,203695
29-Jul-14,13.01,13.05,12.96,12.96,153866
28-Jul-14,12.94,13.06,12.89,12.98,214342
25-Jul-14,12.91,13.00,12.90,12.97,222768
24-Jul-14,12.92,13.05,12.89,13.02,252804
23-Jul-14,12.77,12.84,12.76,12.79,145233
22-Jul-14,12.82,12.84,12.73,12.77,147998
21-Jul-14,12.70,12.82,12.64,12.79,150669
18-Jul-14,12.64,12.90,12.64,12.80,244756
17-Jul-14,12.70,12.78,12.66,12.68,208688
16-Jul-14,12.92,12.92,12.73,12.76,176316
15-Jul-14,12.92,12.99,12.77,12.84,189279
14-Jul-14,12.93,12.95,12.80,12.88,169928
11-Jul-14,12.89,12.95,12.80,12.84,156329
10-Jul-14,12.77,12.96,12.75,12.86,212953
9-Jul-14,13.03,13.08,12.94,12.97,85959
8-Jul-14,12.93,13.04,12.93,12.99,222682
7-Jul-14,13.16,13.16,12.98,13.00,178941
3-Jul-14,13.06,13.24,13.06,13.19,62803
2-Jul-14,13.15,13.23,13.02,13.03,172850
1-Jul-14,13.11,13.31,13.04,13.16,309003
30-Jun-14,13.05,13.18,12.97,13.11,148905
27-Jun-14,12.92,13.12,12.92,13.05,585763
26-Jun-14,13.02,13.06,12.98,13.01,112896
25-Jun-14,12.95,13.09,12.85,13.05,153384
24-Jun-14,13.05,13.23,13.00,13.03,171624
23-Jun-14,13.08,13.11,13.00,13.09,170660
20-Jun-14,13.05,13.10,13.00,13.08,509286
19-Jun-14,13.11,13.15,13.03,13.07,128733
18-Jun-14,13.05,13.15,13.00,13.10,357710
17-Jun-14,12.95,13.20,12.95,13.08,137411
16-Jun-14,13.06,13.11,12.90,12.99,207104
13-Jun-14,13.04,13.12,12.91,13.02,157834
12-Jun-14,13.06,13.15,12.92,13.05,195028
11-Jun-14,13.22,13.24,13.08,13.13,158646
10-Jun-14,13.33,13.37,13.22,13.31,167199
9-Jun-14,13.45,13.51,13.35,13.39,315933
6-Jun-14,13.45,13.52,13.34,13.48,284209
5-Jun-14,13.20,13.40,13.16,13.40,300899
4-Jun-14,13.13,13.19,13.12,13.17,172317
3-Jun-14,13.19,13.26,13.05,13.13,237307
2-Jun-14,13.05,13.19,12.87,13.19,415925
30-May-14,13.01,13.10,12.86,13.01,908206
29-May-14,12.92,13.02,12.87,12.98,181288
28-May-14,13.06,13.06,12.89,12.91,218489
27-May-14,13.13,13.22,12.78,13.05,220735
23-May-14,13.00,13.05,12.94,13.05,221740
22-May-14,12.93,13.00,12.80,12.98,227709
21-May-14,12.93,13.02,12.76,12.86,209424
20-May-14,12.94,12.95,12.69,12.85,307897
19-May-14,12.79,12.95,12.70,12.94,204181
16-May-14,12.69,12.82,12.57,12.82,205205
15-May-14,12.56,12.77,12.48,12.73,309149
14-May-14,12.88,12.88,12.57,12.59,202827
13-May-14,13.05,13.05,12.86,12.86,364519
12-May-14,13.05,13.19,13.03,13.12,257523
9-May-14,12.79,13.05,12.79,13.05,247018
8-May-14,12.83,12.96,12.78,12.87,311575
7-May-14,12.59,12.91,12.51,12.89,265336
6-May-14,12.69,12.93,12.57,12.59,250206
5-May-14,12.85,12.97,12.66,12.75,235728
2-May-14,12.87,13.05,12.81,12.99,213284
1-May-14,12.93,13.03,12.74,12.89,322088
30-Apr-14,12.92,13.03,12.72,12.97,344885
29-Apr-14,12.96,12.99,12.87,12.92,334025
28-Apr-14,12.77,12.96,12.65,12.89,332136
25-Apr-14,12.88,12.95,12.70,12.74,220673
24-Apr-14,12.90,12.99,12.82,12.96,192589
23-Apr-14,12.76,12.93,12.75,12.83,310499
22-Apr-14,12.67,12.84,12.65,12.79,263205
21-Apr-14,12.69,12.75,12.61,12.69,149406
17-Apr-14,12.59,12.74,12.55,12.72,169813
16-Apr-14,12.63,12.65,12.54,12.62,200994
15-Apr-14,12.57,12.61,12.40,12.58,233673
14-Apr-14,12.52,12.62,12.45,12.55,221064
11-Apr-14,12.43,12.55,12.42,12.44,206387
10-Apr-14,12.60,12.78,12.42,12.49,336564
9-Apr-14,12.66,12.69,12.57,12.61,237040
8-Apr-14,12.62,12.74,12.62,12.65,208742
7-Apr-14,12.59,12.72,12.51,12.61,246192
4-Apr-14,12.83,12.83,12.54,12.62,254880
3-Apr-14,12.84,12.84,12.76,12.77,228550
2-Apr-14,12.95,12.98,12.80,12.85,235113
1-Apr-14,12.86,12.98,12.84,12.97,305007
31-Mar-14,12.70,12.90,12.67,12.86,295187
28-Mar-14,12.62,12.80,12.60,12.66,167804
27-Mar-14,12.78,12.81,12.63,12.64,174124
26-Mar-14,13.01,13.01,12.74,12.74,226442
25-Mar-14,12.98,13.00,12.93,12.97,227756
24-Mar-14,13.01,13.03,12.82,12.95,199130
21-Mar-14,13.00,13.04,12.91,12.99,504293
20-Mar-14,12.86,12.99,12.86,12.98,226631
19-Mar-14,12.87,12.95,12.78,12.91,254904
18-Mar-14,12.88,12.93,12.79,12.90,217120
17-Mar-14,12.88,12.94,12.87,12.90,231123
14-Mar-14,12.82,12.90,12.80,12.87,199592
13-Mar-14,12.90,12.95,12.82,12.88,151931
12-Mar-14,12.85,12.91,12.78,12.90,291842
11-Mar-14,12.88,12.93,12.80,12.90,381348
10-Mar-14,12.80,12.90,12.75,12.88,414703
7-Mar-14,12.80,12.85,12.77,12.80,204179
6-Mar-14,12.78,12.86,12.74,12.80,175563
5-Mar-14,12.75,12.80,12.66,12.79,184932
4-Mar-14,12.75,12.89,12.63,12.79,1183926
3-Mar-14,12.52,12.66,12.50,12.64,235206
28-Feb-14,12.67,12.74,12.59,12.66,362638
27-Feb-14,12.61,12.65,12.59,12.65,165905
26-Feb-14,12.68,12.68,12.60,12.65,253879
25-Feb-14,12.67,12.70,12.58,12.63,128687
24-Feb-14,12.64,12.70,12.55,12.64,824296
21-Feb-14,12.50,12.64,12.45,12.58,225340
20-Feb-14,12.44,12.56,12.39,12.47,288826
19-Feb-14,12.66,12.69,12.40,12.43,207205
18-Feb-14,12.47,12.73,12.45,12.72,237253
14-Feb-14,12.51,12.52,12.40,12.51,199451
13-Feb-14,12.41,12.52,12.35,12.50,237893
12-Feb-14,12.56,12.69,12.40,12.48,196615
11-Feb-14,12.35,12.62,12.35,12.56,167129
10-Feb-14,12.37,12.40,12.29,12.38,185057
7-Feb-14,12.46,12.71,12.35,12.43,213602
6-Feb-14,12.80,12.80,12.46,12.47,273154
5-Feb-14,12.87,12.99,12.52,12.74,371525
4-Feb-14,12.31,12.49,12.27,12.43,203709
3-Feb-14,12.46,12.62,12.28,12.28,406615
31-Jan-14,12.42,12.66,12.42,12.43,266591
30-Jan-14,12.75,12.75,12.56,12.57,186010
29-Jan-14,12.70,12.78,12.60,12.64,186486
28-Jan-14,12.80,12.86,12.70,12.78,185870
27-Jan-14,13.05,13.05,12.81,12.81,133710
24-Jan-14,12.93,13.02,12.77,12.99,128124
23-Jan-14,13.10,13.10,12.81,12.98,124590
22-Jan-14,13.12,13.15,13.06,13.12,101914
21-Jan-14,13.15,13.16,13.02,13.13,166948
17-Jan-14,12.88,13.00,12.88,12.91,69628
16-Jan-14,12.98,13.01,12.79,12.88,66888
15-Jan-14,12.93,13.02,12.92,12.93,92814
14-Jan-14,12.90,12.97,12.89,12.94,59376
13-Jan-14,12.93,13.03,12.77,12.87,143613
10-Jan-14,13.12,13.12,12.90,12.99,93925
9-Jan-14,13.09,13.12,12.95,13.08,102881
8-Jan-14,13.15,13.15,13.00,13.03,59997
7-Jan-14,13.02,13.15,12.98,13.15,213533
6-Jan-14,13.00,13.03,12.90,13.01,251482
3-Jan-14,13.08,13.26,12.93,12.96,143690
2-Jan-14,13.19,13.28,13.04,13.09,132389
31-Dec-13,13.37,13.43,13.18,13.20,139481
30-Dec-13,13.34,13.39,13.24,13.31,111942
27-Dec-13,13.16,13.31,13.10,13.30,134431
