Date,Open,High,Low,Close,Volume
23-Oct-14,23.00,23.45,22.65,23.37,94308
22-Oct-14,23.28,23.38,22.61,22.64,65380
21-Oct-14,22.17,23.36,21.35,23.14,123430
20-Oct-14,22.20,22.40,21.88,22.15,102623
17-Oct-14,22.96,23.10,22.22,22.24,130170
16-Oct-14,22.04,22.80,21.95,22.64,160703
15-Oct-14,22.06,22.47,21.19,22.40,158061
14-Oct-14,22.20,22.63,22.02,22.35,154417
13-Oct-14,22.43,22.70,21.99,22.01,146019
10-Oct-14,22.84,23.09,22.20,22.52,156399
9-Oct-14,23.94,24.43,23.01,23.02,105096
8-Oct-14,24.12,24.25,23.37,24.03,204686
7-Oct-14,25.05,25.12,24.09,24.10,83264
6-Oct-14,25.80,25.84,25.11,25.29,138961
3-Oct-14,26.95,26.95,25.49,25.67,144506
2-Oct-14,26.31,26.87,26.11,26.63,176169
1-Oct-14,26.79,26.84,26.16,26.22,146260
30-Sep-14,26.63,27.25,26.42,26.72,213999
29-Sep-14,26.11,26.82,26.08,26.58,158841
26-Sep-14,25.87,26.75,25.55,26.48,147469
25-Sep-14,25.98,26.26,25.66,25.90,169254
24-Sep-14,25.83,26.22,25.38,26.02,130740
23-Sep-14,26.51,26.55,25.76,25.83,101784
22-Sep-14,27.94,28.00,26.53,26.57,121185
19-Sep-14,28.86,29.50,27.83,28.05,190297
18-Sep-14,28.03,29.03,27.88,28.69,107777
17-Sep-14,28.10,28.39,27.83,27.95,94522
16-Sep-14,27.48,28.17,26.47,28.01,154428
15-Sep-14,27.53,27.61,27.27,27.46,91328
12-Sep-14,27.80,27.85,27.54,27.74,112134
11-Sep-14,27.58,28.03,27.26,27.80,132298
10-Sep-14,28.17,28.17,27.75,27.82,59617
9-Sep-14,29.26,29.44,27.78,28.19,139833
8-Sep-14,28.42,29.50,28.16,29.40,197093
5-Sep-14,28.56,28.70,28.43,28.52,70721
4-Sep-14,29.17,29.38,28.52,28.74,66241
3-Sep-14,29.19,29.23,28.77,29.09,114670
2-Sep-14,29.12,29.18,28.86,29.07,148014
29-Aug-14,29.01,29.29,28.96,29.18,46566
28-Aug-14,28.95,29.18,28.62,29.00,72737
27-Aug-14,29.10,29.50,28.94,29.01,145889
26-Aug-14,29.00,29.42,28.85,29.11,87284
25-Aug-14,28.76,29.16,28.60,29.02,80071
22-Aug-14,28.28,28.90,28.19,28.69,80033
21-Aug-14,28.07,28.52,27.96,28.33,67274
20-Aug-14,28.06,28.34,27.88,28.02,102063
19-Aug-14,28.49,28.81,27.98,28.15,61359
18-Aug-14,27.90,28.64,27.48,28.40,100540
15-Aug-14,28.16,28.16,27.22,27.71,78046
14-Aug-14,28.17,28.31,27.64,27.87,90436
13-Aug-14,28.15,28.75,28.01,28.08,147430
12-Aug-14,27.87,28.24,26.76,28.15,215768
11-Aug-14,28.28,28.74,27.75,27.86,148640
8-Aug-14,28.06,28.41,27.98,28.25,201845
7-Aug-14,27.90,28.27,27.75,28.05,163594
6-Aug-14,27.78,28.38,27.78,27.90,161395
5-Aug-14,27.65,29.07,27.50,28.20,320310
4-Aug-14,28.78,29.27,28.51,29.12,96046
1-Aug-14,29.00,29.21,28.52,28.68,141430
31-Jul-14,29.09,29.27,28.62,29.00,204346
30-Jul-14,29.72,29.95,29.14,29.49,173172
29-Jul-14,29.10,29.52,29.07,29.42,124053
28-Jul-14,29.24,29.50,28.86,29.07,131038
25-Jul-14,28.95,29.49,28.80,29.09,128949
24-Jul-14,28.83,29.89,28.83,29.10,209869
23-Jul-14,29.52,30.94,28.63,29.91,348494
22-Jul-14,27.80,29.55,26.26,29.53,436185
21-Jul-14,24.43,25.69,23.90,25.49,339076
18-Jul-14,23.61,24.14,23.54,24.03,96540
17-Jul-14,23.74,23.93,23.49,23.71,115912
16-Jul-14,24.30,24.30,23.67,23.79,72374
15-Jul-14,24.43,24.60,23.68,24.10,105312
14-Jul-14,24.60,24.60,24.20,24.37,66914
11-Jul-14,24.27,24.56,23.86,24.39,77977
