Date,Open,High,Low,Close,Volume
23-Oct-14,32.76,32.76,31.00,32.00,6612
22-Oct-14,31.12,31.97,30.75,30.75,4901
21-Oct-14,32.40,33.99,30.80,31.28,10448
20-Oct-14,31.02,33.91,30.93,30.93,4199
17-Oct-14,33.06,33.28,31.00,31.00,11348
16-Oct-14,34.48,36.39,30.20,31.46,30930
15-Oct-14,32.74,34.95,32.74,34.95,2740
14-Oct-14,35.48,35.50,33.01,33.90,5978
13-Oct-14,35.25,36.00,35.00,35.54,2128
10-Oct-14,35.39,36.10,33.59,35.08,13068
9-Oct-14,36.17,36.17,36.10,36.15,3780
8-Oct-14,36.67,36.67,36.55,36.65,846
7-Oct-14,36.11,36.82,36.11,36.82,4002
6-Oct-14,37.50,37.95,36.50,37.90,2108
3-Oct-14,37.01,37.95,36.08,36.08,2034
2-Oct-14,37.03,37.59,37.00,37.28,1850
1-Oct-14,37.00,37.05,37.00,37.05,638
30-Sep-14,37.10,37.15,37.10,37.10,733
29-Sep-14,37.97,37.97,36.83,36.83,1972
26-Sep-14,36.83,38.25,36.77,38.25,1158
25-Sep-14,37.77,38.17,36.77,36.77,13204
24-Sep-14,38.50,38.50,37.22,37.77,8811
23-Sep-14,36.51,38.47,36.01,37.13,1894
22-Sep-14,36.78,38.15,36.70,38.00,3109
19-Sep-14,37.23,38.33,36.15,38.33,5646
18-Sep-14,37.52,37.52,37.16,37.16,1457
17-Sep-14,37.63,38.80,37.51,37.58,2735
16-Sep-14,37.55,38.73,37.55,38.73,1291
15-Sep-14,37.50,38.65,37.15,37.15,1793
12-Sep-14,37.65,37.90,37.50,37.51,2773
11-Sep-14,38.04,38.04,37.72,37.80,982
10-Sep-14,37.75,38.40,37.70,37.70,2232
9-Sep-14,39.48,39.95,39.03,39.06,1630
8-Sep-14,37.64,40.10,37.64,40.10,4810
5-Sep-14,37.72,38.29,37.72,38.29,3612
4-Sep-14,37.72,38.03,37.70,37.70,1801
3-Sep-14,39.01,39.01,38.22,38.49,4143
2-Sep-14,38.98,39.00,37.90,39.00,6536
29-Aug-14,37.75,38.80,37.75,38.50,4874
28-Aug-14,37.75,37.75,37.75,37.75,100
27-Aug-14,37.64,37.84,37.64,37.84,471
26-Aug-14,37.96,37.99,37.64,37.64,2188
25-Aug-14,37.64,38.50,37.64,38.49,2919
21-Aug-14,38.06,38.45,38.06,38.45,424
20-Aug-14,38.47,38.47,38.01,38.01,601
19-Aug-14,38.70,38.70,38.36,38.50,1124
18-Aug-14,38.97,39.00,38.52,39.00,1185
15-Aug-14,37.65,37.67,37.64,37.64,1856
14-Aug-14,38.51,38.51,37.70,38.01,582
13-Aug-14,39.95,39.95,37.99,38.21,2627
11-Aug-14,39.05,39.05,38.12,38.50,4038
8-Aug-14,39.00,39.50,38.94,39.34,1085
7-Aug-14,39.05,39.05,38.53,38.71,1437
6-Aug-14,37.41,38.20,36.64,37.96,2985
5-Aug-14,38.80,39.24,37.11,37.11,5019
4-Aug-14,40.08,40.08,38.75,38.80,2570
31-Jul-14,40.44,40.44,40.00,40.00,682
30-Jul-14,40.62,40.62,40.00,40.00,609
28-Jul-14,41.06,41.06,41.06,41.06,3052
25-Jul-14,40.03,41.57,40.03,41.57,728
24-Jul-14,40.42,41.27,39.81,40.27,1063
23-Jul-14,41.65,41.79,40.51,41.48,770
22-Jul-14,41.70,41.70,40.44,40.44,594
21-Jul-14,41.91,41.91,40.20,40.20,345
18-Jul-14,40.13,41.00,40.13,40.50,829
17-Jul-14,38.86,41.94,38.86,40.21,25351
16-Jul-14,40.40,40.60,39.30,40.50,1651
15-Jul-14,38.73,40.30,38.73,40.30,3698
14-Jul-14,41.53,41.53,39.66,39.98,5067
11-Jul-14,39.78,41.91,39.30,41.91,9757
10-Jul-14,38.92,39.55,38.92,39.55,3757
9-Jul-14,38.05,39.60,38.05,39.60,1612
8-Jul-14,39.85,40.00,38.10,38.10,5084
7-Jul-14,38.05,39.60,38.05,39.32,2910
3-Jul-14,37.74,38.10,37.74,38.10,1501
2-Jul-14,38.96,39.01,38.46,38.46,2232
1-Jul-14,38.97,39.95,38.85,38.85,1457
30-Jun-14,39.04,40.00,39.00,39.11,2000
27-Jun-14,40.62,40.62,38.95,38.95,12609
26-Jun-14,40.39,40.39,40.39,40.39,394
25-Jun-14,42.94,42.94,40.91,40.91,2089
24-Jun-14,42.42,43.00,41.32,42.73,16148
23-Jun-14,42.69,42.69,42.10,42.10,1463
20-Jun-14,42.00,43.00,42.00,42.56,18897
19-Jun-14,39.97,43.00,39.97,42.02,13723
18-Jun-14,39.25,40.74,39.25,40.05,3980
17-Jun-14,38.88,39.95,38.81,39.50,9128
16-Jun-14,37.78,39.08,37.20,38.72,8391
13-Jun-14,36.88,38.39,36.68,37.49,6837
12-Jun-14,37.00,37.01,36.16,36.24,2138
11-Jun-14,37.30,38.19,36.50,36.59,6826
10-Jun-14,36.05,37.52,36.05,37.42,9103
9-Jun-14,38.00,39.04,36.56,36.75,9629
6-Jun-14,38.80,39.00,38.40,38.40,3410
5-Jun-14,39.58,39.70,38.70,39.10,4433
4-Jun-14,39.50,40.20,39.25,39.80,11975
3-Jun-14,41.02,41.02,39.00,40.40,3967
2-Jun-14,41.02,41.89,40.76,41.00,3654
30-May-14,40.88,41.57,40.88,41.57,406
29-May-14,41.00,41.57,40.72,41.57,1670
28-May-14,40.80,41.85,40.65,40.89,3068
27-May-14,40.58,43.60,40.58,41.10,6175
23-May-14,40.52,40.98,40.51,40.51,4362
22-May-14,41.59,42.44,40.02,40.51,19472
21-May-14,43.68,43.79,41.50,42.34,14403
20-May-14,43.34,43.41,43.00,43.25,637
19-May-14,43.52,44.00,43.52,44.00,1908
16-May-14,43.22,43.30,43.00,43.20,1332
15-May-14,43.21,43.45,43.21,43.41,578
14-May-14,44.94,44.94,43.51,43.94,897
13-May-14,44.95,44.95,43.54,44.20,1552
12-May-14,44.33,44.77,43.31,44.55,2566
9-May-14,43.99,43.99,43.99,43.99,166
8-May-14,43.98,44.06,43.23,43.91,2515
7-May-14,44.00,44.00,43.00,43.99,1493
6-May-14,44.49,44.50,43.28,44.00,3634
2-May-14,43.59,43.59,43.04,43.04,2401
1-May-14,43.69,44.00,42.05,43.39,19092
30-Apr-14,43.14,43.97,41.40,43.97,4434
29-Apr-14,41.50,43.61,41.50,43.61,2452
28-Apr-14,40.76,43.66,40.76,43.66,3655
25-Apr-14,41.91,43.39,41.41,43.39,3715
24-Apr-14,42.24,42.48,41.96,42.48,1677
23-Apr-14,41.94,42.10,41.20,41.92,26773
22-Apr-14,41.44,41.98,41.00,41.50,3768
21-Apr-14,40.68,41.92,40.68,41.52,1390
17-Apr-14,40.15,40.15,40.15,40.15,861
16-Apr-14,40.32,40.75,40.17,40.17,2165
15-Apr-14,40.99,41.11,40.29,40.50,2357
14-Apr-14,40.71,41.36,40.71,41.36,1256
11-Apr-14,41.21,41.83,40.43,40.66,9455
10-Apr-14,40.80,41.60,40.40,41.60,2616
9-Apr-14,40.50,41.60,40.50,40.72,4059
8-Apr-14,42.36,42.38,40.50,40.50,6139
7-Apr-14,41.73,42.45,41.00,42.45,2157
4-Apr-14,42.65,42.67,41.54,42.13,4308
3-Apr-14,42.85,43.13,41.29,42.35,4358
2-Apr-14,43.01,43.31,41.37,43.11,3125
1-Apr-14,43.05,44.00,43.05,43.50,14987
31-Mar-14,42.95,43.88,42.60,43.88,6225
28-Mar-14,41.85,42.95,41.25,42.95,6026
27-Mar-14,40.70,41.80,40.70,41.00,5441
