Date,Open,High,Low,Close,Volume
23-Oct-14,27.84,28.14,27.35,27.86,14415
22-Oct-14,27.27,28.25,27.21,27.47,15673
21-Oct-14,28.49,28.63,27.85,28.44,13007
20-Oct-14,27.74,28.51,27.54,28.42,25147
17-Oct-14,28.81,28.81,27.75,28.28,26719
16-Oct-14,27.78,28.52,27.78,28.44,17683
15-Oct-14,28.11,28.50,26.48,28.24,44967
14-Oct-14,28.67,28.67,28.10,28.48,18881
13-Oct-14,27.38,28.64,27.34,28.43,20078
10-Oct-14,26.74,27.57,26.74,27.28,9668
9-Oct-14,26.84,27.04,26.77,26.89,17187
8-Oct-14,26.04,27.00,25.73,26.95,15756
7-Oct-14,26.70,26.93,26.39,26.49,17184
6-Oct-14,26.66,26.98,26.60,26.78,9270
3-Oct-14,26.36,26.69,26.30,26.53,16364
2-Oct-14,25.72,26.40,25.72,26.16,20737
1-Oct-14,26.25,26.27,25.61,25.73,12495
30-Sep-14,26.60,26.60,26.32,26.43,39703
29-Sep-14,26.26,26.55,26.20,26.49,15992
26-Sep-14,26.34,26.60,26.34,26.60,10077
25-Sep-14,26.93,26.93,26.12,26.31,12834
24-Sep-14,26.75,27.04,26.56,26.90,9817
23-Sep-14,26.99,27.46,26.70,26.85,15396
22-Sep-14,26.86,27.13,26.69,27.01,25306
19-Sep-14,26.51,26.96,26.49,26.96,40414
18-Sep-14,26.14,26.72,26.11,26.46,22084
17-Sep-14,25.95,26.09,25.76,25.98,31586
16-Sep-14,25.13,26.14,25.07,25.95,34037
15-Sep-14,25.67,25.71,25.25,25.28,20955
12-Sep-14,25.37,25.99,25.33,25.67,38996
11-Sep-14,24.84,25.40,24.84,25.34,10616
10-Sep-14,24.79,25.05,24.66,25.02,18516
9-Sep-14,25.00,25.00,24.57,24.58,23082
8-Sep-14,24.50,25.27,24.26,25.22,23263
5-Sep-14,24.51,24.63,24.35,24.53,19249
4-Sep-14,24.50,24.67,24.42,24.51,9509
3-Sep-14,24.64,24.72,24.37,24.39,10782
2-Sep-14,24.43,24.68,24.43,24.65,18279
29-Aug-14,24.34,24.64,24.28,24.42,11302
28-Aug-14,24.44,24.57,24.32,24.33,14268
27-Aug-14,24.88,24.92,24.50,24.52,12241
26-Aug-14,24.82,24.82,24.53,24.78,16344
25-Aug-14,24.90,24.93,24.51,24.79,9116
22-Aug-14,24.77,24.94,24.65,24.74,6502
21-Aug-14,24.50,24.79,24.19,24.78,60303
20-Aug-14,24.49,24.53,24.38,24.49,5264
19-Aug-14,24.74,24.79,24.47,24.63,8871
18-Aug-14,24.51,24.70,24.41,24.68,10220
15-Aug-14,24.66,24.66,24.16,24.30,16310
14-Aug-14,24.63,24.66,24.42,24.46,8904
13-Aug-14,24.40,24.63,24.40,24.63,8319
12-Aug-14,24.37,24.55,24.26,24.40,11296
11-Aug-14,24.47,24.53,24.42,24.53,13347
8-Aug-14,24.15,24.48,24.15,24.42,25202
7-Aug-14,24.40,24.40,24.03,24.16,33179
6-Aug-14,24.34,24.49,24.34,24.44,4760
5-Aug-14,24.68,24.81,24.33,24.35,6642
4-Aug-14,24.87,25.14,24.74,24.78,8969
1-Aug-14,24.52,25.04,24.32,24.79,13388
31-Jul-14,24.84,24.84,24.26,24.50,9324
30-Jul-14,24.64,25.14,24.41,25.05,10344
29-Jul-14,24.75,24.80,24.41,24.50,9721
28-Jul-14,24.94,24.98,24.56,24.60,6185
25-Jul-14,24.69,24.93,24.58,24.67,8268
24-Jul-14,24.50,25.00,24.50,24.82,23705
23-Jul-14,24.22,24.58,24.20,24.50,20295
22-Jul-14,24.16,24.31,24.09,24.12,8598
21-Jul-14,24.22,24.45,24.05,24.16,10314
18-Jul-14,24.04,24.39,24.01,24.33,12292
17-Jul-14,24.25,24.35,24.03,24.15,35011
16-Jul-14,24.50,24.50,24.25,24.29,11699
15-Jul-14,24.30,24.65,24.25,24.47,17283
14-Jul-14,25.07,25.07,24.26,24.42,18058
11-Jul-14,25.20,25.20,24.65,24.93,5707
10-Jul-14,24.98,25.26,24.82,25.10,7666
9-Jul-14,25.26,25.50,25.18,25.30,7570
8-Jul-14,25.95,25.95,25.36,25.39,14755
7-Jul-14,26.40,26.40,25.87,25.87,10077
3-Jul-14,26.18,26.44,26.18,26.41,5021
2-Jul-14,26.01,26.28,26.00,26.10,16980
1-Jul-14,25.64,26.23,25.64,26.18,24701
30-Jun-14,25.52,25.68,24.91,25.57,9190
27-Jun-14,25.00,25.74,24.93,25.74,104335
26-Jun-14,24.97,25.41,24.97,25.16,17109
25-Jun-14,24.71,25.16,24.57,25.04,7188
24-Jun-14,25.26,25.26,24.84,24.85,14983
23-Jun-14,25.48,25.50,25.01,25.10,15762
20-Jun-14,25.60,25.60,25.15,25.50,47001
19-Jun-14,25.59,25.59,25.18,25.42,9896
18-Jun-14,24.97,25.52,24.96,25.45,15211
17-Jun-14,25.33,25.69,25.29,25.45,15984
16-Jun-14,24.26,25.85,24.26,25.44,36824
13-Jun-14,24.30,24.34,24.00,24.03,26168
12-Jun-14,24.33,24.38,24.02,24.32,18090
11-Jun-14,24.51,24.74,24.04,24.35,23513
10-Jun-14,25.25,25.25,24.83,25.04,14431
9-Jun-14,25.33,25.33,25.03,25.23,10312
6-Jun-14,24.82,25.15,24.75,25.02,14094
5-Jun-14,24.36,24.74,24.02,24.72,11914
4-Jun-14,24.27,24.27,23.81,24.20,15140
3-Jun-14,24.31,24.48,23.64,24.12,25798
2-Jun-14,24.78,24.94,24.39,24.56,23410
30-May-14,24.93,24.98,24.38,24.70,21991
29-May-14,24.45,24.89,24.45,24.85,9825
28-May-14,24.45,24.78,24.22,24.60,25792
27-May-14,24.31,24.84,24.13,24.79,7790
23-May-14,23.84,24.15,23.68,24.15,10108
22-May-14,23.64,23.88,23.64,23.79,11442
21-May-14,23.59,23.72,23.25,23.70,18440
20-May-14,23.95,24.24,23.55,23.64,40434
19-May-14,23.72,24.12,23.62,24.12,16236
16-May-14,23.80,23.98,23.51,23.90,25127
15-May-14,23.73,23.85,23.56,23.81,17749
14-May-14,24.15,24.31,23.60,23.77,32390
13-May-14,24.73,24.94,24.41,24.42,15900
12-May-14,24.26,25.00,24.05,24.78,18295
9-May-14,23.95,24.29,23.95,24.27,8124
