Date,Open,High,Low,Close,Volume
23-Oct-14,19.10,19.95,19.07,19.95,3001
22-Oct-14,19.35,19.35,19.00,19.07,1300
21-Oct-14,18.97,19.14,18.84,18.98,4720
20-Oct-14,18.09,18.87,18.09,18.37,3220
17-Oct-14,18.01,18.36,18.00,18.36,4158
16-Oct-14,18.20,18.41,18.03,18.03,5003
15-Oct-14,18.77,19.35,18.00,18.00,4199
14-Oct-14,19.91,20.13,18.45,19.05,14267
13-Oct-14,20.20,20.56,18.32,19.00,4100
10-Oct-14,20.24,20.99,19.23,20.35,19730
9-Oct-14,20.50,20.53,20.01,20.41,10065
8-Oct-14,20.72,21.47,20.50,20.50,3965
7-Oct-14,21.26,21.70,20.76,20.85,881
6-Oct-14,20.53,20.53,20.53,20.53,433
3-Oct-14,20.62,20.99,20.56,20.70,2105
2-Oct-14,20.69,21.09,20.69,20.70,2418
1-Oct-14,21.19,21.19,20.81,21.00,2409
30-Sep-14,22.10,22.10,21.30,21.30,2005
29-Sep-14,21.29,21.55,21.25,21.32,6200
26-Sep-14,21.67,21.67,20.98,21.10,4322
25-Sep-14,21.02,21.02,20.50,20.95,6179
24-Sep-14,20.94,21.67,20.60,20.87,13540
23-Sep-14,21.10,21.46,21.05,21.10,6044
22-Sep-14,21.05,21.80,21.05,21.30,7031
19-Sep-14,20.94,22.00,20.82,21.69,5023
17-Sep-14,20.71,20.79,20.50,20.65,4328
16-Sep-14,20.52,20.65,20.52,20.65,1691
15-Sep-14,20.54,20.65,20.40,20.60,5186
12-Sep-14,20.53,20.71,20.53,20.70,1373
11-Sep-14,20.28,20.79,20.25,20.50,3804
10-Sep-14,20.15,20.78,20.15,20.59,5766
9-Sep-14,20.66,20.66,20.15,20.15,6878
8-Sep-14,20.30,20.74,20.29,20.59,5245
5-Sep-14,19.68,20.83,19.59,20.00,9611
4-Sep-14,19.65,20.00,19.65,19.83,2318
3-Sep-14,20.49,20.58,19.95,20.29,3531
2-Sep-14,19.69,20.13,19.69,20.13,1043
29-Aug-14,19.78,20.72,19.47,20.71,4716
28-Aug-14,20.69,20.70,19.76,20.30,6601
27-Aug-14,19.77,19.85,18.88,19.64,21420
26-Aug-14,19.28,20.38,18.98,19.70,14722
25-Aug-14,19.39,20.59,18.07,19.61,15942
22-Aug-14,19.40,19.50,18.79,19.00,3925
21-Aug-14,18.61,19.50,18.61,19.00,5066
20-Aug-14,18.00,18.53,18.00,18.35,8113
19-Aug-14,18.50,18.50,16.30,18.16,12616
18-Aug-14,19.40,19.42,18.50,18.70,8102
15-Aug-14,19.15,19.39,18.75,18.90,4833
14-Aug-14,19.92,19.92,19.15,19.15,3184
13-Aug-14,19.55,19.69,19.25,19.50,4137
12-Aug-14,20.33,20.33,19.70,19.70,853
11-Aug-14,19.93,19.94,19.51,19.61,1913
8-Aug-14,19.66,19.78,19.66,19.78,483
7-Aug-14,20.00,20.45,19.51,19.86,6223
6-Aug-14,20.96,21.00,20.96,21.00,1200
5-Aug-14,20.84,21.20,20.84,21.13,4439
4-Aug-14,20.10,20.96,20.10,20.96,8940
1-Aug-14,20.21,20.21,20.21,20.21,247
31-Jul-14,19.25,20.49,19.25,20.49,1993
30-Jul-14,19.71,19.78,19.39,19.68,3022
29-Jul-14,19.25,20.29,19.25,20.24,762
28-Jul-14,19.31,19.91,19.25,19.74,3455
25-Jul-14,20.16,20.16,19.27,19.44,900
24-Jul-14,20.37,20.50,20.36,20.36,1570
