Date,Open,High,Low,Close,Volume
23-Oct-14,10.31,10.45,10.17,10.30,179070
22-Oct-14,10.40,10.49,10.17,10.24,235257
21-Oct-14,10.20,10.50,10.20,10.42,223920
20-Oct-14,9.95,10.27,9.84,10.17,280349
17-Oct-14,10.15,10.42,9.69,9.89,249976
16-Oct-14,9.65,10.51,9.60,10.01,396091
15-Oct-14,9.72,9.93,9.54,9.87,311919
14-Oct-14,9.59,10.00,9.57,9.89,279413
13-Oct-14,9.50,9.71,9.25,9.51,231389
10-Oct-14,9.93,10.12,9.50,9.51,324745
9-Oct-14,10.79,10.90,10.07,10.07,190870
8-Oct-14,10.88,10.94,10.57,10.85,245297
7-Oct-14,10.69,11.06,10.65,10.88,290109
6-Oct-14,10.52,10.82,10.50,10.72,239701
3-Oct-14,10.74,10.74,10.42,10.50,115063
2-Oct-14,10.25,10.66,10.14,10.64,222146
1-Oct-14,10.60,10.83,10.27,10.29,336475
30-Sep-14,10.85,10.91,10.44,10.64,293006
29-Sep-14,11.13,11.20,10.78,10.86,282926
26-Sep-14,11.22,11.32,11.08,11.21,219885
25-Sep-14,11.50,11.64,11.09,11.22,295221
24-Sep-14,11.49,11.73,11.49,11.56,155678
23-Sep-14,11.88,11.92,11.41,11.50,375582
22-Sep-14,12.07,12.20,11.72,11.88,333776
19-Sep-14,12.19,12.38,12.10,12.20,518132
18-Sep-14,12.33,12.48,12.11,12.20,186881
17-Sep-14,12.41,12.67,12.30,12.32,156164
16-Sep-14,12.38,12.51,12.15,12.37,166433
15-Sep-14,12.76,12.77,12.25,12.43,187628
12-Sep-14,12.55,12.84,12.20,12.80,458402
11-Sep-14,12.39,12.90,12.39,12.55,361169
10-Sep-14,12.62,12.62,12.34,12.47,133286
9-Sep-14,12.77,12.87,12.49,12.66,167711
8-Sep-14,12.84,13.00,12.75,12.82,175051
5-Sep-14,12.72,12.89,12.70,12.83,143052
4-Sep-14,12.84,13.02,12.79,12.79,159029
3-Sep-14,13.24,13.25,12.80,12.83,214427
2-Sep-14,13.25,13.25,12.96,13.23,182236
29-Aug-14,12.86,13.25,12.59,13.19,292810
28-Aug-14,12.83,12.93,12.65,12.79,139634
27-Aug-14,12.73,12.98,12.67,12.84,199001
26-Aug-14,12.38,12.72,12.38,12.69,161295
25-Aug-14,12.54,12.59,12.18,12.38,131286
22-Aug-14,12.75,12.79,12.45,12.51,101170
21-Aug-14,12.27,12.81,12.13,12.73,195849
20-Aug-14,12.58,12.58,12.24,12.28,158935
19-Aug-14,12.70,12.76,12.52,12.61,140694
18-Aug-14,12.46,12.75,12.46,12.64,192569
15-Aug-14,12.50,12.63,12.24,12.41,221971
14-Aug-14,12.15,12.50,12.02,12.44,180739
13-Aug-14,11.92,12.13,11.92,12.13,152039
12-Aug-14,11.73,12.05,11.73,11.94,224079
11-Aug-14,11.74,11.95,11.68,11.79,143696
8-Aug-14,11.74,11.78,11.58,11.73,158499
7-Aug-14,11.92,12.04,11.64,11.73,316625
6-Aug-14,11.77,11.92,11.71,11.85,197620
5-Aug-14,11.89,12.11,11.71,11.88,344551
4-Aug-14,12.06,12.08,11.78,11.98,462750
1-Aug-14,12.04,12.15,11.73,12.02,432756
31-Jul-14,12.24,12.39,11.95,12.04,361600
30-Jul-14,12.34,12.60,12.08,12.34,368023
29-Jul-14,12.88,13.16,12.21,12.30,616717
28-Jul-14,12.72,13.15,12.47,12.64,864170
25-Jul-14,13.11,13.26,12.86,13.20,239553
24-Jul-14,13.25,13.34,13.12,13.15,213661
23-Jul-14,13.21,13.31,13.11,13.24,148326
22-Jul-14,13.14,13.43,13.13,13.18,205877
21-Jul-14,13.27,13.39,13.07,13.16,171795
