Date,Open,High,Low,Close,Volume
23-Oct-14,62.16,63.10,62.12,62.86,2278123
22-Oct-14,62.07,64.63,61.49,61.90,3593837
21-Oct-14,64.00,65.53,63.97,65.47,1743731
20-Oct-14,63.95,64.70,62.97,63.61,1220563
17-Oct-14,64.81,64.81,62.97,63.30,1807617
16-Oct-14,61.39,63.30,60.78,62.76,1644944
15-Oct-14,62.97,63.90,61.26,62.59,2222444
14-Oct-14,64.04,64.83,63.65,63.79,960848
13-Oct-14,64.65,64.98,63.68,63.80,1098827
10-Oct-14,65.55,66.20,64.52,64.55,1280880
9-Oct-14,67.59,67.59,65.42,65.44,1740100
8-Oct-14,66.78,67.42,66.29,67.38,1318507
7-Oct-14,67.82,68.07,66.64,66.66,945123
6-Oct-14,68.56,68.70,67.71,68.22,706561
3-Oct-14,67.74,68.35,67.58,68.12,572888
2-Oct-14,67.22,67.61,66.83,67.37,674395
1-Oct-14,68.10,68.10,67.14,67.26,856582
30-Sep-14,68.41,68.57,67.69,68.03,1117530
29-Sep-14,67.99,68.45,67.62,68.23,764179
26-Sep-14,68.58,68.79,68.00,68.65,723432
25-Sep-14,69.14,69.71,68.00,68.08,1076248
24-Sep-14,68.68,69.27,68.36,69.21,1060420
23-Sep-14,69.66,69.83,69.01,69.05,1455603
22-Sep-14,69.32,69.82,69.27,69.53,1104760
19-Sep-14,70.60,70.65,69.63,69.63,1567955
18-Sep-14,70.04,70.84,69.89,70.33,1582318
17-Sep-14,69.21,70.39,68.93,69.90,1220392
16-Sep-14,69.30,69.58,68.97,69.18,1040425
15-Sep-14,69.34,69.53,69.02,69.34,1029899
12-Sep-14,69.11,69.80,68.96,69.55,1099011
11-Sep-14,68.64,69.14,68.48,69.07,819240
10-Sep-14,68.43,69.10,68.29,68.85,988667
9-Sep-14,68.61,68.64,67.99,68.27,862948
8-Sep-14,68.77,68.95,68.23,68.62,1923080
5-Sep-14,68.85,69.44,68.66,69.12,1181646
4-Sep-14,69.62,69.88,69.00,69.07,1146470
3-Sep-14,69.62,69.77,69.15,69.40,1304826
2-Sep-14,69.54,69.87,69.10,69.49,1776132
29-Aug-14,69.00,69.44,68.70,69.35,1091482
28-Aug-14,68.85,68.89,68.45,68.80,822455
27-Aug-14,68.80,69.14,68.68,68.97,921319
26-Aug-14,69.02,69.09,68.69,68.94,664636
25-Aug-14,68.44,69.16,68.42,68.94,1710270
22-Aug-14,67.76,68.68,66.48,68.26,1312725
21-Aug-14,67.20,68.00,67.20,67.99,1233452
20-Aug-14,66.95,67.38,66.60,67.23,1269153
19-Aug-14,67.23,67.45,66.78,66.96,1348707
18-Aug-14,67.12,67.38,66.37,67.15,810329
15-Aug-14,67.16,67.28,66.25,66.59,998973
14-Aug-14,66.76,67.13,66.37,66.98,875581
13-Aug-14,64.06,66.85,64.06,66.78,1001188
12-Aug-14,66.21,66.47,66.12,66.44,1345275
11-Aug-14,66.17,66.38,65.94,66.25,1316906
8-Aug-14,65.69,66.21,65.47,66.13,1361427
