Date,Open,High,Low,Close,Volume
23-Oct-14,22.73,22.73,22.04,22.38,13927
22-Oct-14,22.72,22.72,22.20,22.36,17342
21-Oct-14,22.59,22.74,22.41,22.73,5816
20-Oct-14,22.24,22.74,22.23,22.52,16777
17-Oct-14,22.71,22.73,21.68,22.29,23340
16-Oct-14,22.06,22.76,22.06,22.36,23480
15-Oct-14,22.02,22.69,21.80,22.37,29961
14-Oct-14,21.97,22.49,21.54,22.44,24076
13-Oct-14,20.97,22.09,20.97,21.63,12783
10-Oct-14,20.82,21.22,20.82,20.92,17384
9-Oct-14,21.60,22.10,20.90,20.91,19855
8-Oct-14,21.00,21.65,20.94,21.55,38053
7-Oct-14,21.33,21.79,21.03,21.03,42009
6-Oct-14,21.25,21.59,21.07,21.36,16789
3-Oct-14,21.39,21.88,21.15,21.27,12247
2-Oct-14,21.06,22.40,20.77,21.09,22038
1-Oct-14,20.83,21.18,20.14,21.01,50819
30-Sep-14,21.73,22.01,20.55,20.91,30745
29-Sep-14,22.02,22.23,21.67,21.71,7708
26-Sep-14,21.50,22.43,21.50,22.30,7091
25-Sep-14,21.84,22.84,21.35,21.48,22612
24-Sep-14,21.87,22.60,21.80,22.09,13300
23-Sep-14,22.24,22.32,22.00,22.03,15686
22-Sep-14,22.66,22.80,22.22,22.22,11836
19-Sep-14,22.67,23.17,22.47,22.92,29546
18-Sep-14,22.28,22.98,22.02,22.63,11853
17-Sep-14,22.14,22.43,21.63,22.27,23044
16-Sep-14,21.56,22.27,21.47,22.21,15619
15-Sep-14,22.35,22.35,21.40,21.53,17909
12-Sep-14,23.08,23.33,22.11,22.17,9769
11-Sep-14,23.23,23.54,23.03,23.15,10006
10-Sep-14,23.33,23.65,23.04,23.41,13430
9-Sep-14,23.69,23.69,22.78,23.01,15518
8-Sep-14,23.43,23.84,23.40,23.80,20895
5-Sep-14,23.45,23.76,23.17,23.37,12028
4-Sep-14,23.70,24.58,23.42,23.42,17580
3-Sep-14,24.31,24.56,23.52,23.73,12882
2-Sep-14,24.42,24.55,24.08,24.34,24736
29-Aug-14,24.22,24.40,24.11,24.24,12020
28-Aug-14,24.28,24.43,24.22,24.23,7076
27-Aug-14,24.63,24.63,24.22,24.25,11610
26-Aug-14,24.36,24.67,24.23,24.40,18812
25-Aug-14,24.08,24.40,23.98,24.27,9964
22-Aug-14,23.91,24.50,23.80,24.08,18111
21-Aug-14,23.83,24.18,23.79,23.90,12295
20-Aug-14,24.09,24.12,23.72,23.96,9717
19-Aug-14,24.17,24.20,23.86,24.15,14752
18-Aug-14,24.12,24.12,23.82,24.09,14288
15-Aug-14,23.97,23.97,23.44,23.82,19226
14-Aug-14,23.86,23.96,23.46,23.65,17831
13-Aug-14,23.70,23.98,23.70,23.77,5991
