Date,Open,High,Low,Close,Volume
23-Oct-14,10.59,11.54,10.50,11.54,546580
22-Oct-14,11.26,11.40,10.37,10.43,378667
21-Oct-14,10.80,11.33,10.55,11.20,471156
20-Oct-14,10.65,10.91,10.61,10.70,588133
17-Oct-14,10.76,11.08,10.35,10.65,938119
16-Oct-14,11.50,11.75,10.47,10.60,452513
15-Oct-14,11.41,11.65,11.04,11.54,384770
14-Oct-14,12.60,13.15,11.36,11.60,558105
13-Oct-14,12.47,12.90,12.22,12.54,140761
10-Oct-14,12.79,12.86,12.49,12.51,106792
9-Oct-14,13.14,13.51,12.70,12.77,183974
8-Oct-14,12.89,13.52,12.70,13.25,197506
7-Oct-14,13.38,13.38,12.74,12.87,154759
6-Oct-14,13.73,13.81,13.25,13.30,120467
3-Oct-14,13.75,13.87,13.59,13.65,90930
2-Oct-14,13.03,13.80,13.03,13.57,655563
1-Oct-14,12.58,13.29,12.26,13.06,837939
30-Sep-14,13.12,13.12,12.47,12.69,226521
29-Sep-14,12.33,12.98,12.25,12.93,205241
26-Sep-14,12.97,13.13,12.48,12.52,387344
25-Sep-14,12.86,13.15,12.75,12.97,229391
24-Sep-14,12.75,13.02,12.50,12.90,157675
23-Sep-14,12.60,13.09,12.40,12.75,176180
22-Sep-14,12.84,12.89,12.41,12.67,178196
19-Sep-14,13.20,13.21,12.53,12.95,760985
18-Sep-14,13.26,13.49,13.18,13.23,150012
17-Sep-14,13.47,13.50,13.22,13.24,116425
16-Sep-14,13.58,13.63,13.42,13.47,228804
15-Sep-14,13.42,13.85,13.35,13.58,181950
12-Sep-14,13.40,13.50,13.32,13.47,115275
11-Sep-14,13.42,13.55,13.27,13.36,133455
10-Sep-14,13.31,13.83,13.26,13.47,515179
9-Sep-14,13.33,13.64,13.27,13.30,301329
8-Sep-14,13.26,13.46,13.24,13.38,131455
5-Sep-14,13.28,13.48,13.25,13.32,122987
4-Sep-14,13.21,13.47,13.21,13.31,137915
3-Sep-14,13.13,13.39,12.97,13.21,191295
2-Sep-14,13.03,13.07,12.82,13.04,174367
29-Aug-14,12.81,13.17,12.81,13.06,175127
28-Aug-14,13.06,13.25,12.77,12.80,175185
27-Aug-14,13.85,13.97,13.03,13.08,356063
26-Aug-14,13.96,14.12,13.71,13.80,1191994
25-Aug-14,14.65,14.65,13.84,13.93,701402
22-Aug-14,14.82,15.00,14.28,14.60,304894
21-Aug-14,14.23,15.01,13.86,14.89,834696
20-Aug-14,13.71,14.30,13.51,14.25,399522
19-Aug-14,13.35,13.79,13.16,13.75,274702
18-Aug-14,13.44,13.48,13.09,13.29,484910
15-Aug-14,13.19,13.33,12.71,13.28,804306
14-Aug-14,12.50,13.20,12.49,13.16,481145
13-Aug-14,12.70,12.75,11.85,12.45,3788699
12-Aug-14,13.78,14.20,12.70,12.72,434397
11-Aug-14,13.95,14.09,13.64,13.85,191382
8-Aug-14,13.88,14.13,13.84,13.92,259320
7-Aug-14,14.50,14.50,13.86,13.90,322052
6-Aug-14,14.84,15.15,14.46,14.46,703449
5-Aug-14,15.58,15.58,11.91,14.75,1625505
4-Aug-14,14.89,15.40,14.89,15.31,222235
1-Aug-14,15.35,15.49,14.52,14.76,499677
31-Jul-14,16.04,16.08,15.25,15.34,187136
30-Jul-14,16.37,16.49,16.12,16.17,117985
29-Jul-14,16.55,16.94,15.66,16.29,237885
28-Jul-14,16.70,16.78,15.42,16.56,525965
25-Jul-14,16.83,17.33,16.66,16.76,237440
24-Jul-14,16.81,17.00,16.67,16.90,312518
23-Jul-14,16.85,16.98,16.57,16.83,201079
22-Jul-14,16.72,16.76,16.38,16.70,142265
21-Jul-14,16.63,16.75,16.46,16.61,117530
18-Jul-14,16.66,16.87,16.46,16.69,363209
17-Jul-14,16.50,16.87,16.45,16.66,142972
16-Jul-14,16.69,16.69,16.39,16.65,142082
15-Jul-14,17.31,17.49,16.38,16.55,516335
14-Jul-14,16.86,17.03,16.60,17.03,353381
11-Jul-14,16.52,16.92,16.01,16.70,172824
10-Jul-14,16.18,16.88,15.80,16.58,283027
9-Jul-14,16.32,16.62,16.27,16.57,397035
8-Jul-14,16.55,16.55,15.81,16.31,324394
7-Jul-14,16.95,16.95,16.32,16.62,186133
3-Jul-14,17.19,17.38,16.84,16.95,135548
2-Jul-14,17.19,17.64,16.71,17.16,402600
1-Jul-14,16.58,17.30,16.30,17.16,233137
30-Jun-14,16.24,16.62,15.99,16.48,150596
27-Jun-14,16.08,16.39,15.80,16.31,231143
26-Jun-14,16.06,16.27,15.79,16.14,279604
25-Jun-14,15.14,16.33,15.01,16.01,963897
24-Jun-14,15.52,15.87,15.13,15.20,207594
23-Jun-14,15.72,15.73,15.30,15.51,172473
20-Jun-14,15.80,15.84,15.54,15.74,355576
19-Jun-14,16.18,16.25,15.57,15.82,321670
18-Jun-14,16.36,16.47,15.74,16.19,371737
17-Jun-14,15.60,16.54,15.37,16.27,369624
16-Jun-14,15.40,15.89,15.36,15.65,233097
13-Jun-14,15.45,15.58,15.18,15.37,174997
12-Jun-14,15.00,15.52,15.00,15.49,116332
11-Jun-14,15.06,15.40,14.84,15.12,224018
10-Jun-14,15.03,15.24,14.85,15.10,103287
9-Jun-14,14.83,15.41,14.56,15.08,194309
6-Jun-14,14.46,14.87,14.35,14.81,174239
5-Jun-14,13.85,14.62,13.64,14.47,234795
4-Jun-14,13.72,13.87,13.50,13.78,234174
3-Jun-14,14.27,14.43,13.54,13.71,434537
2-Jun-14,14.54,14.95,14.12,14.28,236762
30-May-14,14.68,14.68,14.39,14.57,186457
29-May-14,14.64,14.64,14.06,14.62,289525
28-May-14,14.82,14.95,14.52,14.57,170900
27-May-14,15.08,15.30,14.42,14.79,266794
23-May-14,15.29,15.29,14.69,14.98,350048
22-May-14,15.16,15.34,14.61,15.29,417480
21-May-14,15.75,15.80,15.11,15.20,246144
20-May-14,16.23,16.24,15.54,15.74,195508
19-May-14,16.08,16.52,16.03,16.29,171054
16-May-14,16.08,16.21,15.72,16.17,167834
15-May-14,15.75,16.24,15.64,16.00,156402
14-May-14,16.02,16.02,15.62,15.85,209261
13-May-14,15.63,16.11,15.48,15.90,836733
12-May-14,15.28,15.95,15.22,15.60,241565
9-May-14,15.49,15.81,15.03,15.48,436328
8-May-14,14.27,16.16,14.06,15.46,1167207
7-May-14,16.50,16.75,13.61,14.06,4035919
6-May-14,16.25,16.72,16.00,16.50,435000
5-May-14,16.19,16.45,15.94,16.30,276251
2-May-14,16.26,16.47,16.03,16.28,408194
1-May-14,15.58,16.35,15.48,16.20,587273
30-Apr-14,15.74,16.38,15.27,15.65,804284
29-Apr-14,17.04,17.05,16.16,16.25,343474
