Date,Open,High,Low,Close,Volume
23-Oct-14,41.58,43.58,41.32,42.53,403804
22-Oct-14,42.64,43.77,40.77,40.99,247765
21-Oct-14,41.18,42.56,40.51,42.43,168437
20-Oct-14,40.22,41.47,39.83,41.03,216998
17-Oct-14,41.48,41.48,40.30,40.34,356027
16-Oct-14,39.51,41.25,39.43,40.87,369195
15-Oct-14,37.41,40.17,37.14,39.97,553761
14-Oct-14,37.38,38.61,36.78,38.15,644840
13-Oct-14,36.53,38.15,36.41,36.97,400256
10-Oct-14,37.76,38.95,36.42,36.45,561417
9-Oct-14,39.56,39.81,37.79,37.83,461592
8-Oct-14,39.38,39.81,38.70,39.69,410754
7-Oct-14,40.11,41.15,39.34,39.39,322567
6-Oct-14,40.73,41.33,40.37,40.42,263706
3-Oct-14,39.81,41.45,39.53,40.67,343022
2-Oct-14,39.64,40.43,38.48,39.36,498258
1-Oct-14,40.42,40.61,39.48,39.68,397558
30-Sep-14,41.49,41.49,40.35,40.42,569273
29-Sep-14,41.40,42.62,41.22,41.46,433272
26-Sep-14,40.67,41.23,40.61,40.86,450129
25-Sep-14,40.96,40.96,38.96,40.64,627651
24-Sep-14,41.26,41.38,40.49,41.04,411602
23-Sep-14,42.72,42.96,40.09,41.10,977885
22-Sep-14,44.09,44.19,42.92,43.07,483362
19-Sep-14,44.40,44.99,44.01,44.35,337176
18-Sep-14,44.14,44.60,43.78,44.33,166862
17-Sep-14,43.93,44.48,43.82,44.00,109613
16-Sep-14,43.88,44.23,43.21,44.04,128525
15-Sep-14,44.18,44.50,43.42,44.00,246331
12-Sep-14,44.22,45.33,43.75,44.10,476827
11-Sep-14,44.09,44.86,43.98,44.26,217195
10-Sep-14,44.54,45.02,44.10,44.43,173753
9-Sep-14,45.05,45.42,44.04,44.46,288459
8-Sep-14,45.83,46.04,45.10,45.17,366712
5-Sep-14,45.17,46.06,44.65,45.96,219843
4-Sep-14,46.00,46.26,45.28,45.35,179423
3-Sep-14,46.46,46.95,45.67,45.97,337594
2-Sep-14,45.85,46.75,45.30,46.24,240165
29-Aug-14,45.70,45.90,45.40,45.64,199320
28-Aug-14,46.25,46.77,45.46,45.66,209419
27-Aug-14,45.51,47.04,45.27,46.50,345848
26-Aug-14,45.60,45.86,45.26,45.62,214284
25-Aug-14,46.78,47.01,45.24,45.68,227692
22-Aug-14,46.43,47.23,46.07,46.47,414558
21-Aug-14,45.66,46.54,45.26,46.43,271367
20-Aug-14,44.99,45.73,44.86,45.57,348196
19-Aug-14,45.03,46.20,45.03,45.38,464189
18-Aug-14,44.25,45.15,44.01,45.00,313486
15-Aug-14,45.18,45.18,43.44,43.99,555583
14-Aug-14,44.33,44.91,43.84,44.73,367218
13-Aug-14,46.42,47.08,44.07,44.41,826869
12-Aug-14,48.45,48.88,46.33,46.62,666035
11-Aug-14,48.20,49.70,47.78,48.71,672220
8-Aug-14,48.42,48.68,47.07,48.01,719015
7-Aug-14,51.10,51.10,48.22,48.48,554805
6-Aug-14,45.85,47.28,45.85,46.38,387799
5-Aug-14,47.70,47.70,45.83,46.26,295754
4-Aug-14,46.38,48.08,46.38,47.87,365233
1-Aug-14,46.67,46.92,45.49,46.05,404415
31-Jul-14,46.32,47.61,45.89,46.59,1251303
30-Jul-14,47.24,48.20,46.53,46.75,499524
29-Jul-14,48.20,48.63,46.87,46.87,411615
28-Jul-14,47.65,49.00,47.45,48.05,566663
25-Jul-14,47.88,48.50,47.38,47.65,544770
24-Jul-14,48.89,49.88,48.07,48.16,647925
23-Jul-14,49.10,50.00,48.52,48.96,544918
22-Jul-14,49.19,49.78,48.62,49.09,455761
