Date,Open,High,Low,Close,Volume
23-Oct-14,14.55,14.84,14.39,14.62,499967
22-Oct-14,14.41,14.50,14.23,14.48,299783
21-Oct-14,14.09,14.42,13.99,14.40,238368
20-Oct-14,13.59,14.06,13.55,14.04,318322
17-Oct-14,13.77,13.77,13.51,13.61,313535
16-Oct-14,13.17,13.88,13.17,13.56,279423
15-Oct-14,13.01,13.39,12.79,13.37,295721
14-Oct-14,13.10,13.34,12.96,13.08,231377
13-Oct-14,12.97,13.11,12.80,12.98,266860
10-Oct-14,12.76,13.15,12.76,12.93,243936
9-Oct-14,13.21,13.34,12.85,12.85,281691
8-Oct-14,12.93,13.28,12.93,13.24,303650
7-Oct-14,13.07,13.10,12.89,12.95,213562
6-Oct-14,13.45,13.50,13.18,13.19,167968
3-Oct-14,13.25,13.58,13.18,13.45,159509
2-Oct-14,13.04,13.21,12.71,13.09,416507
1-Oct-14,13.14,13.14,12.80,13.06,297334
30-Sep-14,13.18,13.29,12.97,13.13,562819
29-Sep-14,12.87,13.17,12.72,13.10,87908
26-Sep-14,13.00,13.10,12.93,13.06,260964
25-Sep-14,13.27,13.44,12.91,12.91,232512
24-Sep-14,13.34,13.37,13.00,13.27,131523
23-Sep-14,13.25,13.42,13.25,13.35,295209
22-Sep-14,13.38,13.51,13.23,13.31,335125
19-Sep-14,14.00,14.00,13.35,13.40,368723
18-Sep-14,13.53,14.00,13.39,13.97,332221
17-Sep-14,13.24,13.72,13.09,13.47,431362
16-Sep-14,13.00,13.29,11.50,13.28,351877
15-Sep-14,13.39,13.39,12.80,13.05,205583
12-Sep-14,13.78,13.78,13.30,13.43,170870
11-Sep-14,13.52,13.85,13.52,13.74,159993
10-Sep-14,13.58,13.67,13.46,13.65,164370
9-Sep-14,13.91,13.94,13.53,13.62,272643
8-Sep-14,14.00,14.00,13.80,13.98,203237
5-Sep-14,13.38,13.97,13.22,13.96,453179
4-Sep-14,13.38,13.52,13.18,13.42,244412
3-Sep-14,13.30,13.48,13.07,13.31,255991
2-Sep-14,13.20,13.33,13.03,13.28,175254
29-Aug-14,13.02,13.14,12.91,13.12,260059
28-Aug-14,12.77,13.09,12.72,13.01,311181
27-Aug-14,13.06,13.20,12.76,12.81,200956
26-Aug-14,13.14,13.30,13.02,13.08,160236
25-Aug-14,13.11,13.28,12.96,13.14,81780
22-Aug-14,13.13,13.31,12.99,13.06,112944
21-Aug-14,13.15,13.30,13.02,13.18,143412
20-Aug-14,13.29,13.41,13.13,13.17,122390
19-Aug-14,13.53,13.65,13.35,13.40,165357
18-Aug-14,13.32,13.61,13.29,13.53,195593
15-Aug-14,13.60,13.61,13.12,13.21,327896
14-Aug-14,13.61,13.86,13.46,13.47,169894
13-Aug-14,13.56,13.73,13.46,13.65,370310
12-Aug-14,13.65,13.79,13.42,13.50,128832
11-Aug-14,13.79,13.88,13.44,13.73,254658
8-Aug-14,14.07,14.08,13.54,13.76,374718
7-Aug-14,13.57,15.50,13.57,13.99,1566646
6-Aug-14,13.10,13.40,12.94,13.20,266831
5-Aug-14,13.35,13.59,13.10,13.21,295450
4-Aug-14,13.23,13.46,12.96,13.45,234112
1-Aug-14,13.41,13.49,12.88,13.12,389988
31-Jul-14,13.55,14.00,13.22,13.35,244367
30-Jul-14,13.60,13.96,13.60,13.73,214187
29-Jul-14,13.40,13.61,13.35,13.50,183873
28-Jul-14,13.15,13.45,13.00,13.40,352374
25-Jul-14,13.30,13.30,13.10,13.15,274726
24-Jul-14,13.50,13.53,13.27,13.30,252417
23-Jul-14,13.59,13.60,13.50,13.51,230447
22-Jul-14,13.59,13.68,13.49,13.56,155338
21-Jul-14,13.51,13.63,13.47,13.54,212076
18-Jul-14,13.46,13.83,13.46,13.68,159615
17-Jul-14,13.50,13.65,13.38,13.50,600763
16-Jul-14,13.59,13.59,13.34,13.50,195379
15-Jul-14,13.64,13.64,13.49,13.50,211194
14-Jul-14,13.93,13.97,13.64,13.65,93153
11-Jul-14,13.73,13.95,13.52,13.77,154399
10-Jul-14,13.49,13.80,13.38,13.72,248670
9-Jul-14,13.54,13.68,13.09,13.54,280585
8-Jul-14,13.75,13.75,13.39,13.52,320266
7-Jul-14,14.26,14.26,13.77,13.80,224388
3-Jul-14,14.58,14.59,14.20,14.27,204790
2-Jul-14,14.39,14.69,14.30,14.44,182768
1-Jul-14,14.46,14.50,14.16,14.38,399835
30-Jun-14,14.40,14.49,14.22,14.37,211695
27-Jun-14,14.18,14.48,14.07,14.42,381183
26-Jun-14,14.30,14.57,14.13,14.31,212493
25-Jun-14,14.42,14.62,14.25,14.29,470092
24-Jun-14,14.43,14.85,14.25,14.48,514637
23-Jun-14,14.16,14.54,14.02,14.45,393416
20-Jun-14,13.87,14.27,13.75,14.17,511986
19-Jun-14,14.02,14.02,13.75,13.89,141271
18-Jun-14,14.04,14.15,13.70,14.01,371608
17-Jun-14,13.86,14.12,13.73,13.99,640596
16-Jun-14,13.50,13.94,13.50,13.85,260299
13-Jun-14,13.86,13.86,13.50,13.52,262169
12-Jun-14,13.73,13.91,13.60,13.85,187960
11-Jun-14,13.71,13.87,13.71,13.80,175461
10-Jun-14,13.87,13.94,13.63,13.78,153280
9-Jun-14,14.00,14.07,13.88,13.96,214224
6-Jun-14,14.18,14.39,14.04,14.06,214167
5-Jun-14,13.86,14.17,13.75,14.07,429665
4-Jun-14,13.53,13.96,13.38,13.89,1595919
3-Jun-14,13.50,13.77,13.48,13.62,208024
2-Jun-14,13.73,13.73,13.39,13.57,191725
30-May-14,13.72,13.86,13.64,13.73,325486
29-May-14,13.60,13.80,13.49,13.68,221223
28-May-14,13.74,13.79,13.32,13.59,202673
27-May-14,13.84,13.93,13.72,13.80,395194
23-May-14,13.18,13.75,13.05,13.73,280091
22-May-14,12.92,13.31,12.80,13.16,280965
21-May-14,12.89,13.19,12.85,12.90,255883
20-May-14,13.15,13.15,12.65,12.80,372792
19-May-14,13.16,13.30,12.96,13.15,345308
16-May-14,12.95,13.19,12.84,13.18,182808
15-May-14,12.80,13.04,12.60,12.97,318090
14-May-14,13.04,13.29,12.89,12.92,324923
13-May-14,13.37,13.45,13.03,13.18,345914
12-May-14,12.78,13.55,12.78,13.40,543358
9-May-14,12.33,12.79,12.04,12.74,561645
8-May-14,11.90,12.74,11.71,12.43,966107
7-May-14,11.07,11.55,10.69,11.42,803754
6-May-14,11.48,11.53,11.05,11.06,265965
5-May-14,11.40,11.71,11.28,11.55,337642
2-May-14,11.54,11.64,11.45,11.48,223888
1-May-14,11.42,11.79,11.20,11.51,404996
30-Apr-14,11.74,11.74,11.14,11.44,489229
29-Apr-14,11.50,11.86,11.49,11.77,458894
28-Apr-14,11.55,11.69,11.03,11.45,843214
25-Apr-14,11.85,11.98,11.47,11.47,409012
24-Apr-14,11.78,12.05,11.68,11.95,459073
23-Apr-14,11.97,12.14,11.63,11.67,917703
22-Apr-14,12.23,12.38,11.99,12.02,898910
21-Apr-14,12.24,12.38,12.03,12.20,222789
17-Apr-14,12.34,12.53,12.17,12.27,583305
16-Apr-14,12.10,12.50,11.96,12.34,732084
15-Apr-14,12.93,12.93,11.54,12.04,925513
14-Apr-14,13.01,13.25,12.68,12.90,392187
11-Apr-14,12.84,13.06,12.67,12.90,781018
10-Apr-14,13.24,13.38,12.63,12.93,653295
9-Apr-14,12.58,13.27,12.55,13.25,773883
8-Apr-14,12.40,12.70,12.21,12.53,1000074
7-Apr-14,12.69,12.76,12.35,12.41,1112542
4-Apr-14,13.29,13.39,12.68,12.72,445959
3-Apr-14,13.41,13.74,13.06,13.24,425553
2-Apr-14,12.85,13.70,12.85,13.44,1265927
1-Apr-14,12.80,12.92,12.59,12.83,403230
31-Mar-14,12.66,12.91,12.60,12.74,317655
28-Mar-14,12.36,12.60,12.26,12.55,543636
27-Mar-14,12.76,12.85,12.35,12.38,931408
26-Mar-14,13.07,13.09,12.79,12.79,304566
25-Mar-14,13.12,13.33,12.81,12.97,378077
24-Mar-14,13.72,13.85,13.02,13.03,543561
21-Mar-14,13.81,13.93,13.64,13.67,639343
20-Mar-14,13.78,13.96,13.54,13.80,834979
19-Mar-14,13.91,14.00,13.73,13.83,209105
18-Mar-14,13.83,14.05,13.80,13.95,562124
17-Mar-14,14.01,14.06,13.73,13.83,264739
14-Mar-14,13.62,14.01,13.56,13.97,418372
13-Mar-14,14.04,14.17,13.62,13.66,432766
12-Mar-14,13.76,14.01,13.74,13.98,598941
11-Mar-14,14.00,14.34,13.74,13.81,1971102
10-Mar-14,14.66,14.87,14.39,14.66,1278269
7-Mar-14,14.59,14.89,14.42,14.64,400634
6-Mar-14,14.68,14.79,14.40,14.47,421320
5-Mar-14,15.00,15.00,13.61,14.67,518145
4-Mar-14,13.85,14.25,13.42,14.18,841373
3-Mar-14,13.73,13.85,13.50,13.68,552560
28-Feb-14,14.00,14.24,13.62,13.87,864828
27-Feb-14,13.67,14.58,12.90,13.94,1204264
26-Feb-14,13.65,13.81,13.51,13.77,453447
25-Feb-14,13.69,13.78,13.51,13.57,388306
24-Feb-14,13.72,13.98,13.59,13.75,872597
21-Feb-14,13.64,13.91,13.40,13.77,460175
20-Feb-14,13.31,13.70,13.06,13.57,365916
19-Feb-14,13.48,13.61,13.11,13.30,392160
18-Feb-14,13.17,13.61,13.10,13.56,380475
14-Feb-14,13.07,13.25,12.94,13.14,293706
13-Feb-14,12.58,13.22,12.43,13.06,449057
12-Feb-14,12.65,12.93,12.62,12.65,563047
11-Feb-14,12.66,12.79,12.58,12.65,411958
10-Feb-14,12.81,13.04,12.59,12.70,566719
7-Feb-14,12.90,13.02,12.76,12.84,367804
6-Feb-14,12.78,12.95,12.69,12.84,391551
5-Feb-14,12.80,12.89,12.49,12.74,414786
4-Feb-14,12.85,13.06,12.79,12.86,421736
3-Feb-14,13.00,13.15,12.57,12.81,410239
31-Jan-14,12.92,13.12,12.80,12.95,321926
30-Jan-14,12.85,13.24,12.81,13.04,346838
29-Jan-14,12.81,12.98,12.65,12.76,264438
28-Jan-14,12.85,13.01,12.79,12.94,508240
27-Jan-14,13.15,13.29,12.81,12.88,458422
24-Jan-14,13.28,13.28,12.79,13.06,637586
23-Jan-14,13.41,13.55,13.32,13.40,402504
22-Jan-14,13.64,13.82,13.42,13.49,331036
21-Jan-14,13.36,13.64,13.23,13.58,754715
17-Jan-14,13.00,13.36,13.00,13.23,1208121
16-Jan-14,12.60,13.18,12.35,13.04,1326942
15-Jan-14,12.46,12.77,12.28,12.63,1055928
14-Jan-14,11.55,12.68,11.55,12.50,2022772
13-Jan-14,11.48,11.67,11.18,11.31,530572
10-Jan-14,11.51,11.51,11.35,11.49,822389
9-Jan-14,11.32,11.58,11.15,11.56,728229
8-Jan-14,10.60,11.26,10.44,11.23,859841
7-Jan-14,10.49,10.63,10.43,10.61,541656
6-Jan-14,10.64,10.64,10.26,10.46,580494
3-Jan-14,10.33,10.75,10.21,10.58,741751
2-Jan-14,10.00,10.45,9.92,10.33,625896
31-Dec-13,10.00,10.11,9.90,10.00,466933
30-Dec-13,9.87,10.00,9.81,9.97,842041
27-Dec-13,9.96,10.05,9.82,9.90,466411
26-Dec-13,9.96,10.05,9.81,9.91,238884
24-Dec-13,10.02,10.19,9.87,9.92,412047
23-Dec-13,9.95,10.10,9.85,10.00,427495
20-Dec-13,9.73,10.04,9.46,9.92,1841717
19-Dec-13,9.64,9.71,9.39,9.68,356268
18-Dec-13,9.60,9.79,9.39,9.68,494861
17-Dec-13,9.70,9.70,9.46,9.56,399625
16-Dec-13,9.90,9.99,9.57,9.73,442424
13-Dec-13,9.73,9.97,9.60,9.86,272723
12-Dec-13,9.72,9.78,9.61,9.72,325210
11-Dec-13,9.84,9.87,9.66,9.70,392522
10-Dec-13,10.02,10.12,9.85,9.85,498609
9-Dec-13,9.98,10.05,9.86,10.03,266410
6-Dec-13,10.22,10.26,9.98,9.99,656196
5-Dec-13,9.98,10.19,9.87,10.11,415650
4-Dec-13,9.76,10.09,9.63,10.01,565699
3-Dec-13,10.00,10.10,9.75,9.83,481619
2-Dec-13,10.18,10.19,9.90,10.03,519427
29-Nov-13,10.21,10.37,10.14,10.21,205339
27-Nov-13,10.12,10.20,10.05,10.14,246709
26-Nov-13,10.04,10.32,9.94,10.14,584872
25-Nov-13,10.05,10.18,9.90,10.04,1141819
22-Nov-13,9.56,9.66,9.44,9.65,390059
21-Nov-13,9.15,9.54,9.07,9.53,451437
20-Nov-13,9.07,9.15,8.93,9.09,1254354
19-Nov-13,9.07,9.08,8.77,9.02,853763
18-Nov-13,9.35,9.36,9.02,9.04,653335
15-Nov-13,9.65,9.66,9.02,9.29,1559513
14-Nov-13,10.04,10.05,9.65,9.67,457246
13-Nov-13,10.39,10.39,10.00,10.08,381514
12-Nov-13,9.76,10.45,9.75,10.42,706376
11-Nov-13,10.11,10.12,9.75,9.83,904863
8-Nov-13,10.38,10.69,9.96,10.16,1235282
7-Nov-13,11.75,11.88,10.00,10.39,2681085
6-Nov-13,13.37,13.37,12.32,12.37,502614
5-Nov-13,13.15,13.42,13.02,13.34,161946
4-Nov-13,13.12,13.37,13.10,13.24,192533
1-Nov-13,13.24,13.24,12.86,13.06,304737
31-Oct-13,13.44,13.52,13.26,13.27,158841
30-Oct-13,13.65,13.68,13.39,13.47,149969
29-Oct-13,13.65,13.75,13.53,13.65,161388
28-Oct-13,13.52,13.64,13.51,13.61,171225
25-Oct-13,13.75,13.93,13.43,13.51,338498
24-Oct-13,13.70,13.74,13.64,13.70,232626
23-Oct-13,13.75,13.86,13.65,13.70,205086
22-Oct-13,13.91,14.08,13.72,13.83,203677
21-Oct-13,14.00,14.08,13.81,13.88,286526
18-Oct-13,13.91,14.00,13.70,14.00,315823
17-Oct-13,13.34,13.80,13.34,13.80,279165
