Date,Open,High,Low,Close,Volume
23-Oct-14,7.70,7.71,7.60,7.66,633648
22-Oct-14,7.69,7.73,7.62,7.65,982886
21-Oct-14,7.61,7.73,7.52,7.64,1587510
20-Oct-14,7.50,7.61,7.47,7.61,1204833
17-Oct-14,7.60,7.60,7.46,7.50,1007048
16-Oct-14,7.33,7.55,7.30,7.52,1227341
15-Oct-14,7.60,7.70,7.41,7.53,2511782
14-Oct-14,7.49,7.63,7.45,7.58,1561478
13-Oct-14,7.40,7.54,7.40,7.46,1121168
10-Oct-14,7.39,7.47,7.34,7.42,1288688
9-Oct-14,7.44,7.55,7.41,7.41,1230751
8-Oct-14,7.30,7.43,7.25,7.42,1562060
7-Oct-14,7.30,7.33,7.28,7.30,1068226
6-Oct-14,7.35,7.37,7.30,7.33,738190
3-Oct-14,7.36,7.39,7.28,7.36,1462348
2-Oct-14,7.34,7.40,7.24,7.35,2481909
1-Oct-14,7.23,7.39,7.23,7.36,1367953
30-Sep-14,7.42,7.44,7.18,7.23,2222650
29-Sep-14,7.40,7.44,7.33,7.44,1495353
26-Sep-14,7.46,7.49,7.34,7.41,1560214
25-Sep-14,7.53,7.55,7.41,7.46,2610295
24-Sep-14,7.80,7.81,7.70,7.77,3604659
23-Sep-14,7.88,7.90,7.79,7.79,1666906
22-Sep-14,7.88,7.91,7.84,7.87,1294020
19-Sep-14,7.84,7.88,7.81,7.86,1360633
18-Sep-14,7.85,7.86,7.78,7.82,710632
17-Sep-14,7.87,7.88,7.83,7.84,646840
16-Sep-14,7.80,7.84,7.75,7.83,946951
15-Sep-14,7.83,7.85,7.76,7.79,1164274
12-Sep-14,7.96,7.96,7.80,7.80,1887771
11-Sep-14,7.91,7.94,7.90,7.93,843679
10-Sep-14,7.92,7.95,7.86,7.91,896696
9-Sep-14,7.95,7.95,7.89,7.89,756406
8-Sep-14,7.97,7.98,7.93,7.94,956371
5-Sep-14,7.89,7.96,7.88,7.94,835000
4-Sep-14,7.94,7.94,7.84,7.88,1154851
3-Sep-14,7.95,7.97,7.88,7.91,2377894
2-Sep-14,8.01,8.01,7.89,7.90,1015141
29-Aug-14,7.95,7.99,7.92,7.98,871192
28-Aug-14,8.00,8.00,7.94,7.96,667457
27-Aug-14,8.00,8.04,7.94,7.98,1081352
26-Aug-14,7.99,8.04,7.98,8.03,658874
25-Aug-14,7.98,8.00,7.95,7.99,675208
22-Aug-14,7.97,7.98,7.91,7.94,658324
21-Aug-14,7.92,7.99,7.92,7.95,633994
20-Aug-14,7.97,7.99,7.90,7.91,887506
19-Aug-14,8.02,8.05,7.89,7.95,1566613
18-Aug-14,8.04,8.04,7.96,8.01,903673
15-Aug-14,8.00,8.05,7.96,8.03,696290
14-Aug-14,7.96,8.02,7.96,7.96,566116
13-Aug-14,7.95,7.98,7.93,7.98,691232
12-Aug-14,7.94,7.97,7.91,7.93,619012
11-Aug-14,7.95,7.99,7.90,7.94,955729
8-Aug-14,7.84,7.91,7.81,7.91,917497
7-Aug-14,7.86,7.91,7.81,7.87,683114
6-Aug-14,7.95,7.95,7.77,7.86,1611158
5-Aug-14,7.70,7.78,7.65,7.69,653194
4-Aug-14,7.69,7.72,7.65,7.72,748326
1-Aug-14,7.56,7.67,7.55,7.64,698859
31-Jul-14,7.65,7.66,7.54,7.55,1528433
30-Jul-14,7.74,7.77,7.65,7.66,968173
29-Jul-14,7.79,7.79,7.72,7.74,670673
28-Jul-14,7.72,7.76,7.70,7.76,883424
25-Jul-14,7.68,7.70,7.64,7.69,723371
24-Jul-14,7.70,7.72,7.64,7.65,659991
23-Jul-14,7.70,7.73,7.67,7.70,384819
22-Jul-14,7.62,7.76,7.62,7.66,970692
21-Jul-14,7.70,7.73,7.62,7.64,582116
18-Jul-14,7.60,7.71,7.59,7.69,687636
17-Jul-14,7.68,7.70,7.60,7.62,730404
16-Jul-14,7.70,7.72,7.64,7.67,878906
15-Jul-14,7.73,7.75,7.63,7.69,668328
14-Jul-14,7.65,7.73,7.62,7.71,628848
11-Jul-14,7.69,7.74,7.61,7.61,1142232
10-Jul-14,7.60,7.70,7.60,7.68,868437
9-Jul-14,7.64,7.68,7.60,7.64,575240
8-Jul-14,7.59,7.68,7.58,7.64,859122
7-Jul-14,7.60,7.63,7.55,7.59,1243096
3-Jul-14,7.63,7.75,7.60,7.64,887549
2-Jul-14,7.77,7.79,7.67,7.76,1271953
1-Jul-14,7.79,7.87,7.77,7.77,1242333
30-Jun-14,7.82,7.86,7.77,7.81,1119502
27-Jun-14,7.83,7.87,7.77,7.84,1833917
26-Jun-14,7.74,7.89,7.65,7.84,1820123
25-Jun-14,8.05,8.07,7.96,8.03,1820706
24-Jun-14,8.14,8.14,8.04,8.04,1473199
23-Jun-14,8.14,8.15,8.12,8.12,871266
20-Jun-14,8.15,8.15,8.09,8.11,1347256
19-Jun-14,8.14,8.17,8.11,8.12,1595871
18-Jun-14,8.04,8.12,8.04,8.12,754584
17-Jun-14,8.06,8.10,8.01,8.05,913918
16-Jun-14,8.08,8.13,8.04,8.04,1107593
13-Jun-14,8.10,8.11,8.05,8.08,643516
12-Jun-14,8.10,8.11,8.06,8.08,701816
11-Jun-14,8.09,8.10,8.07,8.10,652051
10-Jun-14,8.13,8.13,8.02,8.08,937651
9-Jun-14,8.06,8.14,8.05,8.10,893304
6-Jun-14,8.00,8.06,7.98,8.05,967911
5-Jun-14,7.91,7.99,7.89,7.99,702968
4-Jun-14,7.90,7.94,7.84,7.90,1029456
3-Jun-14,7.99,7.99,7.87,7.91,1540156
2-Jun-14,8.00,8.00,7.92,7.93,825033
30-May-14,7.94,7.97,7.90,7.96,764014
29-May-14,7.90,7.97,7.89,7.92,825417
28-May-14,7.96,7.97,7.86,7.91,1260413
27-May-14,7.89,7.96,7.89,7.94,1540076
23-May-14,7.82,7.86,7.79,7.85,880553
22-May-14,7.74,7.82,7.73,7.80,899486
21-May-14,7.73,7.74,7.67,7.74,693380
20-May-14,7.70,7.74,7.65,7.69,830165
19-May-14,7.62,7.70,7.61,7.69,1114326
16-May-14,7.56,7.66,7.51,7.60,920954
15-May-14,7.58,7.61,7.51,7.55,857912
14-May-14,7.64,7.67,7.57,7.58,1020125
13-May-14,7.58,7.65,7.58,7.61,948097
12-May-14,7.60,7.65,7.55,7.56,1324624
9-May-14,7.55,7.58,7.52,7.56,1153993
8-May-14,7.65,7.65,7.51,7.52,1870323
7-May-14,7.40,7.64,7.40,7.60,3370008
6-May-14,7.36,7.40,7.33,7.38,719799
5-May-14,7.33,7.43,7.31,7.36,902713
2-May-14,7.38,7.45,7.33,7.38,1119832
1-May-14,7.42,7.43,7.35,7.40,1425578
30-Apr-14,7.30,7.43,7.26,7.37,3573410
29-Apr-14,7.43,7.44,7.28,7.30,1338267
28-Apr-14,7.35,7.50,7.35,7.38,1241662
25-Apr-14,7.46,7.48,7.35,7.38,1107923
24-Apr-14,7.49,7.50,7.41,7.44,936892
23-Apr-14,7.43,7.49,7.39,7.47,865650
22-Apr-14,7.42,7.49,7.40,7.44,927101
21-Apr-14,7.30,7.41,7.27,7.38,1036064
17-Apr-14,7.27,7.29,7.22,7.27,600223
16-Apr-14,7.18,7.26,7.14,7.26,1237287
15-Apr-14,7.32,7.34,7.00,7.16,3183812
14-Apr-14,7.46,7.50,7.28,7.34,1851685
11-Apr-14,7.51,7.55,7.47,7.47,1115160
10-Apr-14,7.56,7.61,7.52,7.52,1223858
9-Apr-14,7.60,7.60,7.53,7.58,904090
8-Apr-14,7.58,7.59,7.51,7.59,1459243
7-Apr-14,7.54,7.59,7.51,7.54,1300271
4-Apr-14,7.61,7.61,7.51,7.52,1666584
3-Apr-14,7.58,7.62,7.55,7.58,2506767
2-Apr-14,7.52,7.61,7.47,7.61,21306777
1-Apr-14,7.80,7.85,7.78,7.82,858639
31-Mar-14,7.78,7.78,7.75,7.78,1283400
28-Mar-14,7.70,7.79,7.65,7.75,514689
27-Mar-14,7.59,7.79,7.56,7.72,988518
26-Mar-14,7.75,7.75,7.60,7.60,1303425
25-Mar-14,7.86,7.88,7.69,7.75,1367237
24-Mar-14,7.98,7.98,7.86,7.89,1019805
21-Mar-14,7.79,8.00,7.74,8.00,2160781
20-Mar-14,7.66,7.69,7.55,7.66,1706323
19-Mar-14,8.06,8.12,7.95,7.96,2886292
18-Mar-14,7.99,8.05,7.93,8.04,1527975
17-Mar-14,7.96,7.99,7.91,7.95,1132366
14-Mar-14,7.87,7.99,7.86,7.89,896432
13-Mar-14,7.86,7.87,7.78,7.86,786587
12-Mar-14,7.59,7.83,7.59,7.82,1038347
11-Mar-14,7.69,7.74,7.58,7.59,685328
10-Mar-14,7.57,7.71,7.56,7.69,841186
7-Mar-14,7.70,7.74,7.52,7.57,2144156
6-Mar-14,7.83,7.87,7.64,7.78,2253893
5-Mar-14,7.93,8.01,7.85,7.97,2002379
4-Mar-14,7.80,7.84,7.73,7.77,2270447
3-Mar-14,7.71,7.81,7.70,7.78,1175072
28-Feb-14,7.76,7.76,7.71,7.73,1320570
27-Feb-14,7.70,7.76,7.68,7.76,1244442
26-Feb-14,7.60,7.75,7.58,7.70,1232465
25-Feb-14,7.51,7.60,7.49,7.56,896559
24-Feb-14,7.49,7.52,7.47,7.48,772521
21-Feb-14,7.48,7.49,7.44,7.46,605766
20-Feb-14,7.43,7.47,7.41,7.45,731613
19-Feb-14,7.43,7.50,7.42,7.43,925599
18-Feb-14,7.41,7.45,7.39,7.43,747770
14-Feb-14,7.41,7.41,7.35,7.39,397013
13-Feb-14,7.33,7.42,7.30,7.39,881615
12-Feb-14,7.36,7.39,7.33,7.34,700121
11-Feb-14,7.35,7.40,7.31,7.33,877068
10-Feb-14,7.21,7.34,7.21,7.33,1378920
7-Feb-14,7.18,7.22,7.14,7.22,753098
6-Feb-14,7.14,7.20,7.09,7.13,726511
5-Feb-14,7.11,7.14,7.04,7.12,843734
4-Feb-14,7.02,7.14,7.00,7.09,840494
3-Feb-14,7.17,7.21,7.00,7.04,1228072
31-Jan-14,7.08,7.22,7.03,7.14,2543686
30-Jan-14,7.00,7.15,6.99,7.15,1490146
29-Jan-14,7.02,7.03,6.92,6.98,887612
28-Jan-14,6.95,7.05,6.93,7.01,1016708
27-Jan-14,7.09,7.09,6.81,6.92,1395705
24-Jan-14,7.05,7.07,7.01,7.04,801732
23-Jan-14,7.00,7.07,7.00,7.05,1007575
22-Jan-14,7.00,7.06,6.99,7.03,1261363
21-Jan-14,6.90,7.01,6.89,7.00,1223324
17-Jan-14,6.90,6.94,6.86,6.86,809717
16-Jan-14,6.87,6.90,6.83,6.89,805689
15-Jan-14,6.83,6.87,6.81,6.85,940086
14-Jan-14,6.81,6.85,6.79,6.85,1283018
13-Jan-14,6.85,6.87,6.80,6.82,1732085
10-Jan-14,6.85,6.85,6.79,6.84,1445020
9-Jan-14,6.85,6.85,6.80,6.81,1048822
8-Jan-14,6.79,6.84,6.78,6.83,2324561
7-Jan-14,6.77,6.82,6.75,6.79,14800760
6-Jan-14,7.08,7.15,7.04,7.04,1269739
3-Jan-14,7.00,7.08,6.96,7.08,747438
2-Jan-14,6.99,7.02,6.91,6.96,603753
31-Dec-13,6.90,6.99,6.86,6.99,523246
30-Dec-13,6.93,6.96,6.86,6.91,674140
27-Dec-13,6.95,6.96,6.88,6.94,573979
26-Dec-13,7.01,7.05,6.95,6.95,544228
24-Dec-13,7.03,7.05,6.98,7.01,343811
23-Dec-13,7.02,7.07,6.98,6.99,892519
20-Dec-13,6.98,7.05,6.97,7.01,1130832
19-Dec-13,7.10,7.10,6.96,6.97,946122
18-Dec-13,7.00,7.17,6.96,7.10,1324313
17-Dec-13,7.29,7.40,7.20,7.30,2038787
16-Dec-13,7.29,7.30,7.20,7.27,1319067
13-Dec-13,7.16,7.25,7.11,7.22,1476949
12-Dec-13,7.30,7.31,7.08,7.12,1466423
11-Dec-13,7.33,7.33,7.22,7.28,817066
10-Dec-13,7.20,7.35,7.19,7.29,1260968
9-Dec-13,7.10,7.21,7.07,7.20,948866
6-Dec-13,7.05,7.10,7.02,7.06,801641
5-Dec-13,7.02,7.05,7.00,7.04,559112
4-Dec-13,6.96,7.05,6.90,7.03,812888
3-Dec-13,6.93,7.00,6.91,6.97,554675
2-Dec-13,7.01,7.02,6.93,6.96,728961
29-Nov-13,6.96,7.02,6.93,7.01,517698
27-Nov-13,6.89,6.97,6.88,6.96,542200
26-Nov-13,6.95,6.95,6.87,6.88,669955
25-Nov-13,6.86,6.92,6.82,6.90,548311
22-Nov-13,6.84,6.88,6.77,6.81,657678
21-Nov-13,6.76,6.84,6.74,6.80,495025
20-Nov-13,6.74,6.82,6.70,6.77,500878
19-Nov-13,6.80,6.83,6.70,6.72,600093
18-Nov-13,6.95,6.95,6.82,6.83,603645
15-Nov-13,6.87,6.95,6.87,6.91,760246
14-Nov-13,6.73,6.90,6.71,6.87,1123020
13-Nov-13,6.63,6.73,6.63,6.70,584247
12-Nov-13,6.56,6.64,6.55,6.63,408792
11-Nov-13,6.63,6.64,6.54,6.59,503596
8-Nov-13,6.62,6.65,6.49,6.62,652379
7-Nov-13,6.71,6.71,6.62,6.68,749203
6-Nov-13,6.57,6.74,6.53,6.70,1314540
5-Nov-13,6.50,6.50,6.40,6.40,589798
4-Nov-13,6.50,6.50,6.42,6.48,565502
1-Nov-13,6.41,6.49,6.37,6.46,561762
31-Oct-13,6.40,6.45,6.35,6.41,409978
30-Oct-13,6.38,6.48,6.35,6.37,438017
29-Oct-13,6.51,6.52,6.34,6.41,855433
28-Oct-13,6.60,6.60,6.49,6.53,586148
25-Oct-13,6.60,6.61,6.51,6.59,630880
24-Oct-13,6.51,6.56,6.48,6.54,523013
23-Oct-13,6.50,6.55,6.48,6.51,501641
22-Oct-13,6.41,6.50,6.41,6.47,769020
