Date,Open,High,Low,Close,Volume
23-Oct-14,32.15,33.80,31.54,32.55,16457
22-Oct-14,33.15,33.65,31.55,31.70,17284
21-Oct-14,33.50,33.75,32.45,33.20,94069
20-Oct-14,32.50,33.45,32.05,33.25,11892
17-Oct-14,34.15,34.15,32.25,32.45,15836
16-Oct-14,31.05,33.70,30.92,33.58,25381
15-Oct-14,30.00,31.95,29.00,31.70,17219
14-Oct-14,28.70,31.55,28.70,30.40,24448
13-Oct-14,28.00,29.85,28.00,28.55,18579
10-Oct-14,28.50,29.75,27.65,28.55,14660
9-Oct-14,29.30,30.00,28.35,28.80,21129
8-Oct-14,29.90,30.15,27.50,29.20,36341
7-Oct-14,30.55,31.00,29.70,29.85,16364
6-Oct-14,32.10,32.21,30.65,30.75,22247
3-Oct-14,32.50,32.91,31.00,32.20,24067
2-Oct-14,31.30,31.95,30.05,31.65,27508
1-Oct-14,33.55,33.70,31.20,31.40,25634
30-Sep-14,31.20,33.55,30.70,33.55,62653
29-Sep-14,30.65,31.40,30.00,31.10,13037
26-Sep-14,30.05,31.15,30.00,31.10,20457
25-Sep-14,30.30,31.25,29.85,30.00,15161
24-Sep-14,30.50,31.55,30.15,30.95,16929
23-Sep-14,30.10,31.55,29.10,30.50,26448
22-Sep-14,31.85,31.90,30.00,30.05,36625
19-Sep-14,31.05,32.50,30.40,32.20,45917
18-Sep-14,32.25,32.80,30.30,31.15,76482
17-Sep-14,26.15,40.00,25.80,34.30,594043
16-Sep-14,20.65,25.95,20.65,25.25,60354
15-Sep-14,20.40,21.40,20.00,20.80,22933
12-Sep-14,21.15,21.15,20.10,20.25,18381
11-Sep-14,20.95,21.60,20.95,21.25,15133
10-Sep-14,21.00,22.00,20.95,21.20,13551
9-Sep-14,22.35,22.35,20.75,20.90,22424
8-Sep-14,21.30,22.60,21.30,22.50,13198
5-Sep-14,20.95,21.70,20.75,21.45,7831
4-Sep-14,21.15,21.95,20.70,21.10,14678
3-Sep-14,21.15,21.50,21.15,21.20,13873
2-Sep-14,22.50,23.09,21.00,21.10,21213
29-Aug-14,22.70,23.45,21.90,22.30,20325
28-Aug-14,22.50,22.90,21.95,22.65,15748
27-Aug-14,21.80,22.50,21.55,22.40,11204
26-Aug-14,21.95,21.95,20.80,21.85,15608
25-Aug-14,22.30,22.74,21.80,21.90,6980
22-Aug-14,22.55,22.55,21.85,22.10,6424
21-Aug-14,21.95,22.85,21.50,22.70,12813
20-Aug-14,22.30,22.74,21.75,21.95,15822
19-Aug-14,23.55,23.55,22.00,22.30,11835
18-Aug-14,22.40,23.60,21.60,23.55,14006
