Date,Open,High,Low,Close,Volume
23-Oct-14,2.02,2.02,1.85,1.91,21151
22-Oct-14,1.92,2.02,1.80,2.00,62347
21-Oct-14,2.09,2.09,1.96,1.96,60100
20-Oct-14,1.76,2.00,1.75,1.98,82342
17-Oct-14,1.70,1.80,1.70,1.75,27614
16-Oct-14,1.66,1.75,1.66,1.74,76868
15-Oct-14,1.74,1.75,1.70,1.75,31668
14-Oct-14,1.95,1.98,1.76,1.76,68920
13-Oct-14,1.86,2.12,1.74,1.92,203813
10-Oct-14,1.92,2.01,1.86,1.89,36703
9-Oct-14,2.00,2.04,1.91,1.95,48574
8-Oct-14,2.14,2.14,1.96,2.01,127824
7-Oct-14,2.27,2.29,2.09,2.15,29973
6-Oct-14,2.30,2.30,2.22,2.24,22130
3-Oct-14,2.25,2.35,2.23,2.32,73106
2-Oct-14,2.21,2.32,2.15,2.26,35906
1-Oct-14,2.35,2.35,2.18,2.21,38624
30-Sep-14,2.31,2.35,2.28,2.35,32889
29-Sep-14,2.27,2.35,2.26,2.30,50106
26-Sep-14,2.21,2.25,2.15,2.25,20976
25-Sep-14,2.20,2.26,2.14,2.19,34136
24-Sep-14,2.13,2.23,2.10,2.18,27950
23-Sep-14,2.18,2.21,2.00,2.12,99056
22-Sep-14,2.30,2.30,2.12,2.27,113751
19-Sep-14,2.25,2.28,2.22,2.28,60239
18-Sep-14,2.22,2.29,2.22,2.22,62441
17-Sep-14,2.28,2.30,2.24,2.24,14345
16-Sep-14,2.31,2.32,2.21,2.28,68171
15-Sep-14,2.32,2.35,2.25,2.27,62636
12-Sep-14,2.36,2.40,2.32,2.32,31493
11-Sep-14,2.38,2.43,2.35,2.40,27571
10-Sep-14,2.30,2.43,2.30,2.36,37084
9-Sep-14,2.43,2.44,2.30,2.30,64705
8-Sep-14,2.43,2.44,2.41,2.42,45673
5-Sep-14,2.40,2.47,2.38,2.44,26056
4-Sep-14,2.44,2.55,2.41,2.43,67052
3-Sep-14,2.35,2.52,2.25,2.47,116847
2-Sep-14,2.43,2.52,2.32,2.34,124070
29-Aug-14,2.50,2.53,2.40,2.42,83311
28-Aug-14,2.54,2.57,2.48,2.52,52286
27-Aug-14,2.55,2.60,2.47,2.55,65342
26-Aug-14,2.68,2.69,2.55,2.58,54834
25-Aug-14,2.76,3.00,2.60,2.65,379229
22-Aug-14,2.70,2.79,2.70,2.76,27741
21-Aug-14,2.73,2.80,2.64,2.75,31259
