Date,Open,High,Low,Close,Volume
23-Oct-14,28.68,29.13,28.57,28.71,74116
22-Oct-14,28.66,29.22,28.65,28.90,182194
21-Oct-14,28.35,28.63,27.98,28.50,73746
20-Oct-14,27.93,28.49,27.67,28.29,62122
17-Oct-14,28.31,28.31,27.77,28.04,134711
16-Oct-14,27.54,28.14,26.96,27.90,127047
15-Oct-14,28.23,28.98,27.50,27.99,202195
14-Oct-14,28.81,29.25,28.26,28.48,152088
13-Oct-14,28.66,28.96,28.40,28.67,95465
10-Oct-14,29.18,29.49,28.52,28.73,118635
9-Oct-14,30.90,30.90,29.26,29.34,93663
8-Oct-14,30.31,31.20,30.22,30.99,71615
7-Oct-14,30.60,30.73,30.38,30.44,42164
6-Oct-14,30.79,31.09,30.28,30.89,87864
3-Oct-14,31.33,31.33,30.79,30.82,46728
2-Oct-14,30.42,31.29,30.42,31.01,111845
1-Oct-14,30.85,31.26,30.22,30.38,110049
30-Sep-14,31.16,31.32,30.82,30.96,136448
29-Sep-14,30.50,31.20,30.40,31.13,98101
26-Sep-14,30.17,31.30,30.00,30.84,189742
25-Sep-14,30.93,31.11,29.75,30.13,235786
24-Sep-14,31.31,31.31,30.65,31.06,91556
23-Sep-14,31.00,31.14,30.64,30.88,91452
22-Sep-14,31.02,31.42,30.91,30.99,185229
19-Sep-14,32.01,32.01,30.82,31.29,304222
18-Sep-14,32.17,32.43,31.84,31.97,69185
17-Sep-14,31.00,32.54,31.00,32.13,340589
16-Sep-14,31.52,31.59,31.03,31.11,133143
15-Sep-14,32.35,32.35,31.41,31.47,105243
12-Sep-14,32.59,32.63,32.18,32.47,78300
11-Sep-14,31.92,32.75,31.92,32.54,71354
10-Sep-14,31.79,32.08,31.78,32.04,36679
9-Sep-14,31.94,32.74,31.76,31.84,82197
8-Sep-14,32.00,32.37,31.82,32.12,86128
5-Sep-14,32.10,32.71,32.10,32.29,47286
4-Sep-14,32.27,33.45,32.16,32.28,97373
3-Sep-14,33.96,33.99,32.52,32.81,78186
2-Sep-14,33.93,34.00,33.39,33.74,87063
29-Aug-14,33.20,34.02,33.10,33.91,62572
28-Aug-14,33.49,33.72,32.98,33.14,73876
27-Aug-14,33.99,34.45,33.56,33.59,76179
26-Aug-14,34.32,34.32,33.83,33.98,63481
25-Aug-14,33.41,34.56,33.30,34.23,236089
22-Aug-14,33.35,33.62,32.80,33.35,100446
21-Aug-14,33.38,34.02,32.52,33.35,151102
20-Aug-14,32.83,33.78,32.55,33.48,94665
19-Aug-14,33.50,33.72,32.99,33.04,73980
18-Aug-14,33.67,33.76,32.43,33.32,58575
15-Aug-14,33.83,33.99,32.84,33.31,79673
14-Aug-14,33.85,34.08,33.37,33.50,82520
13-Aug-14,33.40,33.83,33.25,33.78,125572
12-Aug-14,32.25,33.66,32.11,33.37,231870
11-Aug-14,32.57,32.79,32.17,32.46,282271
8-Aug-14,32.55,32.79,32.25,32.40,69629
7-Aug-14,32.98,33.21,32.32,32.56,124411
6-Aug-14,33.77,34.16,32.92,33.01,198260
5-Aug-14,33.82,34.28,33.67,33.83,131623
4-Aug-14,33.12,34.02,32.92,33.90,99457
1-Aug-14,33.19,33.54,32.57,33.06,129840
31-Jul-14,32.86,33.24,32.59,33.06,149412
30-Jul-14,33.52,33.97,32.91,33.26,133446
29-Jul-14,33.02,33.51,32.72,33.18,152191
28-Jul-14,33.53,33.53,32.73,33.04,95808
25-Jul-14,33.25,33.72,33.10,33.53,78941
24-Jul-14,34.07,34.50,33.48,33.58,104180
23-Jul-14,34.05,34.25,33.81,34.16,90192
22-Jul-14,34.11,34.80,33.89,34.05,58000
21-Jul-14,34.04,34.45,33.78,33.89,66350
18-Jul-14,33.59,34.32,33.56,34.19,90250
17-Jul-14,33.81,34.24,33.52,33.67,99003
16-Jul-14,33.61,34.31,33.20,34.02,99787
15-Jul-14,34.01,34.14,33.36,33.53,88692
14-Jul-14,34.65,34.66,33.85,34.09,120689
11-Jul-14,34.81,34.81,33.97,34.30,148582
10-Jul-14,34.72,35.39,34.25,34.94,389801
9-Jul-14,35.40,35.65,34.98,35.36,128878
8-Jul-14,36.04,36.04,35.01,35.24,219714
7-Jul-14,36.34,36.38,35.83,36.22,116747
3-Jul-14,36.64,36.65,36.33,36.50,43195
2-Jul-14,36.51,36.90,36.32,36.57,118311
1-Jul-14,36.29,36.82,36.19,36.63,178603
30-Jun-14,35.64,36.25,35.32,36.25,138390
27-Jun-14,35.10,35.99,35.03,35.80,251101
26-Jun-14,34.91,35.55,34.38,35.38,95233
25-Jun-14,34.28,35.01,34.10,34.95,239208
24-Jun-14,34.34,35.20,33.75,34.47,332793
23-Jun-14,35.30,35.31,34.18,34.30,199329
20-Jun-14,35.28,35.43,34.96,35.25,240923
19-Jun-14,34.65,35.29,34.28,35.14,112934
18-Jun-14,34.53,34.80,34.41,34.53,158709
17-Jun-14,34.38,35.47,34.38,34.59,213069
16-Jun-14,33.92,35.62,33.32,34.48,207060
13-Jun-14,33.69,33.98,33.41,33.84,137313
12-Jun-14,32.93,33.90,32.36,33.55,185111
11-Jun-14,33.07,33.34,32.80,32.98,76499
10-Jun-14,32.93,33.38,32.54,33.31,103250
9-Jun-14,32.94,33.56,32.89,33.03,119350
6-Jun-14,32.99,33.23,32.70,33.03,138110
5-Jun-14,31.79,32.98,31.56,32.81,137229
4-Jun-14,31.29,31.96,31.10,31.79,94142
3-Jun-14,31.50,31.91,31.22,31.46,85357
2-Jun-14,31.66,31.95,31.14,31.67,73429
30-May-14,31.75,32.07,31.29,31.69,95316
29-May-14,32.06,32.06,30.95,31.65,135774
28-May-14,31.68,32.11,31.28,31.99,104141
27-May-14,31.22,32.02,30.69,31.66,92052
