Date,Open,High,Low,Close,Volume
23-Oct-14,16.84,17.24,16.01,16.90,68193
22-Oct-14,17.03,17.10,16.68,16.74,54495
21-Oct-14,16.65,16.80,16.65,16.77,34062
20-Oct-14,16.70,16.74,16.49,16.61,74374
17-Oct-14,16.87,17.00,16.56,16.73,61893
16-Oct-14,16.41,17.44,16.41,16.64,62268
15-Oct-14,16.22,17.00,16.22,16.62,101947
14-Oct-14,17.13,17.13,16.76,16.97,60772
13-Oct-14,16.48,17.13,16.46,16.96,43105
10-Oct-14,16.30,16.82,16.30,16.51,75533
9-Oct-14,16.65,16.65,16.33,16.40,49197
8-Oct-14,16.38,16.67,16.38,16.64,61663
7-Oct-14,16.42,16.51,16.33,16.41,58018
6-Oct-14,16.65,16.67,16.50,16.53,36178
3-Oct-14,16.73,16.73,16.36,16.65,34516
2-Oct-14,16.24,16.59,16.24,16.54,63014
1-Oct-14,16.44,16.46,16.29,16.29,64082
30-Sep-14,16.37,16.46,16.35,16.40,95043
29-Sep-14,16.40,16.46,16.36,16.42,65581
26-Sep-14,16.39,16.55,16.32,16.54,63287
25-Sep-14,16.44,16.45,16.34,16.42,58596
24-Sep-14,16.51,16.51,16.42,16.51,56546
23-Sep-14,16.46,16.53,16.41,16.50,55520
22-Sep-14,16.48,16.55,16.38,16.49,33188
19-Sep-14,16.67,16.74,16.50,16.61,84871
18-Sep-14,16.51,16.75,16.19,16.62,27118
17-Sep-14,16.47,16.56,16.41,16.49,35422
16-Sep-14,16.42,16.59,16.36,16.49,42509
15-Sep-14,16.50,16.60,16.26,16.51,25397
12-Sep-14,16.73,16.73,16.44,16.50,39675
11-Sep-14,16.37,16.88,16.37,16.68,28102
10-Sep-14,16.46,16.69,16.29,16.52,24481
9-Sep-14,16.66,16.66,16.45,16.50,69125
8-Sep-14,16.58,16.72,16.48,16.67,19926
5-Sep-14,16.08,16.61,16.01,16.59,81037
4-Sep-14,16.23,16.48,16.17,16.17,28437
3-Sep-14,16.67,16.69,16.30,16.35,41935
2-Sep-14,16.63,16.73,16.55,16.56,68302
29-Aug-14,16.49,16.58,16.36,16.53,34678
28-Aug-14,16.60,16.70,16.40,16.49,56036
27-Aug-14,16.84,16.84,16.54,16.54,44500
26-Aug-14,16.53,17.13,16.47,16.73,79272
25-Aug-14,16.39,17.26,16.30,16.52,39887
22-Aug-14,16.23,16.31,16.08,16.18,30083
21-Aug-14,15.99,16.27,15.77,16.23,14885
20-Aug-14,16.05,16.09,15.90,16.06,45101
19-Aug-14,15.93,16.30,15.92,16.13,121604
18-Aug-14,15.82,16.67,15.82,15.99,54927
15-Aug-14,15.36,15.70,15.21,15.62,165512
14-Aug-14,15.10,15.26,15.07,15.17,23252
13-Aug-14,15.15,15.27,15.00,15.10,53565
12-Aug-14,15.09,15.22,15.01,15.16,32556
11-Aug-14,15.22,15.31,15.09,15.20,33396
8-Aug-14,15.15,15.40,15.15,15.24,30273
7-Aug-14,15.40,15.53,15.16,15.19,25502
6-Aug-14,15.20,17.24,15.18,15.42,56228
5-Aug-14,15.05,15.39,14.98,15.27,57638
4-Aug-14,15.53,15.56,14.97,15.11,153986
1-Aug-14,15.48,16.08,15.20,15.44,111497
31-Jul-14,15.45,15.62,15.30,15.42,141508
30-Jul-14,15.77,15.90,15.53,15.61,41142
29-Jul-14,15.72,15.83,15.57,15.64,61529
28-Jul-14,15.80,16.12,15.50,15.61,136808
25-Jul-14,16.25,16.35,15.62,15.82,97568
24-Jul-14,16.40,16.73,16.09,16.26,111007
23-Jul-14,16.62,17.50,16.10,16.43,107344
22-Jul-14,16.35,16.50,16.25,16.28,47338
21-Jul-14,16.29,16.35,16.25,16.28,23901
18-Jul-14,16.13,16.63,16.13,16.44,54968
17-Jul-14,16.29,16.41,16.15,16.20,59428
16-Jul-14,16.48,16.49,16.32,16.35,24632
15-Jul-14,16.58,16.60,16.13,16.41,45153
14-Jul-14,16.46,16.72,16.40,16.53,75872
11-Jul-14,16.34,16.58,16.05,16.30,42796
10-Jul-14,16.46,16.55,16.01,16.38,49779
9-Jul-14,17.20,17.20,16.71,16.76,39457
8-Jul-14,17.15,17.48,16.99,17.08,49743
7-Jul-14,17.42,17.42,17.22,17.22,21922
3-Jul-14,17.40,17.55,17.26,17.54,22071
2-Jul-14,17.43,17.50,17.08,17.27,63310
1-Jul-14,17.21,17.89,17.21,17.46,59118
30-Jun-14,17.08,17.18,16.86,17.06,29570
27-Jun-14,17.30,18.17,17.00,17.17,130081
26-Jun-14,17.57,18.30,17.28,17.48,19698
25-Jun-14,16.95,17.65,16.95,17.62,127916
24-Jun-14,17.10,17.33,16.96,17.03,42223
23-Jun-14,17.11,17.33,16.71,17.18,65066
20-Jun-14,17.21,17.21,16.80,17.03,83621
19-Jun-14,17.30,17.30,16.10,17.10,22734
18-Jun-14,17.49,17.53,17.06,17.20,48772
17-Jun-14,17.30,17.62,17.30,17.48,32970
16-Jun-14,17.65,17.65,17.27,17.35,50172
13-Jun-14,17.87,17.94,17.65,17.75,19383
12-Jun-14,17.75,17.89,17.61,17.75,18880
11-Jun-14,17.71,18.15,17.65,17.85,21516
10-Jun-14,18.17,18.23,18.04,18.20,16572
9-Jun-14,17.99,18.30,17.96,18.28,40634
6-Jun-14,18.03,18.05,17.89,17.99,42298
5-Jun-14,17.62,18.00,17.50,17.92,87504
4-Jun-14,17.14,17.67,17.14,17.52,140194
3-Jun-14,17.10,17.34,16.98,17.25,42488
2-Jun-14,16.98,17.38,16.90,17.10,51106
30-May-14,17.16,17.30,17.12,17.20,41628
29-May-14,17.05,17.08,16.95,17.07,97118
28-May-14,16.92,17.06,16.63,16.95,79084
27-May-14,16.34,17.12,16.32,16.92,66726
23-May-14,16.10,16.29,16.00,16.18,20719
22-May-14,15.76,16.11,15.76,16.07,28701
21-May-14,16.13,16.26,15.77,15.93,51453
20-May-14,16.12,16.41,15.70,16.13,69762
19-May-14,15.99,16.28,15.99,16.21,16978
16-May-14,16.13,16.21,15.98,16.11,33360
15-May-14,16.00,16.29,15.90,16.12,47565
14-May-14,16.63,16.63,15.96,16.01,51178
13-May-14,17.33,17.33,16.65,16.65,45288
12-May-14,16.42,17.49,16.00,17.36,46400
9-May-14,15.82,16.44,15.79,16.38,28531
8-May-14,16.15,16.27,15.92,15.94,46019
7-May-14,15.84,16.24,15.72,16.15,55944
6-May-14,16.42,16.51,15.86,15.88,55913
5-May-14,16.81,16.92,16.49,16.51,57097
2-May-14,16.73,17.13,16.62,16.97,54860
1-May-14,16.63,16.94,16.45,16.74,81733
30-Apr-14,16.59,16.87,16.40,16.70,89262
29-Apr-14,16.80,16.86,16.58,16.64,57543
28-Apr-14,17.08,17.10,16.50,16.76,115245
25-Apr-14,17.44,17.63,16.97,17.07,49787
24-Apr-14,17.28,18.10,17.10,17.45,83858
23-Apr-14,16.96,17.26,16.51,16.94,83926
22-Apr-14,17.05,17.45,17.05,17.28,17938
21-Apr-14,17.41,18.49,16.96,17.03,30031
17-Apr-14,16.99,17.45,16.96,17.34,17467
16-Apr-14,17.01,17.11,16.74,16.99,23378
15-Apr-14,16.71,16.89,16.58,16.83,24086
14-Apr-14,16.95,17.11,16.50,16.73,38516
11-Apr-14,17.01,17.24,16.78,16.86,77604
10-Apr-14,17.34,17.40,17.05,17.12,49267
9-Apr-14,17.39,17.43,17.21,17.37,35990
8-Apr-14,16.63,17.59,16.63,17.30,25340
7-Apr-14,17.33,17.51,17.11,17.31,78964
4-Apr-14,18.20,18.20,17.20,17.35,73872
3-Apr-14,18.04,18.20,17.77,18.01,23477
2-Apr-14,16.74,18.21,16.74,18.09,33746
1-Apr-14,17.62,17.95,17.60,17.83,39261
31-Mar-14,17.56,17.78,17.40,17.66,40920
28-Mar-14,17.32,17.72,17.32,17.48,37779
27-Mar-14,17.53,17.53,17.18,17.35,34753
26-Mar-14,17.77,17.95,17.32,17.46,42749
25-Mar-14,17.76,17.76,16.75,17.66,62058
24-Mar-14,17.39,17.80,17.21,17.71,62786
21-Mar-14,17.70,17.85,17.29,17.31,102941
20-Mar-14,17.73,18.00,17.68,17.70,20469
19-Mar-14,18.08,18.09,17.59,17.74,16273
18-Mar-14,17.86,18.16,17.69,18.05,26587
17-Mar-14,17.75,18.06,17.62,17.80,16144
14-Mar-14,17.77,18.03,17.63,17.71,24280
13-Mar-14,18.15,18.19,17.61,17.87,44523
12-Mar-14,17.89,18.20,17.79,18.14,20112
11-Mar-14,18.37,18.56,17.86,18.03,21429
10-Mar-14,18.27,18.47,18.16,18.42,17566
7-Mar-14,18.42,18.60,18.27,18.38,17728
6-Mar-14,18.32,18.44,18.13,18.26,20311
5-Mar-14,18.35,18.36,18.06,18.36,43170
4-Mar-14,17.65,18.48,17.65,18.35,113084
3-Mar-14,17.45,17.66,17.22,17.39,49918
28-Feb-14,17.65,17.77,17.42,17.59,50000
27-Feb-14,17.28,17.70,17.17,17.59,36469
26-Feb-14,17.12,17.59,17.12,17.35,20501
25-Feb-14,17.27,17.34,17.05,17.17,39118
24-Feb-14,17.05,17.47,17.03,17.33,73539
21-Feb-14,17.63,17.63,16.82,17.05,121542
20-Feb-14,17.69,17.69,17.34,17.52,56839
19-Feb-14,17.75,17.90,17.50,17.51,51717
18-Feb-14,17.82,18.04,17.69,17.86,22136
14-Feb-14,17.93,17.93,17.65,17.76,45425
13-Feb-14,17.43,17.92,17.07,17.89,58035
12-Feb-14,17.71,17.98,17.30,17.54,54984
11-Feb-14,17.50,17.76,17.42,17.62,34382
10-Feb-14,17.18,17.47,16.94,17.42,53530
7-Feb-14,16.88,17.24,16.74,17.15,60287
6-Feb-14,16.80,16.97,16.68,16.89,48192
5-Feb-14,16.53,17.04,16.53,16.66,59454
4-Feb-14,17.07,17.22,16.54,16.56,49572
3-Feb-14,17.40,17.48,17.00,17.03,56228
31-Jan-14,17.91,17.91,17.35,17.45,76703
30-Jan-14,17.93,18.17,17.75,17.99,51735
29-Jan-14,17.74,18.01,17.59,17.75,51345
28-Jan-14,17.70,18.01,17.66,17.89,148747
27-Jan-14,18.01,18.24,17.67,17.75,87276
24-Jan-14,18.25,18.39,17.84,18.01,82801
23-Jan-14,18.42,18.50,17.90,18.31,66491
22-Jan-14,17.25,18.77,17.06,18.43,142598
21-Jan-14,16.80,17.30,16.80,17.24,62707
17-Jan-14,16.80,16.82,16.52,16.73,72071
16-Jan-14,16.76,16.84,16.51,16.74,26032
15-Jan-14,16.63,16.93,16.63,16.85,22558
14-Jan-14,16.31,16.67,16.20,16.63,28739
13-Jan-14,15.90,16.35,15.90,16.28,65007
10-Jan-14,16.07,16.07,15.92,15.97,29781
9-Jan-14,15.99,16.16,15.91,16.02,57774
8-Jan-14,15.90,15.99,15.90,15.91,26766
7-Jan-14,16.02,16.21,15.90,15.90,26264
6-Jan-14,16.13,16.32,15.90,16.00,30547
3-Jan-14,16.05,16.27,15.90,15.97,65495
2-Jan-14,15.87,16.07,15.84,16.05,30086
31-Dec-13,15.95,16.04,15.80,15.92,42268
30-Dec-13,16.05,16.08,15.84,15.90,279444
27-Dec-13,16.32,16.32,15.85,16.04,16445
26-Dec-13,16.32,16.47,16.07,16.25,21954
24-Dec-13,16.37,16.48,16.34,16.43,11923
23-Dec-13,16.37,16.43,16.27,16.34,25774
20-Dec-13,16.23,16.47,16.08,16.30,118422
19-Dec-13,16.21,16.48,16.05,16.15,18620
18-Dec-13,15.97,16.40,15.79,16.29,48929
17-Dec-13,16.22,16.22,15.85,15.92,12190
16-Dec-13,16.18,16.27,15.99,16.20,27807
13-Dec-13,16.17,16.36,16.01,16.16,24933
12-Dec-13,16.10,16.30,16.00,16.18,19626
11-Dec-13,16.37,16.37,15.97,16.14,63936
10-Dec-13,16.49,16.58,16.19,16.30,39481
9-Dec-13,16.73,16.85,16.48,16.57,70725
6-Dec-13,16.56,16.99,16.40,16.91,15336
5-Dec-13,16.41,16.45,16.22,16.36,12907
4-Dec-13,16.75,16.99,16.37,16.42,49346
3-Dec-13,16.43,16.92,16.43,16.75,47437
2-Dec-13,17.09,17.09,16.43,16.48,31955
