Date,Open,High,Low,Close,Volume
23-Oct-14,165.00,169.13,163.72,167.44,1886938
22-Oct-14,158.95,160.78,157.18,157.36,1173805
21-Oct-14,156.30,159.20,155.51,158.90,917241
20-Oct-14,152.27,155.23,151.87,154.96,960530
17-Oct-14,150.27,152.74,149.40,152.08,858153
16-Oct-14,147.83,151.30,146.82,149.46,913268
15-Oct-14,147.17,150.49,146.22,149.62,1389125
14-Oct-14,149.78,150.17,148.85,149.00,684862
13-Oct-14,151.31,151.79,148.50,148.53,780019
10-Oct-14,149.85,152.09,149.83,151.55,861355
9-Oct-14,153.11,153.86,150.06,150.06,780619
8-Oct-14,151.66,153.48,150.83,153.09,712538
7-Oct-14,151.64,152.78,151.13,151.31,457767
6-Oct-14,153.21,154.40,152.29,152.63,361738
3-Oct-14,151.46,153.70,151.21,153.22,415819
2-Oct-14,149.47,151.48,149.47,150.95,533538
1-Oct-14,149.97,150.92,149.28,149.44,657319
30-Sep-14,151.56,152.03,150.21,150.36,947184
29-Sep-14,150.43,152.58,149.84,151.81,536115
26-Sep-14,149.57,151.84,149.57,151.34,447170
25-Sep-14,151.02,151.72,149.51,149.57,553514
24-Sep-14,151.02,152.31,150.71,151.62,598509
23-Sep-14,150.95,152.23,150.57,150.84,563330
22-Sep-14,153.25,153.63,151.22,151.72,592147
19-Sep-14,155.96,155.96,151.47,153.83,1353026
18-Sep-14,154.97,155.51,153.62,155.18,555176
17-Sep-14,154.76,155.40,153.74,154.68,432380
16-Sep-14,153.60,155.51,153.52,155.02,678499
15-Sep-14,154.04,154.61,153.68,153.88,313483
12-Sep-14,154.79,155.23,153.71,154.23,437885
11-Sep-14,155.76,155.80,153.70,154.79,648797
10-Sep-14,156.34,156.86,155.65,156.18,488205
9-Sep-14,157.48,158.14,156.26,156.45,592753
8-Sep-14,157.91,158.63,157.36,158.24,567578
5-Sep-14,156.85,158.60,156.29,158.55,402262
4-Sep-14,157.09,158.37,157.09,157.43,477619
3-Sep-14,156.93,157.64,156.61,157.14,380289
2-Sep-14,156.65,158.07,156.45,156.60,411756
29-Aug-14,157.18,157.18,154.97,155.98,455111
28-Aug-14,155.60,156.87,154.21,156.46,352214
27-Aug-14,154.51,155.78,154.51,155.30,336145
26-Aug-14,156.69,156.77,154.84,154.94,439428
25-Aug-14,156.46,157.11,155.48,156.96,480940
22-Aug-14,154.93,155.93,154.25,155.42,439262
21-Aug-14,154.65,156.21,153.82,154.47,507752
20-Aug-14,153.39,155.34,153.34,155.12,452732
19-Aug-14,153.89,154.72,153.61,153.91,402007
18-Aug-14,154.87,154.87,152.26,153.89,463609
15-Aug-14,155.00,155.00,151.37,151.94,689415
14-Aug-14,151.89,153.97,151.56,153.92,813349
13-Aug-14,152.54,152.54,150.45,151.02,543086
12-Aug-14,152.69,153.20,150.87,152.01,400979
11-Aug-14,152.73,153.62,152.50,153.10,595744
8-Aug-14,149.54,152.72,149.37,152.66,677606
7-Aug-14,151.05,151.05,148.74,148.86,404947
6-Aug-14,149.76,150.97,149.68,150.08,734248
5-Aug-14,149.59,151.30,149.59,150.01,1064955
4-Aug-14,150.02,151.70,149.84,150.83,782895
1-Aug-14,150.18,152.08,149.82,150.09,645464
31-Jul-14,151.16,152.39,149.78,150.00,1155469
30-Jul-14,150.88,152.57,150.46,152.45,675217
29-Jul-14,151.65,152.05,150.21,150.26,650123
28-Jul-14,151.72,152.26,151.06,151.58,429370
25-Jul-14,151.17,152.49,151.17,151.74,911380
24-Jul-14,153.27,154.00,150.24,151.77,1653961
