Date,Open,High,Low,Close,Volume
23-Oct-14,4.91,4.92,4.47,4.70,151828
22-Oct-14,4.96,5.02,4.73,4.74,31958
21-Oct-14,4.92,5.05,4.71,4.96,75678
20-Oct-14,4.80,4.94,4.80,4.94,62227
17-Oct-14,4.79,4.85,4.75,4.85,24039
16-Oct-14,4.81,4.82,4.71,4.77,59090
15-Oct-14,4.78,4.81,4.75,4.80,12008
14-Oct-14,4.78,4.82,4.75,4.75,11513
13-Oct-14,4.76,4.81,4.75,4.78,26533
10-Oct-14,4.79,4.84,4.76,4.83,10800
9-Oct-14,4.77,4.81,4.75,4.79,209627
8-Oct-14,4.75,4.80,4.75,4.77,37894
7-Oct-14,4.75,4.82,4.75,4.76,14309
6-Oct-14,4.76,4.78,4.75,4.75,34620
3-Oct-14,4.76,4.81,4.75,4.76,20202
2-Oct-14,4.75,4.76,4.75,4.76,11069
1-Oct-14,4.80,4.82,4.76,4.79,11644
30-Sep-14,4.81,4.87,4.81,4.81,9112
29-Sep-14,4.78,4.80,4.73,4.76,8035
26-Sep-14,4.82,4.92,4.75,4.76,20262
25-Sep-14,4.76,4.82,4.75,4.75,9675
24-Sep-14,4.75,4.82,4.71,4.81,26445
23-Sep-14,4.84,4.93,4.75,4.85,8513
22-Sep-14,4.92,4.94,4.74,4.91,11124
19-Sep-14,4.88,4.95,4.81,4.95,34880
18-Sep-14,4.84,4.90,4.77,4.89,88715
17-Sep-14,4.73,4.78,4.73,4.74,21788
16-Sep-14,4.71,4.78,4.70,4.73,15772
15-Sep-14,4.76,4.76,4.71,4.72,4879
12-Sep-14,4.73,4.79,4.71,4.72,13228
11-Sep-14,4.82,4.84,4.73,4.84,14535
10-Sep-14,4.76,4.79,4.72,4.76,13499
9-Sep-14,4.75,4.82,4.75,4.78,11093
8-Sep-14,4.83,4.83,4.75,4.77,10304
5-Sep-14,4.77,4.85,4.76,4.85,10617
4-Sep-14,4.75,4.90,4.70,4.75,110965
3-Sep-14,4.75,4.80,4.75,4.80,9851
2-Sep-14,4.71,4.82,4.70,4.73,27415
29-Aug-14,4.71,4.79,4.70,4.75,8843
28-Aug-14,4.76,4.80,4.72,4.76,19961
27-Aug-14,4.72,4.82,4.72,4.80,12789
26-Aug-14,4.71,4.77,4.71,4.76,24408
25-Aug-14,4.73,4.80,4.71,4.77,7188
22-Aug-14,4.73,4.78,4.70,4.78,32895
21-Aug-14,4.76,4.83,4.72,4.75,123392
20-Aug-14,4.70,4.79,4.70,4.75,97919
19-Aug-14,4.83,4.83,4.72,4.75,12210
18-Aug-14,4.74,4.80,4.72,4.78,7560
15-Aug-14,4.75,4.81,4.70,4.73,19459
14-Aug-14,4.85,4.85,4.73,4.81,3888
13-Aug-14,4.79,4.84,4.78,4.83,2516
12-Aug-14,4.70,4.84,4.70,4.80,8615
11-Aug-14,4.68,4.75,4.68,4.74,23297
8-Aug-14,4.70,4.73,4.70,4.73,16606
7-Aug-14,4.68,4.74,4.68,4.74,8788
6-Aug-14,4.70,4.74,4.70,4.72,6493
5-Aug-14,4.77,4.77,4.68,4.70,12993
4-Aug-14,4.79,4.79,4.67,4.70,16260
1-Aug-14,4.76,4.79,4.60,4.79,44511
31-Jul-14,4.76,4.89,4.76,4.84,11097
30-Jul-14,4.82,4.88,4.75,4.88,31528
29-Jul-14,4.76,4.89,4.70,4.85,42987
28-Jul-14,4.71,4.82,4.70,4.76,20804
25-Jul-14,4.81,4.90,4.72,4.79,30545
24-Jul-14,4.81,4.82,4.74,4.75,288078
23-Jul-14,4.91,4.91,4.81,4.84,41683
22-Jul-14,4.82,4.87,4.81,4.82,9685
21-Jul-14,4.89,4.96,4.80,4.83,29840
18-Jul-14,4.88,4.89,4.78,4.83,64391
17-Jul-14,4.84,4.84,4.80,4.81,4980
16-Jul-14,4.79,4.98,4.79,4.80,6303
15-Jul-14,4.81,4.94,4.77,4.88,15802
14-Jul-14,4.78,5.00,4.78,4.83,14777
11-Jul-14,4.79,4.82,4.77,4.77,12352
10-Jul-14,4.75,4.89,4.75,4.77,39076
9-Jul-14,4.82,4.88,4.76,4.76,7448
8-Jul-14,4.77,4.90,4.76,4.82,16311
7-Jul-14,4.91,4.97,4.84,4.86,13533
3-Jul-14,5.06,5.06,4.93,4.96,16303
2-Jul-14,5.05,5.25,5.02,5.12,27199
1-Jul-14,5.05,5.09,4.91,5.09,35787
30-Jun-14,4.87,5.02,4.76,4.97,689502
27-Jun-14,4.90,4.95,4.75,4.90,112799
26-Jun-14,4.78,4.90,4.75,4.90,8318
25-Jun-14,4.80,4.84,4.75,4.81,15726
24-Jun-14,4.75,4.80,4.75,4.75,39150
23-Jun-14,4.75,4.81,4.74,4.75,7075
20-Jun-14,4.75,4.78,4.75,4.75,38588
19-Jun-14,4.91,4.91,4.76,4.77,11390
18-Jun-14,4.85,4.86,4.75,4.82,26896
17-Jun-14,4.76,4.86,4.75,4.82,15860
16-Jun-14,4.91,4.93,4.70,4.75,23475
13-Jun-14,4.94,5.01,4.85,4.90,21439
12-Jun-14,4.97,4.99,4.92,4.97,23884
11-Jun-14,4.97,5.00,4.97,5.00,31945
10-Jun-14,4.97,5.00,4.96,5.00,291356
9-Jun-14,4.97,5.00,4.88,5.00,34987
6-Jun-14,4.90,5.00,4.88,4.96,230985
5-Jun-14,4.73,4.92,4.73,4.92,113357
4-Jun-14,4.71,4.74,4.70,4.73,16260
3-Jun-14,4.73,4.75,4.67,4.74,46104
2-Jun-14,4.68,4.72,4.65,4.71,14867
30-May-14,4.71,4.71,4.70,4.71,16574
29-May-14,4.73,4.75,4.69,4.71,10735
28-May-14,4.71,4.75,4.70,4.70,9537
27-May-14,4.68,4.73,4.68,4.71,8674
23-May-14,4.74,4.75,4.70,4.73,22047
22-May-14,4.71,4.77,4.71,4.75,34107
21-May-14,4.71,4.73,4.70,4.73,34353
20-May-14,4.70,4.73,4.70,4.70,20722
19-May-14,4.70,4.75,4.70,4.71,22879
16-May-14,4.70,4.75,4.70,4.73,161111
15-May-14,4.70,4.75,4.70,4.70,68129
14-May-14,4.71,4.73,4.70,4.70,12730
13-May-14,4.79,4.79,4.71,4.72,22724
12-May-14,4.81,4.81,4.71,4.75,21804
9-May-14,4.72,4.81,4.72,4.81,23328
8-May-14,4.73,4.75,4.70,4.75,13465
7-May-14,4.72,4.75,4.70,4.71,31265
6-May-14,4.73,4.78,4.70,4.72,71652
5-May-14,4.77,4.80,4.70,4.75,71068
2-May-14,4.80,4.87,4.75,4.75,45557
1-May-14,4.79,4.86,4.74,4.80,63692
30-Apr-14,4.75,4.76,4.75,4.76,34845
29-Apr-14,4.74,4.80,4.71,4.79,124845
28-Apr-14,4.70,4.85,4.70,4.75,66932
25-Apr-14,4.85,4.86,4.65,4.70,147724
24-Apr-14,4.95,5.00,4.85,4.91,63907
23-Apr-14,4.87,4.94,4.85,4.91,40083
22-Apr-14,4.93,4.94,4.87,4.89,23348
21-Apr-14,4.85,4.95,4.85,4.90,103307
17-Apr-14,4.89,4.90,4.85,4.88,52522
16-Apr-14,4.87,4.89,4.85,4.85,37628
15-Apr-14,4.88,4.92,4.80,4.87,77323
14-Apr-14,4.85,4.91,4.84,4.85,82729
11-Apr-14,4.90,4.92,4.67,4.77,443277
10-Apr-14,4.90,4.96,4.85,4.89,120669
9-Apr-14,4.85,4.95,4.80,4.90,423974
8-Apr-14,4.75,4.85,4.75,4.81,146737
7-Apr-14,4.85,4.85,4.63,4.77,172718
4-Apr-14,4.85,4.94,4.75,4.85,2567694
3-Apr-14,4.66,4.78,4.66,4.70,32592
2-Apr-14,4.60,4.73,4.60,4.70,30369
1-Apr-14,4.60,4.69,4.53,4.62,9089
31-Mar-14,4.58,4.61,4.50,4.60,26087
28-Mar-14,4.55,4.63,4.52,4.60,12278
