Date,Open,High,Low,Close,Volume
23-Oct-14,26.20,26.64,26.13,26.44,363703
22-Oct-14,26.25,26.75,25.80,25.84,484427
21-Oct-14,27.07,27.20,26.20,26.25,971063
20-Oct-14,25.95,26.96,25.94,26.80,838227
17-Oct-14,26.08,26.45,25.80,26.01,1000518
16-Oct-14,23.67,25.76,23.60,25.75,1250079
15-Oct-14,23.22,23.90,23.00,23.87,916813
14-Oct-14,24.14,24.40,23.47,23.56,792933
13-Oct-14,24.14,24.25,23.61,23.83,802139
10-Oct-14,25.23,25.34,23.84,24.05,1643188
9-Oct-14,25.77,25.93,25.23,25.34,669225
8-Oct-14,25.59,25.90,25.47,25.85,814032
7-Oct-14,26.20,26.55,25.75,25.77,427788
6-Oct-14,26.53,26.70,26.08,26.32,410292
3-Oct-14,26.55,26.74,26.25,26.51,198507
2-Oct-14,26.16,26.71,25.80,26.34,713786
1-Oct-14,26.46,26.81,26.22,26.25,558420
30-Sep-14,26.85,26.97,26.40,26.46,613456
29-Sep-14,26.79,27.20,26.50,26.92,477661
26-Sep-14,26.51,27.09,26.40,27.02,653120
25-Sep-14,26.94,26.99,26.11,26.36,737586
24-Sep-14,26.88,27.14,26.80,26.94,433438
23-Sep-14,27.05,27.50,26.78,26.90,641986
22-Sep-14,27.54,27.54,27.15,27.19,599569
19-Sep-14,27.76,27.91,27.36,27.54,840354
18-Sep-14,27.98,28.00,27.46,27.71,520861
17-Sep-14,27.85,28.02,27.58,27.78,548860
16-Sep-14,27.19,27.97,27.12,27.84,811853
15-Sep-14,27.61,27.70,27.07,27.29,607449
12-Sep-14,27.73,27.75,27.48,27.61,453697
11-Sep-14,27.50,27.90,27.36,27.82,566350
10-Sep-14,27.50,27.73,27.15,27.60,519073
9-Sep-14,27.77,28.05,27.50,27.53,542811
8-Sep-14,27.50,28.11,27.42,27.89,711813
5-Sep-14,27.59,27.98,27.34,27.52,419736
4-Sep-14,27.48,28.07,27.32,27.67,1564707
3-Sep-14,27.30,27.49,27.05,27.49,996135
2-Sep-14,27.22,27.45,26.97,27.17,1426895
29-Aug-14,27.70,27.70,26.77,27.11,1213501
28-Aug-14,27.04,27.32,26.89,27.18,909880
