Date,Open,High,Low,Close,Volume
23-Oct-14,5.30,5.88,5.30,5.66,894075
22-Oct-14,5.61,5.67,5.40,5.43,466214
21-Oct-14,5.58,5.64,5.36,5.56,454641
20-Oct-14,5.41,5.58,5.37,5.56,426214
17-Oct-14,5.60,5.74,5.32,5.43,724946
16-Oct-14,5.11,5.52,5.06,5.51,911723
15-Oct-14,5.03,5.24,4.86,5.23,849654
14-Oct-14,5.01,5.21,4.91,5.10,538336
13-Oct-14,4.97,5.20,4.85,4.96,665114
10-Oct-14,4.89,5.14,4.84,4.99,1406360
9-Oct-14,4.86,4.98,4.82,4.93,631589
8-Oct-14,4.75,4.88,4.52,4.85,564903
7-Oct-14,4.85,5.02,4.75,4.81,334881
6-Oct-14,5.13,5.14,4.87,4.89,513791
3-Oct-14,5.01,5.13,4.84,5.13,311569
2-Oct-14,4.86,5.00,4.76,4.93,454125
1-Oct-14,4.99,5.04,4.71,4.89,687875
30-Sep-14,5.09,5.13,4.90,4.91,940390
29-Sep-14,4.85,5.13,4.85,5.11,374204
26-Sep-14,4.85,5.00,4.78,4.93,685437
25-Sep-14,5.12,5.14,4.82,4.84,573002
24-Sep-14,5.00,5.16,4.96,5.12,380160
23-Sep-14,5.07,5.12,4.90,4.96,342853
22-Sep-14,4.99,5.12,4.97,5.11,452147
19-Sep-14,5.17,5.24,4.88,5.01,805238
18-Sep-14,5.16,5.26,5.08,5.15,215857
17-Sep-14,5.12,5.27,5.03,5.12,283675
16-Sep-14,5.08,5.16,5.05,5.13,440521
15-Sep-14,5.26,5.28,5.02,5.06,628687
12-Sep-14,5.37,5.45,5.26,5.26,370457
11-Sep-14,5.39,5.41,5.28,5.41,336210
10-Sep-14,5.25,5.45,5.20,5.42,334783
9-Sep-14,5.51,5.60,5.26,5.27,771725
8-Sep-14,5.16,5.49,5.16,5.49,556582
5-Sep-14,5.24,5.25,5.09,5.20,910618
4-Sep-14,5.16,5.44,5.16,5.27,477502
3-Sep-14,5.80,5.88,5.14,5.16,978563
2-Sep-14,6.03,6.03,5.73,5.78,755246
29-Aug-14,5.60,6.00,5.59,5.86,1000762
28-Aug-14,5.38,5.58,5.28,5.54,524311
27-Aug-14,5.33,5.49,5.18,5.38,363739
26-Aug-14,5.28,5.35,5.12,5.34,455753
25-Aug-14,5.33,5.38,5.07,5.22,733291
22-Aug-14,4.98,5.24,4.95,5.21,434458
21-Aug-14,4.95,5.08,4.76,4.96,510510
20-Aug-14,5.08,5.10,4.91,4.91,220976
19-Aug-14,5.17,5.24,5.03,5.11,431998
18-Aug-14,5.32,5.32,5.01,5.13,602133
15-Aug-14,5.23,5.54,5.08,5.18,876411
14-Aug-14,4.98,5.10,4.95,5.01,438758
13-Aug-14,4.87,4.99,4.87,4.97,331293
12-Aug-14,4.85,4.94,4.84,4.87,360685
11-Aug-14,4.91,4.93,4.76,4.89,500513
8-Aug-14,4.77,4.98,4.70,4.88,520888
7-Aug-14,4.74,4.86,4.71,4.74,395203
6-Aug-14,4.62,4.86,4.62,4.74,326256
5-Aug-14,4.58,4.74,4.51,4.65,430653
4-Aug-14,4.47,4.65,4.40,4.62,444742
1-Aug-14,4.55,4.66,4.38,4.40,553714
31-Jul-14,4.82,4.89,4.57,4.57,579427
30-Jul-14,4.91,4.96,4.81,4.85,428779
29-Jul-14,4.71,4.86,4.65,4.83,594427
28-Jul-14,4.77,4.95,4.67,4.70,723670
25-Jul-14,5.46,5.46,4.64,4.75,2571542
24-Jul-14,5.55,5.63,5.40,5.50,622789
23-Jul-14,5.50,5.64,5.44,5.51,375859
22-Jul-14,5.37,5.50,5.25,5.37,274658
21-Jul-14,5.25,5.42,5.20,5.34,271471
18-Jul-14,5.20,5.38,5.12,5.28,458902
17-Jul-14,5.39,5.65,5.20,5.21,694752
16-Jul-14,5.52,5.57,5.37,5.41,445228
15-Jul-14,5.80,5.92,5.42,5.45,463085
14-Jul-14,5.76,5.98,5.73,5.83,294927
11-Jul-14,5.70,5.79,5.62,5.75,224204
10-Jul-14,5.53,5.97,5.50,5.74,460040
9-Jul-14,5.72,5.78,5.46,5.69,397317
8-Jul-14,5.92,5.92,5.36,5.73,937185
7-Jul-14,6.26,6.27,5.91,5.91,584916
3-Jul-14,6.29,6.38,6.17,6.32,265118
2-Jul-14,6.33,6.42,6.21,6.23,582152
1-Jul-14,6.19,6.39,6.12,6.35,638673
30-Jun-14,6.06,6.24,5.89,6.18,1038836
27-Jun-14,6.25,6.35,6.06,6.12,2804132
26-Jun-14,6.54,6.60,6.23,6.33,711040
25-Jun-14,6.50,6.62,6.43,6.56,798414
24-Jun-14,6.35,6.50,6.31,6.49,702475
23-Jun-14,6.40,6.45,6.27,6.35,538010
20-Jun-14,6.21,6.65,6.07,6.49,1207634
19-Jun-14,6.06,6.25,5.93,6.18,462472
18-Jun-14,6.02,6.02,5.76,6.00,565709
17-Jun-14,6.05,6.11,5.93,5.98,312614
16-Jun-14,5.92,6.07,5.87,6.05,667480
13-Jun-14,6.03,6.06,5.71,5.96,702696
12-Jun-14,5.63,6.11,5.62,6.01,1308815
11-Jun-14,5.32,5.80,5.29,5.76,660324
10-Jun-14,5.29,5.40,5.15,5.40,782007
9-Jun-14,5.27,5.40,5.19,5.29,339891
6-Jun-14,5.28,5.28,5.07,5.27,320164
5-Jun-14,5.07,5.26,4.92,5.21,582947
4-Jun-14,4.80,5.09,4.70,5.06,476053
3-Jun-14,4.69,5.00,4.60,4.81,545774
2-Jun-14,4.85,4.94,4.51,4.73,600176
30-May-14,5.15,5.22,4.85,4.96,601185
29-May-14,4.98,5.21,4.91,5.13,497886
28-May-14,4.76,4.99,4.70,4.92,443580
27-May-14,4.80,4.89,4.64,4.78,607852
23-May-14,4.48,4.69,4.28,4.69,521086
22-May-14,4.44,4.74,4.40,4.45,709407
21-May-14,4.45,4.54,4.27,4.40,343556
20-May-14,4.42,4.47,4.28,4.41,807684
19-May-14,4.42,4.56,4.31,4.41,528322
16-May-14,4.28,4.46,4.15,4.45,488394
15-May-14,4.42,4.43,4.20,4.28,419830
14-May-14,4.65,4.98,4.43,4.44,593472
13-May-14,4.42,4.65,4.40,4.64,613820
12-May-14,4.38,4.48,4.17,4.41,584012
9-May-14,4.13,4.39,4.02,4.23,603178
8-May-14,4.47,4.62,4.12,4.13,632145
7-May-14,4.60,4.63,4.36,4.48,455210
6-May-14,4.64,4.92,4.54,4.56,641663
5-May-14,4.70,4.90,4.61,4.64,697313
2-May-14,5.19,5.26,4.78,4.80,1081425
1-May-14,4.79,5.49,4.56,5.17,2464928
30-Apr-14,4.51,4.51,4.22,4.42,659095
29-Apr-14,4.43,4.64,4.31,4.50,557835
28-Apr-14,4.32,4.47,4.20,4.40,781960
25-Apr-14,4.41,4.48,4.21,4.31,634787
24-Apr-14,4.49,4.52,4.26,4.46,385591
23-Apr-14,4.73,4.81,4.32,4.46,662213
22-Apr-14,4.64,4.85,4.53,4.72,679696
21-Apr-14,4.55,4.58,4.22,4.57,691562
17-Apr-14,4.46,4.64,4.33,4.39,440630
16-Apr-14,4.26,4.51,4.20,4.50,707680
15-Apr-14,4.20,4.27,3.87,4.21,1120232
14-Apr-14,4.56,4.68,4.10,4.19,1147497
11-Apr-14,4.55,4.73,4.45,4.50,547986
10-Apr-14,4.95,4.97,4.45,4.63,784082
9-Apr-14,4.50,4.97,4.47,4.95,759517
8-Apr-14,4.82,4.94,4.53,4.57,712311
7-Apr-14,4.62,4.88,4.42,4.84,869879
4-Apr-14,4.95,5.00,4.52,4.62,830380
3-Apr-14,5.21,5.29,4.79,4.93,746409
2-Apr-14,5.37,5.41,5.12,5.18,480176
1-Apr-14,5.34,5.68,5.32,5.35,707735
31-Mar-14,5.12,5.55,4.91,5.35,1473712
28-Mar-14,5.24,5.34,4.78,4.84,921821
27-Mar-14,5.04,5.44,5.04,5.17,869422
26-Mar-14,5.44,5.63,5.01,5.04,1151681
25-Mar-14,5.75,5.97,5.32,5.39,850359
24-Mar-14,5.91,5.96,5.33,5.68,983298
21-Mar-14,6.38,6.40,5.80,5.90,943586
20-Mar-14,6.21,6.36,6.14,6.32,267067
19-Mar-14,6.35,6.40,6.16,6.24,325851
18-Mar-14,6.16,6.41,6.14,6.37,388647
17-Mar-14,6.04,6.28,6.01,6.14,435504
14-Mar-14,5.99,6.15,5.98,6.02,274418
13-Mar-14,6.18,6.25,5.94,6.01,617370
12-Mar-14,5.99,6.21,5.92,6.18,492257
11-Mar-14,6.21,6.32,5.99,6.01,606913
10-Mar-14,6.67,6.67,6.14,6.20,770101
7-Mar-14,6.64,6.68,6.42,6.67,568364
6-Mar-14,6.91,6.97,6.44,6.61,799787
5-Mar-14,6.96,6.96,6.75,6.90,390093
4-Mar-14,6.87,7.07,6.66,6.97,894137
3-Mar-14,6.58,6.79,6.50,6.75,504626
28-Feb-14,7.34,7.45,6.50,6.66,1381088
27-Feb-14,7.19,7.60,7.07,7.31,1659188
26-Feb-14,6.96,7.34,6.96,7.20,836562
25-Feb-14,7.13,7.21,6.88,6.94,531745
24-Feb-14,7.20,7.25,7.12,7.15,385760
21-Feb-14,7.29,7.30,7.09,7.19,530224
20-Feb-14,7.19,7.30,6.96,7.24,935881
19-Feb-14,7.05,7.39,6.95,7.16,1452945
18-Feb-14,6.53,7.19,6.51,7.05,2489492
14-Feb-14,6.49,6.54,6.23,6.51,548616
13-Feb-14,6.22,6.53,6.22,6.46,700955
12-Feb-14,6.39,6.61,6.22,6.29,619806
11-Feb-14,6.54,6.63,6.30,6.39,839396
10-Feb-14,6.47,6.59,6.35,6.54,675207
7-Feb-14,6.35,6.77,6.35,6.50,942302
6-Feb-14,6.35,6.49,6.18,6.33,1004382
5-Feb-14,7.08,7.15,6.34,6.37,2069359
4-Feb-14,7.01,7.45,6.98,7.20,926772
3-Feb-14,7.19,7.25,6.66,6.90,914236
31-Jan-14,7.19,7.23,7.01,7.18,561345
30-Jan-14,7.09,7.43,7.09,7.31,494883
29-Jan-14,7.23,7.45,6.93,6.99,777539
28-Jan-14,7.28,7.59,7.24,7.36,764563
27-Jan-14,7.24,7.48,6.80,7.25,1369733
24-Jan-14,7.27,7.42,6.65,6.99,1144280
23-Jan-14,7.22,7.51,6.92,7.35,1046111
22-Jan-14,7.50,7.84,7.22,7.30,1755629
21-Jan-14,6.57,8.20,6.53,7.77,4142909
17-Jan-14,5.67,6.97,5.65,6.50,2705037
16-Jan-14,6.00,6.02,5.43,5.68,1206345
15-Jan-14,5.34,5.99,5.30,5.98,1396442
14-Jan-14,5.08,5.35,5.06,5.35,586927
13-Jan-14,4.97,5.15,4.88,5.06,709760
10-Jan-14,5.11,5.14,4.81,4.96,523671
9-Jan-14,5.32,5.45,5.03,5.08,855408
8-Jan-14,5.10,5.32,4.96,5.31,578625
7-Jan-14,4.96,5.22,4.81,5.12,692682
6-Jan-14,4.91,4.96,4.76,4.92,388083
3-Jan-14,5.05,5.20,4.73,4.87,757010
2-Jan-14,5.20,5.36,5.02,5.07,487178
