Date,Open,High,Low,Close,Volume
23-Oct-14,10.40,10.40,10.40,10.40,131
22-Oct-14,10.50,10.50,10.50,10.50,137
21-Oct-14,10.49,10.50,10.49,10.50,1322
16-Oct-14,10.50,10.50,10.50,10.50,144
15-Oct-14,10.50,10.50,10.50,10.50,175
9-Oct-14,10.45,10.45,10.30,10.30,1711
7-Oct-14,10.30,10.30,10.30,10.30,750
3-Oct-14,10.51,10.51,10.30,10.30,673
1-Oct-14,10.35,10.35,10.35,10.35,101
30-Sep-14,10.31,10.31,10.31,10.31,100
29-Sep-14,10.57,10.75,10.25,10.30,2594
26-Sep-14,10.45,10.48,10.45,10.45,1884
25-Sep-14,10.50,10.54,10.50,10.50,8252
23-Sep-14,10.33,10.54,10.33,10.54,704
22-Sep-14,10.42,10.42,10.33,10.37,1523
19-Sep-14,10.79,10.79,10.49,10.71,2409
15-Sep-14,10.77,10.77,10.77,10.77,189
10-Sep-14,10.84,10.84,10.84,10.84,205
9-Sep-14,10.80,10.80,10.80,10.80,439
5-Sep-14,10.25,10.25,10.25,10.25,2200
2-Sep-14,10.50,10.50,10.45,10.45,786
29-Aug-14,10.49,10.54,10.40,10.50,2800
27-Aug-14,10.55,10.57,10.55,10.57,2200
26-Aug-14,10.88,10.88,10.50,10.50,60278
25-Aug-14,10.60,10.60,10.60,10.60,185
21-Aug-14,10.70,10.70,10.70,10.70,100
20-Aug-14,10.71,10.88,10.70,10.88,1700
19-Aug-14,10.55,10.91,10.46,10.47,67200
15-Aug-14,10.83,10.90,10.75,10.90,1500
13-Aug-14,10.55,10.55,10.50,10.50,2425
12-Aug-14,10.55,10.55,10.55,10.55,1000
8-Aug-14,10.50,10.54,10.50,10.54,3205
7-Aug-14,10.11,10.70,10.11,10.60,1294
5-Aug-14,10.68,10.68,10.68,10.68,100
4-Aug-14,10.45,10.45,10.30,10.40,815
1-Aug-14,10.06,10.06,10.06,10.06,107
29-Jul-14,10.16,10.18,10.15,10.15,646
28-Jul-14,10.56,10.56,10.56,10.56,165
25-Jul-14,10.01,10.35,10.01,10.35,2942
22-Jul-14,10.40,10.70,9.96,9.96,2872
17-Jul-14,10.35,10.44,10.01,10.44,96003
16-Jul-14,10.35,10.35,10.35,10.35,817
14-Jul-14,10.35,10.35,10.35,10.35,652
11-Jul-14,9.91,10.35,9.91,10.35,18232
10-Jul-14,10.34,10.35,10.31,10.31,1555
9-Jul-14,10.29,10.35,10.28,10.35,8934
7-Jul-14,9.85,10.34,9.85,10.30,3255
1-Jul-14,10.30,10.30,10.27,10.27,1311
30-Jun-14,9.98,10.32,9.98,10.32,4124
27-Jun-14,10.34,10.34,10.34,10.34,710
25-Jun-14,10.00,10.24,10.00,10.24,3838
24-Jun-14,10.25,10.25,9.75,9.75,18710
23-Jun-14,10.00,10.00,10.00,10.00,203
20-Jun-14,9.74,10.27,9.74,10.27,1168
19-Jun-14,10.12,10.27,10.12,10.27,324
18-Jun-14,10.03,10.03,9.87,9.87,6110
16-Jun-14,9.88,10.00,9.88,10.00,564
9-Jun-14,9.87,9.99,9.87,9.99,733
5-Jun-14,10.00,10.00,9.87,9.99,2541
4-Jun-14,9.75,9.75,9.75,9.75,9509
2-Jun-14,9.67,9.74,9.67,9.70,443
27-May-14,10.00,10.04,9.50,9.51,4833
23-May-14,9.90,9.90,9.90,9.90,200
22-May-14,9.90,9.90,9.85,9.90,1080
21-May-14,9.85,9.90,9.85,9.90,851
20-May-14,9.90,9.90,9.90,9.90,483
19-May-14,9.88,9.90,9.87,9.90,947
16-May-14,9.80,9.85,9.80,9.85,1235
15-May-14,9.80,9.80,9.80,9.80,1118
14-May-14,9.90,9.90,9.90,9.90,176
13-May-14,9.89,9.90,9.89,9.90,1260
12-May-14,9.98,10.00,9.98,10.00,15200
9-May-14,9.95,10.01,9.95,10.01,1040
7-May-14,9.95,9.95,9.95,9.95,800
6-May-14,9.98,10.10,9.91,9.95,35806
1-May-14,9.95,9.99,9.92,9.99,3891
30-Apr-14,9.66,9.92,9.65,9.92,1746
29-Apr-14,9.75,9.75,9.75,9.75,100
28-Apr-14,9.75,9.75,9.75,9.75,3413
25-Apr-14,9.75,9.75,9.75,9.75,1443
24-Apr-14,9.73,9.75,9.73,9.75,2099
22-Apr-14,9.56,9.69,9.50,9.50,3499
16-Apr-14,9.86,9.86,9.55,9.55,225
10-Apr-14,9.99,9.99,9.99,9.99,50200
4-Apr-14,9.50,9.50,9.50,9.50,11345
2-Apr-14,9.51,9.51,9.51,9.51,509
31-Mar-14,9.75,9.75,9.72,9.75,1323
26-Mar-14,9.52,9.52,9.52,9.52,100
25-Mar-14,9.62,9.62,9.50,9.52,2911
24-Mar-14,9.50,9.50,9.50,9.50,105
21-Mar-14,9.95,10.24,9.65,9.65,40808
20-Mar-14,9.72,9.75,9.68,9.68,2524
19-Mar-14,9.73,9.76,9.42,9.76,4904
18-Mar-14,9.63,9.75,9.53,9.73,1966
17-Mar-14,9.56,9.56,9.56,9.56,192
14-Mar-14,9.75,9.76,9.69,9.74,5513
13-Mar-14,9.64,9.75,9.50,9.59,33491
11-Mar-14,9.64,9.64,9.64,9.64,300
10-Mar-14,9.60,9.60,9.60,9.60,100
7-Mar-14,9.62,9.62,9.60,9.60,300
6-Mar-14,9.60,9.60,9.60,9.60,105
4-Mar-14,9.60,9.64,9.60,9.64,600
28-Feb-14,9.60,9.60,9.60,9.60,444
27-Feb-14,9.59,9.60,9.59,9.60,1705
26-Feb-14,9.51,9.51,9.51,9.51,1206
21-Feb-14,9.50,9.52,9.50,9.50,1502
20-Feb-14,9.48,9.50,9.48,9.50,702
19-Feb-14,9.25,9.25,9.25,9.25,100
14-Feb-14,9.65,9.65,9.50,9.51,2400
13-Feb-14,9.50,9.65,9.50,9.65,1700
12-Feb-14,9.55,9.60,9.55,9.60,1417
11-Feb-14,9.70,9.75,8.80,9.75,3025
7-Feb-14,9.80,9.80,9.80,9.80,395
5-Feb-14,9.92,9.92,9.85,9.85,4805
4-Feb-14,9.99,9.99,9.99,9.99,200
31-Jan-14,9.85,9.92,9.85,9.85,2429
30-Jan-14,9.90,9.90,9.89,9.90,2200
28-Jan-14,9.85,9.85,9.85,9.85,222
27-Jan-14,10.05,10.05,9.86,9.86,355
24-Jan-14,10.10,10.10,10.05,10.05,1200
23-Jan-14,10.00,10.00,10.00,10.00,200
22-Jan-14,10.00,10.00,10.00,10.00,1600
13-Jan-14,10.10,10.10,10.10,10.10,1150
8-Jan-14,10.14,10.14,10.14,10.14,200
7-Jan-14,10.14,10.14,10.14,10.14,200
6-Jan-14,10.15,10.15,10.15,10.15,1200
30-Dec-13,9.89,9.89,9.89,9.89,321
20-Dec-13,9.86,9.86,9.86,9.86,158
18-Dec-13,9.85,9.86,9.85,9.85,3828
17-Dec-13,9.96,9.96,9.90,9.90,820
13-Dec-13,10.01,10.01,10.01,10.01,200
11-Dec-13,10.05,10.05,10.05,10.05,1170
10-Dec-13,10.15,10.15,10.15,10.15,600
9-Dec-13,10.20,10.21,10.05,10.05,12859
4-Dec-13,10.25,10.26,10.20,10.25,15756
3-Dec-13,10.26,10.26,10.25,10.25,11956
